init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
10 23 13 41 5 43 45 8 36 24 39 37 13,28 2 42 44 14 29 6 40 5 7 38 15 14,41,43,0,1,2,43 45 44 10 41 8 13 39 13 5 23 36 24,6 5 7 28 38 37 2 14 40 42 29 16 15,1,1,2
16 52 2 4 14 27 14 4 44 3 24 1 29,21 23 51 20 40 48 21 9 22 26 37 8 20,26,0,23,0,5,2 4 3 19 21 18 20 14 27 1 52 16 29,23 22 24 26 40 51 21 8 34 27 42 17 20,2,0,2
30 13 8 51 8 28 45 19 7 9 44 43 27,0 26 25 37 29 36 2 1 3 5 44 16 52,48,0,2,0,5,8 7 9 22 25 13 45 44 43 46 16 15 14,0 2 1 37 36 52 29 3 16 5 44 18 26,3,1,0
22 8 50 19 9 21 13 24 10 20 37 11 24,12 3 26 31 51 15 51 5 46 50 45 34 0,6,0,76,0,5,8 9 10 22 21 20 50 24 37 11 19 24 23,45 52 26 0 15 3 31 5 46 12 51 51 50,2,1,1
41 34 9 50 12 28 11 48 40 33 6 24 38,30 42 3 25 47 15 11 19 5 33 35 31 19,12,0,35,0,7,34 33 35 12 11 9 8 41 38 28 50 24 11,3 5 4 6 30 25 33 31 15 42 19 19 47,1,1,2
5 48 11 49 9 9 17 45 35 31 52 42 3,50 45 40 46 11 43 44 19 25 42 0 6 36,16,0,5,0,8,48 49 50 11 9 52 9 35 42 5 31 18 3,45 46 43 44 25 42 14 19 6 32 45 0 40,1,1,2
40 45 0 33 17 9 6 43 40 48 14 25 7,42 21 18 32 49 15 18 28 24 13 19 17 10,44,60,0,1,10,31 0 39 0 40 40 14 17 43 45 6 6 33,18 19 17 18 24 25 30 32 52 15 28 2 41,1,2,1
15 42 31 47 6 5 11 37 17 8 38 39 7,47 25 15 13 19 4 50 2 14 16 8 45 45,4,0,28,0,11,6 5 8 7 9 37 38 36 17 39 40 42 51,25 15 13 14 16 47 4 45 26 2 31 31 19,2,1,0
14 29 34 9 29 5 44 45 43 23 26 13 37,17 1 28 8 32 51 25 16 50 4 20 40 19,8,9,0,1,15,44 45 43 34 9 7 13 14 15 16 26 13 29,20 19 18 17 8 51 50 30 28 29 1 40 21,2,1,1
25 42 49 31 19 16 8 26 6 41 39 4 19,16 23 38 22 39 18 4 9 43 13 34 32 35,3,59,0,1,10,42 16 26 39 1 41 2 4 31 18 19 6 19,23 22 24 16 34 32 35 4 43 30 39 13 0,1,1,2
