alpha,beta,f1_score,accuracy
0.0032,-0.02,0.7909255898366606,0.8079871991466098
0.0032,-0.01959387755102041,0.7905035031037863,0.807620508033869
0.0032,-0.019187755102040818,0.7903091060985797,0.8075538369224615
0.0032,-0.018781632653061226,0.7902516979624451,0.8074871658110541
0.0032,-0.01837551020408163,0.7907280918471152,0.8079871991466098
0.0032,-0.01796938775510204,0.791065341939227,0.8079205280352023
0.0032,-0.01756326530612245,0.7910924125924851,0.8079871991466098
0.0032,-0.017157142857142857,0.7909625009066512,0.807853856923795
0.0032,-0.016751020408163265,0.7911227154046997,0.8079871991466098
0.0032,-0.016344897959183674,0.7913220142214482,0.8082538835922395
0.0032,-0.015938775510204083,0.791662143089784,0.808087205813721
0.0032,-0.01553265306122449,0.7920390808757011,0.808420561370758
0.0032,-0.015126530612244898,0.7916168965142795,0.808087205813721
0.0032,-0.014720408163265307,0.7917179468616521,0.808187212480832
0.0032,-0.014314285714285713,0.7920075291392167,0.8084538969264617
0.0032,-0.013908163265306122,0.7918476686938893,0.8083205547036469
0.0032,-0.01350204081632653,0.792169327457921,0.808187212480832
0.0032,-0.013095918367346939,0.7922143579373104,0.808187212480832
0.0032,-0.012689795918367348,0.7926503501552234,0.8085205680378692
0.0032,-0.012283673469387755,0.791823172493499,0.807853856923795
0.0032,-0.011877551020408163,0.7917568933160098,0.8076538435895726
0.0032,-0.011471428571428572,0.791534238659347,0.8075871724781652
0.0032,-0.011065306122448978,0.7911945146156623,0.8071204746983133
0.0032,-0.010659183673469387,0.7915451370134313,0.8070204680312021
0.0032,-0.010253061224489796,0.7914850700572704,0.8070204680312021
0.0032,-0.009846938775510204,0.7911114312468487,0.8066537769184612
0.0032,-0.009440816326530613,0.7915797049298309,0.8069204613640909
0.0032,-0.00903469387755102,0.791380364787567,0.8066871124741649
0.0032,-0.008628571428571428,0.7917806247300994,0.8071204746983133
0.0032,-0.008222448979591837,0.791264930205785,0.8065871058070538
0.0032,-0.007816326530612244,0.7919289285328921,0.8071538102540169
0.0032,-0.007410204081632652,0.7916681656293845,0.8069537969197946
0.0032,-0.007004081632653061,0.7919530715802353,0.8072871524768318
0.0032,-0.006597959183673469,0.7912918315940985,0.8066537769184612
0.0032,-0.006191836734693878,0.7917550991042843,0.8070204680312021
0.0032,-0.005785714285714285,0.7912380404287461,0.8065204346956464
0.0032,-0.005379591836734693,0.7910865508827328,0.8059203946929795
0.0032,-0.004973469387755102,0.7911748878923767,0.8059537302486832
0.0032,-0.004567346938775509,0.7910913459814224,0.8058203880258684
0.0032,-0.004161224489795917,0.7906459596140741,0.8054203613574238
0.0032,-0.0037551020408163258,0.7908660739891024,0.805520368024535
0.0032,-0.0033489795918367343,0.7910276623190483,0.8055870391359424
0.0032,-0.002942857142857143,0.7913890679848127,0.8058537235815721
0.0032,-0.0025367346938775515,0.7910699544165679,0.8059537302486832
0.0032,-0.0021306122448979566,0.7910147839816277,0.8058537235815721
0.0032,-0.0017244897959183651,0.7908428720083247,0.8056870458030535
0.0032,-0.0013183673469387737,0.7905158189253174,0.8053203546903127
0.0032,-0.0009122448979591823,0.7908510790851079,0.805520368024535
0.0032,-0.0005061224489795908,0.791181215271554,0.8058203880258684
0.0032,-0.0001,0.7908042684236912,0.8052536835789053
