Winner,Player1,Player2,Init.Score1,Init.Score2,Final.Score1,Final.Score2
0,MindistScore,Random,53,47,0,67
0,MindistScore,Random,79,20,0,41
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,20,80,0,80
0,MindistScore,Random,39,80,0,79
0,MindistScore,Random,80,76,0,68
0,MindistScore,Random,80,26,0,80
0,MindistScore,Random,27,38,0,13
0,MindistScore,Random,80,79,0,80
0,MindistScore,Random,34,67,0,80
0,MindistScore,Random,80,48,0,77
1,MindistScore,Random,80,73,80,0
0,MindistScore,Random,79,73,0,80
0,MindistScore,Random,80,77,0,5
0,MindistScore,Random,29,63,0,61
0,MindistScore,Random,66,80,0,80
0,MindistScore,Random,80,76,0,80
0,MindistScore,Random,31,80,0,80
0,MindistScore,Random,80,77,0,80
0,MindistScore,Random,80,80,0,77
0,MindistScore,Random,54,44,0,75
0,MindistScore,Random,25,34,0,28
0,MindistScore,Random,38,31,0,33
0,MindistScore,Random,80,31,0,34
0,MindistScore,Random,80,62,0,38
0,MindistScore,Random,80,73,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,26,77,0,80
0,MindistScore,Random,65,80,0,80
0,MindistScore,Random,80,17,0,28
0,MindistScore,Random,79,80,0,75
0,MindistScore,Random,22,22,0,22
0,MindistScore,Random,41,80,0,80
0,MindistScore,Random,80,28,0,39
0,MindistScore,Random,80,65,0,80
0,MindistScore,Random,80,75,0,72
0,MindistScore,Random,64,63,0,80
0,MindistScore,Random,80,20,0,42
0,MindistScore,Random,80,80,0,68
0,MindistScore,Random,64,59,0,80
0,MindistScore,Random,80,54,0,80
0,MindistScore,Random,80,18,0,52
0,MindistScore,Random,80,73,0,80
0,MindistScore,Random,80,80,0,40
0,MindistScore,Random,36,24,0,39
0,MindistScore,Random,73,80,0,80
0,MindistScore,Random,66,59,0,49
0,MindistScore,Random,27,62,0,74
0,MindistScore,Random,78,42,0,20
0,MindistScore,Random,80,80,0,27
0,MindistScore,Random,16,80,0,60
0,MindistScore,Random,80,80,0,67
0,MindistScore,Random,78,63,0,75
0,MindistScore,Random,80,75,0,53
0,MindistScore,Random,65,80,0,80
0,MindistScore,Random,57,53,0,41
0,MindistScore,Random,80,39,0,15
0,MindistScore,Random,80,80,0,42
0,MindistScore,Random,80,72,0,80
0,MindistScore,Random,79,53,0,80
0,MindistScore,Random,55,49,0,80
0,MindistScore,Random,80,54,0,80
0,MindistScore,Random,77,16,0,75
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,53,80,0,80
0,MindistScore,Random,77,64,0,80
0,MindistScore,Random,43,68,0,80
0,MindistScore,Random,70,80,0,80
0,MindistScore,Random,66,75,0,78
0,MindistScore,Random,77,80,0,80
0,MindistScore,Random,22,80,0,80
0,MindistScore,Random,80,73,0,68
0,MindistScore,Random,80,78,0,80
0,MindistScore,Random,80,75,0,80
0,MindistScore,Random,80,80,0,14
0,MindistScore,Random,49,58,0,54
0,MindistScore,Random,80,10,0,53
0,MindistScore,Random,46,45,0,80
0,MindistScore,Random,72,80,0,80
0,MindistScore,Random,62,70,0,80
0,MindistScore,Random,42,69,0,50
0,MindistScore,Random,25,57,0,80
0,MindistScore,Random,13,48,0,48
0,MindistScore,Random,34,35,0,32
0,MindistScore,Random,77,80,0,80
0,MindistScore,Random,42,29,0,67
0,MindistScore,Random,73,64,0,80
0,MindistScore,Random,80,80,0,42
0,MindistScore,Random,72,50,0,27
0,MindistScore,Random,80,76,0,80
0,MindistScore,Random,80,74,0,80
0,MindistScore,Random,80,43,0,47
0,MindistScore,Random,52,80,0,71
0,MindistScore,Random,80,77,0,80
0,MindistScore,Random,80,37,0,65
0,MindistScore,Random,74,80,0,80
0,MindistScore,Random,75,80,0,52
0,MindistScore,Random,75,78,0,80
0,MindistScore,Random,80,29,0,21
0,MindistScore,Random,25,80,0,51
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,37
0,MindistScore,Random,64,75,0,57
0,MindistScore,Random,80,9,0,10
0,MindistScore,Random,44,62,0,73
0,MindistScore,Random,13,4,0,4
0,MindistScore,Random,38,77,0,75
0,MindistScore,Random,76,80,0,80
0,MindistScore,Random,49,78,0,20
0,MindistScore,Random,31,80,0,80
0,MindistScore,Random,80,80,0,66
0,MindistScore,Random,59,18,0,75
0,MindistScore,Random,27,80,0,80
0,MindistScore,Random,74,80,0,46
0,MindistScore,Random,71,72,0,80
0,MindistScore,Random,31,53,0,80
0,MindistScore,Random,51,25,0,39
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,42
0,MindistScore,Random,46,73,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,15,80,0,69
0,MindistScore,Random,77,37,0,42
0,MindistScore,Random,70,18,0,52
0,MindistScore,Random,18,80,0,80
0,MindistScore,Random,80,80,0,20
0,MindistScore,Random,75,23,0,80
0,MindistScore,Random,80,74,0,35
0,MindistScore,Random,73,78,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,21,0,80
0,MindistScore,Random,65,40,0,80
0,MindistScore,Random,35,39,0,40
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,37,67,0,78
0,MindistScore,Random,74,60,0,80
0,MindistScore,Random,80,80,0,77
0,MindistScore,Random,80,80,0,69
0,MindistScore,Random,72,77,0,80
0,MindistScore,Random,12,45,0,29
0,MindistScore,Random,80,79,0,73
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,47,80,0,80
0,MindistScore,Random,66,71,0,80
0,MindistScore,Random,44,80,0,80
0,MindistScore,Random,33,50,0,53
0,MindistScore,Random,80,66,0,78
0,MindistScore,Random,80,61,0,65
0,MindistScore,Random,39,71,0,39
0,MindistScore,Random,80,50,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,66,78,0,70
0,MindistScore,Random,80,72,0,80
0,MindistScore,Random,73,23,0,42
0,MindistScore,Random,67,80,0,80
0,MindistScore,Random,36,72,0,80
0,MindistScore,Random,80,13,0,20
0,MindistScore,Random,47,80,0,80
0,MindistScore,Random,66,80,0,80
0,MindistScore,Random,33,78,0,80
0,MindistScore,Random,32,51,0,80
0,MindistScore,Random,42,80,0,80
0,MindistScore,Random,26,70,0,48
0,MindistScore,Random,80,80,0,23
0,MindistScore,Random,73,80,0,80
0,MindistScore,Random,80,75,0,80
0,MindistScore,Random,36,80,0,74
0,MindistScore,Random,80,80,0,25
0,MindistScore,Random,21,80,0,80
0,MindistScore,Random,39,52,0,24
0,MindistScore,Random,80,31,0,80
0,MindistScore,Random,34,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,77
0,MindistScore,Random,80,80,0,70
0,MindistScore,Random,74,31,0,80
0,MindistScore,Random,80,65,0,80
0,MindistScore,Random,29,79,0,78
0,MindistScore,Random,59,77,0,80
0,MindistScore,Random,79,80,0,80
0,MindistScore,Random,75,80,0,70
0,MindistScore,Random,33,72,0,62
0,MindistScore,Random,3,80,0,80
0,MindistScore,Random,80,80,0,28
0,MindistScore,Random,37,71,0,80
0,MindistScore,Random,29,80,0,80
0,MindistScore,Random,48,80,0,80
0,MindistScore,Random,52,80,0,80
0,MindistScore,Random,66,20,0,7
0,MindistScore,Random,67,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,51,0,61
0,MindistScore,Random,80,73,0,73
0,MindistScore,Random,80,25,0,80
0,MindistScore,Random,27,67,0,55
0,MindistScore,Random,80,62,0,50
0,MindistScore,Random,80,80,0,73
0,MindistScore,Random,72,77,0,59
0,MindistScore,Random,80,33,0,20
0,MindistScore,Random,54,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,72,51,0,47
0,MindistScore,Random,69,79,0,80
0,MindistScore,Random,24,80,0,80
0,MindistScore,Random,80,20,0,80
0,MindistScore,Random,80,75,0,80
0,MindistScore,Random,44,66,0,41
0,MindistScore,Random,80,73,0,80
0,MindistScore,Random,45,80,0,53
