init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
11 14 50 15 51 43 9 17 41 8 29 38 37,34 25 52 33 27 49 32 38 20 15 7 49 27,40,0,2,0,7,50 51 49 11 14 9 8 15 41 28 16 29 3,34 33 32 25 52 24 27 20 7 27 38 37 26,1,1,2
15 0 52 35 14 6 47 42 52 43 4 51 31,38 21 21 29 17 40 33 1 47 46 13 12 26,35,0,80,0,13,42 43 41 52 35 47 14 15 16 6 4 5 52,38 21 21 29 17 40 33 1 47 46 13 12 26,3,1,0
0 24 51 6 15 10 19 25 4 7 29 26 42,33 49 36 32 5 12 35 9 38 11 52 1 14,20,2,0,1,10,13 15 14 7 0 1 6 46 19 4 17 30 26,9 11 10 33 36 35 12 38 51 32 45 6 52,1,1,2
22 9 48 14 10 0 18 37 37 43 10 11 42,35 16 3 13 39 28 15 29 17 26 21 49 21,1,0,25,0,7,9 10 11 8 14 37 38 16 18 52 42 43 40,16 15 17 28 29 52 13 39 26 0 3 35 21,1,3,0
40 50 20 48 23 43 41 41 23 29 25 24 27,42 4 5 48 34 35 28 52 47 45 21 31 49,38,0,4,0,6,40 43 41 42 25 50 48 23 24 22 27 29 51,48 47 49 34 35 33 52 31 5 4 3 5 28,2,2,0
33 44 48 35 29 11 15 19 15 7 37 1 43,8 13 12 6 27 45 30 25 7 50 31 8 25,23,53,0,1,13,35 37 36 1 27 15 15 41 29 43 44 19 33,8 6 7 49 45 46 12 25 51 13 39 26 52,1,1,2
34 50 37 42 52 23 47 7 36 12 36 7 40,45 17 45 30 16 9 44 34 39 20 31 2 12,15,80,0,1,19,34 50 37 42 52 23 47 7 36 12 36 7 40,30 31 29 2 52 39 42 44 31 28 17 4 30,1,1,2
12 4 46 15 21 49 20 48 12 51 32 44 43,19 13 17 1 42 28 26 29 11 25 2 0 52,51,59,0,1,6,12 12 51 14 15 28 29 4 43 44 44 32 46,1 2 0 19 17 25 20 29 52 42 26 13 0,1,1,2
49 25 28 26 18 9 22 14 46 14 0 3 2,37 44 3 31 12 48 44 29 21 11 8 7 47,19,0,80,0,31,0 2 1 6 45 28 39 0 26 32 6 14 17,37 44 3 31 12 48 44 29 21 11 8 7 47,1,2,1
7 44 52 18 14 22 40 4 1 15 19 10 34,34 25 28 23 37 26 30 24 2 38 37 20 29,44,0,9,0,11,40 42 41 43 44 14 15 25 52 7 10 18 6,28 30 29 25 23 24 22 19 20 31 26 40 2,1,2,0
25 16 39 12 39 11 15 4 36 16 41 17 50,9 46 29 20 2 10 26 3 27 9 44 17 12,33,58,0,1,7,16 15 17 39 39 41 16 4 44 5 44 45 25,26 27 38 46 17 19 20 29 3 9 10 11 12,2,1,1
16 19 39 51 3 48 46 16 22 3 23 18 44,35 43 42 11 39 43 47 27 23 40 0 12 21,33,0,19,0,23,18 19 20 46 39 51 33 16 15 18 3 16 52,42 43 44 7 30 31 39 40 41 0 27 43 6,1,2,1
12 13 15 52 4 20 43 9 5 6 42 44 11,31 22 28 43 40 41 48 4 40 46 5 21 16,14,0,9,0,20,4 5 6 43 42 44 12 52 9 11 13 0 26,22 21 20 40 48 46 45 31 40 28 30 41 16,2,1,1
43 22 50 11 13 26 3 10 21 22 30 12 48,2 41 20 15 9 25 45 19 31 41 15 14 25,42,0,68,0,15,11 10 12 9 22 3 21 43 30 17 13 26 42,14 40 40 2 41 15 41 15 31 31 45 19 20,1,1,2
