init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
52 24 46 36 47 35 38 27 21 51,41 40 10 23 39 22 9 0 13 26,28,23,0,1,1,52 46 36 47 35 38 27 21 51 45,41 10 9 39 0 13 26 23 22 24,1,1,1
39 8 30 43 50 41 34 40 32 48,49 12 19 25 51 1 4 16 5,24,0,49,0,1,39 30 43 50 41 34 40 32 33 42,49 12 19 25 51 1 4 16 5 8,2,0,1
7 39 46 32 48 23 26 20 38 13,41 31 16 11 29 24 44 18 47 28,14,0,45,0,2,39 46 48 23 26 20 13 22 47 52,31 44 18 41 28 16 29 32 7 11,1,1,1
32 26 33 1 39 17 12 14 40 45,27 36 6 2 18 48 19 38 41 0,4,0,60,0,1,32 26 33 1 39 17 14 40 43 35,27 36 6 2 18 48 19 38 41 0,0,1,2
32 6 49 21 24 25 48 20 51 29,14 3 42 5 37 1 22 12 43 17,35,0,17,0,2,32 6 21 25 48 20 51 52 12 45,5 22 7 42 43 41 14 1 3 17,0,1,2
52 45 33 15 11 17 19 22 24 27,31 26 21 28 3 23 35 50 1 36,41,0,35,0,2,52 45 15 11 19 24 27 40 2 50,21 28 23 26 0 1 3 17 31 35,0,0,3
3 11 29 7 39 5 48 34 8 52,17 1 24 12 36 35 13 49 28 40,30,0,13,0,4,3 29 7 5 48 8 52 47 49 6,17 1 12 36 35 43 13 40 28 41,2,0,1
4 28 0 46 42 36 27 12 11 17,8 14 22 15 16 48 29 38 52 33,49,16,0,1,5,4 28 0 36 27 12 17 30 38 18,22 48 52 16 14 15 42 52 43 10,1,1,1
43 22 2 0 9 40 11 44 12 8,25 16 49 48 33 37 17 13 30 52,20,0,5,0,3,43 2 0 9 11 44 12 45 10 52,25 33 13 17 30 52 49 48 47 16,2,1,0
27 40 36 8 16 23 25 46 30 14,20 37 50 35 39 10 43 2 26 0,11,10,0,1,5,27 40 36 8 23 25 14 21 10 52,37 22 20 19 0 2 1 35 50 33,1,2,0
29 36 22 39 6 14 19 12 52 11,9 10 49 46 45 27 21 17 24,2,0,49,0,6,22 14 19 12 52 11 1 21 52 27,9 10 28 29 29 17 5 45 6 48,0,2,1
