init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
11 37 30 0 14 26 43 1 35 36 52 34 39,24 23 31 17 20 16 6 42 34 7 9 3 43,18,0,80,0,1,37 30 0 26 43 1 35 36 52 34 39 13 4,24 23 31 17 20 16 6 42 34 7 9 3 43,1,1,2
23 17 23 12 24 13 32 50 45 6 4 46 38,19 10 45 44 16 16 26 47 18 48 42 2 4,42,80,0,1,2,23 23 12 24 32 50 45 6 4 46 38 51 48,18 19 17 16 2 4 16 26 13 42 44 45 47,1,2,1
51 3 26 32 1 6 44 37 35 43 6 33 31,3 36 13 2 12 15 18 21 39 42 27 4 42,19,0,31,0,3,3 32 1 6 44 37 35 43 6 33 31 0 36,3 2 4 19 18 20 39 13 27 15 42 42 51,2,2,0
38 25 13 46 2 7 43 9 8 14 3 33 39,19 33 28 5 4 44 5 10 50 32 0 41,9,0,80,0,3,25 13 46 2 7 43 9 14 3 33 45 46 44,19 33 28 5 4 5 10 50 32 0 41 37 38,2,1,1
26 18 34 22 38 2 50 42 33 19 35 23 40,34 19 9 52 27 43 1 10 24 25 13 41 45,51,0,12,0,4,18 34 22 38 33 19 35 23 40 17 24 42 51,9 10 8 52 41 43 25 19 45 13 27 1 15,3,1,0
20 3 25 45 18 39 32 6 44 41 14 50 11,43 31 9 5 51 49 52 36 49 50 23 19 18,13,21,0,1,6,20 25 45 18 39 32 6 44 41 14 11 26 19,51 49 50 48 52 43 42 36 49 23 18 31 5,1,1,2
45 20 42 29 40 1 33 31 7 51 19 32 13,35 34 46 5 2 47 28 25 31 41 45 39 0,9,57,0,1,6,45 20 42 29 40 1 33 31 51 32 3 7 34,46 47 45 35 12 10 2 28 41 15 5 31 44,1,1,2
19 44 4 30 28 42 41 8 8 16 19 13 23,48 12 15 29 18 45 18 47 7 40 39 13 1,35,67,0,1,4,19 44 30 28 42 41 8 16 19 31 7 32 18,12 1 0 48 45 47 13 15 22 39 40 51 9,2,2,0
11 10 44 51 48 18 8 6 15 5 29 33 35,19 20 23 41 29 12 28 45 14 32 1 37 50,28,0,69,0,3,11 10 44 51 48 18 8 6 15 5 50 41 9,41 28 2 14 1 29 29 19 45 32 20 23 12,1,2,1
39 3 10 15 44 32 46 22 37 28 8 2 27,23 4 30 25 2 50 16 31 43 42 42 41 7,45,0,64,0,6,3 10 15 44 32 28 8 2 41 0 19 46 9,43 42 41 39 2 16 42 4 31 31 7 33 22,1,2,1
