,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
31,-48,0,-80,-80,-42,-68,0,0,-80,-80,-80,-80,76,80,-13,-7,-32,-9,33,80,-37,-14,-37,-37,80,80,-6,-51,-36,-36,80,80,-73,-66,-66,-66
32,0,56,-68,-80,-79,-80,0,-24,-80,-80,-80,-78,73,80,-9,7,-9,-2,21,80,7,-72,-69,-69,80,80,-16,-72,7,-72,23,80,5,-72,64,-72
33,-16,19,-80,-29,-80,-80,-9,0,-80,-80,-80,-80,72,80,-31,-45,2,-35,22,80,-37,-46,-37,-37,80,80,2,-16,-8,-17,29,80,2,-26,-20,-21
34,-59,12,-80,-33,-80,-78,-18,0,-80,-80,-80,-80,56,80,-7,-46,-13,13,80,80,-77,-77,-77,-77,80,71,5,-4,-78,-4,29,80,-14,-3,-2,10
35,3,0,-80,-49,-80,-71,0,18,-80,-80,-80,-80,80,80,-7,-32,-7,-38,80,80,-57,-49,-49,-49,30,80,11,-13,16,15,46,80,11,-21,16,15
36,51,0,-62,-4,-78,-80,0,0,-80,-80,-80,-80,80,80,18,74,14,80,57,80,-17,78,31,79,21,80,11,79,29,34,66,80,59,78,29,78
37,11,26,-80,-20,-31,-43,-8,0,-80,-80,-80,-80,80,80,-4,-2,-15,-20,80,80,-22,-36,-68,-68,43,80,-14,-38,-28,-8,80,80,-23,-35,21,-8
38,63,80,-80,-70,-80,-77,-8,0,-80,-80,-80,-80,75,80,-46,20,-5,-55,67,80,-80,-80,-80,-80,45,60,-80,-80,-80,-80,75,80,-72,30,24,27
39,20,5,-80,-80,-80,-71,-15,0,-80,-80,-80,-80,23,80,-4,22,10,-6,80,80,80,80,80,40,80,80,11,80,-8,23,80,80,26,80,-8,23
40,-20,80,-60,-78,-21,-80,-61,0,-80,-80,-80,-80,69,80,-16,25,19,31,80,80,-23,-23,-23,-23,69,80,22,56,-59,-59,80,80,22,56,-80,-26
41,36,80,-80,-80,-80,-73,-6,0,-80,-80,-80,-80,80,80,17,-9,80,80,34,80,17,-14,18,18,56,80,17,41,30,28,49,80,17,17,-10,-10
42,34,0,-80,-53,-75,-80,-18,0,-80,-80,-80,-80,54,80,5,-6,-19,4,78,80,63,-18,63,-18,80,80,-5,2,66,4,44,80,63,76,63,80
43,0,7,-22,-29,-80,-79,0,0,-80,-80,-80,-80,80,80,-31,-2,-28,-4,80,80,54,59,48,-64,71,80,-64,59,48,-64,80,80,-64,59,48,-62
44,-19,0,-80,-24,-80,-38,-18,0,-80,-80,-80,-80,30,80,-11,-50,-51,8,80,80,-26,-26,19,-26,80,80,41,38,49,41,38,80,13,-10,-57,-57
45,1,19,-80,-68,-73,-80,-36,0,-80,-79,-80,-80,80,80,-14,-9,-47,-47,74,80,-58,-58,-58,-58,80,80,-17,-17,-17,-17,65,80,-25,-25,-25,-25
46,9,53,-77,-80,-22,-52,-65,0,-80,-79,-80,-80,77,80,12,15,19,22,27,80,11,15,20,22,80,80,16,15,20,22,80,80,7,58,67,67
47,-29,0,-79,-60,-30,-80,0,5,-80,-80,-80,-80,73,80,2,13,-46,-35,80,80,-14,39,-80,-18,64,80,-49,38,-80,40,80,80,-48,22,-80,-38
48,43,19,-62,-80,-51,-80,-34,0,-80,-80,-80,-80,78,80,-45,19,12,-9,80,64,4,-76,-76,-76,36,80,-68,-17,-66,-66,80,80,-80,19,-71,-71
49,0,13,-80,-80,-80,-70,0,0,-80,-80,-80,-80,37,80,49,67,-9,69,73,80,55,72,7,-70,80,80,48,-18,47,-64,49,80,51,72,-69,-70
50,48,14,-80,-80,-39,-80,-26,0,-80,-80,-80,-80,56,80,56,56,-5,-5,80,77,56,56,-25,-25,66,80,56,56,-20,-20,80,80,56,56,-30,-30
51,0,0,-39,-80,-80,-80,-50,0,-80,-80,-80,-80,70,80,-12,41,-36,-36,78,80,-9,57,2,-9,44,80,5,57,40,63,80,80,-59,57,40,42
52,-31,9,-80,-80,-70,-69,-16,0,-80,-80,-80,-80,57,80,53,72,53,59,80,80,-72,35,-72,-72,80,80,-40,72,-59,8,51,80,47,35,-66,-70
53,1,52,-28,-80,-80,-80,-28,0,-80,-80,-80,-80,68,80,80,80,80,-2,80,80,36,80,-13,80,80,80,35,80,80,80,28,80,36,80,29,79
54,4,18,-34,-21,-52,-80,-80,0,-80,-80,-80,-80,80,80,-30,-41,-34,-29,70,80,43,22,3,3,77,80,38,22,25,23,80,80,59,2,5,5
55,-4,39,-80,-78,-75,-26,-2,0,-80,-80,-80,-80,80,80,2,-53,-53,-61,80,80,-80,-80,-80,80,80,80,-79,-69,-69,-69,80,80,-68,-69,-69,-69
56,0,54,-80,-80,-80,-80,-30,0,-80,-80,-80,-80,41,80,-67,-12,-12,-54,72,80,-66,-10,-10,-71,74,80,-39,-2,-16,-78,76,80,-17,-19,-19,-78
57,-7,6,-76,-44,-80,-75,-53,0,-80,-80,-80,-80,49,80,-2,-75,-42,-12,80,80,-19,-80,46,10,78,80,-62,-67,23,10,73,80,2,-80,3,10
58,43,80,-80,-80,-50,-35,-33,0,-80,-80,-80,-80,80,80,-10,-10,-2,-2,80,80,-20,5,10,10,80,80,15,5,10,10,76,80,15,5,10,10
59,-12,80,-80,-77,-80,-80,-13,-25,-80,-80,-80,-80,40,80,16,41,5,16,65,80,-10,15,16,-62,80,80,-69,41,16,42,78,80,15,41,60,60
60,-12,0,-80,-80,-68,-77,-16,0,-80,-80,-80,-80,80,80,-66,-72,-72,-72,79,80,-79,-15,69,74,80,80,2,65,56,70,80,80,38,65,56,70
61,-10,0,-38,-80,-69,-80,-41,0,-80,-80,-80,-80,80,80,-2,76,-6,8,67,80,-80,-80,-80,-80,80,80,-80,-80,-80,-80,80,80,-80,-73,-80,-80
62,-80,0,-20,-80,-80,-80,0,0,-80,-80,-80,-80,80,80,-13,-36,-59,-8,80,80,2,-80,4,9,80,80,-4,-44,-11,9,80,55,26,8,14,12
63,-10,3,-80,-80,-80,-80,0,0,-80,-80,-80,-80,80,80,-80,-79,-80,-79,80,80,-80,-79,-80,-79,80,73,-80,-80,-80,-80,80,80,-80,-77,-80,-77
64,-27,52,-52,-80,-80,-80,-5,0,-80,-80,-80,-80,80,76,45,57,51,52,80,74,60,57,59,60,80,80,60,57,41,42,76,73,60,57,41,50
65,0,0,-80,-59,-61,-8,-80,0,-80,-80,-80,-80,80,80,80,80,77,78,80,80,80,80,77,78,33,80,80,80,67,40,26,80,80,80,67,20
66,-59,3,-76,-80,-80,-80,-9,0,-80,-80,-80,-80,74,80,-16,-14,-20,-20,16,80,-21,-21,-21,-21,80,80,-14,-14,-14,-14,-33,80,-14,-14,-14,-14
67,-66,78,-68,-75,-52,-70,-11,0,-80,-80,-80,-80,80,80,57,79,53,23,29,80,60,79,53,-11,37,80,15,19,72,26,80,80,5,-26,28,32
68,-30,15,-80,-80,-70,-80,-54,-11,-80,-80,-80,-80,40,80,-14,-14,-14,-14,75,80,-20,-20,-20,-20,80,80,-7,-21,-21,-21,80,80,4,-21,-21,-21
69,11,0,-80,-17,-80,-37,-8,0,-80,-80,-80,-80,28,80,-3,39,-3,10,79,80,13,29,-31,22,80,80,7,29,8,8,66,80,7,-19,8,10
70,42,14,-80,-37,-77,-72,0,0,-80,-80,-80,-80,80,80,73,73,80,77,40,80,73,63,72,72,72,80,73,73,72,72,79,80,73,73,72,72
71,19,0,-35,-80,-38,-10,0,0,-80,-80,-80,-80,80,80,-58,-52,80,29,70,80,80,80,80,80,80,80,-74,-74,-74,-74,80,80,40,80,80,80
72,-15,0,-74,-80,-80,-80,-5,0,-80,-80,-80,-80,24,80,8,31,37,32,80,80,12,31,35,-49,80,80,2,48,-2,-18,80,80,28,48,19,33
73,0,76,-80,-53,-79,-75,0,0,-80,-80,-80,-80,80,80,6,36,-61,-61,76,80,6,-68,-68,-68,72,80,-80,-80,7,7,40,80,-80,-80,3,10
74,-23,3,-80,-80,-80,-80,-9,0,-80,-80,-80,-80,31,80,3,-17,-19,-16,80,80,-45,-45,-45,-45,80,80,-34,-34,-19,4,80,80,-8,-8,-76,10
75,0,55,-80,-38,-80,-80,0,0,-80,-80,-80,-80,75,80,-5,80,-5,-9,72,70,-80,80,-80,-80,29,80,-80,80,-80,-80,80,80,6,80,6,-80
76,-25,0,-80,-80,-48,-80,-2,0,-80,-80,-80,-80,22,80,47,78,79,24,72,80,32,78,38,73,22,80,2,78,33,73,80,80,23,78,-4,73
77,-39,44,-72,-57,-80,-80,0,0,-80,-80,-80,-80,80,80,-11,-13,-11,-5,80,80,7,17,10,79,80,80,2,-22,-22,-6,80,80,12,17,18,79
78,-10,11,-80,-80,-80,-18,-67,0,-80,-80,-80,-80,79,80,37,38,42,32,71,80,37,38,42,32,47,80,37,38,42,32,70,80,37,38,42,32
79,0,80,-80,-57,-80,-52,-5,0,-80,-80,-80,-80,37,80,21,-70,-70,-70,79,77,23,-80,-80,-80,35,80,23,-80,-74,-74,62,80,-78,-80,-76,-76
80,0,18,-80,-65,-80,-80,-7,0,-60,-80,-80,-80,-80,80,2,-13,21,-4,78,80,2,80,45,80,80,80,-13,80,-6,-6,80,80,2,80,-18,-21
81,3,49,-38,-80,-80,-80,-21,0,-80,-80,-80,-80,80,80,4,-17,22,-31,66,80,-80,-80,-80,-80,75,80,31,-4,9,20,55,80,-58,-3,-48,-48
82,12,0,-27,-80,-80,-24,-55,0,-80,-80,-80,-80,76,80,-5,-9,-8,-2,75,80,3,3,-15,-15,80,30,4,4,9,9,80,80,4,4,9,10
