,mscore
0,41
1,47
2,41
3,22
4,27
5,68
6,31
7,72
8,21
9,22
10,56
11,72
12,60
13,80
14,44
15,80
16,48
17,54
18,16
19,53
20,51
21,33
22,2
23,48
24,41
25,39
26,47
27,49
28,45
29,59
30,38
31,27
32,21
33,52
34,21
35,32
36,37
37,27
38,35
39,24
40,75
41,16
42,41
43,67
44,33
45,71
46,44
47,24
48,80
49,80
50,37
51,61
52,50
53,73
54,26
55,38
56,2
57,80
58,80
59,50
60,74
61,48
62,26
63,20
64,72
65,18
66,41
67,76
68,23
69,72
70,36
71,80
72,48
73,30
74,54
75,54
76,60
77,29
78,44
79,80
80,18
81,44
82,33
83,37
84,55
85,57
86,42
87,75
88,78
89,76
90,16
91,28
92,32
93,21
94,20
95,47
96,46
97,70
98,59
99,44
100,17
101,29
102,12
103,35
104,74
105,43
106,50
107,15
108,49
109,65
110,80
111,47
112,51
113,56
114,63
115,57
116,57
117,64
118,50
119,78
120,67
121,33
122,44
123,47
124,65
125,40
126,61
127,64
128,60
129,48
130,48
131,55
132,29
133,39
134,44
135,60
136,37
137,38
138,57
139,36
140,49
141,47
142,37
143,70
144,70
145,30
146,42
147,18
148,24
149,28
150,41
151,45
152,30
153,46
154,52
155,77
156,50
157,46
158,41
159,72
160,68
161,33
162,56
163,46
164,75
165,57
166,72
167,57
168,46
169,27
170,30
171,75
172,25
173,37
174,41
175,5
176,21
177,21
178,41
179,46
180,58
181,42
182,41
183,36
184,18
185,51
186,40
187,41
188,46
189,53
190,28
191,80
192,20
193,55
194,70
195,42
196,39
197,69
198,44
199,64
200,30
201,43
202,46
203,21
204,60
205,54
206,30
207,33
208,21
209,40
210,26
211,53
212,51
213,40
214,49
215,76
216,35
217,64
218,21
219,19
220,37
221,59
222,30
223,36
224,47
225,40
226,48
227,44
228,29
229,42
230,21
231,80
232,41
233,41
234,47
235,21
236,52
237,35
238,32
239,43
240,63
241,68
242,45
243,10
244,55
245,42
246,67
247,72
248,68
249,46
250,77
251,23
252,47
253,25
254,56
255,34
256,80
257,50
258,63
259,74
260,57
261,38
262,40
263,72
264,45
265,31
266,65
267,67
268,77
269,16
270,49
271,58
272,76
273,43
274,43
275,80
276,48
277,73
278,52
279,46
280,54
281,41
282,47
283,17
284,51
285,23
286,33
287,45
288,55
289,51
290,79
291,47
292,5
293,27
294,80
295,30
296,32
297,45
298,74
299,44
300,43
301,36
302,64
303,29
304,40
305,29
306,72
307,2
308,44
309,25
310,22
311,37
312,46
313,56
314,26
315,34
316,41
317,41
318,13
319,7
320,24
321,61
322,9
323,44
324,54
325,41
326,13
327,45
328,23
329,21
330,49
331,72
332,20
333,58
334,42
335,48
336,26
337,80
338,80
339,46
340,28
341,28
342,48
343,71
344,48
345,39
346,16
347,46
348,68
349,70
350,71
351,51
352,41
353,28
354,51
355,21
356,80
357,51
358,45
359,64
360,3
361,43
362,25
363,32
364,32
365,73
366,46
367,55
368,38
369,26
370,52
371,61
372,54
373,52
374,61
375,47
376,42
377,49
378,50
379,47
380,39
381,40
382,73
383,29
384,15
385,60
386,20
387,67
388,26
389,58
390,76
391,49
392,42
393,75
394,40
395,27
396,34
397,45
398,34
399,63
400,42
401,47
402,30
403,21
404,80
405,76
406,66
407,33
408,9
409,80
410,80
411,71
412,57
413,24
414,24
415,68
416,46
417,47
418,29
419,44
420,41
421,21
422,44
423,65
424,19
425,3
426,80
427,45
428,31
429,37
430,43
431,46
432,52
433,17
434,19
435,50
436,43
437,28
438,43
439,39
440,48
441,68
442,75
443,23
444,56
445,47
446,68
447,33
448,71
449,33
450,39
451,72
452,78
453,43
454,19
455,48
456,43
457,60
458,65
459,68
460,23
461,57
462,48
463,46
464,66
465,22
466,47
467,43
468,53
469,51
470,39
471,28
472,49
473,17
474,40
475,32
476,31
477,30
478,26
479,36
480,31
481,53
482,76
483,54
484,36
485,14
486,57
487,48
488,39
489,54
490,32
491,68
492,39
493,34
494,50
495,22
496,36
497,22
498,30
499,48
500,46
501,70
502,35
503,65
504,28
505,26
506,42
507,22
508,72
509,43
510,39
