,mscore
0,26
1,29
2,50
3,50
4,49
5,44
6,31
7,43
8,77
9,69
10,29
11,73
12,54
13,33
14,44
15,23
16,52
17,42
18,0
19,24
20,22
21,44
22,21
23,24
24,32
25,29
26,44
27,27
28,43
29,33
30,52
31,36
32,31
33,22
34,28
35,46
36,38
37,63
38,6
39,23
40,19
41,45
42,21
43,28
44,73
45,71
46,22
47,49
48,29
49,74
50,68
51,32
52,17
53,45
54,41
55,44
56,18
57,67
58,21
59,56
60,31
61,45
62,35
63,16
64,35
65,25
66,28
67,39
68,50
69,62
70,35
71,24
72,18
73,51
74,45
75,40
76,45
77,43
78,68
79,36
80,38
81,45
82,44
83,31
84,46
85,70
86,25
87,48
88,48
89,30
90,59
91,47
92,16
93,51
94,52
95,46
96,23
97,30
98,46
99,17
100,29
101,20
102,26
103,49
104,46
105,80
106,20
107,52
108,36
109,40
110,46
111,24
112,31
113,37
114,46
115,80
116,35
117,73
118,56
119,50
120,29
121,69
122,7
123,17
124,14
125,36
126,31
127,54
128,51
129,40
130,60
131,21
132,60
133,67
134,46
135,4
136,22
137,25
138,17
139,57
140,27
141,51
142,32
143,65
144,50
145,22
146,23
147,49
148,30
149,66
150,80
151,19
152,25
153,40
154,65
155,38
156,35
157,16
158,78
159,68
160,44
161,76
162,73
163,34
164,72
165,50
166,36
167,39
168,80
169,12
170,23
171,39
172,51
173,35
174,46
175,65
176,27
177,33
178,9
179,29
180,28
181,53
182,24
183,40
184,25
185,71
186,51
187,78
188,25
189,29
190,49
191,26
192,31
193,48
194,43
195,3
196,70
197,23
198,76
199,40
200,32
201,61
202,35
203,21
204,51
205,22
206,68
207,80
208,18
209,25
210,52
211,48
212,42
213,44
214,34
215,32
216,19
217,67
218,38
219,44
220,30
221,49
222,47
223,45
224,23
225,66
226,26
227,21
228,54
229,77
230,15
231,44
232,18
233,50
234,42
235,17
236,66
237,34
238,27
239,47
240,65
241,46
242,71
243,67
244,19
245,39
246,32
247,61
248,4
249,35
250,61
251,38
252,51
253,80
254,26
255,38
256,37
257,28
258,14
259,25
260,52
261,25
262,26
263,65
264,60
265,70
266,71
267,44
268,51
269,20
270,45
271,44
272,19
273,29
274,65
275,32
276,29
277,36
278,73
279,58
280,27
281,42
282,37
283,26
284,38
285,48
286,22
287,30
288,63
289,36
290,15
291,17
292,20
293,10
294,72
295,80
296,18
297,35
298,28
299,49
300,25
301,47
302,25
303,80
304,10
305,27
306,18
307,17
308,64
309,80
310,26
311,42
312,43
313,40
314,41
315,20
316,48
317,40
318,76
319,26
320,25
321,43
322,76
323,68
324,59
325,23
326,47
327,43
328,22
329,80
330,50
331,58
332,26
333,45
334,9
335,56
336,42
337,48
338,46
339,75
340,43
341,78
342,36
343,34
344,43
345,46
346,79
347,14
348,34
349,51
350,10
351,40
352,15
353,49
354,29
355,10
356,18
357,22
358,59
359,38
360,55
361,74
362,80
363,19
364,10
365,26
366,80
367,32
368,75
369,25
370,67
371,42
372,51
373,41
374,70
375,32
376,46
377,19
378,52
379,11
380,23
381,45
382,45
383,47
384,80
385,28
386,39
