"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,1,1,12,1,1,5,1,1,1,1,1,1,1,1,1,6,2,4,2,4,0,6,4,4,3,11,4
"2",2,1,3,1,12,1,1,7,1,1,1,1,12,1,1,5,1,2,0,0,2,2,3,2,2,2,3,13,6
"3",3,1,6,1,12,1,3,7,1,1,3,1,12,1,1,7,1,2,3,0,2,0,0,3,2,2,2,16,8
"4",4,7,6,1,13,1,3,16,1,1,6,1,12,1,3,7,1,6,3,6,3,6,0,6,6,1,3,23,17
"5",5,7,9,1,13,1,3,16,6,7,6,1,13,1,3,16,1,3,0,0,3,4,5,3,5,2,4,26,22
"6",6,11,9,1,13,4,3,16,6,7,9,1,13,1,3,16,6,3,4,0,3,0,0,4,3,1,1,30,25
"7",7,11,15,9,13,9,3,16,6,11,9,1,13,4,3,16,6,5,3,6,5,3,0,6,5,2,1,44,30
"8",8,11,18,9,13,10,3,16,6,11,15,9,13,9,3,16,6,3,0,0,1,2,1,3,1,2,1,47,31
"9",9,11,20,9,13,10,4,16,6,11,18,9,13,10,3,16,6,2,1,0,1,0,0,2,1,2,2,49,32
"10",10,17,20,10,13,11,4,16,6,11,20,9,13,10,4,16,6,6,1,5,1,5,0,6,1,1,1,56,33
"11",11,22,20,10,13,16,4,16,6,17,20,10,13,11,4,16,6,5,0,0,5,2,4,5,5,1,1,61,38
"12",12,22,20,10,13,16,4,16,6,22,20,10,13,16,4,16,6,2,4,0,NA,0,0,0,0,0,0,61,38
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,0,4,1,1,1,4,1
"15",2,5,1,3,1,2,1,1,5,5,1,1,1,2,1,1,1,2,0,0,4,3,4,2,4,3,4,6,5
"16",3,5,5,3,1,2,4,1,5,5,1,3,1,2,1,1,5,3,4,0,3,0,0,4,3,2,2,10,8
"17",4,10,5,3,1,7,4,1,5,5,5,3,1,2,4,1,5,5,2,5,2,5,0,5,5,1,1,15,13
"18",5,10,5,3,3,7,9,1,5,10,5,3,1,7,4,1,5,2,0,0,5,5,6,2,5,4,2,17,18
"19",6,10,5,11,3,7,14,1,5,10,5,3,3,7,9,1,5,5,6,0,5,0,0,6,5,3,2,25,23
"20",7,11,11,11,3,7,14,5,5,10,5,11,3,7,14,1,5,4,6,1,4,1,0,6,4,2,3,32,27
"21",8,12,11,11,3,7,14,8,5,11,11,11,3,7,14,5,5,1,0,0,3,6,1,1,3,1,3,33,30
"22",9,22,11,11,9,8,14,8,5,12,11,11,3,7,14,8,5,6,1,0,1,0,0,6,1,1,1,49,31
"23",10,27,11,11,9,8,14,9,5,22,11,11,9,8,14,8,5,5,1,1,1,1,0,5,1,1,3,54,32
"24",11,28,11,11,9,12,14,9,5,27,11,11,9,8,14,9,5,1,0,0,4,1,4,1,4,1,1,55,36
"25",12,28,11,11,9,12,14,9,5,28,11,11,9,12,14,9,5,1,4,0,NA,0,0,0,0,0,0,55,36
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,0,4,4,3,1,4,4
"28",2,1,1,5,6,5,1,1,5,1,1,5,1,5,1,1,1,5,0,0,6,4,2,5,4,4,4,9,8
"29",3,1,13,5,6,7,1,1,5,1,1,5,6,5,1,1,5,6,2,0,2,0,0,6,2,2,1,21,10
"30",4,7,13,5,8,7,1,1,8,1,13,5,6,7,1,1,5,3,6,3,3,3,0,6,3,1,4,29,13
"31",5,7,16,5,8,7,7,4,8,7,13,5,8,7,1,1,8,3,0,0,6,6,2,3,6,2,2,32,22
"32",6,13,16,5,11,7,7,4,10,7,16,5,8,7,7,4,8,6,2,0,2,0,0,6,2,1,4,41,24
"33",7,15,16,11,11,7,7,4,13,13,16,5,11,7,7,4,10,3,6,5,3,5,0,6,3,3,4,49,27
"34",8,15,16,16,11,7,7,5,13,15,16,11,11,7,7,4,13,5,0,0,5,1,2,5,1,3,3,54,28
"35",9,20,16,16,11,7,7,5,15,15,16,16,11,7,7,5,13,5,2,0,2,0,0,5,2,1,4,59,30
"36",10,24,16,16,11,9,7,5,15,20,16,16,11,7,7,5,15,4,2,5,2,5,0,4,2,1,1,63,32
"37",11,29,16,16,11,12,7,5,15,24,16,16,11,9,7,5,15,5,0,0,3,6,5,5,3,1,1,68,35
"38",12,29,16,16,11,12,7,5,15,29,16,16,11,12,7,5,15,6,5,0,NA,0,0,0,0,0,0,68,35
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,1,1,7,3,1,1,9,1,1,1,1,1,1,1,1,1,6,6,2,6,2,0,6,6,3,3,8,8
"41",2,1,3,7,3,1,1,13,1,1,1,7,3,1,1,9,1,2,0,0,2,3,4,2,4,2,3,10,12
"42",3,1,3,10,3,1,1,15,1,1,3,7,3,1,1,13,1,2,3,0,2,0,0,3,2,3,3,13,14
"43",4,1,3,13,3,1,1,19,1,1,3,10,3,1,1,15,1,4,1,3,4,1,0,3,4,3,3,16,18
"44",5,1,3,13,4,1,1,20,1,1,3,13,3,1,1,19,1,1,0,0,1,1,2,1,1,4,3,17,19
"45",6,1,3,13,6,1,2,20,1,1,3,13,4,1,1,20,1,1,2,0,1,0,0,2,1,4,2,19,20
"46",7,3,9,13,6,1,2,20,6,1,3,13,6,1,2,20,1,5,6,1,5,1,0,6,5,2,4,27,25
"47",8,3,9,14,6,1,2,23,6,3,9,13,6,1,2,20,6,1,0,0,3,2,3,1,3,3,3,28,28
"48",9,3,9,17,6,1,4,23,6,3,9,14,6,1,2,23,6,2,3,0,2,0,0,3,2,3,2,31,30
"49",10,3,10,23,6,1,4,23,8,3,9,17,6,1,4,23,6,2,3,6,2,3,0,6,2,3,4,38,32
"50",11,3,10,26,6,6,4,23,8,3,10,23,6,1,4,23,8,3,0,0,3,4,5,3,5,3,1,41,37
"51",12,3,10,26,6,6,4,23,8,3,10,26,6,6,4,23,8,3,4,0,NA,0,0,0,0,0,0,41,37
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,1,1,2,7,1,1,1,6,1,1,1,1,1,1,1,1,5,3,6,5,3,0,6,5,4,4,7,5
"54",2,4,1,2,7,3,1,1,6,1,1,2,7,1,1,1,6,3,0,0,4,2,6,3,2,1,1,10,7
"55",3,10,7,2,10,3,1,5,6,4,1,2,7,3,1,1,6,4,6,0,4,0,0,6,4,1,3,25,11
"56",4,16,7,7,10,3,1,5,8,10,7,2,10,3,1,5,6,6,2,1,2,1,0,6,2,1,4,36,13
"57",5,16,7,7,11,3,1,5,10,16,7,7,10,3,1,5,8,1,0,0,2,5,4,1,2,4,4,37,15
"58",6,21,7,7,11,7,1,5,10,16,7,7,11,3,1,5,10,5,4,0,4,0,0,5,4,1,1,42,19
"59",7,21,10,7,11,7,1,5,19,21,7,7,11,7,1,5,10,4,6,3,4,6,0,3,6,2,4,45,28
"60",8,21,14,7,11,7,1,5,22,21,10,7,11,7,1,5,19,4,0,0,6,3,2,4,3,2,4,49,31
"61",9,21,16,7,17,9,1,5,22,21,14,7,11,7,1,5,22,6,2,0,2,0,0,6,2,4,1,57,33
"62",10,22,16,7,17,11,1,5,22,21,16,7,17,9,1,5,22,1,2,1,2,1,0,1,2,1,1,58,35
"63",11,23,16,7,17,11,1,7,22,22,16,7,17,11,1,5,22,1,0,0,4,2,6,1,2,1,3,59,37
"64",12,23,16,7,17,11,1,7,22,23,16,7,17,11,1,7,22,4,6,0,NA,0,0,0,0,0,0,59,37
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,4,2,2,2,2,0,4,2,4,3,4,2
"67",2,1,3,1,5,1,1,8,1,1,1,1,5,1,1,3,1,2,0,0,6,5,5,2,5,2,3,6,7
"68",3,1,3,3,11,6,1,8,1,1,3,1,5,1,1,8,1,6,5,0,5,0,0,6,5,4,1,14,12
"69",4,1,3,7,17,8,1,8,1,1,3,3,11,6,1,8,1,6,1,2,1,2,0,6,2,4,1,24,14
"70",5,1,3,7,18,8,1,8,6,1,3,7,17,8,1,8,1,1,0,0,5,2,1,1,5,4,4,25,19
"71",6,1,3,7,20,8,2,8,6,1,3,7,18,8,1,8,6,2,1,0,1,0,0,2,1,4,2,27,20
"72",7,4,3,7,20,12,2,8,6,1,3,7,20,8,2,8,6,2,3,4,2,4,0,3,4,1,1,30,24
"73",8,6,3,7,20,12,2,8,11,4,3,7,20,12,2,8,6,2,0,0,5,2,6,2,5,1,4,32,29
"74",9,12,3,9,20,12,4,8,11,6,3,7,20,12,2,8,11,2,6,0,2,0,0,6,2,1,2,40,31
