"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,2,7,1,5,1,1,1,1,6,4,3,4,3,0,6,4,2,2,7,4
"2",2,2,10,1,9,2,7,1,5,3,0,0,4,4,5,3,4,2,2,10,8
"3",3,2,15,5,9,2,10,1,9,4,5,0,4,0,0,5,4,2,1,15,12
"4",4,6,21,11,14,2,15,5,9,2,6,6,2,6,0,6,6,2,1,25,23
"5",5,8,21,11,25,6,21,11,14,2,0,0,1,6,5,2,6,1,2,27,34
"6",6,1,26,11,29,8,21,11,25,1,5,0,1,0,0,5,1,2,2,25,38
"7",7,11,34,7,3,1,26,11,29,3,6,6,3,6,0,6,6,1,1,43,8
"8",8,11,37,8,3,11,34,7,3,3,0,0,1,3,1,3,1,2,1,46,9
"9",9,14,37,9,3,11,37,8,3,3,1,0,1,0,0,3,1,1,1,49,10
"10",10,26,37,16,3,14,37,9,3,6,6,1,6,1,0,6,6,1,1,61,17
"11",11,26,38,21,3,26,37,16,3,1,0,0,5,1,3,1,5,2,1,62,22
"12",12,27,38,21,3,26,38,21,3,1,3,0,3,0,0,1,0,1,0,63,22
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,5,1,5,1,1,1,1,1,4,1,4,1,4,0,4,4,1,1,4,4
"15",2,6,1,12,1,5,1,5,1,1,0,0,2,3,6,1,6,1,1,5,11
"16",3,6,4,14,1,6,1,12,1,2,3,0,2,0,0,3,2,2,1,8,13
"17",4,12,7,19,1,6,4,14,1,5,6,5,5,5,0,6,5,1,1,17,18
"18",5,17,7,19,10,12,7,19,1,5,0,0,6,2,3,5,6,1,2,22,27
"19",6,20,7,19,12,17,7,19,10,2,3,0,2,0,0,3,2,1,2,25,29
"20",7,24,7,19,16,20,7,19,12,5,4,4,5,4,0,4,4,1,2,29,33
"21",8,29,7,19,20,24,7,19,16,5,0,0,3,3,4,5,4,1,2,34,37
"22",9,29,10,22,20,29,7,19,20,3,3,0,3,0,0,3,3,2,1,37,40
"23",10,39,15,25,20,29,10,22,20,2,6,3,2,3,0,6,3,1,1,90,43
"24",11,39,17,29,20,39,15,25,20,2,0,0,4,1,2,2,4,2,1,92,47
"25",12,39,18,29,20,39,17,29,20,1,2,0,2,0,0,1,0,2,0,93,47
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,6,1,1,5,1,1,1,1,4,5,4,4,4,0,5,4,1,2,5,4
"28",2,6,5,1,10,6,1,1,5,4,0,0,5,2,5,4,5,2,2,9,9
"29",3,6,10,3,10,6,5,1,10,2,5,0,2,0,0,5,2,2,1,14,11
"30",4,6,13,3,13,6,10,3,10,3,1,3,1,3,0,3,3,2,2,17,14
"31",5,7,13,3,22,6,13,3,13,1,0,0,6,1,6,1,6,1,2,18,23
"32",6,17,13,4,22,7,13,3,22,1,6,0,1,0,0,6,1,1,1,28,24
"33",7,22,15,5,28,17,13,4,22,2,5,6,2,6,0,5,6,1,2,35,31
"34",8,22,17,5,37,22,15,5,28,2,0,0,6,3,1,2,6,2,2,37,40
"35",9,22,20,5,38,22,17,5,37,3,1,0,1,0,0,3,1,2,2,40,41
"36",10,22,21,21,39,22,20,5,38,6,1,5,6,5,0,1,6,2,1,41,96
"37",11,27,21,22,39,22,21,21,39,5,0,0,1,4,6,5,1,1,1,46,97
"38",12,31,21,22,39,27,21,22,39,4,6,0,6,0,0,4,0,1,0,50,97
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,7,3,7,6,1,1,1,1,6,5,6,5,6,0,6,6,1,1,8,11
"41",2,12,3,11,6,7,3,7,6,5,0,0,1,5,4,5,4,1,1,13,15
"42",3,17,3,12,6,12,3,11,6,1,5,0,1,0,0,5,1,1,1,18,16
"43",4,20,3,20,6,17,3,12,6,3,6,2,6,2,0,3,6,1,1,21,24
"44",5,22,1,21,7,20,3,20,6,2,0,0,3,1,1,2,1,1,1,21,26
"45",6,30,1,21,2,22,1,21,7,3,1,0,1,0,0,3,1,1,2,29,21
"46",7,34,1,24,2,30,1,21,2,4,1,3,1,3,0,4,3,1,1,33,24
"47",8,35,1,24,7,34,1,24,2,1,0,0,3,4,5,1,5,1,2,34,29
"48",9,39,5,24,10,35,1,24,7,3,4,0,3,0,0,4,3,1,2,80,32
"49",10,39,9,3,10,39,5,24,10,2,1,6,2,6,0,1,2,2,1,84,11
"50",11,39,20,3,13,39,9,3,10,6,0,0,3,1,6,6,3,2,2,95,14
"51",12,41,26,3,13,39,20,3,13,1,6,0,1,0,0,6,0,2,0,65,14
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,1,6,3,1,1,1,1,1,5,2,2,2,2,0,5,2,2,1,5,2
"54",2,3,6,6,1,1,6,3,1,2,0,0,6,3,6,2,3,1,1,7,5
"55",3,3,15,12,2,3,6,6,1,6,6,0,6,0,0,6,6,2,1,16,12
"56",4,6,21,14,2,3,15,12,2,2,2,6,2,2,0,6,2,2,1,25,14
"57",5,8,21,19,2,6,21,14,2,2,0,0,3,5,6,2,5,1,1,27,19
"58",6,8,32,22,2,8,21,19,2,3,6,0,3,0,0,6,3,2,1,38,22
"59",7,8,36,22,5,8,32,22,2,4,1,3,1,3,0,4,3,2,2,42,25
"60",8,8,37,33,5,8,36,22,5,1,0,0,1,6,6,1,6,2,1,43,36
"61",9,20,37,33,6,8,37,33,5,1,6,0,1,0,0,6,1,1,2,55,37
"62",10,21,39,34,6,20,37,33,6,5,1,2,5,1,0,2,1,2,1,96,38
"63",11,26,39,37,6,21,39,34,6,5,0,0,3,6,4,5,3,1,1,101,41
"64",12,30,39,37,6,26,39,37,6,6,4,0,6,0,0,4,0,1,0,105,41
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,5,7,12,1,1,1,1,1,4,6,6,4,6,0,6,6,2,1,10,11
"67",2,5,11,12,2,5,7,12,1,4,0,0,5,1,1,4,1,2,2,14,12
"68",3,10,11,12,3,5,11,12,2,5,1,0,1,0,0,5,1,1,2,19,13
"69",4,10,15,12,6,10,11,12,3,3,1,4,3,1,0,4,3,2,2,23,16
"70",5,11,15,20,6,10,15,12,6,1,0,0,5,6,4,1,6,1,1,24,24
"71",6,11,20,24,6,11,15,20,6,5,4,0,4,0,0,5,4,2,1,29,28
"72",7,22,20,24,8,11,20,24,6,2,6,2,2,2,0,6,2,1,2,40,30
"73",8,22,22,29,8,22,20,24,8,2,0,0,4,5,5,2,5,2,1,42,35
"74",9,22,27,29,12,22,22,29,8,4,5,0,4,0,0,5,4,2,2,47,39
"75",10,27,27,32,12,22,27,29,12,5,3,4,3,4,0,5,3,1,1,52,42
"76",11,31,27,37,12,27,27,32,12,4,0,0,5,5,3,4,5,1,1,56,47
"77",12,31,32,37,12,31,27,37,12,5,3,0,3,0,0,5,0,2,0,61,47
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",1,1,8,1,4,1,1,1,1,3,1,6,3,1,0,6,3,2,2,7,3
"80",2,2,8,1,9,1,8,1,4,1,0,0,2,5,4,1,5,1,2,8,8
"81",3,2,12,1,11,2,8,1,9,2,4,0,2,0,0,4,2,2,2,12,10
"82",4,2,15,1,15,2,12,1,11,5,4,3,5,4,0,3,4,2,2,15,14
"83",5,1,20,1,32,2,15,1,15,5,0,0,5,2,2,5,5,2,2,19,31
"84",6,3,20,3,32,1,20,1,32,2,2,0,2,0,0,2,2,1,1,21,33
"85",7,1,20,6,33,3,20,3,32,4,6,1,4,1,0,6,1,1,2,19,37
"86",8,1,1,7,35,1,20,6,33,4,0,0,1,5,6,4,6,2,1,0,40
"87",9,2,1,12,35,1,1,7,35,1,5,0,5,0,0,1,5,1,1,1,45
"88",10,4,1,17,35,2,1,12,35,2,5,1,5,1,0,2,5,1,1,3,50
"89",11,5,1,19,35,4,1,17,35,1,0,0,2,6,6,1,2,1,1,4,52
"90",12,11,6,19,35,5,1,19,35,6,6,0,6,0,0,6,0,1,0,15,52
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",1,1,10,11,1,1,1,1,1,5,6,6,5,6,0,6,6,2,1,9,10
"93",2,1,15,16,1,1,10,11,1,5,0,0,5,6,5,5,5,2,1,14,15
"94",3,2,21,21,1,1,15,16,1,6,5,0,5,0,0,6,5,2,1,21,20
"95",4,3,26,6,7,2,21,21,1,1,6,3,6,3,0,1,6,1,2,27,11
"96",5,3,1,6,15,3,26,6,7,3,0,0,4,1,3,3,4,2,2,2,19
"97",6,3,2,9,15,3,1,6,15,1,3,0,3,0,0,1,3,2,1,3,22
"98",7,5,2,15,17,3,2,9,15,2,5,6,5,6,0,2,6,1,1,5,30
"99",8,10,2,16,17,5,2,15,17,5,0,0,6,1,3,5,1,1,1,10,31
"100",9,10,1,16,25,10,2,16,17,6,3,0,6,0,0,3,6,2,2,9,39
"101",10,10,12,16,6,10,1,16,25,5,6,2,5,2,0,6,5,2,2,20,20
"102",11,12,12,16,11,10,12,16,6,2,0,0,5,6,6,2,5,1,2,22,25
"103",12,18,15,16,11,12,12,16,11,6,6,0,6,0,0,6,0,1,0,31,25
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",1,1,5,1,5,1,1,1,1,4,1,4,1,4,0,4,4,2,2,4,4
"106",2,2,5,1,10,1,5,1,5,1,0,0,5,3,5,1,5,1,2,5,9
"107",3,2,10,4,10,2,5,1,10,3,5,0,3,0,0,5,3,2,1,10,12
"108",4,2,14,4,14,2,10,4,10,4,4,4,4,4,0,4,4,2,2,14,16
"109",5,2,18,4,17,2,14,4,14,4,0,0,2,3,1,4,3,2,2,18,19
"110",6,2,19,4,19,2,18,4,17,2,1,0,2,0,0,1,2,2,2,19,21
"111",7,1,21,8,20,2,19,4,19,2,1,2,1,2,0,2,1,2,2,20,26
"112",8,1,23,14,23,1,21,8,20,2,0,0,3,6,4,2,6,2,1,22,35
"113",9,5,30,17,1,1,23,14,23,3,4,0,3,0,0,4,3,1,1,33,16
"114",10,7,36,20,1,5,30,17,1,1,3,6,1,3,0,6,3,2,1,41,19
