"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"49",11,15,1,1,14,16,13,14,1,1,14,12,13,1,0,0,6,4,4,1,4,1,2,14,40
"50",12,26,1,1,18,16,13,15,1,1,14,16,13,6,4,0,4,0,0,6,4,1,1,25,44
"51",13,36,1,1,18,16,14,26,1,1,18,16,13,6,2,1,2,1,0,6,1,1,3,35,45
"52",14,38,1,1,18,27,14,36,1,1,18,16,14,2,0,0,4,6,4,2,6,1,2,37,56
"53",15,38,5,1,18,31,14,38,1,1,18,27,14,4,4,0,4,0,0,4,4,2,2,41,60
"54",16,38,17,1,20,1,14,38,5,1,18,31,14,2,5,6,2,5,0,6,2,2,1,53,32
"55",17,38,22,1,20,1,19,38,17,1,20,1,14,5,0,0,4,5,5,5,5,2,3,58,37
"56",18,38,27,1,20,1,23,38,22,1,20,1,19,4,5,0,4,0,0,5,4,2,3,63,41
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,5,1,1,3,1,1,1,1,1,1,1,1,1,2,4,1,2,0,4,2,1,1,4,2
"59",2,6,1,1,3,3,7,5,1,1,3,1,1,1,0,0,2,6,6,1,6,1,3,5,10
"60",3,13,1,1,3,3,9,6,1,1,3,3,7,2,6,0,2,0,0,6,2,1,3,12,12
"61",4,17,1,1,3,3,11,13,1,1,3,3,9,1,4,2,1,2,0,4,2,1,3,16,14
"62",5,18,1,1,3,3,15,17,1,1,3,3,11,1,0,0,4,6,5,1,4,1,3,17,18
"63",6,29,1,1,8,3,15,18,1,1,3,3,15,6,5,0,5,0,0,6,5,1,1,28,23
"64",7,35,1,1,8,3,4,29,1,1,8,3,15,3,4,1,3,1,0,4,3,1,3,34,12
"65",8,36,1,1,8,3,9,35,1,1,8,3,4,1,0,0,1,5,4,1,5,1,3,35,17
"66",9,36,5,1,9,3,9,36,1,1,8,3,9,1,4,0,1,0,0,4,1,2,1,39,18
"67",10,39,8,1,10,3,9,36,5,1,9,3,9,1,3,3,1,3,0,3,1,1,1,83,19
"68",11,39,11,1,10,5,9,39,8,1,10,3,9,3,0,0,2,5,1,3,2,2,2,86,21
"69",12,39,16,1,11,5,9,39,11,1,10,5,9,5,1,0,1,0,0,5,1,2,1,91,22
"70",13,39,24,1,15,1,9,39,16,1,11,5,9,4,6,2,4,2,0,6,4,2,1,99,22
"71",14,39,26,1,15,3,9,39,24,1,15,1,9,2,0,0,2,2,1,2,2,2,2,101,24
"72",15,39,32,1,17,3,1,39,26,1,15,3,9,2,1,0,2,0,0,1,2,2,1,107,18
"73",16,39,37,1,21,3,1,39,32,1,17,3,1,5,4,4,4,4,0,5,4,2,1,112,22
"74",17,39,37,1,28,3,1,39,37,1,21,3,1,4,0,0,2,5,1,4,2,3,1,112,29
"75",18,39,37,6,29,3,1,39,37,1,28,3,1,5,1,0,1,0,0,5,1,3,1,117,30
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,13,1,1,1,4,1,1,1,1,1,1,1,6,3,3,3,3,0,6,3,1,2,12,3
"78",2,16,1,1,2,4,1,13,1,1,1,4,1,3,0,0,1,2,3,3,1,1,1,15,4
