"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,10,1,1,1,4,1,1,1,1,1,1,1,6,3,1,3,1,0,6,3,1,2,9,3
"2",2,10,2,1,1,4,6,10,1,1,1,4,1,1,0,0,5,1,3,1,5,2,3,10,8
"3",3,13,2,1,1,4,7,10,2,1,1,4,6,1,3,0,1,0,0,3,1,1,3,13,9
"4",4,13,12,1,1,11,13,13,2,1,1,4,7,6,1,6,1,6,0,6,6,2,2,23,22
"5",5,13,13,1,6,11,13,13,12,1,1,11,13,1,0,0,2,5,1,1,5,2,1,24,27
"6",6,13,15,1,6,12,13,13,13,1,6,11,13,2,1,0,1,0,0,2,1,2,2,26,28
"7",7,13,20,1,6,17,13,13,15,1,6,12,13,1,5,5,1,5,0,5,5,2,2,31,33
"8",8,14,20,1,6,22,13,13,20,1,6,17,13,1,0,0,5,4,3,1,5,1,2,32,38
"9",9,18,20,1,9,22,13,14,20,1,6,22,13,4,3,0,3,0,0,4,3,1,1,36,41
"10",10,18,20,2,15,27,13,18,20,1,9,22,13,6,1,1,6,1,0,1,6,3,1,37,52
"11",11,19,20,2,20,27,13,18,20,2,15,27,13,1,0,0,5,4,2,1,5,1,1,38,57
"12",12,19,22,2,20,27,13,19,20,2,20,27,13,4,2,0,4,0,0,2,0,2,0,40,57
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,10,1,1,1,2,1,1,1,1,1,1,1,6,1,1,1,0,6,1,2,3,9,1
"15",2,1,10,2,1,5,2,1,10,1,1,1,2,1,0,0,3,4,2,1,4,3,2,10,5
"16",3,1,10,5,1,5,4,1,10,2,1,5,2,3,2,0,2,0,0,3,2,3,3,13,7
"17",4,1,10,15,2,5,4,1,10,5,1,5,4,1,6,3,1,3,0,6,1,3,1,23,8
"18",5,4,10,15,2,7,4,1,10,15,2,5,4,3,0,0,2,4,1,3,2,1,2,26,10
"19",6,8,10,15,3,7,4,4,10,15,2,7,4,4,1,0,1,0,0,4,1,1,1,30,11
"20",7,14,12,15,3,9,4,8,10,15,3,7,4,6,2,6,2,6,0,6,2,1,2,38,13
"21",8,14,18,18,3,10,4,14,12,15,3,9,4,6,0,0,3,1,5,6,1,2,2,47,14
"22",9,17,18,18,8,10,4,14,18,18,3,10,4,3,5,0,5,0,0,3,5,1,1,50,19
"23",10,21,18,24,15,10,4,17,18,18,8,10,4,6,6,5,6,5,0,6,6,3,1,60,26
"24",11,21,23,24,15,14,4,21,18,24,15,10,4,5,0,0,3,5,4,5,4,2,2,65,30
"25",12,21,30,24,15,14,1,21,23,24,15,14,4,3,5,0,5,0,0,3,0,2,0,72,27
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,5,1,1,1,4,1,1,1,1,1,1,1,4,3,1,3,1,0,4,3,1,2,4,3
"28",2,5,2,1,5,4,1,5,1,1,1,4,1,1,0,0,4,5,3,1,4,2,1,5,7
"29",3,5,7,1,5,7,1,5,2,1,5,4,1,5,3,0,3,0,0,5,3,2,2,10,10
