"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,6,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,4,4,5,4,4,0,5,4,1,2,5,4
"2",2,6,5,1,1,1,5,6,1,6,1,1,1,1,5,1,1,4,0,0,5,2,3,4,5,2,3,9,9
"3",3,9,5,1,1,3,5,6,1,6,5,1,1,1,5,6,1,2,3,0,2,0,0,3,2,1,1,12,11
"4",4,13,5,7,1,8,5,6,1,9,5,1,1,3,5,6,1,6,2,5,2,5,0,6,5,3,1,22,16
"5",5,15,5,7,1,12,5,6,1,13,5,7,1,8,5,6,1,2,0,0,4,4,1,2,4,1,1,24,20
"6",6,19,5,7,1,12,5,7,1,15,5,7,1,12,5,6,1,4,1,0,1,0,0,4,1,1,3,28,21
"7",7,19,11,7,3,17,5,7,1,19,5,7,1,12,5,7,1,5,6,5,5,5,0,6,5,2,1,36,26
"8",8,19,11,7,8,17,5,16,1,19,11,7,3,17,5,7,1,5,0,0,6,1,6,5,6,4,3,41,35
"9",9,25,11,8,8,17,5,17,1,19,11,7,8,17,5,16,1,1,6,0,1,0,0,6,1,1,3,48,36
"10",10,37,11,8,8,17,5,22,1,25,11,8,8,17,5,17,1,3,6,5,3,5,0,6,5,1,3,60,41
"11",11,37,14,8,8,23,5,22,9,37,11,8,8,17,5,22,1,3,0,0,6,6,2,3,6,2,4,63,55
"12",12,37,14,8,8,23,5,22,9,37,14,8,8,23,5,22,9,6,2,0,NA,0,0,0,0,0,0,63,55
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,1,1,6,1,1,1,4,1,1,1,1,1,1,1,1,5,3,4,3,4,0,5,3,4,4,5,3
"15",2,1,1,5,6,1,6,1,4,1,1,1,6,1,1,1,4,4,0,0,4,1,5,4,5,3,2,9,8
"16",3,1,1,5,10,1,6,2,4,1,1,5,6,1,6,1,4,4,1,0,1,0,0,4,1,4,3,13,9
"17",4,7,5,5,10,1,6,3,4,1,1,5,10,1,6,2,4,1,1,6,1,1,0,6,1,1,3,23,10
"18",5,7,5,6,10,1,6,3,9,7,5,5,10,1,6,3,4,1,0,0,2,4,5,1,5,3,4,24,15
"19",6,7,9,6,10,1,6,3,11,7,5,6,10,1,6,3,9,2,4,0,2,0,0,4,2,2,4,28,17
"20",7,12,9,6,10,1,6,3,13,7,9,6,10,1,6,3,11,5,1,2,1,2,0,5,2,1,4,33,19
"21",8,12,9,7,10,1,6,7,13,12,9,6,10,1,6,3,13,1,0,0,6,4,2,1,4,3,3,34,23
"22",9,15,9,13,10,1,6,9,13,12,9,7,10,1,6,7,13,6,2,0,2,0,0,6,2,3,3,43,25
"23",10,15,14,13,10,1,6,9,16,15,9,13,10,1,6,9,13,3,5,2,3,2,0,5,3,2,4,48,28
"24",11,17,14,13,10,1,6,9,21,15,14,13,10,1,6,9,16,2,0,0,5,3,5,2,5,1,4,50,33
"25",12,17,14,13,10,1,6,9,21,17,14,13,10,1,6,9,21,3,5,0,NA,0,0,0,0,0,0,50,33
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,6,1,1,1,7,3,1,1,1,1,1,1,1,1,1,1,4,5,6,4,6,0,5,6,1,1,5,8
"28",2,6,1,1,5,8,9,1,1,6,1,1,1,7,3,1,1,4,0,0,6,6,2,4,6,4,2,9,15
"29",3,6,5,1,11,10,9,1,1,6,1,1,5,8,9,1,1,6,2,0,2,0,0,6,2,4,1,19,17
"30",4,6,5,7,16,10,10,7,1,6,5,1,11,10,9,1,1,6,6,1,6,1,0,6,6,3,3,30,24
"31",5,6,5,7,17,15,16,7,1,6,5,7,16,10,10,7,1,1,0,0,5,5,6,1,6,4,2,31,35
"32",6,6,5,12,17,15,21,7,1,6,5,7,17,15,16,7,1,5,5,0,5,0,0,5,5,3,2,36,40
"33",7,6,5,12,22,15,21,11,1,6,5,12,17,15,21,7,1,4,1,5,4,1,0,5,4,4,3,41,44
"34",8,6,5,13,22,15,21,11,12,6,5,12,22,15,21,11,1,1,0,0,6,4,6,1,6,3,4,42,55
"35",9,6,5,20,22,15,21,11,16,6,5,13,22,15,21,11,12,4,6,0,4,0,0,6,4,3,4,49,59
"36",10,6,5,20,24,20,21,11,22,6,5,20,22,15,21,11,16,1,2,6,1,6,0,2,6,4,4,51,70
"37",11,6,5,20,25,20,21,15,22,6,5,20,24,20,21,11,22,1,0,0,4,3,2,1,4,4,3,52,74
"38",12,6,5,20,25,20,21,15,22,6,5,20,25,20,21,15,22,3,2,0,NA,0,0,0,0,0,0,52,74
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,1,1,1,5,3,7,1,7,1,1,1,1,1,1,1,1,2,4,6,2,6,0,4,6,4,2,4,14
"41",2,1,3,1,5,9,7,2,7,1,1,1,5,3,7,1,7,2,0,0,5,6,3,2,6,2,1,6,21
"42",3,1,3,6,5,12,7,2,7,1,3,1,5,9,7,2,7,5,3,0,3,0,0,5,3,3,1,11,24
"43",4,1,5,6,5,12,11,2,7,1,3,6,5,12,7,2,7,2,1,4,1,4,0,2,4,2,2,13,28
"44",5,1,6,6,5,12,11,2,8,1,5,6,5,12,11,2,7,1,0,0,3,1,1,1,1,2,4,14,29
"45",6,1,6,9,5,13,11,2,8,1,6,6,5,12,11,2,8,3,1,0,1,0,0,3,1,3,1,17,30
"46",7,1,6,12,5,18,11,2,8,1,6,9,5,13,11,2,8,3,5,1,5,1,0,3,5,3,1,20,35
"47",8,1,6,12,6,18,11,8,10,1,6,12,5,18,11,2,8,1,0,0,2,3,6,1,6,4,3,21,43
"48",9,4,6,12,6,18,13,8,10,1,6,12,6,18,11,8,10,2,3,0,2,0,0,3,2,1,2,24,45
"49",10,4,9,12,6,18,13,8,15,4,6,12,6,18,13,8,10,5,3,1,5,1,0,3,5,2,4,27,50
"50",11,5,9,12,6,22,13,8,15,4,9,12,6,18,13,8,15,1,0,0,4,1,6,1,4,1,1,28,54
"51",12,5,9,12,6,22,13,8,15,5,9,12,6,22,13,8,15,1,6,0,NA,0,0,0,0,0,0,28,54
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,5,3,5,3,5,0,5,5,1,4,5,5
"54",2,9,1,1,1,1,4,1,6,6,1,1,1,1,1,1,6,3,0,0,1,3,3,3,3,1,2,8,8
"55",3,9,4,1,1,1,5,1,6,9,1,1,1,1,4,1,6,1,3,0,1,0,0,3,1,2,2,11,9
