"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"58",1,6,1,1,5,1,1,1,1,4,5,2,4,2,0,5,4,1,2,5,4
"59",2,6,3,2,5,6,1,1,5,2,0,0,1,6,2,2,1,2,1,7,5
"60",3,6,11,4,5,6,3,2,5,6,2,0,2,0,0,6,2,2,1,15,7
"61",4,6,18,7,17,6,11,4,5,6,6,2,6,2,0,6,6,2,2,22,22
"62",5,6,20,7,27,6,18,7,17,2,0,0,1,6,2,2,6,2,2,24,32
"63",6,6,21,9,27,6,20,7,27,1,2,0,2,0,0,1,2,2,1,25,34
"64",7,6,24,10,27,6,21,9,27,3,1,3,1,3,0,3,1,2,1,28,35
"65",8,6,27,10,31,6,24,10,27,3,0,0,4,2,4,3,4,2,2,31,39
"66",9,6,31,10,33,6,27,10,31,2,4,0,2,0,0,4,2,2,2,35,41
"67",10,1,1,10,11,6,31,10,33,3,5,4,3,4,0,5,4,1,2,0,19
"68",11,4,1,10,13,1,1,10,11,3,0,0,2,4,5,3,2,1,2,3,21
"69",12,9,1,14,13,4,1,10,13,4,5,0,4,0,0,5,4,1,1,8,25
"70",13,13,1,16,13,9,1,14,13,1,4,2,1,2,0,4,2,1,1,12,27
"71",14,14,1,17,19,13,1,16,13,1,0,0,3,3,6,1,6,1,2,13,34
"72",15,17,1,20,19,14,1,17,19,3,3,0,3,0,0,3,3,1,1,16,37
"73",16,18,1,22,19,17,1,20,19,5,1,2,5,2,0,1,2,1,1,17,39
"74",17,23,1,27,19,18,1,22,19,5,0,0,5,3,2,5,5,1,1,22,44
"75",18,23,4,27,19,23,1,27,19,3,2,0,2,0,0,3,0,2,0,25,44
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,5,1,1,5,1,1,1,1,4,1,4,1,4,0,4,4,1,2,4,4
"78",2,5,2,1,10,5,1,1,5,1,0,0,5,2,1,1,5,2,2,5,9
"79",3,5,3,1,12,5,2,1,10,2,1,0,2,0,0,1,2,2,2,6,11
"80",4,5,8,3,12,5,3,1,12,1,2,5,1,2,0,5,2,2,1,11,13
"81",5,5,9,3,15,5,8,3,12,1,0,0,4,3,6,1,3,2,2,12,16
"82",6,16,9,7,15,5,9,3,15,4,6,0,4,0,0,6,4,1,1,23,20
"83",7,22,13,7,18,16,9,7,15,6,3,1,3,1,0,6,3,1,2,33,23
"84",8,22,14,7,20,22,13,7,18,1,0,0,2,3,6,1,2,2,2,34,25
"85",9,22,21,7,23,22,14,7,20,3,6,0,3,0,0,6,3,2,2,41,28
"86",10,25,21,8,23,22,21,7,23,2,1,3,2,1,0,3,1,1,1,44,29
"87",11,25,23,8,27,25,21,8,23,2,0,0,3,4,2,2,4,2,2,46,33
"88",12,25,26,8,29,25,23,8,27,3,2,0,2,0,0,3,2,2,2,49,35
"89",13,28,26,8,33,25,26,8,29,4,3,1,4,1,0,3,4,1,2,52,39
"90",14,29,26,8,42,28,26,8,33,1,0,0,6,6,3,1,6,1,2,53,48
"91",15,40,26,11,42,29,26,8,42,6,3,0,3,0,0,6,3,1,1,64,51
"92",16,44,26,11,43,40,26,11,42,1,4,4,1,4,0,4,1,1,2,68,52
"93",17,48,29,14,48,44,26,11,43,4,0,0,6,5,6,4,5,1,2,122,107
"94",18,48,37,14,48,48,29,14,48,6,6,0,6,0,0,6,0,2,0,130,107
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",1,6,1,2,1,1,1,1,1,1,1,5,1,1,0,5,1,1,1,5,1
"97",2,7,1,11,1,6,1,2,1,1,0,0,5,6,5,1,6,1,1,6,10
"98",3,12,1,11,6,7,1,11,1,5,5,0,5,0,0,5,5,1,2,11,15
"99",4,19,1,13,12,12,1,11,6,6,6,1,6,1,0,6,6,1,2,18,23
"100",5,20,1,14,12,19,1,13,12,1,0,0,2,5,1,1,1,1,1,19,24
"101",6,20,6,14,14,20,1,14,12,2,5,0,2,0,0,5,2,2,2,24,26
"102",7,28,6,20,17,20,6,14,14,6,6,3,6,3,0,6,6,1,1,32,35
"103",8,31,1,20,30,28,6,20,17,3,0,0,2,1,6,3,6,1,2,30,48
"104",9,31,3,21,30,31,1,20,30,2,1,0,1,0,0,2,1,2,1,32,49
