"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,4,1,6,1,1,1,1,1,5,3,4,5,4,0,3,5,1,1,3,5
"2",2,8,1,8,1,4,1,6,1,4,0,0,1,3,2,4,2,1,1,7,7
"3",3,9,1,8,4,8,1,8,1,1,3,0,3,0,0,1,3,1,2,8,10
"4",4,15,5,8,8,9,1,8,4,4,2,6,4,2,0,6,4,1,2,18,14
"5",5,17,5,19,14,15,5,8,8,2,0,0,6,5,1,2,6,1,1,20,31
"6",6,17,10,20,14,17,5,19,14,5,1,0,1,0,0,5,1,2,1,25,32
"7",7,21,10,20,18,17,10,20,14,4,4,4,4,4,0,4,4,1,2,29,36
"8",8,25,10,20,23,21,10,20,18,4,0,0,3,1,5,4,5,1,2,33,41
"9",9,28,10,20,24,25,10,20,23,3,1,0,1,0,0,3,1,1,2,36,42
"10",10,32,10,20,28,28,10,20,24,4,4,3,4,3,0,4,4,1,2,40,46
"11",11,35,10,27,28,32,10,20,28,3,0,0,1,3,6,3,6,1,1,43,53
"12",12,36,10,27,28,35,10,27,28,1,3,0,3,0,0,1,0,1,0,44,53
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,6,1,1,3,1,1,1,1,2,4,5,2,4,0,5,2,1,2,5,2
"15",2,10,1,6,3,6,1,1,3,4,0,0,5,4,1,4,5,1,1,9,7
"16",3,10,5,6,4,10,1,6,3,4,1,0,1,0,0,4,1,2,2,13,8
"17",4,17,5,6,7,10,5,6,4,6,3,6,3,6,0,6,3,1,2,20,11
"18",5,23,16,14,13,17,5,6,7,6,0,0,6,6,2,6,6,2,1,37,25
"19",6,26,22,16,13,23,16,14,13,6,2,0,2,0,0,6,2,2,1,46,27
