"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"49",10,21,10,6,2,12,21,21,10,1,2,12,17,4,5,4,4,4,0,5,4,3,3,34,32
"50",11,21,10,10,3,12,27,21,10,6,2,12,21,4,0,0,5,5,6,4,6,3,3,38,39
"51",12,21,15,10,3,17,27,21,10,10,3,12,27,5,5,0,5,0,0,5,5,2,2,43,44
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,6,1,1,1,1,6,1,1,1,1,1,1,5,5,5,5,5,0,5,5,1,3,5,5
"54",2,6,6,1,1,5,6,6,1,1,1,1,6,5,0,0,3,4,5,5,4,2,2,10,9
"55",3,11,6,1,1,5,9,6,6,1,1,5,6,3,5,0,3,0,0,5,3,1,3,15,12
"56",4,11,10,1,1,5,13,11,6,1,1,5,9,3,4,4,3,4,0,4,4,2,3,19,16
"57",5,14,10,1,6,5,13,11,10,1,1,5,13,3,0,0,1,5,4,3,5,1,1,22,21
"58",6,14,14,1,6,6,13,14,10,1,6,5,13,1,4,0,1,0,0,4,1,2,2,26,22
"59",7,19,14,1,9,6,13,14,14,1,6,6,13,5,1,3,1,3,0,5,3,1,1,31,25
"60",8,19,15,1,13,6,13,19,14,1,9,6,13,1,0,0,4,2,4,1,4,2,1,32,29
"61",9,23,15,1,15,6,13,19,15,1,13,6,13,2,4,0,2,0,0,4,2,1,1,36,31
"62",10,23,18,1,15,7,13,23,15,1,15,6,13,3,1,1,1,1,0,3,1,2,2,39,32
"63",11,23,18,2,21,7,15,23,18,1,15,7,13,1,0,0,1,6,5,1,6,3,1,40,40
"64",12,23,23,2,21,8,15,23,18,2,21,7,15,1,5,0,1,0,0,5,1,2,2,45,41
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,6,1,1,1,1,5,1,1,1,1,1,1,5,4,1,4,1,0,5,4,1,3,5,4
