"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,7,1,3,7,4,1,1,1,1,1,1,1,1,1,1,1,3,2,6,3,2,0,6,3,4,1,14,3
"2",2,7,3,3,7,4,2,1,1,7,1,3,7,4,1,1,1,2,0,0,1,3,4,2,1,2,2,16,4
"3",3,11,3,3,7,4,2,4,1,7,3,3,7,4,2,1,1,3,4,0,3,0,0,4,3,1,3,20,7
"4",4,11,3,8,7,4,2,4,4,11,3,3,7,4,2,4,1,4,3,5,4,3,0,5,3,3,4,25,10
"5",5,15,3,8,7,4,2,6,10,11,3,8,7,4,2,4,4,4,0,0,6,2,4,4,6,1,4,29,18
"6",6,19,3,8,7,4,2,6,12,15,3,8,7,4,2,6,10,2,4,0,2,0,0,4,2,1,4,33,20
"7",7,19,7,14,13,4,2,6,14,19,3,8,7,4,2,6,12,6,2,5,2,5,0,6,2,4,4,49,22
"8",8,19,12,14,13,9,2,6,14,19,7,14,13,4,2,6,14,5,0,0,4,1,5,5,5,2,1,54,27
"9",9,19,16,14,13,10,2,6,14,19,12,14,13,9,2,6,14,4,1,0,1,0,0,4,1,2,1,58,28
"10",10,19,21,14,13,14,2,6,14,19,16,14,13,10,2,6,14,5,4,4,4,4,0,5,4,2,1,63,32
"11",11,23,21,14,13,29,2,6,14,19,21,14,13,14,2,6,14,4,0,0,6,2,2,4,6,1,1,67,47
"12",12,23,21,14,13,29,2,6,14,23,21,14,13,29,2,6,14,2,2,0,NA,0,0,0,0,0,0,67,47
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,0,4,4,3,1,4,4
"15",2,1,1,5,2,13,1,1,1,1,1,5,1,5,1,1,1,1,0,0,5,6,2,1,6,4,1,5,12
"16",3,6,1,5,2,13,3,1,1,1,1,5,2,13,1,1,1,5,2,0,2,0,0,5,2,1,2,10,14
"17",4,6,6,5,2,16,3,1,1,6,1,5,2,13,3,1,1,1,5,3,1,3,0,5,3,2,1,15,17
"18",5,6,6,5,3,16,9,1,6,6,6,5,2,16,3,1,1,1,0,0,3,2,6,1,6,4,2,16,28
"19",6,9,6,5,3,16,11,1,6,6,6,5,3,16,9,1,6,3,2,0,2,0,0,3,2,1,2,19,30
"20",7,11,6,5,3,22,11,2,6,9,6,5,3,16,11,1,6,3,2,6,3,6,0,2,6,1,1,21,37
"21",8,11,6,5,6,22,11,3,6,11,6,5,3,22,11,2,6,3,0,0,1,5,3,3,1,4,3,24,38
"22",9,11,6,10,6,25,11,3,6,11,6,5,6,22,11,3,6,5,3,0,3,0,0,5,3,3,1,29,41
"23",10,11,6,12,6,25,15,3,6,11,6,10,6,25,11,3,6,2,4,1,4,1,0,2,4,3,2,31,45
"24",11,11,7,12,6,31,15,3,7,11,6,12,6,25,15,3,6,1,0,0,6,2,4,1,6,2,1,32,52
"25",12,11,7,12,6,31,15,3,7,11,7,12,6,31,15,3,7,2,4,0,NA,0,0,0,0,0,0,32,52
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,13,5,1,1,1,16,1,1,1,1,1,1,1,1,1,1,6,5,6,5,6,0,6,6,1,2,16,15
"28",2,13,5,6,1,1,16,2,1,13,5,1,1,1,16,1,1,5,0,0,3,1,6,5,1,3,3,21,16
"29",3,13,16,6,1,4,16,2,1,13,5,6,1,1,16,2,1,3,6,0,3,0,0,6,3,2,1,32,19
"30",4,13,18,6,1,4,21,2,1,13,16,6,1,4,16,2,1,5,2,5,5,5,0,2,5,2,2,34,24
"31",5,13,23,6,1,4,21,3,1,13,18,6,1,4,21,2,1,5,0,0,1,2,4,5,1,2,3,39,25
"32",6,13,23,10,1,4,21,5,1,13,23,6,1,4,21,3,1,2,4,0,2,0,0,4,2,3,3,43,27
"33",7,13,23,10,6,7,21,5,1,13,23,10,1,4,21,5,1,2,3,5,2,3,0,5,3,4,1,48,30
"34",8,15,23,10,6,7,21,7,1,13,23,10,6,7,21,5,1,2,0,0,2,6,4,2,2,1,3,50,32
"35",9,15,23,12,12,7,21,7,5,15,23,10,6,7,21,7,1,6,4,0,4,0,0,6,4,4,4,58,36
"36",10,16,23,12,12,9,21,7,5,15,23,12,12,7,21,7,5,1,2,5,2,5,0,1,2,1,1,59,38
"37",11,21,23,12,12,12,21,7,5,16,23,12,12,9,21,7,5,5,0,0,3,1,3,5,3,1,1,64,41
"38",12,21,23,12,12,12,21,7,5,21,23,12,12,12,21,7,5,1,3,0,NA,0,0,0,0,0,0,64,41
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,4,3,3,3,0,4,3,2,2,4,3
"41",2,1,8,1,1,1,4,1,3,1,5,1,1,1,4,1,1,3,0,0,3,2,5,3,2,2,4,7,5
"42",3,1,8,1,6,1,4,4,3,1,8,1,1,1,4,1,3,3,5,0,3,0,0,5,3,4,3,12,8
"43",4,1,13,1,6,6,4,4,3,1,8,1,6,1,4,4,3,3,5,5,3,5,0,5,5,2,1,17,13
"44",5,1,16,1,6,6,4,4,8,1,13,1,6,6,4,4,3,3,0,0,1,5,1,3,5,2,4,20,18
"45",6,1,16,1,7,6,4,5,8,1,16,1,6,6,4,4,8,1,1,0,1,0,0,1,1,4,3,21,19
"46",7,1,16,1,12,6,8,5,8,1,16,1,7,6,4,5,8,5,4,2,4,2,0,5,4,4,2,26,23
"47",8,1,18,1,12,6,13,5,8,1,16,1,12,6,8,5,8,2,0,0,3,4,5,2,5,2,2,28,28
"48",9,1,22,1,12,6,13,8,8,1,18,1,12,6,13,5,8,3,4,0,3,0,0,4,3,2,3,32,31
"49",10,1,27,1,12,9,13,8,8,1,22,1,12,6,13,8,8,5,1,3,1,3,0,5,3,2,1,37,34
"50",11,1,28,1,12,9,13,8,12,1,27,1,12,9,13,8,8,1,0,0,4,2,6,1,4,2,4,38,38
