,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
0,30,22,-43,-46,-42,-45,-13,0,-60,-60,-60,-60,60,60,2,12,-33,14,60,60,-9,60,-9,-23,60,60,-28,19,-21,-28,29,60,-10,15,7,-9
1,24,15,-46,-53,-42,-25,0,0,-60,-60,-60,-60,32,60,7,-2,-35,-3,23,30,-7,-14,14,-60,60,60,13,-50,-60,35,60,60,-26,-21,-21,-26
2,31,15,-46,-53,-42,-60,-60,0,-60,-60,-60,-60,52,60,-27,-27,-55,-25,20,60,2,25,-13,29,53,24,-16,-13,14,-13,49,29,-16,-60,-60,-20
3,24,13,-56,-50,-4,-34,-14,0,-60,-60,-60,-60,60,60,-55,-55,34,-55,14,60,-60,-19,-60,10,60,60,-60,7,-11,-60,60,60,-60,30,28,-60
4,-24,0,-49,-50,-24,-60,-20,0,-60,-60,-60,-60,56,60,11,14,-11,25,51,60,28,28,31,19,23,60,27,30,-22,14,36,60,29,2,-15,34
5,-50,21,-38,-48,-17,-20,0,0,-60,-60,-60,-60,60,60,-10,-11,3,-11,60,60,-34,-38,10,-19,60,60,-16,-3,-16,-11,43,60,-16,-25,-25,-15
6,-30,0,-60,-28,-58,-60,-6,0,-60,-60,-60,-60,60,53,2,-42,2,19,49,60,2,-47,-30,36,11,60,-22,60,46,-22,47,26,-26,-16,-16,-25
7,-27,36,-55,-44,-60,-54,-23,0,-60,-60,-60,-60,52,60,-6,-11,23,-15,60,44,-19,25,-19,-38,58,60,-16,10,-20,-16,55,60,-16,-4,46,-16
8,6,17,-31,-46,-46,-50,-7,0,-60,-60,-60,-60,50,60,2,28,-35,11,54,60,20,34,31,-39,56,60,20,8,-54,45,60,60,21,-20,-20,45
9,-13,14,-55,-40,-50,-41,-32,0,-60,-60,-60,-60,58,60,-13,-30,-43,-35,52,60,-20,38,-38,46,42,60,-20,-31,40,-20,60,60,-20,-28,2,-20
10,0,16,-60,-60,-8,-25,-32,0,-60,-60,-60,-60,45,60,-36,-36,46,-43,39,60,-47,27,-39,32,42,60,-20,-24,-21,-54,48,60,-28,25,46,-28
11,5,0,-42,-21,-60,-60,-12,0,-60,-60,-60,-60,60,60,25,25,4,46,60,60,25,-44,46,38,-30,51,42,51,38,44,5,60,25,-48,-21,46
12,37,14,-43,-60,-50,-30,-46,0,-60,-60,-60,-60,33,60,-14,-8,-2,-8,24,60,-16,7,32,-2,7,60,12,52,-10,-21,47,60,12,38,38,-21
13,-35,16,-19,-50,-53,-60,-25,0,-60,-60,-60,-60,36,60,2,-9,-10,-2,34,60,38,9,38,-44,60,60,14,40,-40,38,45,60,2,27,47,38
14,2,9,-60,-44,-44,-50,-40,0,-60,-60,-60,-60,54,60,-5,-9,-39,52,42,60,3,-5,24,10,60,60,13,13,31,-3,60,60,17,-40,-40,53
15,-4,39,-17,-52,-60,-54,-16,21,-60,-60,-60,-60,60,60,-39,-39,-7,-39,29,60,-43,-41,-45,11,42,46,-40,29,14,-40,20,60,-40,30,31,-40
16,-44,39,-44,-41,-60,-60,0,0,-60,-60,-60,-60,44,60,6,-4,11,-7,60,60,7,-24,9,-5,23,60,6,-16,13,31,50,60,6,9,11,31
17,-52,18,-19,-29,-20,-60,-4,0,-60,-60,-60,-60,60,60,12,9,14,11,48,60,12,17,11,-23,18,29,12,-15,-33,15,32,60,12,19,13,11
18,-10,18,-60,-60,-30,-58,-20,0,-60,-60,-44,-60,44,57,-3,-16,-32,-16,60,60,-23,15,11,-24,60,59,4,-60,25,-8,34,60,16,-19,-33,27
19,30,0,-54,-50,-60,-60,-25,0,-60,-60,-60,-60,42,60,-30,-19,-7,-19,18,60,-18,-22,4,22,60,60,-33,-17,-9,-19,34,60,-33,-23,-19,-19
20,-23,34,-25,-36,-45,-43,-20,0,-60,-60,-60,-60,50,60,-3,21,15,36,44,57,-24,22,-24,16,39,60,-2,20,10,4,60,60,-18,17,-11,-23
21,-10,9,-39,-52,-21,-34,-38,0,-60,-60,-58,-60,49,60,2,7,16,20,60,60,12,11,25,-22,60,34,-9,52,23,-9,60,60,-18,53,35,20
22,34,35,-46,-58,-51,-60,-40,0,-60,-60,-60,-60,50,60,40,15,-7,16,60,60,40,21,16,-19,45,60,45,29,45,10,36,60,45,-21,23,35
23,8,24,-60,-27,-49,-54,-16,1,-60,-60,-60,-60,60,38,5,29,17,28,44,60,-22,60,23,13,60,60,-38,-27,-18,-14,35,60,-20,46,41,-21
24,13,60,-38,-28,-34,-48,-24,8,-60,-60,-60,-60,24,60,15,22,2,43,27,60,12,-17,12,22,29,60,18,-13,3,-2,25,60,33,35,19,33
25,34,0,-25,-42,-31,-60,0,0,-60,-60,-60,-60,52,60,-14,12,3,-23,40,38,3,40,11,60,55,41,3,8,58,-18,43,60,30,21,3,21
26,-52,17,-60,-60,-56,-26,-24,0,-60,-60,-60,-60,26,60,49,21,60,22,60,60,-3,-22,3,-22,21,49,13,38,-14,25,58,60,3,54,58,22
27,-20,25,-52,-49,-49,-27,-10,-2,-60,-60,-60,-60,53,60,60,60,-17,60,52,60,40,-40,60,41,20,60,54,19,41,58,23,60,54,-35,-35,58
28,25,22,-57,-54,-46,-60,0,0,-60,-60,-50,-60,48,49,-14,-25,22,-17,46,60,-22,-22,-22,-22,53,60,-3,-10,-25,-15,43,60,-19,40,42,-35
29,42,38,-60,-21,-50,-26,-19,12,-60,-60,-60,-60,53,60,-8,-2,-20,11,26,60,19,-44,41,-40,45,60,3,-13,3,41,37,60,3,-30,-25,42
30,-56,21,-60,-24,-20,-39,0,0,-60,-53,-60,-60,44,60,-2,2,-13,-20,52,49,-22,28,-22,-22,29,60,-30,46,-53,-25,29,60,-30,-5,3,-25
31,-26,32,-44,-22,-48,-30,0,0,-60,-60,-60,-60,60,60,-15,-15,28,-13,60,60,-40,-2,-40,-54,34,60,-5,7,-23,-5,60,50,-5,-27,-27,-5
32,2,6,-27,-49,-40,-43,-23,0,-60,-45,-60,-60,45,41,15,19,-50,28,37,60,-22,32,-22,20,60,39,26,20,19,-53,52,60,7,-43,-13,-27
33,-14,60,-52,-33,-60,-48,-19,0,-60,-60,-60,-60,23,59,-44,-44,20,-50,36,60,-44,-9,-54,42,58,60,-43,23,12,-32,22,47,-43,-21,19,-42
34,0,22,-47,-60,-59,-52,-13,0,-60,-60,-60,-60,60,60,20,28,12,20,43,41,20,51,20,34,60,60,-21,-31,-4,19,37,60,-21,19,12,19
35,22,0,-60,-44,-26,-31,-7,0,-53,-60,-60,-60,49,60,6,19,2,25,26,59,12,60,32,-9,28,60,15,10,-42,25,43,60,21,-2,-4,25
36,-22,23,25,-60,-48,-60,-13,0,-60,-60,-60,-60,53,41,-4,-2,-15,-10,60,60,21,-25,32,51,43,60,4,16,51,-4,55,60,4,16,-43,-4
37,17,0,-27,-47,-60,-58,-40,0,-60,-60,-60,-60,23,55,-2,16,51,-9,34,60,-9,-12,-9,60,46,60,-13,25,37,-42,38,60,-11,51,51,-43
38,-31,19,-38,-33,-55,-25,-17,0,-60,-60,-55,-60,49,60,51,51,32,51,60,41,21,-2,51,-17,54,60,2,-60,12,51,60,60,21,56,37,51
39,6,0,-60,-60,-52,-56,-10,0,-60,-60,-60,-60,54,60,13,-19,-39,27,46,55,60,-24,60,-15,54,60,3,41,10,60,52,60,11,49,-18,60
40,-22,12,-60,-53,-44,-32,-56,0,-60,-60,-60,-60,60,60,-11,-28,-15,-39,38,60,-17,-36,-17,-2,57,50,13,-10,2,12,60,60,35,-14,10,-18
41,25,32,-55,-60,-60,-60,-14,0,-60,-60,-60,-60,12,60,-52,-2,-2,-2,60,60,-37,23,3,-24,50,60,-37,14,25,-9,60,43,-38,5,2,-14
42,-9,0,-60,-60,-29,-60,-12,6,-60,-60,-31,-60,-17,60,-2,-2,2,-2,60,60,-2,44,-2,-36,38,60,2,-17,-32,8,60,60,2,-31,-26,8
