,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
31,15,27,-18,-43,-60,-60,-3,0,-60,-60,-60,-60,40,60,34,42,60,34,28,58,34,-59,34,30,48,58,24,2,23,24,50,60,24,60,60,24
32,-45,32,-34,-60,-29,-60,-35,0,-44,-60,-60,-60,54,60,60,60,30,60,30,60,60,-17,60,24,55,33,60,-18,23,60,58,31,60,4,23,60
33,9,57,-35,-39,-37,-54,-23,0,-60,-54,-60,-60,22,60,7,7,23,30,38,60,7,4,30,9,30,60,4,17,9,23,49,48,4,34,23,23
34,45,34,-31,-60,-49,-54,-22,0,-13,-60,-60,-50,45,38,19,34,9,24,50,60,19,-54,23,-22,47,60,19,51,-18,24,60,60,19,2,9,24
35,-27,38,-54,-47,-35,-45,0,3,-60,-60,-60,-60,23,60,15,22,-4,9,18,60,15,10,9,2,18,60,15,22,20,9,36,27,15,-28,-28,9
36,1,60,-47,-51,-48,-31,-35,0,-60,-60,-60,-60,45,33,-4,-4,-12,-4,48,45,-22,-19,-22,-5,44,60,7,-21,-4,-18,50,60,2,-24,-24,-28
37,33,0,-23,-60,-31,-15,0,0,-60,-60,-60,-44,60,60,-6,-13,-5,-12,39,60,2,22,2,38,60,60,-19,22,38,20,38,60,17,51,-10,-24
38,-23,12,-45,-60,-60,-19,-29,0,-60,-60,-60,-60,41,60,14,26,38,-5,21,60,-19,19,-5,-12,51,60,48,30,-21,-4,39,60,48,22,38,-10
39,5,40,-30,-29,-60,-58,-17,0,-60,-55,-60,-60,48,60,22,22,-12,38,43,60,13,10,38,22,32,27,13,-3,22,38,60,53,13,-21,-21,38
40,-15,60,-2,-17,-60,-47,-36,0,-60,-60,-60,-60,43,48,-14,-12,22,-12,60,60,-14,-25,-12,25,53,60,-9,48,24,-21,16,22,-10,22,22,-21
41,-27,46,-53,-44,-41,-18,-22,0,-23,-60,-60,-51,60,60,22,22,16,22,-2,60,22,19,22,-2,49,60,22,-22,2,22,48,60,22,30,24,22
42,-17,33,-48,-27,-54,-50,-5,-12,-60,-60,-34,-28,43,60,12,30,-2,25,39,60,12,-19,24,16,52,60,7,58,25,25,42,60,7,-3,2,25
43,9,21,-20,-49,-21,-60,-24,0,-60,-60,-60,-60,37,27,-38,-2,41,-2,53,60,-38,-35,-2,-28,46,60,-3,-20,-32,2,39,60,-3,32,38,2
44,-32,32,-23,-53,-40,-53,-36,0,-60,-60,-53,-60,60,60,41,48,24,41,35,60,22,2,38,59,-7,60,41,13,-2,25,52,60,37,-31,24,-18
45,-4,39,-39,-33,-25,-40,0,0,-60,-60,-60,-60,58,60,16,43,57,19,60,50,27,15,24,13,49,60,18,-37,10,-32,60,60,28,58,59,-31
46,28,33,-35,-51,-35,-21,-31,0,-60,-60,-60,-60,60,60,13,31,16,57,47,60,60,-23,60,13,39,60,60,49,19,-2,29,60,60,-20,10,60
47,-9,21,-43,-60,-29,-20,-44,0,-60,-60,-60,-60,60,60,13,17,36,16,51,60,19,33,13,-54,60,60,3,52,-37,10,33,60,3,13,19,10
48,-10,33,-52,-40,-53,-60,-57,0,-60,-60,-60,-60,41,60,11,-30,-30,37,19,53,4,-23,13,42,20,60,30,4,58,19,23,60,30,12,10,19
49,6,37,-43,-30,-45,-60,0,0,-60,-41,-60,-60,44,60,-17,-13,42,-29,52,60,-54,-26,-54,49,30,60,-9,60,47,-37,14,60,11,60,58,10
50,17,41,-23,-33,-48,-60,-27,0,-60,-60,-60,-60,32,60,43,60,47,42,60,60,43,32,42,2,60,60,49,-4,2,58,50,60,43,26,30,58
51,32,7,-31,-60,-44,-53,-34,0,-55,-53,-60,-60,46,60,2,26,-4,-2,21,60,25,33,44,60,43,60,5,22,60,-2,48,60,15,4,2,46
52,39,43,-60,-8,-52,-43,-4,0,-60,-60,-60,-60,46,60,-4,4,30,-2,27,53,2,-56,2,8,34,60,2,27,-19,2,35,60,2,60,60,3
53,-40,5,-23,-57,-30,-20,-46,0,-60,-56,-60,-60,60,60,10,19,-7,60,26,60,60,18,60,2,-14,60,60,-30,21,60,18,58,60,10,-19,60
54,18,18,-60,-35,-39,-60,-29,0,-60,-60,-60,-60,60,60,-2,-8,-2,-4,28,20,9,39,-12,27,21,60,9,47,35,8,-4,60,9,22,21,8
55,-16,60,-60,-15,-42,-26,0,3,-60,-53,-60,-60,50,60,-2,25,27,37,19,60,3,22,2,-27,18,50,14,-31,-30,21,40,44,14,27,35,21
56,41,39,-39,-24,-50,-45,0,0,-60,-60,-60,-60,60,60,19,19,-37,27,43,48,19,5,27,-10,40,60,27,45,-11,35,27,59,27,-30,-30,35
57,-28,44,-60,-29,60,-19,-46,-15,-60,-60,-60,-60,21,60,-16,-39,22,-37,60,58,-27,48,-27,-24,26,60,-25,-19,-31,-30,60,60,-27,27,40,-30
58,2,28,-36,-32,-53,-28,-60,-4,-60,-60,-60,-60,30,60,-8,22,-24,22,60,60,14,10,36,41,20,60,9,24,40,50,22,51,5,-31,-31,35
59,6,37,-60,-52,-24,-47,-28,0,-60,-60,-60,-54,51,60,-15,-24,41,-24,46,60,-20,-36,-24,-25,27,60,-27,18,-12,-31,40,60,-27,45,40,-31
60,29,56,-57,-36,-60,-17,-46,-8,-47,-60,-60,-60,55,60,41,16,-16,41,35,60,41,-55,41,32,36,37,40,7,53,40,60,60,40,17,14,40
61,-13,32,-60,-57,-40,-41,0,-29,-60,-60,-45,-60,30,60,-5,-15,53,-13,52,51,-5,-15,-7,3,47,60,-13,33,-2,-6,48,60,-29,24,53,22
62,-2,0,-20,-27,-25,-49,-18,0,-60,-60,-56,-48,18,60,6,24,-2,53,26,60,20,23,32,25,45,60,20,-38,59,53,49,60,20,18,-2,53
63,9,35,-27,-43,-24,-60,-12,0,-60,-60,-51,-60,60,60,-11,18,19,-3,23,57,-16,-16,-16,18,45,60,-5,-26,39,3,37,60,-10,7,59,3
64,-19,0,-22,-45,-44,-60,-18,0,-60,-60,-60,-60,47,60,20,27,18,26,41,60,18,30,24,14,31,60,49,-16,-38,-3,60,60,49,33,39,10
65,14,41,-51,-46,-50,-43,-41,11,-60,-60,-60,-60,25,60,37,37,-3,18,34,60,37,57,18,-39,34,60,33,-42,-26,39,26,60,33,-35,-57,39
66,-13,14,-24,-35,-5,-56,-30,0,-60,-60,-60,-60,60,60,-37,-25,-13,14,44,60,-20,15,-20,-20,35,60,-38,-60,-16,-38,60,59,-35,-26,-26,-57
67,-15,23,-34,-24,-53,-39,-38,0,-60,-60,-60,-60,60,60,-13,-13,-16,-13,60,60,-19,-22,-39,-16,36,60,-26,-46,-20,-26,58,44,-26,-16,-16,-26
68,9,20,-55,-27,-56,-50,-40,0,-60,-30,-60,-60,29,60,-16,-16,4,-16,36,60,-20,40,-20,-43,21,60,-16,-8,-60,-16,9,60,-16,-36,-23,-16
69,6,20,-18,-57,-49,-53,0,0,-60,-60,-60,-60,51,60,2,2,-10,19,20,57,-24,-49,-20,2,39,60,-42,-60,7,2,23,60,-36,-60,-60,-19
70,-60,21,-56,-50,-60,-48,0,0,-60,-60,-45,-60,60,60,-32,-32,-2,-12,26,60,-43,-4,-43,-19,30,60,-60,22,-24,-60,31,60,-60,-24,-24,-60
71,41,40,-27,-40,-52,-60,-38,0,-60,-60,-60,-60,54,60,-2,-2,-20,-2,22,60,3,-28,2,-60,43,59,3,53,-60,-24,48,48,3,-24,-24,-24
72,-35,37,-21,-24,-26,-21,-60,0,-60,-60,-60,-60,20,60,-20,-20,-60,-20,26,60,-19,-49,-19,-21,22,60,-8,-13,26,-24,41,60,2,-11,-40,-24
73,-34,26,-60,-22,-48,-37,-40,0,-60,-60,-60,-60,47,60,-60,-60,23,-60,30,60,-60,17,-60,53,60,60,-60,11,53,-60,43,60,-40,22,26,-40
74,33,37,-32,-60,-39,-60,-23,1,-60,-60,-60,-60,34,60,27,18,53,23,40,60,-21,14,-21,-11,41,60,25,-23,8,26,49,53,11,53,53,26
75,0,0,-25,-55,-21,-18,-49,0,-60,-60,-60,-34,60,60,53,53,-10,53,48,60,53,-19,53,18,53,60,53,-25,11,53,19,60,53,-13,8,53
76,15,16,-60,-48,-24,-60,-4,0,-60,-60,-60,-60,31,60,3,-10,9,-10,51,60,-11,-2,8,22,43,60,-16,-23,-23,10,39,21,-16,11,11,8
77,-1,0,-53,-58,-37,-34,0,0,-60,-45,-60,-53,60,60,2,2,-16,14,35,60,11,-13,16,-24,24,60,11,2,-10,14,27,60,11,10,2,14
78,8,29,-35,-41,-20,-60,-34,0,-60,-60,-60,-60,60,60,-16,-16,-22,-4,60,52,-16,-36,-16,-32,46,52,2,-10,-20,-52,41,53,22,-25,-10,22
79,38,11,-18,-30,-60,-60,-27,0,-60,-60,-60,-60,17,60,-22,-22,-5,-22,60,60,-6,2,-24,5,44,60,-10,-21,5,-10,49,56,5,24,2,-10
80,-10,18,-60,-60,-5,-33,-36,0,-60,-60,-60,-60,31,60,-39,-19,-7,-5,33,26,-32,21,-32,6,54,60,-28,51,-10,-23,60,60,-38,2,5,-23
81,-1,60,-38,-34,-22,-27,-27,0,-53,-60,-60,-60,52,60,-2,22,2,-2,45,42,-2,24,5,-20,45,60,-8,-24,-27,5,60,60,-8,-10,-10,5
82,7,37,-27,-15,-15,-60,-16,-23,-60,-60,-60,-60,52,60,2,5,-3,5,60,60,-6,14,6,51,24,60,-10,24,51,-10,53,60,-10,-23,-34,-10
83,8,39,-19,-32,-2,-50,-19,0,-60,-60,-60,-60,29,60,-2,-13,51,-16,56,60,-3,-17,-6,-16,27,60,5,19,12,-27,35,51,-20,51,51,-30
84,2,44,-25,-33,-17,-25,-31,0,-60,-60,-60,-60,29,60,51,51,-2,51,58,60,51,45,51,28,60,60,51,27,29,51,60,60,51,-24,-21,51
85,-26,60,-45,-60,-46,-25,-15,0,-60,-60,-60,-60,22,60,-4,-4,10,-2,32,60,-4,-21,-16,20,21,60,-24,45,-5,12,21,34,-24,24,29,-21
86,-26,39,-49,-39,-52,-34,-33,0,-60,-60,-43,-60,53,60,9,9,-9,10,28,60,27,-38,28,40,60,60,24,-11,32,29,48,60,24,19,-21,29
87,17,35,-27,-25,-48,-20,-28,0,-41,-60,-60,-60,27,60,-5,19,40,-5,6,60,-11,-39,20,9,52,60,13,-6,40,-5,27,60,11,27,32,-21
88,5,0,-60,-43,-49,-28,-15,0,-60,-59,-29,-60,28,60,8,-3,24,40,41,60,37,29,40,-14,60,60,27,22,-11,32,57,60,27,45,40,32
89,35,60,-36,-27,-39,-23,-40,0,-60,-60,-60,-60,27,60,12,-2,-4,24,27,60,-16,36,4,-25,33,60,37,35,22,40,60,60,37,-11,-11,40
90,32,35,-51,-19,-46,-28,-21,-19,-60,-60,-60,-60,46,60,-4,-4,13,-4,25,60,-14,2,-14,-12,40,60,-38,45,30,-11,14,60,-11,-31,-27,-11
91,32,9,-49,-50,-39,-57,-33,0,-60,-60,-60,-60,60,60,-5,29,-9,-5,50,50,2,29,-25,12,14,60,-20,14,52,-2,60,60,-20,-18,-14,-19
92,17,47,-38,-19,-26,-51,-41,0,-60,-60,-60,-60,58,60,18,22,-15,-9,52,60,18,47,-12,37,60,60,18,13,37,30,60,60,18,35,17,-14
93,-3,38,-60,-60,-37,-39,-51,4,-28,-43,-38,-60,51,60,-8,35,37,-15,20,25,-18,24,12,20,37,60,22,-37,19,52,52,60,22,45,37,17
94,4,50,-20,-57,-23,-60,-39,0,-60,-60,-60,-45,37,60,22,45,20,37,30,60,37,45,37,20,37,60,32,39,-12,37,53,60,37,14,19,37
95,39,60,-29,-34,-30,-33,-40,-27,-60,-60,-60,-56,29,60,2,14,-8,20,33,60,-6,4,20,-31,24,60,2,25,-53,19,18,60,12,13,-12,19
96,2,35,-53,-60,-13,-45,-17,0,-60,-60,-60,-51,40,52,6,13,-47,16,37,60,6,-11,8,21,47,7,2,-23,3,16,50,60,2,-37,-53,20
97,41,36,-38,-46,-32,-7,-24,0,-60,-60,-60,-60,60,60,-31,-31,46,-31,21,60,-31,-52,-47,11,50,60,-37,2,16,-37,14,60,-37,39,3,-37
98,-27,33,-50,-45,-44,-25,-44,0,-43,-60,-60,-60,29,60,13,37,11,46,25,60,41,33,-16,6,27,60,15,60,-23,24,27,60,15,13,16,24
99,-9,8,-24,-25,-53,-28,-21,-12,-60,-60,-60,-60,43,60,29,25,-2,26,60,60,28,-44,11,-16,25,60,-2,-5,6,16,57,60,-2,-23,-23,16
100,-47,36,-45,-46,-4,-49,-60,0,-60,-44,-60,-60,40,60,3,-14,19,-2,24,60,3,-16,6,60,49,60,-23,-14,60,-23,41,52,-23,2,6,-23
101,-7,10,-30,-39,-14,-60,-60,0,-60,-60,-35,-60,60,60,8,14,60,19,45,60,-16,-43,-16,-8,60,32,2,4,-5,6,60,60,-16,60,60,6
102,23,33,-53,-26,-37,42,-17,0,-60,-60,-60,-60,60,60,60,60,18,40,25,60,60,22,60,-3,27,60,60,11,-17,60,23,34,60,6,-2,60
103,20,0,-57,-41,-60,-20,0,0,-44,-60,-60,-45,27,60,6,14,4,18,23,32,-8,10,-8,-10,60,46,16,13,-9,-5,32,60,2,-4,-4,-2
104,-21,23,-25,-37,-60,-48,-21,0,-60,-60,-60,-60,60,60,-10,-10,-7,4,39,60,-3,45,-3,30,28,60,-3,-17,13,-17,45,60,8,4,-9,-4
105,-38,14,-27,-31,-10,-36,-17,0,-60,-60,-60,-60,43,32,-7,4,-2,7,55,30,2,23,-8,16,19,60,2,2,16,7,60,60,2,-23,-27,7
106,13,29,-44,-39,-33,50,-4,0,-60,-60,-60,-60,60,60,-3,-10,16,43,45,60,11,15,30,10,60,60,-4,-26,-17,13,60,60,8,13,16,-23
107,-48,8,-60,-48,-31,-28,-31,0,-60,-60,-60,-60,44,46,13,13,-16,16,47,60,13,60,16,-11,38,60,13,2,5,16,44,60,13,-19,-19,16
108,47,3,-25,-55,-30,-60,-16,6,-60,-59,-60,-60,60,60,-16,-16,16,-16,47,60,7,52,10,-22,26,45,-14,34,-26,-17,27,60,-16,-11,-11,-19
109,-35,32,-29,-53,-60,-40,-32,4,-60,-60,-60,-60,60,60,4,-3,-2,-8,41,60,4,18,-11,25,25,44,-26,-18,10,5,60,60,-31,-32,-32,-11
110,48,19,-21,-36,-27,-45,-60,0,-60,-60,-45,-60,47,60,-20,-2,25,-2,60,57,-32,13,-22,10,35,60,-2,20,-48,-26,25,60,2,56,10,-32
111,-60,0,-30,-59,-28,-60,-60,-13,-35,-60,-60,-60,47,60,22,22,-19,25,55,38,11,23,25,-21,46,60,2,10,-18,10,26,60,21,34,-40,10
112,60,23,-36,-60,-19,-30,-47,8,-60,-60,-60,-60,60,60,13,10,-13,-19,39,60,4,-25,10,25,49,60,15,-10,20,-48,39,60,15,-27,-27,-40
113,-9,30,-28,-44,28,-26,-19,0,-60,-60,-60,-60,58,51,-13,21,17,-12,26,60,4,7,-28,18,38,60,-19,22,-6,-6,40,49,-27,20,20,-23
114,-26,18,-45,-53,-36,-40,-44,0,-60,-60,-60,-60,51,60,2,17,3,-8,24,60,2,-15,17,-8,4,60,-7,6,-10,20,15,60,13,-25,17,20
115,-27,12,2,-49,-44,-60,-34,-3,-60,-60,-60,-60,47,60,5,6,-18,3,51,60,14,0,16,16,18,60,-5,19,12,-6,40,25,-25,-10,-10,17
116,-60,1,-36,-59,-18,-34,-25,-21,-60,-60,-60,-60,25,60,-26,28,19,-18,31,60,-8,-16,-8,7,59,60,-10,-26,6,-10,41,60,-10,22,12,-10
117,1,12,-36,-60,-19,-43,-60,0,-60,-45,-60,-60,42,60,-38,-2,-16,21,52,60,-47,13,-39,14,47,60,2,-10,-2,16,60,60,2,32,-16,16
118,-13,6,-49,-24,-26,-18,-13,0,-60,-60,-60,-60,60,60,-6,-12,-2,31,25,60,-13,-35,5,-23,60,60,-19,19,-26,29,39,60,-6,19,-2,-16
119,-48,41,-60,-60,-58,-45,-60,-25,-60,-60,-60,-43,23,60,-2,19,-22,14,37,60,-2,23,-2,26,22,60,-6,47,-10,-2,33,56,-10,-22,-27,-2
120,-29,44,-60,-50,-44,-40,0,1,-45,-60,-51,-60,56,60,-22,-22,24,-22,60,51,-30,6,-30,15,29,60,-2,15,15,-26,49,40,2,-10,-10,-22
121,55,37,-16,-54,-25,-26,-11,0,-60,-60,-58,-29,60,60,23,23,-35,24,16,60,26,-27,26,20,35,30,-10,28,54,-10,19,60,-10,11,-5,-10
122,36,46,-21,-51,-48,-60,-23,-1,-60,-60,-60,-60,57,60,-2,11,27,-35,49,60,33,8,-2,-15,60,60,13,6,22,15,25,60,13,47,54,-24
123,17,35,-47,-48,-60,-44,-47,-23,-60,-60,-60,-60,35,60,18,20,-4,27,44,30,13,18,20,-14,49,60,47,9,-16,54,27,60,47,-19,-19,54
124,-30,9,-60,-22,-30,-60,-18,-26,-60,-60,-57,-60,27,60,-12,-2,6,-18,44,60,-15,-23,-15,12,60,60,-33,19,12,22,60,60,-35,8,-16,-19
125,-9,7,-46,-25,-46,-45,-33,0,-60,-60,-60,-60,15,30,12,23,12,28,48,45,5,46,6,-27,48,60,2,18,16,16,35,32,5,6,12,6
126,-9,32,-44,-23,-49,-60,-42,0,-60,-60,-60,-38,33,60,6,6,29,12,46,60,6,16,12,3,24,38,6,-15,24,12,46,60,6,9,16,12
127,-30,51,-60,-53,-48,-24,-31,0,-60,-51,-60,-60,34,60,4,-2,24,-2,45,60,-6,-29,16,-7,60,60,12,46,-3,-9,34,46,12,19,24,-10
128,-38,20,-14,-19,-41,-32,-43,-8,-60,-58,-60,-60,50,60,19,19,20,24,50,60,8,-35,3,-23,46,13,19,15,-5,24,10,60,19,18,-10,24
129,32,35,-47,-49,-29,-39,-15,0,-60,-60,-60,-60,-2,60,25,18,-10,20,18,60,4,19,-7,51,38,47,-4,-33,51,-3,31,60,20,-17,7,-10
130,45,43,-22,-22,-60,-23,-4,0,-53,-60,-60,-60,60,38,-2,-2,28,-10,33,60,-23,-27,-23,23,51,43,9,-29,-33,-15,56,60,9,46,51,-17
131,-1,6,-60,-52,-47,-60,-5,0,-58,-57,-60,-60,-44,60,41,46,13,50,44,47,43,-26,51,14,42,60,43,19,-13,51,45,60,43,24,13,51
132,17,28,-60,-3,-20,-60,-45,0,-60,-60,-60,-60,33,41,8,16,13,17,5,60,8,21,16,-35,29,47,-17,-27,-29,16,33,45,9,-33,-30,17
133,11,0,-26,-49,-53,-38,-5,0,-60,-60,-60,-60,17,47,-14,-2,-29,14,60,60,-29,7,-23,-11,22,60,-33,-48,-28,15,60,44,-33,-29,-29,-30
134,7,39,-60,-60,-49,-19,-36,-10,-57,-60,-49,-60,29,60,-29,-29,-25,-29,31,60,-5,41,-35,18,29,60,-29,-2,18,-29,39,60,-29,19,-28,-29
135,-1,21,-18,-27,-47,-30,-32,0,-60,-60,-60,-60,41,60,12,19,-10,-25,60,60,-13,9,-11,-48,27,60,-28,26,-48,-28,48,60,-23,-33,18,-28
