,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
0,-4,9,-48,-48,-48,-48,-8,0,-60,-60,-60,-60,42,60,-47,-47,-47,-47,13,60,-47,-47,-47,-47,30,60,8,-55,-55,-55,18,60,8,-55,-55,-55
1,-35,17,-59,-52,-52,-52,-8,0,-60,-60,-60,-60,30,60,-46,-33,-46,-27,43,60,-49,-25,-60,-31,60,60,-41,-45,-56,-39,60,60,-44,-24,-56,-39
2,-7,21,-49,-52,-60,-60,0,0,-60,-50,-60,-60,46,60,56,60,56,58,35,60,56,60,56,58,24,60,56,60,56,58,60,60,56,60,56,58
3,16,36,-26,-31,-31,-23,-24,0,-60,-60,-60,-60,60,60,31,38,38,31,60,60,40,38,46,44,58,60,37,38,42,44,60,60,44,38,46,44
4,22,38,-56,-60,-54,-54,-34,0,-60,-60,-60,-60,52,60,-34,-34,-34,21,60,60,-39,-39,-39,-14,60,60,-39,-39,-39,9,60,60,-39,-39,-39,9
5,-7,0,-47,-40,-60,-60,-19,0,-60,-60,-60,-60,34,60,43,43,43,43,42,60,37,38,40,40,41,60,43,43,43,43,60,47,17,25,17,25
6,17,25,-60,-43,-58,-60,-10,0,-60,-60,-60,-60,60,60,-30,-2,-8,-9,56,60,13,47,44,15,34,60,-17,-24,5,60,60,60,3,-15,-32,15
7,11,0,-24,-60,-57,-42,-42,0,-60,-60,-60,-60,22,60,54,22,-16,-16,29,60,54,-17,-10,22,60,60,-15,45,-9,-9,37,60,-24,45,-9,-9
8,23,48,-25,-56,-60,-43,0,0,-60,-60,-60,-60,56,60,17,-10,-10,-10,44,60,22,22,33,33,26,60,22,22,33,33,18,60,40,40,53,53
9,-5,35,-60,-60,-53,-46,0,0,-60,-56,-50,-50,27,60,60,60,60,60,26,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
10,-10,39,-43,-60,-23,-45,-29,0,-60,-60,-60,-60,53,60,-2,-10,16,17,41,60,2,-2,-2,-2,16,60,17,-2,-2,-2,30,60,17,-2,-2,-2
11,-14,37,-48,-48,-57,-60,-12,0,-60,-60,-60,-60,60,60,20,27,3,27,29,60,2,27,35,35,60,60,33,20,19,21,53,60,13,38,38,38
12,-21,15,-22,-56,-27,-56,-20,0,-60,-60,-60,-60,60,60,12,-7,29,29,60,60,-9,-11,-9,-9,45,60,2,-13,29,29,28,60,-13,-16,29,29
