,,win % (p1),0 % (p1),0 % (p2),avg gain (p1),med gain (p1),med nrounds,low 95% nrounds,up 95% nrounds,% nrounds 25,# 0 (pseq),# 0 (iseq),# 0 (seq),# 0 (set)
Random,Random,0.5,0.02,0.02,0.053,0.0,25.0,17.0,25.0,0.963,0.432,0.176,0.045,0.256
Random,Defeat,0.938,0.03,0.0,20.573,19.0,25.0,20.0,25.0,0.971,0.469,0.154,0.049,0.213
Random,Minscore,0.007,0.006,0.993,-45.098,-49.0,7.0,2.0,15.0,0.001,0.421,0.38,0.139,0.159
Random,Mindist,0.006,0.006,0.994,-45.006,-48.0,7.0,2.0,15.0,0.002,0.427,0.238,0.078,0.222
Random,Mindistscore,0.006,0.006,0.994,-45.116,-48.0,6.0,2.0,16.0,0.001,0.41,0.311,0.098,0.181
Random,MindistOpp,0.006,0.006,0.994,-45.269,-48.0,6.0,2.0,14.0,0.0,0.418,0.26,0.081,0.203
Defeat,Random,0.066,0.0,0.033,-20.61,-19.0,25.0,17.0,25.0,0.968,0.536,0.182,0.106,0.267
Defeat,Defeat,0.49,0.0,0.001,-0.064,0.0,25.0,25.0,25.0,0.999,0.6,0.1,0.0,0.3
Defeat,Minscore,0.0,0.0,0.999,-59.362,-60.0,6.0,2.0,12.0,0.001,0.536,0.298,0.137,0.161
Defeat,Mindist,0.0,0.0,1.0,-59.299,-60.0,5.0,2.0,12.0,0.001,0.531,0.178,0.073,0.234
Defeat,Mindistscore,0.0,0.0,1.0,-59.304,-60.0,5.0,2.0,12.0,0.0,0.519,0.226,0.094,0.205
Defeat,MindistOpp,0.0,0.0,1.0,-59.322,-60.0,5.0,2.0,11.0,0.0,0.519,0.19,0.076,0.223
Minscore,Random,0.992,0.992,0.007,45.377,49.0,6.0,1.0,14.0,0.001,0.421,0.392,0.137,0.153
Minscore,Defeat,1.0,0.999,0.0,58.824,60.0,5.0,1.0,11.0,0.001,0.526,0.3,0.139,0.161
Minscore,Minscore,0.534,0.534,0.466,2.531,2.0,5.0,1.0,11.0,0.0,0.385,0.402,0.129,0.162
Minscore,Mindist,0.51,0.51,0.491,5.785,2.0,5.0,1.0,11.0,0.0,0.379,0.346,0.106,0.193
Minscore,Mindistscore,0.493,0.493,0.507,3.606,-2.0,5.0,1.0,11.0,0.0,0.39,0.373,0.122,0.165
Minscore,MindistOpp,0.485,0.485,0.515,4.142,-2.0,5.0,1.0,10.0,0.0,0.383,0.352,0.109,0.179
Mindist,Random,0.994,0.994,0.006,45.14,48.0,5.0,1.0,14.0,0.001,0.43,0.228,0.08,0.22
Mindist,Defeat,1.0,1.0,0.0,58.402,60.0,4.0,1.0,11.0,0.001,0.514,0.185,0.077,0.228
Mindist,Minscore,0.571,0.572,0.429,0.742,3.0,5.0,1.0,11.0,0.0,0.383,0.334,0.104,0.191
Mindist,Mindist,0.541,0.542,0.46,3.697,6.0,4.0,1.0,11.0,0.0,0.379,0.28,0.084,0.219
Mindist,Mindistscore,0.528,0.529,0.472,1.766,3.0,4.0,1.0,11.0,0.0,0.382,0.305,0.094,0.204
Mindist,MindistOpp,0.513,0.514,0.487,2.187,4.0,4.0,1.0,10.0,0.0,0.383,0.283,0.084,0.212
Mindistscore,Random,0.996,0.995,0.004,45.38,49.0,5.0,1.0,14.0,0.0,0.426,0.311,0.105,0.183
Mindistscore,Defeat,1.0,1.0,0.0,58.544,60.0,4.0,1.0,11.0,0.0,0.512,0.232,0.095,0.206
Mindistscore,Minscore,0.592,0.592,0.408,3.108,3.0,5.0,1.0,11.0,0.0,0.386,0.359,0.111,0.177
Mindistscore,Mindist,0.557,0.557,0.444,5.449,8.0,4.0,1.0,10.0,0.0,0.381,0.308,0.09,0.202
Mindistscore,Mindistscore,0.546,0.546,0.454,3.786,4.0,4.0,1.0,10.0,0.0,0.38,0.339,0.1,0.182
Mindistscore,MindistOpp,0.537,0.537,0.463,4.246,6.0,4.0,1.0,10.0,0.0,0.377,0.314,0.089,0.196
MindistOpp,Random,0.996,0.996,0.004,45.088,48.0,5.0,1.0,13.0,0.0,0.42,0.257,0.078,0.207
MindistOpp,Defeat,1.0,1.0,0.0,58.49,60.0,4.0,1.0,11.0,0.0,0.52,0.195,0.075,0.215
MindistOpp,Minscore,0.604,0.604,0.396,2.796,4.0,5.0,1.0,10.0,0.0,0.378,0.332,0.099,0.191
MindistOpp,Mindist,0.575,0.575,0.426,5.466,10.0,4.0,1.0,10.0,0.0,0.38,0.295,0.083,0.209
MindistOpp,Mindistscore,0.562,0.562,0.438,3.575,6.0,4.0,1.0,10.0,0.0,0.381,0.313,0.093,0.197
MindistOpp,MindistOpp,0.552,0.552,0.448,4.126,8.0,4.0,1.0,10.0,0.0,0.382,0.294,0.083,0.202
