init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
38 15 2 42 44 52 36 47 10 32,51 43 34 28 14 12 18 17 13 40,29,0,2,0,8,44 46 45 42 38 36 30 32 31 52,51 40 39 17 18 3 28 2 41 13,2,1,0
14 41 7 17 38 37 1 19 36 21,40 45 24 12 28 44 32 4 43 26,29,4,0,1,9,38 37 36 17 19 52 14 1 27 41,45 44 46 43 26 28 3 42 4 5,1,2,0
38 6 40 26 41 0 22 5 4 50,23 25 49 8 37 46 14 31 1 21,18,0,20,0,9,6 5 4 40 41 52 26 38 27 28,23 21 22 31 32 33 14 1 43 19,2,1,0
49 12 25 2 22 10 41 9 31 14,36 34 6 8 18 47 43 20 42 37,38,0,4,0,9,30 31 29 12 25 45 51 2 41 52,36 34 37 35 18 20 19 21 17 28,1,1,1
24 0 10 38 23 30 36 8 47 39,41 50 7 32 46 16 11 9 35 14,2,60,0,1,10,24 0 10 38 23 30 36 8 47 39,16 14 15 13 41 11 9 32 45 52,1,1,1
51 35 22 0 52 52 30 3 10 25,47 17 24 8 41 39 5 42 19 38,29,0,23,0,2,30 32 31 52 52 51 35 22 48 3,17 19 18 42 8 9 39 41 5 47,1,1,1
24 35 31 12 15 0 7 14 2 23,5 48 29 11 27 41 1 21 34 47,20,0,15,0,14,24 23 22 21 12 0 7 14 15 16,48 47 46 4 5 52 27 1 41 29,2,1,0
50 38 34 36 49 30 4 13 6 21,18 45 51 46 10 3 16 11 44 23,20,0,11,0,14,38 36 37 39 40 51 4 6 52 3,45 46 44 16 18 33 0 26 14 28,2,1,0
19 16 39 17 4 49 8 52 15 28,24 14 44 30 23 37 41 45 1 48,5,0,46,0,4,16 17 15 52 39 40 42 19 32 52,44 31 14 1 27 41 30 45 20 24,1,1,1
10 43 34 4 52 49 47 31 13 28,32 5 50 20 21 16 0 46 6 35,2,0,60,0,15,42 43 44 52 1 3 4 28 13 39,32 5 50 20 21 16 0 46 6 35,1,1,1
39 1 20 51 49 24 36 15 34 2,9 41 12 3 21 16 29 13 33 38,17,0,60,0,16,39 51 40 43 26 27 2 1 0 52,9 41 12 3 21 16 29 13 33 38,2,1,0
42 37 43 23 52 12 38 20 39 2,45 18 46 33 19 0 7 11 13 50,48,0,27,0,18,42 43 41 52 37 36 34 33 32 9,45 46 47 0 13 27 28 3 16 30,2,1,0
3 47 20 17 36 51 42 1 14 46,28 30 29 26 10 52 50 24 25 15,11,41,0,1,3,47 46 45 1 14 3 42 17 20 36,28 30 29 52 50 22 25 24 15 13,1,2,0
29 5 4 11 37 27 47 46 3 7,43 20 49 1 38 8 33 42 10 9,32,0,26,0,7,5 4 3 6 26 27 47 46 49 48,8 10 9 11 1 40 28 42 29 43,2,1,0
4 51 50 41 11 32 21 16 2 48,43 31 5 18 15 12 8 13 38 9,46,0,35,0,24,4 2 3 51 50 20 7 32 45 33,8 9 10 13 39 15 43 31 5 18,1,1,1
35 25 51 33 43 17 42 37 52 1,10 18 2 21 13 30 9 14 44 39,6,0,45,0,5,35 33 34 36 52 46 47 42 43 41,13 14 25 39 2 30 18 44 20 10,2,1,0
52 10 3 49 1 27 9 30 19 13,50 11 8 25 15 36 22 0 45 29,34,0,60,0,8,18 19 17 52 30 31 33 1 27 40,50 11 8 25 15 36 22 0 45 29,1,1,1
35 32 29 8 20 25 17 13 51 22,28 47 46 14 18 45 6 19 3 27,49,39,0,1,15,20 22 21 13 26 29 17 5 32 33,47 46 45 44 2 3 1 14 27 40,2,0,1
18 33 51 0 26 28 47 27 30 4,17 43 19 14 29 3 6 39 16 48,23,18,0,1,15,26 28 27 0 1 12 13 42 3 30,16 17 18 49 43 44 41 36 14 52,1,2,0
33 52 19 31 37 23 11 4 12 27,2 0 46 9 50 13 5 35 52 14,48,60,0,1,6,33 52 19 31 37 23 11 4 12 27,0 2 1 9 13 14 35 41 43 52,1,2,0
28 25 39 37 12 27 14 8 30 9,43 38 16 20 11 52 49 31 45 24,13,0,60,0,9,28 30 29 39 33 32 35 27 14 40,43 38 16 20 11 52 49 31 45 24,1,1,1
