init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
36 42 41 24 6 34 15 12 21 2,26 51 4 11 1 48 27 44 0 18,30,0,2,0,23,31 33 32 42 41 40 15 2 28 43,26 27 38 4 0 1 3 29 52 39,2,0,1
39 26 48 44 30 33 14 36 2 40,12 20 1 7 34 51 4 47 6 25,18,0,50,0,10,28 30 29 44 14 25 39 40 51 31,7 6 8 1 41 4 32 20 12 34,2,1,0
41 29 36 34 52 22 15 24 37 43,32 3 39 13 7 20 11 50 31 38,51,0,57,0,2,36 34 35 52 22 24 41 43 25 40,38 39 13 3 29 31 32 7 20 11,1,2,0
45 52 31 52 17 18 41 30 26 36,33 29 25 39 22 43 28 20 1 0,47,0,54,0,3,30 31 32 52 17 18 52 21 45 48,39 0 1 28 41 29 43 33 20 25,1,2,0
34 38 33 8 32 4 20 3 24 42,21 37 44 15 29 51 22 13 40 39,18,36,0,1,7,34 33 32 26 3 42 29 16 4 6,51 40 39 0 1 2 21 22 20 44,3,0,0
50 26 16 9 15 47 5 35 34 12,52 21 1 41 6 37 18 19 36 30,22,0,53,0,10,2 4 3 9 15 16 35 5 31 52,52 1 40 41 28 30 18 6 19 21,1,1,1
42 1 28 16 19 34 41 22 47 5,46 23 52 2 29 21 52 4 10 45,37,0,2,0,11,41 42 40 50 15 16 11 28 30 24,45 46 47 52 27 29 52 4 17 0,1,2,0
50 15 36 20 39 5 0 3 32 40,35 21 42 19 16 45 41 33 31 37,4,2,0,1,16,0 2 1 30 3 5 43 15 14 39,35 37 36 34 41 42 40 27 29 28,3,0,0
39 5 18 16 31 48 41 52 33 47,9 45 40 4 13 43 30 49 7 34,28,0,60,0,8,15 16 14 41 1 3 52 5 18 52,9 45 40 4 13 43 30 49 7 34,1,1,1
11 5 16 38 51 41 36 27 34 26,50 15 33 46 14 52 40 6 23 17,2,0,58,0,4,38 27 26 36 34 35 41 5 18 28,50 15 33 46 14 52 40 6 23 17,2,0,1
20 12 25 27 40 51 14 1 4 2,9 21 10 48 24 18 11 36 39 15,3,12,0,1,11,12 1 2 0 27 28 26 40 14 4,9 10 11 29 41 43 18 20 19 16,2,1,0
19 11 27 50 0 10 31 46 38 52,30 52 1 8 16 49 14 37 15 29,40,60,0,1,7,19 11 27 50 0 10 31 46 38 52,16 15 17 14 30 29 52 8 34 1,1,1,1
41 33 27 31 24 12 6 13 29 34,1 35 20 40 52 5 0 11 21 2,7,25,0,1,11,33 31 32 13 26 27 41 15 29 3,1 0 2 35 20 37 11 12 10 52,2,1,0
48 32 37 20 4 36 1 33 9 14,21 19 41 18 17 29 50 3 51 34,2,17,0,1,14,32 33 34 30 31 26 1 14 27 4,19 18 17 20 41 50 51 29 3 28,1,1,1
5 32 11 28 46 20 24 22 10 31,14 7 6 50 2 51 29 36 27 44,15,0,55,0,7,32 31 33 28 24 22 25 3 5 52,2 14 27 1 29 44 18 6 7 50,1,2,0
36 44 18 30 26 12 7 33 3 13,42 48 20 4 35 5 23 9 52 28,31,2,0,1,15,40 41 42 44 18 3 52 30 17 26,5 4 6 14 16 15 13 52 45 32,2,0,1
8 46 45 31 13 32 30 50 52 24,20 49 19 14 3 22 40 2 34 7,38,0,60,0,3,31 32 30 46 45 52 48 50 24 37,20 49 19 14 3 22 40 2 34 7,1,1,1
48 51 13 15 40 37 52 7 12 44,29 45 33 20 14 31 41 3 46 17,2,43,0,1,14,15 52 13 40 27 16 4 44 45 7,29 31 30 41 0 1 3 17 18 19,2,1,0
15 0 41 12 5 48 34 24 51 2,9 31 49 21 39 43 52 13 35 1,8,0,27,0,15,41 42 43 34 0 2 52 17 30 47,21 52 39 13 26 1 14 29 3 16,1,1,1
22 9 50 1 43 16 27 10 33 3,26 20 5 4 25 19 41 29 11 42,28,8,0,1,7,9 10 11 12 15 43 44 13 1 27,20 19 18 5 4 41 29 42 16 3,1,1,1
12 45 9 43 41 44 18 39 13 52,6 27 4 51 49 40 0 16 34 19,10,0,42,0,9,45 43 44 52 30 33 36 39 13 26,49 52 0 27 40 16 4 31 6 19,1,1,1
34 4 41 35 25 50 21 31 23 52,45 19 44 5 6 0 51 47 48 2,9,0,3,0,7,41 42 40 35 52 44 34 31 52 33,0 2 1 48 5 3 45 19 6 27,1,2,0
8 10 42 26 46 39 35 20 37 2,40 18 32 27 16 28 15 25 11 23,4,0,3,0,19,35 37 36 34 42 44 17 41 2 28,15 16 14 52 32 33 13 0 39 40,1,1,1
35 36 45 14 20 29 33 34 40 22,48 50 7 6 38 47 37 44 15 23,28,38,0,1,4,35 36 45 14 20 29 33 34 40 22,48 47 46 15 38 37 7 6 5 8,2,1,0
18 51 52 12 19 47 40 35 28 48,16 15 46 6 44 24 29 1 41 42,2,0,42,0,4,47 48 49 46 18 52 19 51 28 12,15 41 26 1 16 29 42 44 31 6,1,1,1
34 48 38 42 14 17 15 52 29 33,50 39 19 30 24 16 11 47 28 8,6,0,2,0,24,14 15 16 52 41 42 45 26 27 29,32 30 31 19 39 40 52 28 2 0,1,2,0
8 51 35 44 21 7 52 31 52 17,6 4 0 10 11 18 25 47 22 16,40,0,60,0,4,8 7 9 51 52 52 48 44 31 27,6 4 0 10 11 18 25 47 22 16,1,1,1
37 38 3 52 19 34 29 40 18 16,21 15 10 8 12 33 1 47 51 35,22,0,3,0,2,26 38 27 52 18 19 3 29 16 42,33 34 32 35 10 12 21 8 47 1,1,1,1
7 52 27 42 29 35 43 20 41 23,28 30 0 19 6 25 9 24 39 14,10,0,43,0,3,42 43 41 52 35 23 38 7 20 36,28 30 29 0 39 14 19 6 25 9,1,1,1
52 37 47 24 28 9 32 29 12 0,35 42 34 31 3 27 16 23 5 14,6,0,2,0,15,28 29 27 52 32 40 43 15 2 41,13 14 25 45 5 4 3 42 16 39,1,1,1
36 0 45 2 1 6 42 30 41 39,50 38 17 7 26 18 22 10 35 20,8,0,60,0,11,0 2 1 42 41 52 39 51 21 47,50 38 17 7 26 18 22 10 35 20,1,2,0
41 11 50 9 44 1 32 43 8 42,37 22 7 6 49 12 0 21 25 3,20,0,60,0,6,44 43 42 41 40 39 11 50 33 52,37 22 7 6 49 12 0 21 25 3,2,0,1
39 3 35 4 17 52 5 45 28 34,43 51 26 18 37 16 29 31 6 41,20,0,20,0,3,3 4 5 35 34 36 37 52 39 51,16 18 17 46 29 31 26 41 43 6,2,1,0
52 22 26 2 1 47 46 33 12 7,17 30 52 31 19 29 45 25 41 39,0,60,0,1,2,52 22 26 2 1 47 46 33 12 7,30 31 29 17 52 16 19 45 39 44,1,2,0
33 35 14 2 51 41 52 4 3 10,31 24 11 37 42 39 8 50 0 17,25,0,60,0,2,2 4 3 1 51 52 41 33 35 34,31 24 11 37 42 39 8 50 0 17,2,1,0
24 18 43 27 26 52 40 25 20 28,14 3 11 32 46 9 6 1 2 0,19,18,0,1,1,27 26 28 24 52 25 39 40 43 18,3 1 2 0 11 32 9 46 6 48,1,2,0
34 27 8 31 22 39 26 47 17 45,41 15 35 1 0 12 52 30 43 11,48,49,0,1,8,22 39 26 27 17 4 31 5 45 32,1 0 12 41 35 40 43 52 30 29,1,2,0
23 44 1 9 25 39 20 50 26 52,31 8 41 52 49 47 3 42 46 21,4,33,0,1,14,52 17 39 26 13 1 14 44 18 31,41 42 40 49 47 48 46 52 7 6,2,1,0
52 30 6 18 43 12 7 42 13 51,10 0 3 17 14 5 19 41 50 45,27,6,0,1,15,42 43 44 45 52 4 6 7 13 2,17 19 18 16 14 3 5 52 29 31,1,2,0
33 7 27 49 28 41 5 39 23 15,43 50 19 1 6 3 52 38 47 45,42,12,0,1,18,27 28 26 52 5 7 39 0 41 15,16 17 18 3 52 1 43 4 30 29,1,1,1
2 41 18 51 21 34 14 31 7 52,28 10 32 49 47 9 6 27 24 17,12,0,60,0,7,14 15 16 51 2 4 52 18 31 38,28 10 32 49 47 9 6 27 24 17,1,1,1
22 20 17 19 37 46 43 23 45 2,31 18 1 42 52 21 0 3 49 39,47,4,0,1,15,46 45 44 19 20 18 43 17 4 2,0 1 12 52 39 41 21 42 3 8,1,1,1
38 15 40 10 1 11 34 28 26 30,8 29 6 41 35 3 51 20 43 17,16,0,2,0,24,13 15 14 52 28 30 1 2 42 12,4 6 5 29 40 41 3 43 17 0,1,2,0
9 24 41 42 3 37 30 2 17 34,1 4 26 29 40 38 13 23 44 0,22,36,0,1,12,9 48 13 41 2 28 42 3 30 17,0 1 12 52 35 29 26 16 52 18,1,2,0
34 23 16 14 49 30 8 0 42 32,44 24 43 51 48 39 10 7 29 31,50,60,0,1,14,34 23 16 14 49 30 8 0 42 32,43 44 45 46 24 29 31 52 6 7,1,2,0
50 51 7 41 3 35 26 29 28 30,22 0 44 5 31 42 33 6 23 10,13,0,4,0,10,29 28 30 31 50 51 26 52 25 24,22 23 21 0 44 45 42 16 3 41,1,2,0
5 10 11 3 25 22 17 0 50 4,28 16 42 51 37 38 41 23 12 13,1,0,60,0,8,5 3 4 7 6 40 10 11 9 52,28 16 42 51 37 38 41 23 12 13,2,1,0
47 36 41 43 17 20 10 22 52 31,21 38 5 15 34 39 26 52 51 4,0,60,0,1,3,47 36 41 43 17 20 10 22 52 31,4 5 3 39 26 38 35 52 21 34,1,1,1
37 14 16 15 23 27 22 34 41 50,28 18 0 32 4 24 7 3 48 11,13,0,4,0,16,14 16 15 23 22 24 25 26 20 7,4 3 2 0 32 30 52 18 44 28,2,0,1
28 43 34 36 24 50 33 19 10 39,48 3 20 41 0 52 22 2 44 25,1,44,0,1,14,34 33 32 39 28 43 4 19 6 36,40 41 42 52 18 20 0 2 3 52,1,2,0
22 35 37 4 18 24 23 5 26 2,31 44 19 12 41 33 49 10 43 1,20,0,47,0,7,22 24 23 4 2 3 5 46 26 38,33 7 39 1 41 43 31 44 19 12,2,1,0
2 6 50 15 35 0 25 11 40 5,28 52 9 49 34 23 8 3 52 47,4,45,0,1,9,30 0 40 2 15 29 3 5 18 6,9 8 10 52 34 33 52 49 23 43,1,1,1
20 16 51 29 0 33 42 23 4 17,46 44 41 15 31 5 12 21 18 25,47,2,0,1,17,34 33 32 0 2 1 16 29 42 13,40 41 39 21 52 15 30 28 52 27,1,2,0
5 15 32 48 40 33 35 19 3 20,28 29 21 25 16 42 34 2 14 1,13,0,41,0,14,19 20 21 32 33 26 3 5 4 52,39 14 1 28 2 41 29 16 42 45,2,1,0
14 43 10 23 12 25 33 29 50 34,20 52 5 13 4 24 8 41 17 44,21,0,32,0,13,10 12 11 23 25 24 22 34 29 42,52 8 52 13 26 41 16 4 17 5,2,0,1
21 26 10 3 28 29 23 19 15 1,18 16 46 50 38 14 31 5 48 47,4,60,0,1,9,21 26 10 3 28 29 23 19 15 1,46 48 47 45 14 16 52 18 31 5,1,1,1
40 46 23 22 3 4 18 41 52 37,52 32 42 38 11 47 6 35 45 26,24,0,9,0,6,40 41 39 52 1 3 4 37 18 19,5 6 7 52 31 32 11 26 14 2,1,2,0
29 43 33 21 37 52 40 19 0 42,36 2 24 13 45 39 23 17 5 52,32,0,43,0,9,26 27 38 52 19 29 6 40 42 43,45 52 13 39 2 17 4 5 31 33,1,2,0
24 11 7 14 2 28 47 41 23 13,16 29 18 39 1 15 52 22 21 3,42,24,0,1,16,27 28 26 13 0 14 40 2 41 4,16 15 18 17 29 52 1 3 52 30,1,2,0
36 22 11 52 34 28 16 24 43 32,29 39 14 21 15 17 40 35 51 10,26,60,0,1,11,36 22 11 52 34 28 16 24 43 32,39 40 51 41 42 52 14 15 17 0,1,2,0
39 22 33 8 31 3 51 26 27 4,52 6 37 28 1 5 21 0 18 32,44,45,0,1,7,31 39 26 27 41 3 16 4 33 20,5 6 7 52 0 1 18 29 32 30,1,2,0
8 18 6 36 25 9 22 38 13 45,26 50 28 52 43 32 40 20 4 27,24,60,0,1,3,8 18 6 36 25 9 22 38 13 45,26 28 27 29 50 2 1 4 52 43,1,1,1
1 30 46 40 21 39 31 14 47 50,15 6 36 12 44 22 52 8 37 7,38,31,0,1,5,40 39 41 42 1 14 3 30 31 44,6 8 7 12 15 13 36 37 52 34,1,2,0
52 33 41 44 35 30 40 15 37 31,24 9 18 0 28 12 10 32 14 8,22,32,0,1,21,52 35 40 27 1 41 15 3 16 29,9 10 11 32 33 31 30 34 8 48,2,0,1
39 45 0 52 26 14 15 51 3 23,43 25 41 27 18 47 52 1 38 49,30,0,26,0,21,14 15 16 52 0 2 3 29 42 17,43 52 4 13 27 1 40 41 28 18,1,1,1
51 40 52 50 31 47 1 18 52 32,4 7 15 28 16 19 29 23 26 11,20,45,0,1,13,52 52 40 1 27 31 18 44 5 32,15 16 17 7 26 28 29 33 4 43,1,1,1
50 35 40 12 41 36 39 2 38 47,51 4 13 44 10 48 7 22 43 29,37,0,60,0,5,40 41 39 50 35 36 38 1 2 3,51 4 13 44 10 48 7 22 43 29,2,1,0
51 40 5 42 4 3 25 37 2 18,21 20 1 27 15 0 30 39 35 52,14,0,27,0,8,4 3 2 5 45 46 44 40 18 20,1 27 52 52 0 39 15 42 30 19,2,1,0
22 35 11 45 52 12 30 32 18 4,9 40 24 17 31 41 5 8 51 7,0,60,0,1,15,22 35 11 45 52 12 30 32 18 4,9 8 7 39 31 29 40 27 1 52,1,1,1
6 20 24 13 52 17 44 35 52 5,49 39 0 40 48 19 3 50 11 10,18,0,10,0,7,6 5 4 3 20 52 44 24 52 31,49 48 50 27 28 26 39 0 40 14,1,2,0
28 43 15 49 9 52 11 22 44 21,17 37 30 34 13 47 33 18 14 48,29,0,7,0,7,22 21 23 9 52 11 8 27 28 52,47 48 49 13 14 15 17 30 43 18,1,2,0
39 36 38 13 47 23 4 28 31 7,41 10 11 1 32 52 17 14 27 12,5,0,4,0,9,28 30 29 31 16 17 39 13 0 26,10 11 12 52 38 36 27 1 14 41,1,1,1
33 22 21 9 42 13 38 51 25 16,2 18 24 36 14 5 15 34 30 3,48,0,48,0,10,22 21 20 9 38 27 42 16 52 35,39 14 40 2 15 3 30 18 5 44,1,1,1
19 7 39 11 15 17 36 52 13 29,44 40 33 16 6 12 1 8 47 3,28,0,52,0,5,17 19 18 15 52 7 41 11 50 52,1 3 2 40 16 44 6 33 12 8,1,1,1
36 19 47 22 45 24 27 39 17 11,48 8 7 50 31 1 21 2 52 10,40,21,0,1,9,47 45 46 22 24 27 39 42 17 19,8 7 6 1 31 32 48 50 49 52,2,1,0
5 35 19 1 42 29 20 52 48 24,37 34 45 26 8 4 30 12 27 23,33,0,60,0,20,13 14 15 20 41 42 52 28 29 46,37 34 45 26 8 4 30 12 27 23,1,2,0
29 39 31 23 3 13 26 25 11 32,8 36 47 7 22 38 30 34 20 33,44,0,54,0,15,26 27 38 31 5 40 39 13 0 18,36 34 33 35 30 7 20 8 47 22,1,1,1
34 47 25 2 0 32 50 31 17 52,35 19 8 33 13 44 39 46 48 7,24,0,40,0,10,17 18 16 50 40 42 52 29 31 28,8 7 6 13 39 1 44 19 33 46,1,2,0
45 20 17 7 30 42 10 35 25 1,32 18 34 16 47 39 2 41 6 36,23,0,11,0,11,30 31 32 10 52 17 42 43 41 52,34 35 33 36 16 18 39 13 14 2,2,1,0
6 5 14 8 11 12 0 30 31 42,17 28 22 7 50 37 29 32 49 18,1,0,35,0,13,42 43 44 14 5 7 41 52 15 40,50 49 48 39 28 2 29 17 18 31,1,1,1
14 25 15 17 6 0 47 20 52 37,28 7 11 21 31 23 45 33 8 40,12,0,34,0,9,0 2 1 25 14 15 17 52 29 42,7 8 6 5 40 28 30 43 31 45,1,1,1
9 5 17 29 25 27 23 34 13 31,39 4 43 10 40 37 2 15 36 1,21,0,32,0,9,29 27 28 25 23 24 22 34 31 5,39 40 51 1 14 2 15 4 43 30,2,0,1
39 9 42 40 0 19 25 34 13 29,27 20 35 32 15 16 38 52 43 24,11,3,0,1,7,18 19 20 40 42 50 39 0 13 1,27 28 29 52 15 16 24 43 4 37,1,1,1
28 49 14 35 45 48 31 15 33 12,50 26 27 3 0 52 17 44 13 42,16,60,0,1,11,28 49 14 35 45 48 31 15 33 12,26 27 38 3 52 44 17 30 43 42,1,1,1
49 6 7 31 32 10 48 52 8 23,52 25 3 20 9 18 35 5 4 39,47,0,15,0,3,6 7 8 31 32 52 49 10 23 36,3 5 4 52 20 18 21 39 1 25,1,1,1
9 33 25 35 24 2 51 21 0 14,52 37 46 28 13 40 12 15 3 5,6,48,0,1,12,33 35 34 0 14 2 7 9 25 24,40 42 41 3 5 4 52 28 15 52,2,0,1
26 12 7 49 2 24 27 42 22 16,1 18 50 35 48 17 38 25 37 52,33,16,0,1,11,26 27 28 7 46 2 12 42 16 30,50 48 49 35 38 37 36 52 1 0,2,1,0
6 49 34 45 12 22 36 30 5 48,31 15 1 35 23 37 46 11 17 27,50,0,14,0,6,49 48 47 46 30 31 32 5 6 4,37 35 36 11 17 19 1 27 15 41,3,0,0
12 47 51 9 38 6 24 34 7 0,35 33 36 42 8 13 11 18 26 27,37,0,14,0,1,12 0 1 9 6 7 8 24 51 38,35 33 36 34 11 26 27 13 42 18,2,0,1
30 44 29 31 10 51 52 2 13 39,1 12 28 18 38 4 35 16 40 50,6,0,9,0,10,30 29 31 51 52 39 42 3 45 32,1 2 12 0 19 16 18 26 40 28,1,1,1
52 50 37 16 42 38 5 1 22 4,12 45 44 35 3 26 7 33 39 21,41,0,42,0,8,37 38 36 35 52 5 4 16 42 28,45 44 46 26 39 3 29 7 33 12,1,1,1
45 49 30 9 12 31 29 6 13 46,5 3 18 33 37 16 10 51 27 25,43,0,60,0,15,30 31 29 45 46 52 49 52 50 4,5 3 18 33 37 16 10 51 27 25,1,2,0
30 35 9 39 45 3 22 32 19 46,5 18 0 48 26 37 49 6 1 43,50,52,0,1,6,30 32 31 39 3 45 19 46 35 9,26 28 27 38 37 0 1 52 5 6,1,2,0
47 44 52 3 29 34 43 46 38 27,36 33 15 50 19 42 2 49 39 5,16,0,46,0,12,43 44 45 52 3 18 27 14 1 29,42 39 26 40 15 2 5 31 19 33,1,1,1
23 49 31 28 5 37 39 9 34 51,0 6 30 22 13 32 44 42 14 40,36,0,47,0,10,3 5 4 23 37 35 34 32 33 49,0 13 14 40 28 42 30 44 18 6,2,1,0
36 30 0 22 43 16 1 39 23 52,13 46 45 40 47 51 21 2 31 37,50,32,0,1,14,52 11 0 39 1 27 16 3 30 43,46 45 47 48 40 51 37 13 14 25,2,1,0
26 44 12 20 7 49 2 52 27 3,36 8 11 38 50 34 6 30 41 13,14,0,31,0,9,27 26 38 28 52 2 3 52 15 17,8 6 7 5 1 13 41 30 20 36,1,2,0
35 15 20 42 23 1 45 28 10 33,0 8 32 30 16 2 49 44 39 17,40,8,0,1,12,33 35 34 32 1 14 20 23 15 28,43 44 42 27 0 2 3 30 17 4,1,1,1
36 39 2 47 33 15 0 52 50 19,26 4 48 3 12 24 14 7 41 28,45,0,7,0,13,20 21 22 19 52 15 2 52 0 3,41 42 44 43 26 28 6 39 13 14,1,2,0
21 1 10 31 38 0 9 41 15 50,22 35 36 52 29 45 8 39 13 28,5,0,8,0,12,10 9 8 7 31 41 42 40 1 27,43 45 46 44 52 28 29 39 13 15,1,1,1
17 30 51 36 22 18 16 10 24 34,8 0 2 49 1 37 33 5 4 47,21,19,0,1,2,17 18 16 22 24 34 52 27 30 51,0 2 1 8 5 4 49 10 36 47,1,1,1
12 18 21 50 32 14 35 7 49 44,11 1 41 30 2 17 10 47 25 20,0,19,0,1,11,50 49 51 31 32 33 14 27 4 18,11 10 9 12 1 2 52 30 17 43,1,1,1
8 29 48 32 17 14 11 33 13 6,24 16 7 49 37 18 43 21 1 5,0,0,60,0,11,32 33 34 13 48 50 41 15 28 26,24 16 7 49 37 18 43 21 1 5,1,1,1
9 52 4 33 21 49 26 15 1 3,31 20 17 45 41 16 23 6 27 36,35,0,60,0,10,13 15 14 9 0 1 52 39 40 52,31 20 17 45 41 16 23 6 27 36,1,2,0
0 50 36 9 47 6 13 33 21 7,35 29 11 44 3 45 52 31 25 17,49,60,0,1,9,0 50 36 9 47 6 13 33 21 7,44 45 46 29 52 31 26 28 27 23,2,1,0
