,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
30,17,0,-60,-35,-43,-36,-16,1,-60,-60,-60,-60,42,60,-15,-6,-53,-13,10,60,-11,60,-11,-60,46,60,7,37,-60,-19,16,60,-54,-60,-39,7
31,-12,45,-60,-60,-50,-42,-32,0,-60,-60,-60,-60,60,60,-53,-53,-60,-53,60,60,-52,47,-52,5,55,60,-60,18,3,-60,40,60,-33,-22,-45,-39
32,44,0,-5,-59,-60,-55,-38,0,-60,-60,-60,-60,34,51,-60,-60,3,-60,17,60,-60,-34,-60,50,35,60,-60,60,17,-60,41,60,-60,16,3,-22
33,-58,34,-43,-42,-60,-47,-27,0,-60,-60,-60,-60,60,60,-21,16,-4,3,60,51,2,60,3,-17,43,60,2,17,7,5,48,60,2,9,36,5
34,-12,0,-27,-60,-46,-45,-14,0,-60,-60,-60,-60,33,60,9,10,10,15,10,60,52,23,50,60,41,60,9,22,60,17,47,60,9,18,7,36
35,3,47,-59,-50,-46,-22,-37,0,-60,-60,-53,-60,60,60,-8,28,59,18,17,60,-18,16,-17,46,60,60,-11,60,24,10,53,60,-18,60,60,10
36,12,20,-50,-47,-26,-44,-57,0,-60,-60,-60,-60,44,60,60,60,24,59,39,60,60,23,60,-34,29,60,60,50,-26,60,40,60,60,47,51,60
37,31,26,-48,-48,-47,-27,-6,0,-60,-60,-60,-60,25,60,17,17,2,23,43,60,47,60,51,56,19,60,17,16,56,23,44,60,47,-34,4,45
38,6,28,-17,-28,-16,-31,-12,-5,-60,-60,-56,-60,29,60,-41,22,56,21,47,60,-34,-20,-34,-13,27,60,2,19,48,-26,21,60,-14,60,56,4
39,10,37,-60,-21,-60,-27,-11,0,-60,-60,-60,-60,29,60,56,53,-17,56,45,60,56,-60,56,18,21,60,56,60,39,56,60,60,56,23,15,56
40,-36,0,-50,-50,-37,-55,-12,-2,-60,-60,-60,-60,60,60,45,23,38,-17,60,60,-23,-15,15,17,48,60,-12,17,-21,51,50,60,-17,16,39,-20
41,19,37,2,-57,-60,-22,-22,-3,-60,-60,-60,-60,52,60,31,16,17,18,38,60,27,-11,39,60,42,60,35,-60,60,18,39,60,35,19,-22,18
42,-17,35,-55,-28,-52,-60,-9,0,-60,-60,-57,-60,22,60,13,16,60,17,21,60,12,42,17,7,60,60,-20,-16,-9,-21,42,60,-30,60,60,-22
43,-37,50,-48,-60,-46,-27,-34,0,-60,-60,-60,-60,33,60,60,60,-3,60,60,60,60,17,60,-41,36,60,60,-9,-32,60,46,45,60,17,-9,60
44,16,2,-45,-60,-33,-36,0,0,-60,-60,-60,-60,46,0,-15,-15,-41,15,60,60,-20,-52,10,23,60,60,5,42,4,-9,52,60,5,-59,-59,-9
45,-38,60,-47,-60,-60,-59,-53,0,-60,-60,-60,-60,24,60,-41,-60,-29,-41,60,60,-60,13,-41,-11,22,60,-60,-22,-9,-32,60,60,-59,-16,-32,-59
46,33,57,-27,-35,-60,-49,-7,0,-60,-24,-60,-60,60,58,-3,-10,-6,-3,54,60,-30,-23,-20,45,47,60,-16,-38,45,-14,27,60,-16,-13,-13,-16
47,12,5,-46,-50,-26,-60,-30,5,-60,-60,-60,-60,33,60,2,-6,-3,-6,27,60,-11,-18,-11,12,16,43,11,35,-19,-9,42,60,-13,42,45,-13
48,24,0,-60,-58,-60,-22,-38,12,-60,-60,-60,-60,51,60,-15,42,11,-3,47,45,38,60,45,-52,46,60,-15,-11,-14,45,25,60,38,17,17,45
49,22,10,-28,-42,-49,-20,-50,0,-60,-60,-60,-60,39,60,-2,25,-2,-9,54,59,12,56,12,-2,60,60,-2,-22,-17,-22,45,60,14,-38,-14,17
50,21,45,-60,-31,-60,-31,0,0,-60,-60,-60,-60,60,60,-13,-43,-12,-38,18,60,-52,-37,-27,-23,28,60,-18,60,31,-38,60,60,-18,35,-17,-38
51,-20,22,-60,-42,-40,-60,-29,-18,-53,-60,-60,-60,60,60,13,35,-15,39,37,60,10,45,25,-21,60,60,12,56,-45,32,57,60,2,-15,31,32
52,20,0,-21,-47,-55,-49,0,0,-60,-60,-60,-60,60,60,-12,-12,-37,-12,45,60,-23,12,-23,59,18,60,-18,-60,60,31,58,60,-22,-26,-8,31
53,5,39,-60,-60,-60,-31,-46,24,-60,-60,-60,-60,60,60,-22,15,60,-37,60,60,-2,45,-21,56,60,60,2,45,56,-45,60,60,-20,60,60,-8
54,24,23,-40,39,-60,-51,-34,0,-60,-60,-60,-60,26,60,38,60,56,59,60,60,38,12,60,-37,16,60,38,-3,-60,59,60,60,38,56,56,60
55,-12,16,-50,-60,-58,-45,0,0,-60,-60,-60,-60,41,60,56,56,-60,56,60,60,56,35,56,52,60,60,56,45,52,56,45,60,56,-60,-60,56
56,31,56,-18,-10,-33,-51,-8,0,-60,-53,-60,-60,44,60,-60,-60,52,-60,18,60,-37,-2,-37,-19,45,60,-60,25,8,-60,23,60,-60,45,52,-60
57,45,0,-25,-52,-60,-60,-28,0,-60,-60,-60,-60,60,60,17,45,-9,52,32,60,17,-24,52,45,46,60,35,35,45,52,34,60,35,44,9,52
58,29,13,-47,-38,-39,-55,-37,0,-57,-60,-60,-60,29,60,3,20,45,-9,48,44,-59,-14,22,22,60,60,-54,-7,22,-21,60,45,7,45,45,-17
59,51,44,-29,-37,-46,-60,-16,0,-60,-56,-60,-24,60,60,45,45,11,45,47,60,45,52,45,28,47,46,45,20,28,45,34,60,45,12,-29,45
60,13,5,-32,-32,-30,-17,-36,0,-60,-60,-60,-60,38,60,-11,12,4,14,26,60,11,46,15,-2,34,60,47,-22,-7,11,29,60,-29,35,28,-29
61,14,0,-36,-17,-40,-20,-21,0,-60,-60,-60,-60,19,60,-13,5,-2,4,52,60,25,-13,28,-24,21,60,-16,20,10,28,45,60,-25,-7,-7,28
62,24,42,-42,-37,-45,-35,-36,3,-60,-60,-60,-60,38,60,7,-2,-5,-2,47,60,-7,-23,-2,-14,26,60,4,46,-22,-7,24,60,4,20,2,-7
63,-36,21,-33,-18,-23,-60,-60,0,-60,-57,-60,-60,10,0,-5,-5,17,-5,60,60,-24,15,-24,22,57,60,10,60,36,-27,21,60,2,-22,-22,-27
64,49,0,-46,-42,-60,-36,-6,0,-60,-60,-60,-60,37,60,-9,-9,36,-7,37,60,-14,22,-14,50,60,60,-16,-34,50,-22,18,60,-10,20,36,-22
65,-14,0,-37,-51,-48,-52,0,0,-60,-60,-60,-60,60,60,48,52,50,22,60,60,48,44,36,48,55,60,42,15,21,22,21,60,42,46,50,22
66,7,14,-60,-21,-60,-30,-31,0,-60,-60,-60,-60,32,60,46,46,60,50,-23,60,41,-4,50,-23,60,60,46,-9,-34,46,26,60,46,60,21,46
67,6,43,-29,-60,-60,-27,-57,0,-60,-60,-60,-60,45,53,42,60,-15,26,20,60,-13,33,-13,15,13,56,9,44,14,17,30,60,16,-34,-34,17
68,-30,11,-55,-37,-58,-31,-60,0,-60,-60,-60,-60,48,60,-2,-2,14,-15,45,60,3,-20,-7,27,18,60,-24,-3,-9,-34,27,43,-24,15,14,-34
69,16,0,-47,-49,-54,-53,-27,0,-60,-60,-30,-53,60,60,14,15,-4,15,25,60,14,29,14,52,25,60,14,16,52,15,45,60,14,-9,-9,15
70,18,34,-52,-26,-54,-23,-10,-1,-60,-60,-60,-60,60,60,14,-4,52,-4,24,39,14,22,27,-4,44,60,-9,-22,-3,-9,25,60,-9,44,52,-9
71,-60,50,-60,-43,-44,-60,-39,-22,-60,-60,-60,-60,43,60,40,44,-3,52,55,60,40,-29,52,34,60,60,40,29,23,52,17,60,40,-10,-10,52
72,-32,46,-21,-60,-60,-55,-60,0,-60,-60,-60,-56,49,60,4,-3,23,-3,47,60,-4,-26,-4,12,50,60,18,22,33,-3,60,60,18,33,23,-10
73,-14,30,-38,-46,-60,-41,-3,0,-60,-60,-60,-60,46,60,14,25,33,23,58,40,18,2,23,-12,43,60,18,21,-17,21,25,60,18,-21,29,34
74,-10,19,-32,-33,-21,-60,-43,0,-60,-60,-60,-60,60,39,22,33,-15,33,55,60,25,10,29,17,53,60,27,-32,7,33,23,60,23,29,-17,11
75,-4,10,-19,-20,-43,-60,-17,0,-60,-60,-60,-60,39,60,-8,29,8,-16,26,60,-12,-7,-12,-29,60,60,-34,2,-11,-17,22,60,-32,22,34,-17
76,35,0,-52,-60,-60,-39,-50,0,-60,-60,-49,-57,60,60,17,22,-2,40,15,60,10,-17,34,-39,19,60,17,10,-45,17,18,60,25,-22,16,17
77,-6,14,-42,-60,-31,-46,-17,0,-60,-60,-60,-60,48,60,5,-2,-38,-11,60,60,-29,-38,-29,38,37,60,-7,-5,10,-11,30,60,-25,-32,-45,-18
78,-41,34,-27,-43,-60,-49,-15,0,-60,-60,-60,-60,60,60,-17,-25,19,-38,50,60,-39,-47,-39,13,43,60,-26,-44,13,-45,24,60,-26,2,-21,-45
79,20,12,-60,-50,-60,-56,-5,0,-60,-60,-60,-60,38,60,-15,2,-5,19,14,60,2,-13,6,-22,60,60,13,-43,-17,10,52,60,13,10,13,-21
80,-8,60,-18,-26,-51,-49,-36,0,-60,-60,-60,-60,43,60,32,10,-13,-5,60,60,32,-19,13,-17,34,60,15,-29,-44,13,21,46,15,-13,-28,13
81,30,29,-26,-45,-53,-31,-27,0,-60,-60,-60,-60,35,60,-13,-2,8,10,60,60,-33,-11,-22,-38,60,17,-39,-3,-19,-17,45,60,-39,-16,-16,17
82,28,13,-46,-38,-45,-14,-43,0,-60,-60,-60,-60,60,40,4,-14,-38,8,49,60,-17,-5,-17,-47,18,60,-9,-13,-29,-44,49,60,-16,-43,-22,-16
