,,win % (p1),0 % (p1),0 % (p2),avg gain (p1),med gain (p1),med nrounds,low 95% nrounds,up 95% nrounds,% nrounds 25,# 0 (pseq),# 0 (iseq),# 0 (seq),# 0 (set)
Random,Random,0.496,0.011,0.012,-0.266,0.0,25.0,25.0,25.0,0.978,0.401,0.189,0.057,0.189
Random,Defeat,0.925,0.018,0.0,17.574,16.0,25.0,25.0,25.0,0.983,0.525,0.215,0.073,0.203
Random,Minscore,0.003,0.003,0.996,-47.8,-52.0,8.0,2.0,17.0,0.002,0.362,0.472,0.152,0.152
Random,Mindist,0.003,0.003,0.997,-47.303,-51.0,8.0,2.0,17.0,0.001,0.359,0.271,0.075,0.22
Random,Mindistscore,0.004,0.004,0.994,-47.371,-51.0,7.0,2.0,17.0,0.002,0.356,0.379,0.108,0.18
Random,MindistOpp,0.004,0.004,0.995,-47.486,-51.0,7.0,2.0,16.0,0.0,0.351,0.313,0.08,0.193
Defeat,Random,0.078,0.0,0.015,-17.46,-16.0,25.0,25.0,25.0,0.985,0.435,0.273,0.117,0.273
Defeat,Defeat,0.507,0.0,0.0,-0.011,0.0,25.0,25.0,25.0,1.0,0.2,0.0,0.0,0.4
Defeat,Minscore,0.001,0.0,0.999,-59.69,-60.0,6.0,2.0,13.0,0.001,0.461,0.382,0.161,0.14
Defeat,Mindist,0.0,0.0,1.0,-59.669,-60.0,6.0,2.0,13.025,0.001,0.441,0.221,0.079,0.221
Defeat,Mindistscore,0.0,0.0,0.999,-59.683,-60.0,6.0,2.0,14.0,0.0,0.438,0.283,0.101,0.184
Defeat,MindistOpp,0.0,0.0,1.0,-59.682,-60.0,6.0,2.0,13.0,0.0,0.43,0.24,0.081,0.203
Minscore,Random,0.996,0.995,0.004,47.888,52.0,7.0,2.0,16.0,0.001,0.361,0.474,0.156,0.148
Minscore,Defeat,1.0,0.999,0.0,59.403,60.0,6.0,1.0,12.0,0.001,0.452,0.378,0.151,0.152
Minscore,Minscore,0.535,0.535,0.465,2.421,2.0,6.0,1.0,12.0,0.0,0.334,0.484,0.143,0.149
Minscore,Mindist,0.524,0.524,0.477,6.612,4.0,6.0,1.0,12.0,0.0,0.329,0.426,0.119,0.173
Minscore,Mindistscore,0.498,0.498,0.501,3.907,-2.0,6.0,1.0,12.0,0.0,0.335,0.45,0.13,0.165
Minscore,MindistOpp,0.477,0.477,0.523,4.225,-2.0,6.0,1.0,12.0,0.0,0.327,0.427,0.115,0.173
Mindist,Random,0.997,0.997,0.003,47.42,51.0,7.0,1.0,16.0,0.0,0.352,0.269,0.075,0.224
Mindist,Defeat,1.0,1.0,0.0,59.231,60.0,5.0,1.0,13.0,0.0,0.432,0.218,0.074,0.222
Mindist,Minscore,0.565,0.565,0.435,0.107,3.0,6.0,1.0,12.0,0.0,0.326,0.412,0.116,0.182
Mindist,Mindist,0.542,0.542,0.458,3.278,7.0,5.0,1.0,12.0,0.001,0.322,0.344,0.087,0.204
Mindist,Mindistscore,0.525,0.525,0.475,0.979,3.0,5.0,1.0,12.0,0.0,0.322,0.38,0.099,0.186
Mindist,MindistOpp,0.505,0.505,0.495,1.377,2.0,5.0,1.0,11.025,0.0,0.321,0.355,0.089,0.195
Mindistscore,Random,0.996,0.995,0.004,47.508,51.0,6.0,1.0,16.0,0.002,0.364,0.385,0.111,0.165
Mindistscore,Defeat,1.0,1.0,0.0,59.284,60.0,5.0,1.0,13.0,0.0,0.426,0.286,0.097,0.188
Mindistscore,Minscore,0.589,0.589,0.411,2.433,3.0,6.0,1.0,12.0,0.0,0.333,0.445,0.118,0.157
Mindistscore,Mindist,0.557,0.557,0.444,5.546,9.0,5.0,1.0,12.0,0.0,0.334,0.375,0.1,0.187
Mindistscore,Mindistscore,0.54,0.54,0.46,3.417,4.0,5.0,1.0,12.0,0.0,0.329,0.41,0.112,0.175
Mindistscore,MindistOpp,0.521,0.521,0.479,3.67,4.0,5.0,1.0,11.0,0.0,0.326,0.386,0.102,0.182
MindistOpp,Random,0.998,0.998,0.002,47.733,51.0,6.0,1.0,15.0,0.0,0.352,0.317,0.086,0.201
MindistOpp,Defeat,1.0,1.0,0.0,59.234,60.0,5.0,1.0,12.0,0.0,0.425,0.231,0.074,0.207
MindistOpp,Minscore,0.611,0.611,0.389,2.497,4.0,5.0,1.0,11.0,0.0,0.326,0.418,0.11,0.169
MindistOpp,Mindist,0.583,0.583,0.418,5.969,11.5,5.0,1.0,11.0,0.0,0.321,0.353,0.089,0.202
MindistOpp,Mindistscore,0.566,0.566,0.434,3.559,6.0,5.0,1.0,11.0,0.0,0.321,0.382,0.099,0.186
MindistOpp,MindistOpp,0.546,0.546,0.454,3.728,7.0,5.0,1.0,11.0,0.0,0.322,0.363,0.092,0.192
