,mdist1,mdist2
0,3,2
1,3,2
2,2,4
3,2,2
4,3,3
5,2,3
6,4,3
7,1,5
8,2,4
9,4,3
10,3,3
11,3,3
12,3,2
13,3,4
14,3,2
15,4,3
16,3,3
17,3,3
18,3,3
19,4,4
20,3,4
21,3,4
22,2,3
23,4,3
24,2,2
25,3,3
26,2,2
27,3,2
28,2,2
29,3,3
30,3,3
31,2,4
32,2,4
33,4,3
34,2,3
35,4,3
36,3,1
37,4,3
38,3,2
39,2,3
40,4,2
41,2,5
42,3,5
43,4,3
44,1,4
45,3,3
46,2,3
47,2,3
48,3,4
49,2,3
50,2,1
51,3,4
52,2,4
53,2,3
54,2,2
55,4,3
56,2,4
57,2,3
58,3,3
59,4,4
60,4,3
61,4,3
62,4,4
63,4,4
64,3,4
65,3,2
66,4,3
67,2,2
68,5,3
69,3,2
70,3,4
71,2,4
72,4,3
73,3,2
74,2,2
75,3,3
76,2,3
77,2,2
78,3,2
79,2,2
80,3,2
81,2,2
82,2,1
83,2,3
84,1,2
85,3,2
86,4,4
87,3,4
88,3,2
89,3,4
90,4,3
91,3,2
92,2,3
93,3,5
94,4,3
95,4,3
96,4,2
97,3,4
98,2,3
99,2,3
100,2,3
101,2,3
102,4,4
103,2,3
104,4,2
105,2,3
106,3,2
107,4,1
108,2,2
109,2,3
110,3,3
111,2,3
112,2,4
113,3,3
114,2,3
115,4,3
116,3,2
117,2,2
118,1,3
119,3,2
120,4,4
121,3,2
122,3,2
123,3,3
124,3,4
125,3,2
126,3,4
127,5,2
128,0,3
129,3,3
130,3,3
131,3,1
132,3,2
133,4,4
134,4,4
135,3,4
136,1,3
137,3,3
138,4,4
139,2,3
140,3,4
141,2,3
142,3,3
143,2,2
144,3,2
145,2,1
146,3,4
147,3,2
148,4,3
149,3,3
150,3,3
151,1,5
152,4,3
153,2,4
154,3,3
155,2,2
156,0,3
157,3,2
158,3,3
159,3,3
160,4,2
161,2,3
162,4,4
163,3,4
164,2,3
165,4,4
166,4,2
167,4,4
168,2,5
169,3,3
170,1,3
