,mdist1,mdist2
0,4,1
1,4,2
2,1,2
3,1,3
4,3,2
5,1,3
6,3,3
7,4,4
8,2,4
9,1,4
10,3,2
11,3,4
12,4,2
13,3,3
14,3,4
15,4,3
16,3,4
17,3,3
18,1,4
19,2,3
20,3,4
21,3,3
22,3,3
23,2,2
24,4,3
25,3,3
26,3,3
27,2,2
28,3,1
29,3,4
30,4,3
31,3,3
32,3,3
33,3,3
34,3,4
35,3,4
36,2,3
37,3,4
38,2,4
39,3,4
40,3,3
41,4,3
42,4,2
43,3,2
44,4,3
45,4,4
46,3,3
47,2,4
48,3,4
49,3,3
50,2,4
51,2,3
52,3,4
53,3,3
54,4,3
55,2,3
56,3,3
57,2,3
58,4,3
59,4,2
60,3,3
61,3,3
62,5,3
63,1,2
64,4,3
65,3,2
66,4,3
67,1,3
68,3,4
69,3,3
70,4,3
71,2,3
72,2,4
73,3,3
74,2,4
75,3,2
76,3,4
77,3,4
78,4,3
79,4,4
80,3,3
81,3,3
82,4,4
83,2,3
84,2,3
85,3,4
86,4,2
87,3,4
88,3,2
89,4,3
90,3,2
91,4,4
92,4,3
93,3,3
94,1,5
95,3,4
96,4,4
97,3,4
98,3,3
99,3,3
100,4,3
101,3,4
102,3,2
103,3,3
104,3,3
105,2,3
106,1,3
107,3,3
108,3,3
109,3,2
110,4,3
111,3,3
112,3,3
113,3,4
114,2,3
115,2,3
116,3,4
117,4,3
118,3,4
119,2,3
120,4,4
121,1,3
122,3,3
123,4,2
124,4,2
125,4,3
126,4,3
127,2,2
128,4,3
129,3,3
130,4,4
131,4,4
132,3,4
133,4,3
134,3,4
135,2,3
136,3,2
137,3,2
138,4,3
139,4,3
140,3,3
141,4,2
142,2,3
143,3,3
144,3,4
145,3,3
146,3,2
147,2,4
148,4,3
149,4,3
150,3,3
151,4,3
152,2,3
153,3,3
154,4,2
155,3,2
156,3,2
157,2,4
158,3,3
159,2,3
160,2,4
161,2,4
162,4,4
163,4,3
164,3,3
165,3,3
166,3,2
167,4,3
168,3,3
169,2,4
170,3,3
171,3,3
172,3,2
173,2,3
174,3,4
175,2,3
176,4,3
177,4,2
178,2,4
179,3,3
