"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,12,1,4,1,1,1,1,6,3,4,3,4,0,6,3,2,2,11,3
"2",2,5,12,5,10,1,12,1,4,4,0,0,6,1,6,4,6,1,2,15,13
"3",3,10,18,5,11,5,12,5,10,1,6,0,1,0,0,6,1,2,2,26,14
"4",4,10,20,6,11,10,18,5,11,3,2,1,3,1,0,2,1,2,1,28,15
"5",5,10,23,11,11,10,20,6,11,3,0,0,3,5,3,3,5,2,1,31,20
"6",6,13,23,14,11,10,23,11,11,3,3,0,3,0,0,3,3,1,1,34,23
"7",7,22,23,14,14,13,23,14,11,6,2,3,2,3,0,6,3,1,2,43,26
"8",8,22,25,14,19,22,23,14,14,2,0,0,5,5,5,2,5,2,2,45,31
"9",9,22,30,19,19,22,25,14,19,5,5,0,5,0,0,5,5,2,1,50,36
"10",10,30,30,22,19,22,30,19,19,2,3,6,2,3,0,6,3,1,1,58,39
"11",11,30,32,22,21,30,30,22,19,2,0,0,2,2,5,2,2,2,2,60,41
"12",12,30,37,22,23,30,32,22,21,2,5,0,2,0,0,5,2,2,2,65,43
"13",13,34,37,25,23,30,37,22,23,1,3,4,1,3,0,4,3,1,1,69,46
"14",14,34,38,25,28,34,37,25,23,1,0,0,2,3,5,1,5,2,2,70,51
"15",15,36,38,28,28,34,38,25,28,2,3,0,3,0,0,2,3,1,1,72,54
"16",16,38,38,37,28,36,38,28,28,1,2,6,1,6,0,2,6,1,1,74,63
"17",17,42,38,41,28,38,38,37,28,1,0,0,4,4,5,1,4,1,1,78,67
"18",18,42,38,41,28,42,38,41,28,4,5,0,NA,0,0,0,0,0,0,78,67
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,4,1,1,2,1,1,1,1,2,3,1,2,1,0,3,1,1,2,3,1
"21",2,6,1,2,2,4,1,1,2,2,0,0,6,1,5,2,1,1,1,5,2
"22",3,6,9,7,2,6,1,2,2,6,5,0,5,0,0,6,5,2,1,13,7
"23",4,6,13,7,6,6,9,7,2,4,4,2,4,2,0,4,4,2,2,17,11
"24",5,8,13,7,7,6,13,7,6,2,0,0,1,3,5,2,1,1,2,19,12
"25",6,8,18,7,10,8,13,7,7,3,5,0,3,0,0,5,3,2,2,24,15
"26",7,16,24,8,10,8,18,7,10,6,1,1,1,1,0,6,1,2,1,38,16
"27",8,16,25,11,10,16,24,8,10,1,0,0,5,4,3,1,3,2,1,39,19
"28",9,20,25,16,10,16,25,11,10,5,4,0,5,0,0,4,5,1,1,43,24
"29",10,20,1,30,11,20,25,16,10,4,6,2,6,2,0,4,6,2,1,19,39
"30",11,22,1,35,11,20,1,30,11,2,0,0,2,4,5,2,5,1,1,21,44
"31",12,24,1,39,13,22,1,35,11,2,4,0,4,0,0,2,4,1,1,23,88
"32",13,25,1,39,14,24,1,39,13,3,1,1,3,1,0,1,1,1,2,24,89
"33",14,28,1,39,18,25,1,39,14,3,0,0,4,4,5,3,4,1,2,27,93
"34",15,33,1,39,22,28,1,39,18,4,5,0,4,0,0,5,4,1,2,32,97
"35",16,36,1,39,25,33,1,39,22,3,3,4,3,4,0,3,3,1,2,35,100
"36",17,40,1,39,32,36,1,39,25,4,0,0,6,2,2,4,6,1,2,39,107
"37",18,40,3,39,32,40,1,39,32,2,2,0,2,0,0,2,0,2,0,41,107
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,1,4,1,6,1,1,1,1,3,5,3,5,3,0,3,5,2,2,3,5
"40",2,1,7,5,6,1,4,1,6,3,0,0,5,4,4,3,4,2,1,6,9
"41",3,5,7,5,11,1,7,5,6,5,4,0,5,0,0,4,5,1,2,10,14
"42",4,5,15,5,13,5,7,5,11,6,1,2,1,2,0,6,2,2,2,18,16
"43",5,5,16,5,16,5,15,5,13,1,0,0,2,5,3,1,3,2,2,19,19
"44",6,10,16,5,18,5,16,5,16,2,5,0,2,0,0,5,2,1,2,24,21
"45",7,10,19,5,22,10,16,5,18,1,3,4,1,4,0,3,4,2,2,27,25
"46",8,10,20,7,22,10,19,5,22,1,0,0,6,2,6,1,2,2,1,28,27
"47",9,12,26,12,28,10,20,7,22,6,6,0,6,0,0,6,6,2,2,36,38
"48",10,12,29,12,31,12,26,12,28,3,5,3,5,3,0,3,3,2,2,39,41
"49",11,12,34,12,36,12,29,12,31,5,0,0,4,1,5,5,5,2,2,44,46
"50",12,12,38,13,36,12,34,12,36,4,1,0,1,0,0,4,1,2,1,48,47
"51",13,15,38,18,36,12,38,13,36,5,4,3,5,4,0,3,5,1,1,51,52
"52",14,19,38,22,36,15,38,18,36,4,0,0,4,4,2,4,4,1,1,55,56
"53",15,23,38,22,38,19,38,22,36,4,2,0,2,0,0,4,2,1,2,59,58
"54",16,26,39,25,39,23,38,22,38,1,2,1,2,1,0,1,1,2,2,101,100
"55",17,28,39,30,39,26,39,25,39,2,0,0,3,3,5,2,5,1,1,103,105
"56",18,31,39,30,39,28,39,30,39,3,3,0,3,0,0,3,0,1,0,106,105
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,1,6,1,2,1,1,1,1,5,1,4,1,4,0,5,1,2,2,5,1
"59",2,1,10,2,2,1,6,1,2,4,0,0,1,4,2,4,1,2,1,9,2
"60",3,5,10,4,2,1,10,2,2,4,2,0,2,0,0,4,2,1,1,13,4
"61",4,5,15,4,5,5,10,4,2,5,5,3,5,3,0,5,3,2,2,18,7
"62",5,5,20,4,10,5,15,4,5,5,0,0,1,5,3,5,5,2,2,23,12
"63",6,8,20,5,10,5,20,4,10,1,3,0,1,0,0,3,1,1,1,26,13
"64",7,8,25,9,10,8,20,5,10,5,1,4,1,4,0,5,4,2,1,31,17
"65",8,9,25,9,20,8,25,9,10,1,0,0,6,1,3,1,6,1,2,32,27
"66",9,9,26,12,20,9,25,9,20,1,3,0,3,0,0,1,3,2,1,33,30
"67",10,9,31,14,20,9,26,12,20,2,5,3,2,3,0,5,2,2,1,38,32
"68",11,12,31,14,23,9,31,14,20,3,0,0,3,1,5,3,3,1,2,41,35
"69",12,12,36,14,24,12,31,14,23,1,5,0,1,0,0,5,1,2,2,46,36
"70",13,14,39,22,24,12,36,14,24,3,6,2,6,2,0,3,6,2,1,89,44
"71",14,16,39,25,24,14,39,22,24,2,0,0,2,3,1,2,3,1,1,91,47
"72",15,18,39,26,24,16,39,25,24,2,1,0,1,0,0,2,1,1,1,93,48
"73",16,19,39,27,24,18,39,26,24,1,1,1,1,1,0,1,1,1,1,94,49
"74",17,20,39,29,24,19,39,27,24,1,0,0,2,4,6,1,2,1,1,95,51
"75",18,24,39,29,24,20,39,29,24,4,6,0,6,0,0,4,0,1,0,99,51
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,5,1,4,7,1,1,1,1,4,6,5,6,5,0,4,6,1,2,4,9
"78",2,5,6,10,12,5,1,4,7,5,0,0,5,6,2,5,6,2,1,9,20
"79",3,5,11,10,14,5,6,10,12,5,2,0,2,0,0,5,2,2,2,14,22
"80",4,5,16,10,19,5,11,10,14,4,5,5,4,5,0,5,5,2,2,19,27
"81",5,5,20,12,19,5,16,10,19,4,0,0,4,2,2,4,2,2,1,23,29
"82",6,7,20,12,23,5,20,12,19,4,2,0,4,0,0,2,4,1,2,25,33
"83",7,8,30,6,23,7,20,12,23,6,2,5,2,5,0,6,5,2,1,36,27
