"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"49",10,16,20,1,15,1,1,11,20,1,13,1,1,2,2,5,2,2,0,5,2,1,1,34,14
"50",11,16,20,3,19,1,1,16,20,1,15,1,1,2,0,0,3,4,2,2,4,3,1,36,18
"51",12,16,22,3,22,1,1,16,20,3,19,1,1,3,2,0,3,0,0,2,3,2,1,38,21
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,1,5,1,11,1,1,1,1,1,1,1,1,6,4,6,6,6,0,4,6,2,1,4,10
"54",2,4,5,7,16,1,1,1,5,1,11,1,1,6,0,0,3,5,1,6,5,3,1,13,15
"55",3,4,5,10,17,1,1,4,5,7,16,1,1,3,1,0,1,0,0,3,1,3,1,16,16
"56",4,6,11,10,21,1,1,4,5,10,17,1,1,6,4,2,4,2,0,6,4,2,1,24,20
"57",5,8,11,10,25,1,1,6,11,10,21,1,1,2,0,0,3,4,4,2,4,1,1,26,24
"58",6,8,15,10,28,1,1,8,11,10,25,1,1,3,4,0,3,0,0,4,3,2,1,30,27
"59",7,14,15,14,32,1,1,8,15,10,28,1,1,6,2,4,2,4,0,6,4,1,1,40,31
"60",8,14,15,1,47,1,1,14,15,14,32,1,1,2,0,0,6,2,3,2,6,3,1,27,46
"61",9,17,15,1,47,3,1,14,15,1,47,1,1,2,3,0,2,0,0,3,2,1,2,30,48
"62",10,17,19,1,47,15,1,17,15,1,47,3,1,2,4,6,2,6,0,4,6,2,2,34,60
"63",11,19,19,1,48,16,1,17,19,1,47,15,1,2,0,0,1,2,5,2,1,1,1,36,109
"64",12,21,19,1,48,21,1,19,19,1,48,16,1,2,5,0,5,0,0,2,5,1,2,38,114
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,1,1,4,4,1,1,1,1,1,1,1,1,3,3,1,3,1,0,3,3,3,1,3,3
"67",2,1,2,4,7,1,1,1,1,4,4,1,1,1,0,0,3,3,3,1,3,2,1,4,6
"68",3,1,2,7,10,1,1,1,2,4,7,1,1,3,3,0,3,0,0,3,3,3,1,7,9
"69",4,1,3,7,11,1,1,1,2,7,10,1,1,1,1,1,1,1,0,1,1,2,1,8,10
"70",5,1,4,7,18,1,1,1,3,7,11,1,1,1,0,0,6,1,6,1,6,2,1,9,17
