"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"49",11,27,15,9,16,23,10,24,15,9,16,23,8,3,0,0,1,1,2,3,2,1,3,48,46
"50",12,27,16,9,16,23,11,27,15,9,16,23,10,1,1,0,1,0,0,1,1,2,3,49,47
"51",13,27,16,14,16,23,13,27,16,9,16,23,11,1,2,5,1,2,0,5,2,3,3,54,49
"52",14,27,16,15,21,23,13,27,16,14,16,23,13,1,0,0,3,2,5,1,5,3,1,55,54
"53",15,27,16,18,23,23,13,27,16,15,21,23,13,3,2,0,2,0,0,3,2,3,1,58,56
"54",16,27,21,18,23,23,18,27,16,18,23,23,13,4,5,5,4,5,0,5,5,2,3,63,61
"55",17,27,25,18,23,23,21,27,21,18,23,23,18,4,0,0,3,2,3,4,3,2,3,67,64
"56",18,27,27,18,23,26,21,27,25,18,23,23,21,2,3,0,3,0,0,2,3,2,2,69,67
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,3,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,0,2,2,1,1,2,2
"59",2,3,1,3,3,6,1,3,1,1,3,1,1,2,0,0,5,4,4,2,5,3,2,4,7
"60",3,3,5,3,7,6,1,3,1,3,3,6,1,4,4,0,4,0,0,4,4,2,1,8,11
"61",4,3,5,4,7,7,1,3,5,3,7,6,1,1,1,1,1,1,0,1,1,3,2,9,12
"62",5,4,5,4,9,7,1,3,5,4,7,7,1,1,0,0,1,2,1,1,2,1,1,10,14
"63",6,4,6,4,9,8,1,4,5,4,9,7,1,1,1,0,1,0,0,1,1,2,2,11,15
"64",7,4,6,6,13,8,1,4,6,4,9,8,1,1,2,4,1,4,0,2,4,3,1,13,19
"65",8,5,6,6,13,11,1,4,6,6,13,8,1,1,0,0,3,2,1,1,3,1,2,14,22
"66",9,7,6,6,14,11,1,5,6,6,13,11,1,2,1,0,1,0,0,2,1,1,1,16,23
"67",10,9,6,12,14,13,1,7,6,6,14,11,1,2,2,6,2,2,0,6,2,3,2,24,25
"68",11,9,8,12,23,13,1,9,6,12,14,13,1,2,0,0,6,4,5,2,6,2,1,26,34
"69",12,13,8,12,23,18,1,9,8,12,23,13,1,4,5,0,5,0,0,4,5,1,2,30,39
"70",13,13,8,14,23,18,9,13,8,12,23,18,1,2,2,6,2,6,0,2,6,3,3,32,47
"71",14,13,8,16,23,23,9,13,8,14,23,18,9,2,0,0,5,3,6,2,5,3,2,34,52
"72",15,13,10,22,23,23,12,13,8,16,23,23,9,3,6,0,3,0,0,6,3,3,3,42,55
"73",16,13,10,27,23,23,17,13,10,22,23,23,12,5,3,5,3,5,0,5,5,3,3,47,60
"74",17,13,13,27,23,23,20,13,10,27,23,23,17,3,0,0,3,2,1,3,3,2,3,50,63
"75",18,14,13,27,23,23,22,13,13,27,23,23,20,2,1,0,2,0,0,1,2,1,3,51,65
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,1,1,11,4,1,1,1,1,1,1,1,1,6,1,3,1,3,0,6,3,3,1,10,3
"78",2,1,2,11,4,5,1,1,1,11,4,1,1,1,0,0,4,4,4,1,4,2,2,11,7
"79",3,5,2,11,8,5,1,1,2,11,4,5,1,4,4,0,4,0,0,4,4,1,1,15,11
"80",4,7,2,17,8,5,6,5,2,11,8,5,1,5,6,1,5,1,0,6,5,3,3,23,16
"81",5,8,2,17,16,5,6,7,2,17,8,5,6,1,0,0,6,6,4,1,6,1,1,24,24
"82",6,14,6,23,16,9,6,8,2,17,16,5,6,6,4,0,4,0,0,6,4,1,2,40,28
"83",7,14,16,23,22,9,10,14,6,23,16,9,6,6,5,6,5,6,0,6,6,2,1,50,38
"84",8,19,16,23,22,19,10,14,16,23,22,9,10,5,0,0,6,5,4,5,6,1,2,55,48
"85",9,19,16,28,22,23,10,19,16,23,22,19,10,5,4,0,4,0,0,5,4,3,2,60,52
"86",10,21,22,28,22,23,14,19,16,28,22,23,10,4,6,4,4,4,0,6,4,2,3,68,56
"87",11,21,22,32,22,23,19,21,22,28,22,23,14,4,0,0,2,5,5,4,5,3,3,72,61
"88",12,21,27,32,22,23,21,21,22,32,22,23,19,2,5,0,2,0,0,5,2,2,3,77,63
"89",13,21,32,32,23,23,21,21,27,32,22,23,21,3,5,1,3,1,0,5,1,2,1,82,64
"90",14,24,32,32,23,29,23,21,32,32,23,23,21,3,0,0,4,3,6,3,6,1,2,85,72
"91",15,24,32,35,27,29,23,24,32,32,23,29,23,4,3,0,4,0,0,3,4,3,1,88,76
"92",16,24,32,38,27,31,23,24,32,35,27,29,23,2,3,2,2,2,0,3,2,3,2,91,78
"93",17,26,32,38,34,31,23,24,32,38,27,31,23,2,0,0,6,2,3,2,6,1,1,93,85
"94",18,26,34,38,34,34,23,26,32,38,34,31,23,2,3,0,3,0,0,2,3,2,2,95,88
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",1,6,1,1,11,1,1,1,1,1,1,1,1,6,1,5,6,1,0,5,6,1,1,5,10
"97",2,7,1,1,11,6,1,6,1,1,11,1,1,1,0,0,5,4,1,1,5,1,2,6,15
"98",3,7,5,1,12,6,1,7,1,1,11,6,1,4,1,0,1,0,0,4,1,2,1,10,16
"99",4,12,5,1,12,14,1,7,5,1,12,6,1,6,5,1,6,1,0,5,6,1,2,15,24
"100",5,12,6,1,16,14,1,12,5,1,12,14,1,1,0,0,2,4,3,1,4,2,1,16,28
"101",6,14,6,1,16,17,1,12,6,1,16,14,1,2,3,0,3,0,0,2,3,1,2,18,31
"102",7,14,9,1,20,17,1,14,6,1,16,17,1,4,1,3,4,1,0,3,4,2,1,21,35
"103",8,14,9,2,20,23,6,14,9,1,20,17,1,1,0,0,6,6,2,1,6,3,2,22,46
"104",9,25,9,2,20,23,8,14,9,2,20,23,6,6,2,0,2,0,0,6,2,1,3,33,48
"105",10,25,13,2,20,23,12,25,9,2,20,23,8,2,4,4,2,4,0,4,4,2,3,37,52
"106",11,27,13,2,23,23,12,25,13,2,20,23,12,2,0,0,3,6,2,2,3,1,1,39,55
"107",12,35,13,2,23,23,14,27,13,2,23,23,12,6,2,0,2,0,0,6,2,1,3,47,57
"108",13,39,13,2,23,23,19,35,13,2,23,23,14,5,4,4,5,4,0,4,5,1,3,51,62
