"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"42",4,7,4,1,1,4,2,7,1,7,2,1,1,4,1,7,1,2,1,2,1,2,0,2,1,2,2,9,10
"43",5,9,4,1,1,4,2,7,5,7,4,1,1,4,2,7,1,2,0,0,2,4,1,2,4,1,4,11,14
"44",6,9,6,1,1,4,3,7,5,9,4,1,1,4,2,7,5,2,1,0,1,0,0,2,1,2,2,13,15
"45",7,14,6,1,1,4,3,7,7,9,6,1,1,4,3,7,5,5,2,2,2,2,0,5,2,1,4,18,17
"46",8,14,8,1,1,4,3,12,7,14,6,1,1,4,3,7,7,2,0,0,5,2,1,2,5,2,3,20,22
"47",9,16,8,1,1,4,4,12,7,14,8,1,1,4,3,12,7,2,1,0,1,0,0,2,1,1,2,22,23
"48",10,16,13,1,1,7,4,12,7,16,8,1,1,4,4,12,7,1,3,5,1,3,0,5,3,2,1,27,26
"49",11,17,13,1,1,12,4,12,7,16,13,1,1,7,4,12,7,1,0,0,2,5,1,1,5,1,1,28,31
"50",12,17,15,1,1,12,4,12,8,17,13,1,1,12,4,12,7,2,1,0,1,0,0,2,1,2,4,30,32
"51",13,23,15,4,1,12,4,12,13,17,15,1,1,12,4,12,8,2,6,5,2,5,0,6,5,1,4,39,37
"52",14,23,17,4,1,12,4,12,18,23,15,4,1,12,4,12,13,2,0,0,5,3,5,2,5,2,4,41,42
"53",15,23,17,4,6,12,4,12,21,23,17,4,1,12,4,12,18,3,5,0,3,0,0,5,3,4,4,46,45
"54",16,23,23,10,11,12,4,12,25,23,17,4,6,12,4,12,21,4,6,5,4,5,0,6,4,2,4,63,49
"55",17,23,23,15,11,12,4,12,29,23,23,10,11,12,4,12,25,5,0,0,4,5,4,5,4,3,4,68,53
"56",18,23,23,15,16,12,8,12,29,23,23,15,11,12,4,12,29,5,4,0,4,0,0,5,4,4,2,73,57
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,2,2,2,2,0,3,2,1,4,3,2
"59",2,4,3,1,1,1,7,1,5,4,1,1,1,1,1,1,3,2,0,0,6,1,3,2,6,2,2,5,10
"60",3,7,3,1,1,1,8,1,5,4,3,1,1,1,7,1,5,1,3,0,1,0,0,3,1,1,2,8,11
"61",4,7,10,1,1,5,8,1,5,7,3,1,1,1,8,1,5,3,6,4,3,4,0,6,4,2,1,15,15
"62",5,10,10,1,1,10,8,1,5,7,10,1,1,5,8,1,5,3,0,0,5,2,3,3,5,1,1,18,20
"63",6,10,13,1,1,10,8,3,5,10,10,1,1,10,8,1,5,2,3,0,2,0,0,3,2,2,3,21,22
"64",7,17,13,1,1,10,8,3,10,10,13,1,1,10,8,3,5,5,6,3,5,3,0,6,5,1,4,28,27
"65",8,17,16,1,1,10,8,10,10,17,13,1,1,10,8,3,10,3,0,0,6,2,4,3,6,2,3,31,34
"66",9,21,16,1,1,12,8,10,10,17,16,1,1,10,8,10,10,2,4,0,2,0,0,4,2,1,1,35,36
"67",10,23,16,1,1,12,8,11,10,21,16,1,1,12,8,10,10,2,2,1,2,1,0,2,1,1,3,37,37
"68",11,23,16,3,1,12,13,11,10,23,16,1,1,12,8,11,10,2,0,0,2,5,5,2,5,3,2,39,42
"69",12,23,21,3,1,12,15,11,10,23,16,3,1,12,13,11,10,2,5,0,2,0,0,5,2,2,2,44,44
"70",13,23,21,8,1,12,20,11,10,23,21,3,1,12,15,11,10,5,5,4,5,4,0,5,5,3,2,49,49
"71",14,23,21,8,5,12,25,11,10,23,21,8,1,12,20,11,10,4,0,0,2,5,2,4,5,4,2,53,54
"72",15,23,23,8,1,16,27,11,10,23,21,8,5,12,25,11,10,2,2,0,2,0,0,2,2,2,2,51,60
"73",16,23,23,13,1,16,27,12,10,23,23,8,1,16,27,11,10,5,1,2,1,2,0,5,1,3,3,56,61
"74",17,23,23,13,3,19,27,12,10,23,23,13,1,16,27,12,10,2,0,0,3,3,4,2,3,4,1,58,64
"75",18,23,23,13,7,19,27,12,13,23,23,13,3,19,27,12,10,3,4,0,3,0,0,4,3,4,4,62,67
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,11,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,6,1,3,1,0,6,3,1,1,10,3
"78",2,11,2,1,1,7,1,1,7,11,1,1,1,4,1,1,1,1,0,0,6,4,3,1,6,2,4,11,12
"79",3,15,2,1,1,7,1,1,10,11,2,1,1,7,1,1,7,4,3,0,3,0,0,4,3,1,4,15,15
"80",4,15,7,1,1,12,1,1,10,15,2,1,1,7,1,1,10,5,5,1,5,1,0,5,5,2,1,20,20
"81",5,16,7,1,1,12,1,5,16,15,7,1,1,12,1,1,10,1,0,0,6,6,1,1,6,1,4,21,30
"82",6,16,15,1,1,12,1,5,17,16,7,1,1,12,1,5,16,6,1,0,1,0,0,6,1,2,4,29,31
"83",7,16,15,7,2,12,1,10,17,16,15,1,1,12,1,5,17,5,6,4,5,4,0,6,5,3,3,36,36
"84",8,16,19,7,2,12,1,14,17,16,15,7,2,12,1,10,17,4,0,0,2,4,5,4,4,2,3,40,40
"85",9,21,19,7,2,12,1,16,17,16,19,7,2,12,1,14,17,2,5,0,2,0,0,5,2,1,3,45,42
"86",10,21,23,7,2,12,1,16,22,21,19,7,2,12,1,16,17,5,1,4,5,1,0,4,5,2,4,49,47
"87",11,21,23,7,3,12,1,19,22,21,23,7,2,12,1,16,22,1,0,0,3,2,1,1,3,4,3,50,50
"88",12,23,23,7,3,12,1,20,22,21,23,7,3,12,1,19,22,2,1,0,1,0,0,2,1,1,3,52,51
"89",13,23,23,7,6,12,1,22,22,23,23,7,3,12,1,20,22,2,3,2,2,2,0,3,2,4,3,55,53
"90",14,23,23,7,8,16,1,22,22,23,23,7,6,12,1,22,22,2,0,0,4,1,1,2,4,4,1,57,57
"91",15,23,23,8,8,16,1,22,23,23,23,7,8,16,1,22,22,1,1,0,1,0,0,1,1,3,4,58,58
"92",16,23,23,8,13,16,1,25,23,23,23,8,8,16,1,22,23,1,5,3,1,3,0,5,3,4,3,63,61
"93",17,23,23,9,13,22,1,25,26,23,23,8,13,16,1,25,23,1,0,0,4,5,6,1,6,3,1,64,70
"94",18,23,23,14,13,22,1,29,26,23,23,9,13,22,1,25,26,4,5,0,4,0,0,5,4,3,3,69,74
"95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",1,12,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,0,6,1,1,2,11,1
"97",2,12,2,1,1,1,7,1,1,12,1,1,1,1,2,1,1,1,0,0,6,5,1,1,5,2,2,12,6
"98",3,23,2,1,1,1,7,1,2,12,2,1,1,1,7,1,1,6,1,0,1,0,0,6,1,1,4,23,7
"99",4,23,9,1,1,1,11,1,2,23,2,1,1,1,7,1,2,6,4,1,4,1,0,6,4,2,2,30,11
"100",5,23,9,2,1,6,11,1,2,23,9,1,1,1,11,1,2,1,0,0,6,5,6,1,5,3,1,31,16
"101",6,23,18,2,1,6,19,1,2,23,9,2,1,6,11,1,2,6,6,0,6,0,0,6,6,2,2,40,24
"102",7,23,18,5,1,6,21,1,2,23,18,2,1,6,19,1,2,3,2,1,2,1,0,3,2,3,2,43,26
"103",8,23,18,6,1,6,23,1,2,23,18,5,1,6,21,1,2,1,0,0,2,4,1,1,2,3,2,44,28
"104",9,23,18,10,1,6,23,2,2,23,18,6,1,6,23,1,2,4,1,0,1,0,0,4,1,3,3,48,29
