"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"48",23,21,1,1,1,20,18,33,26,14,1,1,1,19,18,33,26,6,0,0,1,4,2,6,1,1,1,20,93
"49",24,21,1,1,1,20,18,33,26,21,1,1,1,20,18,33,26,4,2,0,NA,0,0,0,0,0,0,20,93
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,3,2,3,0,2,3,1,2,2,3
"52",2,3,1,3,1,1,4,6,1,3,1,1,1,1,4,1,1,2,0,0,6,2,5,2,5,3,3,4,8
"53",3,3,3,3,7,3,4,6,1,3,1,3,1,1,4,6,1,6,2,0,2,0,0,6,2,4,1,12,10
"54",4,3,3,3,16,3,9,6,1,3,3,3,7,3,4,6,1,5,6,6,5,6,0,6,5,4,2,21,15
"55",5,9,6,3,16,3,14,6,1,3,3,3,16,3,9,6,1,6,0,0,5,5,4,6,5,1,2,30,20
"56",6,9,11,3,16,7,14,6,1,9,6,3,16,3,14,6,1,5,4,0,4,0,0,5,4,2,1,35,24
"57",7,9,12,3,16,15,14,6,1,9,11,3,16,7,14,6,1,1,6,6,6,6,0,1,6,2,1,36,32
"58",8,9,12,3,26,19,14,6,1,9,12,3,16,15,14,6,1,6,0,0,4,4,5,6,4,4,1,46,36
"59",9,9,12,8,26,23,14,6,1,9,12,3,26,19,14,6,1,4,5,0,4,0,0,5,4,3,1,51,40
"60",10,9,15,8,26,28,14,6,1,9,12,8,26,23,14,6,1,5,3,5,5,5,0,3,5,2,1,54,45
"61",11,9,1,8,26,28,19,6,2,9,15,8,26,28,14,6,1,5,0,0,1,5,4,5,1,2,4,40,51
"62",12,9,1,8,30,33,19,6,2,9,1,8,26,28,19,6,2,5,4,0,5,0,0,4,5,4,1,44,56
"63",13,9,1,8,35,37,19,6,2,9,1,8,30,33,19,6,2,1,5,4,1,4,0,5,4,4,1,49,60
"64",14,10,1,8,35,39,19,11,2,9,1,8,35,37,19,6,2,1,0,0,1,4,2,1,2,1,1,50,105
"65",15,15,1,8,39,39,19,12,2,10,1,8,35,39,19,11,2,1,4,0,1,0,0,4,1,4,3,97,106
"66",16,15,3,8,39,39,19,14,2,15,1,8,39,39,19,12,2,2,2,1,2,1,0,2,2,2,3,99,108
"67",17,16,3,8,39,39,19,14,5,15,3,8,39,39,19,14,2,1,0,0,3,3,3,1,3,1,4,100,111
"68",18,19,3,8,39,39,19,17,5,16,3,8,39,39,19,14,5,3,3,0,3,0,0,3,3,1,3,103,114
"69",19,25,3,8,39,39,19,20,1,19,3,8,39,39,19,17,5,3,4,3,3,3,0,4,3,1,3,109,113
"70",20,1,3,11,39,39,19,20,9,25,3,8,39,39,19,20,1,3,0,0,6,2,4,3,6,3,4,88,121
"71",21,3,3,11,39,39,19,24,9,1,3,11,39,39,19,20,9,2,4,0,4,0,0,2,4,1,3,90,125
"72",22,3,5,11,39,39,19,27,9,3,3,11,39,39,19,24,9,2,3,3,3,3,0,2,3,2,3,92,128
"73",23,3,5,14,39,39,19,30,9,3,5,11,39,39,19,27,9,3,0,0,3,4,4,3,3,3,3,95,131
"74",24,3,5,14,39,39,19,30,9,3,5,14,39,39,19,30,9,4,4,0,NA,0,0,0,0,0,0,95,131
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",1,1,1,1,6,2,7,1,1,1,1,1,1,1,1,1,1,5,6,2,6,2,0,5,6,4,2,5,7
"77",2,1,1,3,6,4,7,1,1,1,1,1,6,2,7,1,1,2,0,0,2,3,3,2,2,3,1,7,9
"78",3,4,1,3,6,7,7,1,1,1,1,3,6,4,7,1,1,3,3,0,3,0,0,3,3,1,1,10,12
"79",4,4,1,8,6,7,10,1,1,4,1,3,6,7,7,1,1,5,1,3,1,3,0,5,3,3,2,15,15
"80",5,4,2,8,6,8,10,1,1,4,1,8,6,7,10,1,1,1,0,0,1,6,3,1,1,2,1,16,16
"81",6,4,8,8,7,8,13,1,1,4,2,8,6,8,10,1,1,6,3,0,3,0,0,6,3,2,2,23,19
