"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,1,1,6,3,1,1,1,1,1,1,1,1,1,1,1,5,2,1,2,1,0,5,2,4,1,5,2
"2",2,1,1,1,7,6,1,1,1,1,1,1,6,3,1,1,1,1,0,0,2,2,3,1,3,4,1,6,5
"3",3,3,1,1,7,8,1,1,1,1,1,1,7,6,1,1,1,2,2,0,2,0,0,2,2,1,1,8,7
"4",4,3,1,6,7,22,1,1,1,3,1,1,7,8,1,1,1,5,6,3,6,3,0,5,6,3,1,13,21
"5",5,3,9,6,7,5,1,1,1,3,1,6,7,22,1,1,1,3,0,0,3,4,1,3,4,2,1,21,4
"6",6,3,9,6,8,8,1,1,1,3,9,6,7,5,1,1,1,3,1,0,3,0,0,1,3,4,1,22,7
"7",7,3,9,6,9,11,1,1,1,3,9,6,8,8,1,1,1,3,3,1,3,3,0,1,3,4,1,23,10
"8",8,6,9,6,9,15,1,1,1,3,9,6,9,11,1,1,1,3,0,0,4,4,3,3,4,1,1,26,14
"9",9,6,13,6,9,18,1,1,1,6,9,6,9,15,1,1,1,4,3,0,3,0,0,4,3,2,1,30,17
"10",10,6,13,10,9,20,1,1,1,6,13,6,9,18,1,1,1,2,4,1,2,1,0,4,2,3,1,34,19
"11",11,1,13,1,9,32,1,1,1,6,13,10,9,20,1,1,1,1,0,0,4,5,3,1,5,1,1,20,31
"12",12,1,16,1,9,36,1,1,1,1,13,1,9,32,1,1,1,4,3,0,4,0,0,3,4,2,1,23,35
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,4,2,5,4,2,0,5,4,4,1,5,4
"15",2,1,3,1,6,15,1,1,1,1,1,1,6,5,1,1,1,2,0,0,3,6,6,2,6,2,1,7,14
"16",3,3,3,1,12,18,1,1,1,1,3,1,6,15,1,1,1,3,6,0,3,0,0,6,3,4,1,15,17
"17",4,3,8,1,12,23,1,1,1,3,3,1,12,18,1,1,1,5,5,4,5,4,0,5,5,2,1,20,22
"18",5,3,8,7,12,3,1,1,1,3,8,1,12,23,1,1,1,4,0,0,1,2,1,4,2,3,1,26,2
"19",6,3,8,8,12,4,1,1,1,3,8,7,12,3,1,1,1,1,1,0,1,0,0,1,1,3,1,27,3
"20",7,3,8,9,12,9,1,1,1,3,8,8,12,4,1,1,1,3,1,5,3,5,0,1,5,3,1,28,8
"21",8,6,8,9,12,17,1,1,1,3,8,9,12,9,1,1,1,3,0,0,4,4,6,3,6,1,1,31,16
"22",9,10,8,9,12,21,1,1,1,6,8,9,12,17,1,1,1,4,4,0,4,0,0,4,4,1,1,35,20
"23",10,14,14,9,12,26,1,1,1,10,8,9,12,21,1,1,1,6,2,5,2,5,0,6,5,2,1,45,25
"24",11,14,14,9,14,31,1,1,1,14,14,9,12,26,1,1,1,2,0,0,2,2,5,2,5,4,1,47,30
"25",12,14,14,9,16,33,1,1,1,14,14,9,14,31,1,1,1,2,2,0,2,0,0,2,2,4,1,49,32
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,3,0,2,3,3,1,2,3
"28",2,1,1,3,4,8,1,1,1,1,1,3,1,4,1,1,1,3,0,0,4,4,3,3,4,4,1,5,7
"29",3,5,1,3,4,11,1,1,1,1,1,3,4,8,1,1,1,4,3,0,3,0,0,4,3,1,1,9,10
"30",4,8,1,3,4,15,1,1,1,5,1,3,4,11,1,1,1,3,3,4,3,4,0,3,4,1,1,12,14
"31",5,11,1,3,4,17,1,1,1,8,1,3,4,15,1,1,1,3,0,0,1,1,2,3,2,1,1,15,16
"32",6,11,1,4,4,18,1,1,1,11,1,3,4,17,1,1,1,1,1,0,1,0,0,1,1,3,1,16,17
"33",7,11,5,4,4,21,1,1,1,11,1,4,4,18,1,1,1,1,4,3,1,3,0,4,3,2,1,20,20
"34",8,11,5,4,5,28,1,1,1,11,5,4,4,21,1,1,1,1,0,0,5,5,6,1,6,4,1,21,27
"35",9,11,15,4,5,6,1,1,1,11,5,4,5,28,1,1,1,5,5,0,5,0,0,5,5,2,1,31,5
"36",10,15,15,4,5,10,1,1,1,11,15,4,5,6,1,1,1,4,2,4,2,4,0,4,4,1,1,35,9
"37",11,17,15,4,5,18,1,1,1,15,15,4,5,10,1,1,1,2,0,0,6,1,5,2,6,1,1,37,17
"38",12,17,1,1,5,25,2,1,1,17,15,4,5,18,1,1,1,1,5,0,1,0,0,5,1,2,2,20,25
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,4,4,2,4,0,4,4,2,1,4,4
"41",2,1,5,1,3,8,1,1,1,1,5,1,1,5,1,1,1,2,0,0,1,3,1,2,3,4,1,6,7
"42",3,1,5,2,3,9,1,1,1,1,5,1,3,8,1,1,1,1,1,0,1,0,0,1,1,3,1,7,8
"43",4,1,5,6,3,13,1,1,1,1,5,2,3,9,1,1,1,4,4,2,4,2,0,4,4,3,1,11,12
"44",5,1,7,6,3,18,1,1,1,1,5,6,3,13,1,1,1,2,0,0,3,5,5,2,5,2,1,13,17
"45",6,1,7,6,8,21,1,1,1,1,7,6,3,18,1,1,1,3,5,0,3,0,0,5,3,4,1,18,20
"46",7,5,7,6,8,12,1,1,1,1,7,6,8,21,1,1,1,2,6,6,6,6,0,2,6,1,1,22,11
"47",8,11,10,12,8,14,1,1,1,5,7,6,8,12,1,1,1,6,0,0,2,2,1,6,2,1,1,37,13
"48",9,11,11,12,8,16,1,1,1,11,10,12,8,14,1,1,1,2,1,0,2,0,0,1,2,2,1,38,15
"49",10,13,11,12,8,20,1,1,1,11,11,12,8,16,1,1,1,2,4,2,4,2,0,2,4,1,1,40,19
"50",11,1,11,12,10,35,1,1,1,13,11,12,8,20,1,1,1,2,0,0,1,6,4,2,6,4,1,30,34
"51",12,1,11,12,11,39,4,1,1,1,11,12,10,35,1,1,1,1,4,0,4,0,0,1,4,4,1,31,79
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,1,7,1,5,5,1,1,1,1,1,1,1,1,1,1,1,4,2,6,4,2,0,6,4,2,1,10,4
"54",2,1,7,3,5,15,1,1,1,1,7,1,5,5,1,1,1,2,0,0,2,6,3,2,6,3,1,12,14
"55",3,1,7,5,5,18,1,1,1,1,7,3,5,15,1,1,1,2,3,0,3,0,0,2,3,3,1,14,17
"56",4,1,7,9,1,28,1,1,1,1,7,5,5,18,1,1,1,2,5,4,2,5,0,4,5,3,1,14,27
"57",5,1,9,9,1,39,10,1,1,1,7,9,1,28,1,1,1,2,0,0,6,5,5,2,6,2,1,16,85
"58",6,6,9,9,1,39,15,1,1,1,9,9,1,39,10,1,1,5,5,0,5,0,0,5,5,1,2,21,90
"59",7,9,9,9,1,39,24,1,1,6,9,9,1,39,15,1,1,3,2,6,2,6,0,3,6,1,2,24,99
"60",8,11,9,9,1,39,28,1,1,9,9,9,1,39,24,1,1,2,0,0,4,4,4,2,4,1,2,26,103
"61",9,15,9,9,1,39,32,1,1,11,9,9,1,39,28,1,1,4,4,0,4,0,0,4,4,1,2,30,107
"62",10,20,9,9,1,39,38,3,1,15,9,9,1,39,32,1,1,5,6,4,6,4,0,5,6,1,2,35,115
"63",11,24,9,9,1,39,39,5,1,20,9,9,1,39,38,3,1,4,0,0,3,1,3,4,1,1,2,39,156
"64",12,24,9,9,4,39,39,8,1,24,9,9,1,39,39,5,1,3,3,0,3,0,0,3,3,4,3,42,159
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,1,6,1,1,9,1,1,1,1,1,1,1,1,1,1,1,6,5,5,6,5,0,5,6,2,1,5,8
"67",2,1,11,1,1,14,1,1,1,1,6,1,1,9,1,1,1,5,0,0,5,3,2,5,5,2,1,10,13
"68",3,1,14,1,1,16,1,1,1,1,11,1,1,14,1,1,1,3,2,0,2,0,0,3,2,2,1,13,15
"69",4,1,14,8,1,18,1,1,1,1,14,1,1,16,1,1,1,2,1,6,2,1,0,6,2,3,1,20,17
"70",5,1,15,8,1,22,1,1,1,1,14,8,1,18,1,1,1,1,0,0,1,4,3,1,4,2,1,21,21
"71",6,1,15,8,9,2,1,1,1,1,15,8,1,22,1,1,1,1,3,0,1,0,0,3,1,4,1,29,1
"72",7,3,15,8,9,6,1,1,1,1,15,8,9,2,1,1,1,3,2,4,3,4,0,2,4,1,1,31,5
"73",8,3,15,8,12,15,1,1,1,3,15,8,9,6,1,1,1,3,0,0,4,6,2,3,6,4,1,34,14
"74",9,7,15,8,12,17,1,1,1,3,15,8,12,15,1,1,1,4,2,0,2,0,0,4,2,1,1,38,16
"75",10,13,15,9,12,21,1,1,1,7,15,8,12,17,1,1,1,1,4,6,1,4,0,6,4,1,1,45,20
"76",11,1,1,1,12,37,1,1,1,13,15,9,12,21,1,1,1,1,0,0,3,6,6,1,6,2,1,11,36
"77",12,1,1,4,12,37,11,1,1,1,1,1,12,37,1,1,1,3,6,0,6,0,0,3,6,3,2,14,46
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,2,0,4,4,4,1,4,4
"80",2,1,1,3,5,12,1,1,1,1,1,1,5,5,1,1,1,2,0,0,2,6,2,2,6,3,1,6,11
"81",3,1,1,5,5,14,1,1,1,1,1,3,5,12,1,1,1,2,2,0,2,0,0,2,2,3,1,8,13
"82",4,1,1,1,1,27,1,1,1,1,1,5,5,14,1,1,1,6,3,2,6,2,0,3,6,3,1,0,26
"83",5,1,3,1,1,30,1,1,1,1,1,1,1,27,1,1,1,2,0,0,3,2,3,2,3,2,1,2,29
"84",6,1,6,1,1,32,1,1,1,1,3,1,1,30,1,1,1,2,3,0,2,0,0,3,2,2,1,5,31
"85",7,1,8,1,1,35,1,1,1,1,6,1,1,32,1,1,1,1,3,2,1,3,0,2,3,2,1,7,34
"86",8,2,8,1,1,37,1,1,1,1,8,1,1,35,1,1,1,1,0,0,2,2,1,1,2,1,1,8,36
"87",9,2,8,3,1,38,1,1,1,2,8,1,1,37,1,1,1,2,1,0,1,0,0,2,1,3,1,10,37
"88",10,3,8,3,1,39,8,1,1,2,8,3,1,38,1,1,1,1,1,1,1,1,0,1,1,1,1,11,83
"89",11,4,8,3,1,39,11,1,1,3,8,3,1,39,8,1,1,1,0,0,3,1,1,1,3,1,2,12,86
"90",12,4,9,3,1,39,12,1,1,4,8,3,1,39,11,1,1,1,1,0,1,0,0,1,1,2,2,13,87
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",1,1,1,7,2,10,1,1,1,1,1,1,1,1,1,1,1,6,3,6,3,6,0,6,6,3,1,7,9
"93",2,1,1,7,5,15,1,1,1,1,1,7,2,10,1,1,1,3,0,0,5,3,3,3,5,4,1,10,14
"94",3,1,1,7,8,18,1,1,1,1,1,7,5,15,1,1,1,3,3,0,3,0,0,3,3,4,1,13,17
"95",4,5,1,7,8,22,1,1,1,1,1,7,8,18,1,1,1,4,4,3,4,3,0,4,4,1,1,17,21
"96",5,11,4,7,9,6,1,1,1,5,1,7,8,22,1,1,1,3,0,0,1,4,5,3,5,2,1,27,5
"97",6,11,8,7,9,7,1,1,1,11,4,7,9,6,1,1,1,1,4,0,1,0,0,4,1,2,1,31,6
"98",7,11,13,13,9,16,1,1,1,11,8,7,9,7,1,1,1,5,6,6,5,6,0,6,6,3,1,42,15
"99",8,16,13,13,9,20,1,1,1,11,13,13,9,16,1,1,1,5,0,0,4,3,2,5,4,1,1,47,19
"100",9,16,13,13,12,22,1,1,1,16,13,13,9,20,1,1,1,3,2,0,2,0,0,3,2,4,1,50,21
"101",10,16,18,13,18,26,1,1,1,16,13,13,12,22,1,1,1,4,6,2,4,2,0,6,4,4,1,61,25
"102",11,18,18,1,18,36,11,1,1,16,18,13,18,26,1,1,1,2,0,0,5,5,1,2,5,1,1,51,45
"103",12,18,18,1,23,37,11,1,1,18,18,1,18,36,11,1,1,5,1,0,1,0,0,5,1,4,1,56,46
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",1,7,1,7,1,5,1,1,1,1,1,1,1,1,1,1,1,6,4,3,4,3,0,6,4,1,1,12,4
"106",2,7,4,7,1,12,1,1,1,7,1,7,1,5,1,1,1,3,0,0,4,1,6,3,6,2,1,15,11
"107",3,7,8,7,1,13,1,1,1,7,4,7,1,12,1,1,1,4,1,0,1,0,0,4,1,2,1,19,12
"108",4,7,12,7,1,17,1,1,1,7,8,7,1,13,1,1,1,4,4,1,4,1,0,4,4,2,1,23,16
"109",5,8,12,7,1,24,1,1,1,7,12,7,1,17,1,1,1,1,0,0,6,3,5,1,6,1,1,24,23
"110",6,14,12,7,11,4,1,1,1,8,12,7,1,24,1,1,1,3,5,0,3,0,0,5,3,4,1,40,3
"111",7,14,12,17,11,14,1,1,1,14,12,7,11,4,1,1,1,6,6,4,6,4,0,6,6,3,1,50,13
"112",8,14,16,17,11,19,1,1,1,14,12,17,11,14,1,1,1,4,0,0,3,5,4,4,5,2,1,54,18
"113",9,14,16,17,14,23,1,1,1,14,16,17,11,19,1,1,1,3,4,0,4,0,0,3,4,4,1,57,22
"114",10,16,16,17,14,30,1,1,1,14,16,17,14,23,1,1,1,6,2,6,6,6,0,2,6,1,1,59,29
"115",11,16,16,1,1,34,2,3,1,16,16,17,14,30,1,1,1,6,0,0,5,1,5,6,1,4,2,30,36
"116",12,21,16,1,4,39,12,1,1,16,16,1,1,34,2,3,1,5,5,0,5,0,0,5,5,1,1,38,87
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",1,1,1,7,3,12,1,1,1,1,1,1,1,1,1,1,1,5,6,6,5,6,0,6,6,3,1,8,11
"119",2,6,1,7,3,17,1,1,1,1,1,7,3,12,1,1,1,5,0,0,5,1,4,5,5,1,1,13,16
"120",3,6,1,7,7,18,1,1,1,6,1,7,3,17,1,1,1,1,4,0,1,0,0,4,1,4,1,17,17
"121",4,6,1,7,12,21,1,1,1,6,1,7,7,18,1,1,1,5,2,3,2,3,0,5,3,4,1,22,20
