init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
47 25 27 50 37 34 11 0 7 41,16 3 52 52 51 49 45 15 44 13,6,33,0,1,2,50 37 11 0 26 27 40 41 7 47,16 3 52 52 51 49 45 15 13 25,0,2,1
11 39 9 17 32 42 37 47 22 1,44 6 29 12 23 45 4 52 40 15,38,27,0,1,8,51 32 33 39 0 1 41 42 29 17,44 6 12 23 45 4 52 22 3 21,1,2,0
12 24 17 15 27 34 30 19 28 7,47 51 23 36 49 5 35 48 21 33,20,34,0,1,2,7 12 51 27 14 15 28 17 30 19,47 23 36 49 35 48 21 33 34 24,2,1,0
34 26 25 19 52 44 8 38 37 32,5 39 7 27 42 46 23 18 2 1,24,0,13,0,13,43 30 4 34 8 21 26 0 13 52,5 39 7 42 46 18 37 31 17 52,0,0,3
34 32 33 43 16 9 15 45 39 2,36 10 13 22 26 7 24 42 48 40,38,0,6,0,7,34 32 33 15 2 28 52 43 17 52,36 10 13 22 26 48 9 39 4 23,1,0,2
34 4 40 15 43 6 17 23 33 50,3 12 48 5 10 14 52 16 41 42,38,60,0,1,9,4 43 40 15 29 18 31 6 33 22,3 12 5 14 52 16 41 42 17 25,0,3,0
12 48 51 16 41 44 32 52 45 22,20 47 36 17 43 40 31 6 46 38,49,29,0,1,10,32 31 51 52 38 26 0 39 41 21,47 36 17 43 46 22 48 45 35 30,1,0,2
15 7 27 25 17 1 13 20 32,24 51 6 3 48 28 35 8 36 19,11,60,0,1,7,15 7 27 25 1 20 36 51 0 34,24 6 3 48 35 8 5 22 9 50,0,2,1
20 23 41 39 22 15 21 40 31 43,2 13 32 8 37 42 16 7 9 11,19,0,15,0,3,20 23 22 21 41 39 40 15 2 28,13 32 8 37 42 16 7 9 11 1,2,0,1
52 46 49 44 7 4 0 48 13 50,39 35 9 32 52 17 18 43 41 16,15,6,0,1,4,52 46 7 49 48 50 0 13 26 4,35 9 52 17 18 43 41 16 44 45,2,0,1
11 27 22 16 2 19 26 46 31 1,18 52 35 23 9 3 44 5 39 34,41,27,0,1,4,11 2 10 26 0 27 1 16 4 43,18 52 35 9 44 5 34 22 47 31,0,0,3
44 11 41 17 0 19 50 7 20 47,42 30 24 9 48 10 18 29 37 23,6,23,0,1,5,11 19 50 30 52 0 41 15 3 23,42 24 9 10 29 37 16 45 7 8,1,0,2
37 27 44 31 52 43 35 38 19,36 48 49 0 6 18 3 4 30 2,16,19,0,1,11,52 37 38 31 33 32 27 14 43 44,36 49 0 6 3 4 2 1 7 42,1,1,1
19 29 40 42 21 15 27 36 38,13 20 3 5 34 35 44 8 32 9,37,13,0,1,10,29 42 3 19 21 50 13 27 15 2,5 34 35 44 8 32 9 31 7 33,2,0,1
34 14 45 33 32 39 18 7 49 52,50 25 43 21 9 4 17 29 35 28,27,22,0,1,13,34 32 52 45 46 16 3 40 39 51,43 9 4 17 29 35 28 22 48 14,0,1,2
44 35 13 9 30 25 28 23 33,10 15 22 20 14 50 12 16 38 43,37,42,0,1,6,44 45 43 39 28 3 30 43 33 35,10 15 22 20 14 50 12 16 13 24,1,2,0
18 4 52 6 52 27 45 24 15 51,35 33 9 31 7 49 0 12 13 14,26,16,0,1,4,52 6 45 52 18 31 27 15 2 42,35 33 9 7 49 0 13 51 8 48,1,2,0
38 6 18 46 19 43 25 37 17 2,47 20 51 42 14 3 45 16 24 30,23,4,0,1,4,26 38 27 17 43 30 18 19 20 2,47 42 3 45 16 24 37 49 46 48,1,0,2
43 24 34 20 3 41 49 12 26,0 44 21 52 45 33 2 16 6 25,19,60,0,1,4,43 34 20 3 41 49 12 26 44 27,0 52 45 33 2 6 25 51 35 32,0,2,1
0 20 29 3 27 51 35 49 10 31,47 46 12 44 11 25 38 50 5 34,40,0,52,0,9,27 51 49 16 29 3 17 18 19 52,47 46 12 44 11 25 38 50 39 15,1,1,1
42 32 7 52 24 19 39 47 31 10,46 45 48 26 22 43 1 16 23 49,9,17,0,1,3,32 31 30 52 24 35 39 13 42 19,46 45 48 22 43 16 23 49 10 15,0,2,1
38 27 24 46 15 5 6 31 47 41,12 39 22 14 4 44 43 25 16 32,45,58,0,1,7,15 41 28 27 31 46 33 47 21 12,22 14 4 43 25 16 32 24 6 23,1,1,1
24 23 40 26 9 48 31 52 0 21,14 11 7 10 34 38 13 37 39 42,25,29,0,1,4,24 23 52 21 26 0 40 43 31 46,14 11 10 34 38 13 37 35 9 36,2,1,0
51 6 2 33 29 25 5 9 32 36,45 10 52 20 26 46 39 49 50 8,44,15,0,1,7,51 25 38 5 29 32 33 34 0 19,45 10 52 26 46 39 49 36 52 31,0,1,2
8 31 40 36 3 50 48 23 15 41,7 14 5 24 30 1 6 21 39 10,44,33,0,1,5,31 8 47 0 40 15 41 3 30 46,7 14 5 24 1 6 21 23 52 22,1,1,1
30 35 48 41 34 3 27 29 4 28,20 47 23 38 32 9 22 14 26 43,51,39,0,1,4,30 27 29 28 41 3 4 44 32 7,20 23 38 32 9 22 34 48 35 33,1,1,1
19 39 51 12 36 26 2 50 8,35 43 30 29 38 34 44 23 11 15,9,47,0,1,6,51 12 52 39 26 2 7 36 8 34,35 43 30 23 15 18 16 49 52 10,0,1,2
34 8 46 26 41 4 30 2 20 21,16 27 31 42 35 37 12 28 32 52,0,15,0,1,8,46 26 20 34 8 21 2 52 14 6,16 31 42 35 37 32 52 30 38 39,1,1,1
28 7 6 48 21 31 0 42 32 34,45 19 11 10 44 27 37 8 49 17,29,0,23,0,6,42 48 49 52 30 17 32 34 33 16,45 19 11 10 37 8 35 6 40 9,1,1,1
23 7 38 37 16 47 8 31 1,26 35 43 12 13 18 25 42 4 21,32,60,0,1,4,23 7 38 37 16 47 8 31 1 28,26 43 12 13 25 42 40 45 51 39,0,1,2
52 45 9 21 7 6 41 43 18 32,33 1 26 30 29 0 35 8 31 47,3,4,0,1,6,45 6 32 52 43 4 9 11 10 41,33 1 30 29 0 8 31 47 21 16,0,2,1
2 17 43 18 33 42 8 39 27 32,38 51 6 30 15 16 9 13 20 46,28,60,0,1,10,33 32 35 36 39 0 27 42 16 22,38 51 6 15 9 20 46 8 7 2,0,1,2
47 34 35 48 10 0 44 28 39,33 52 38 41 45 18 12 27 23 9,46,36,0,1,6,35 48 22 0 39 27 28 44 6 47,33 52 38 18 12 23 21 5 52 20,0,1,2
19 34 48 36 18 4 24 28 52 52,49 0 8 14 13 23 2 43 15 33,45,0,3,0,6,52 36 37 34 33 8 10 52 6 12,49 14 13 23 43 15 19 30 4 40,0,2,0
33 36 8 52 20 39 41 47 26 51,19 34 44 24 1 25 48 32 9 21,42,22,0,1,7,8 47 34 39 41 20 21 19 19 19,34 24 25 48 32 9 35 31 33 52,1,1,1
39 23 11 4 51 47 2 3 21 52,24 49 46 52 36 13 20 41 0 6,22,11,0,1,8,4 2 3 23 21 52 39 13 27 15,49 46 52 36 20 0 1 12 33 7,1,0,2
36 5 50 35 13 2 24 11 23 18,26 28 14 22 49 15 44 33 12 47,10,13,0,1,7,50 24 11 36 23 30 33 27 2 20,26 28 14 49 15 44 38 31 18 13,1,1,1
2 49 34 6 31 38 33 48 40 35,22 37 14 41 9 8 45 13 12 51,30,48,0,1,5,33 35 49 48 4 40 2 16 31 37,14 9 8 13 12 51 10 38 11 25,2,0,1
18 17 19 33 7 24 14 0 45 9,39 23 1 28 16 38 27 4 26 32,49,11,0,1,4,7 9 52 18 17 19 16 0 14 30,23 1 28 27 4 26 32 2 33 36,1,2,0
6 23 33 1 20 44 9 18 26,17 41 37 31 12 11 14 21 25 22,38,29,0,1,4,44 18 31 26 13 0 1 6 33 20,17 37 12 11 14 21 25 22 50 23,1,1,1
