init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
22 48 12 10 21 7 9 29 35 51,16 38 8 49 1 34 37 41 52 2,36,46,0,1,3,22 48 9 35 12 51 27 29 7 20,38 8 49 1 34 37 52 2 21 10,0,2,1
22 41 38 35 28 12 20 10 17 30,45 8 21 0 6 52 11 31 36 29,9,13,0,1,5,22 38 12 35 20 17 18 41 28 3,45 8 52 11 31 29 10 44 46 30,2,1,0
51 38 52 42 25 44 7 26 14 8,28 35 12 22 48 0 37 32 11 40,18,39,0,1,5,51 38 25 7 8 26 40 28 42 30,35 12 22 48 0 37 11 50 44 52,0,1,2
45 12 14 37 4 34 13 35 48 25,28 15 1 40 5 29 44 33 0 26,7,58,0,1,6,14 13 25 37 34 35 2 4 45 23,28 1 5 29 44 33 0 26 12 20,1,1,1
22 45 1 46 41 16 44 29 39 40,51 20 26 5 27 31 19 15 50 10,35,0,60,0,0,45 46 44 22 16 29 41 39 40 52,51 20 26 5 27 31 19 15 50 10,2,0,1
2 24 26 22 20 31 32 10 37 29,52 49 27 13 21 12 14 0 7 45,44,12,0,1,6,24 22 31 41 43 42 26 39 2 15,52 49 13 12 14 0 25 10 5 52,1,1,1
0 43 40 6 8 12 33 42 4 19,20 38 11 5 44 37 46 9 22 7,28,23,0,1,7,52 42 43 8 34 21 0 4 6 48,20 11 5 44 46 9 7 12 31 41,0,1,2
45 35 52 39 40 48 51 43 13 49,0 6 12 21 37 4 17 28 9 24,38,0,45,0,1,52 39 40 45 43 44 35 48 9 51,0 6 12 21 37 4 17 28 24 20,1,1,1
5 40 27 7 48 36 12 19 35 42,0 8 52 32 46 52 2 29 18 3,30,49,0,1,8,40 42 41 27 1 5 44 7 48 36,0 52 32 52 2 3 26 39 45 13,0,1,2
9 6 30 41 12 26 1 21 13 52,20 49 33 31 19 10 29 38 4 15,28,0,23,0,7,41 12 38 52 18 16 26 13 39 0,20 49 33 31 19 10 15 21 40 30,0,1,2
3 7 26 24 21 29 4 36 25 50,22 1 17 52 19 23 39 12 9 27,2,0,6,0,7,52 24 25 15 3 4 6 21 41 28,22 1 17 52 19 9 27 35 14 45,0,3,0
43 11 45 50 21 17 28 27 5 8,31 36 41 44 30 52 47 10 23 38,18,8,0,1,2,11 50 5 28 27 29 43 17 30 45,31 36 41 44 52 47 10 23 8 21,0,1,2
23 49 9 18 37 0 27 29 5 20,42 14 13 11 38 21 25 48 28 17,33,2,0,1,9,23 49 20 18 5 44 26 27 38 0,14 13 11 21 25 37 50 47 8 46,1,0,2
37 7 46 26 2 15 30 35 36 18,8 40 47 27 3 39 25 16 42 52,51,32,0,1,1,37 35 36 34 26 2 15 30 18 7,8 40 47 27 3 25 16 42 52 38,0,0,3
2 31 23 52 8 18 15 29 7 22,9 37 35 20 14 0 1 39 52 41,13,13,0,1,2,23 52 22 25 31 18 26 2 15 29,9 37 35 14 0 1 39 52 8 7,1,1,1
51 24 1 23 20 25 22 36 46 48,11 44 14 41 32 2 3 26 31 47,21,14,0,1,11,25 24 23 22 20 52 33 14 28 31,14 41 2 3 47 39 51 15 13 1,2,1,0
23 41 3 34 21 17 38 2 45,8 47 6 46 49 1 15 52 37 16,7,60,0,1,4,23 41 3 34 21 17 38 2 45 49,8 47 6 46 15 52 16 4 13 20,0,2,1
8 51 15 22 31 33 27 23 16,12 7 48 17 34 1 28 6 36 18,13,19,0,1,8,22 23 39 15 16 18 26 27 31 33,12 7 34 1 6 36 35 37 8 0,3,0,0
52 15 9 16 47 51 50 18 13 49,38 42 44 11 20 29 3 45 30 46,0,0,35,0,0,52 51 50 15 16 18 13 47 49 39,38 42 44 11 20 29 3 45 30 46,0,3,0
20 42 30 38 33 49 45 44 12,35 11 16 48 27 9 40 46 0 47,22,60,0,1,3,20 42 30 38 33 49 45 44 12 11,35 16 48 27 9 40 46 47 15 14,2,0,1
48 22 0 36 42 52 3 50 52 25,1 2 45 16 11 28 41 47 4 40,10,0,34,0,2,48 22 36 42 52 3 52 25 12 23,1 2 45 11 28 41 47 4 40 14,0,0,3
15 11 5 35 3 9 18 37 26 46,24 13 50 47 43 6 2 28 22 52,39,4,0,1,6,9 7 8 26 46 48 5 18 0 15,24 13 50 43 2 28 52 45 11 44,1,0,2
29 32 36 37 24 8 26 15 38 7,18 51 25 30 9 27 12 46 14 6,20,29,0,1,3,36 37 38 7 26 40 15 29 18 32,51 25 9 27 12 46 14 6 8 33,0,1,2
29 37 43 16 23 32 36 45 0,25 44 5 41 40 52 46 24 34 30,13,16,0,1,6,37 36 35 45 0 43 46 29 16 48,25 44 5 41 40 52 24 39 23 22,2,0,1
17 52 27 47 50 18 49 4 19 21,15 20 51 12 24 38 1 40 45 42,22,0,30,0,1,52 50 49 47 21 8 17 18 19 16,20 51 12 24 38 1 40 45 42 48,1,1,1
32 12 31 25 49 48 38 13 4 14,7 3 16 39 45 8 9 52 42 26,11,3,0,1,7,25 13 14 12 38 51 31 32 30 27,7 3 16 39 8 9 52 42 26 10,1,0,2
37 21 23 5 17 27 20 24 16,10 1 4 25 6 28 14 26 34 44,48,54,0,1,8,16 3 42 27 18 5 6 20 37 21,10 1 25 14 2 36 0 23 13 12,2,0,1
29 27 20 23 13 31 39 26 36 41,24 17 16 37 28 48 50 3 10 46,6,0,48,0,2,23 36 45 27 29 28 13 39 26 0,24 17 16 37 48 50 3 10 46 14,1,0,2
23 14 39 19 10 36 12 17 18 51,3 8 27 44 43 21 29 52 0 7,49,0,37,0,0,23 14 10 19 17 18 12 51 25 36,3 8 27 44 43 21 29 52 0 7,1,1,1
12 0 20 35 43 44 21 16 40,22 46 19 52 7 41 5 27 3 38,34,0,8,0,11,12 25 38 21 20 33 40 39 51 47,46 52 7 5 27 3 14 4 1 45,1,0,2
38 2 6 9 37 47 24 25 42,5 17 29 45 1 18 27 7 34 11,14,15,0,1,11,38 40 51 6 32 19 0 2 28 42,5 17 1 18 27 11 12 4 43 31,0,1,2
48 33 17 5 6 14 30 18 46 45,41 40 13 34 52 15 37 1 28 2,29,60,0,1,2,48 33 17 5 6 14 30 18 46 45,41 40 52 15 37 1 28 2 11 24,0,0,3
9 31 44 17 39 12 46 48 3,25 32 5 52 45 50 35 37 27 4,34,14,0,1,7,9 48 35 31 44 18 39 27 2 3,32 5 52 45 50 37 4 19 6 52,1,0,2
26 32 46 35 20 30 44 37 45,12 42 41 34 48 28 23 11 8 2,39,58,0,1,3,35 37 46 44 45 42 30 32 20 48,12 41 34 28 11 8 2 0 9 26,0,1,2
21 26 39 36 14 12 50 0 31 10,40 19 22 51 47 29 42 48 15 16,18,11,0,1,9,36 31 10 0 2 1 26 39 14 28,19 22 47 29 42 48 16 46 20 44,1,1,1
21 20 0 4 32 14 42 5 23 44,34 36 10 6 47 49 29 3 45 1,8,43,0,1,1,21 20 0 4 32 14 42 5 23 44,34 36 10 6 47 49 29 3 45 52,0,0,3
19 30 20 6 49 40 23 46 21 35,2 4 9 51 45 12 18 11 8 29,26,0,53,0,8,13 15 16 6 32 45 19 20 21 22,2 4 9 51 12 11 29 31 30 1,1,1,1
47 15 17 25 6 21 26 51 52 32,41 5 39 42 3 48 37 50 11 52,9,28,0,1,1,47 21 52 15 17 16 26 6 32 25,41 5 39 42 3 48 37 50 11 52,0,2,1
37 50 13 48 39 5 6 12 31 3,15 32 19 51 47 21 30 29 18 9,44,4,0,1,7,37 50 5 31 6 45 13 39 0 41,32 19 51 30 18 12 38 17 4 52,0,0,3
19 24 43 22 50 17 2 21 9 52,14 10 38 42 32 33 1 46 11 48,12,0,10,0,6,24 22 21 23 52 42 29 43 45 44,14 10 38 32 33 1 11 9 30 41,2,0,1
32 12 31 10 2 5 7 18 26 17,16 24 0 44 45 14 42 43 20 23,19,12,0,1,2,31 5 18 32 10 7 8 26 2 17,16 24 44 45 14 42 43 23 25 13,2,1,0
10 50 6 35 19 39 42 1 47 46,15 14 2 41 16 28 49 22 43 5,27,22,0,1,3,1 47 46 50 49 39 0 42 16 6,15 14 2 41 28 49 22 35 10 40,0,0,3
49 36 40 46 17 1 26 2 33 4,31 37 10 19 45 39 32 52 15 52,14,2,0,1,5,40 46 33 17 4 43 36 1 34 26,37 19 45 32 52 15 52 2 50 27,0,0,3
26 27 48 9 2 6 52 11 35 37,23 10 22 49 20 50 7 14 46 51,12,0,4,0,4,52 11 37 27 40 14 48 9 35 22,23 10 49 20 7 46 51 36 28 34,0,0,3
52 40 17 36 13 48 42 32 19 29,3 33 15 14 38 9 43 44 27 47,31,14,0,1,8,52 19 32 20 33 7 13 39 42 29,15 14 38 44 27 47 48 49 18 17,1,2,0
17 1 51 52 40 30 37 49 0 41,16 47 32 45 34 12 21 11 8 10,29,31,0,1,1,51 52 49 0 1 40 41 17 30 18,16 47 32 45 34 12 21 11 8 10,1,0,2
39 50 24 22 33 23 41 17 9 51,32 40 45 3 36 5 46 7 1 38,4,0,60,0,1,50 17 51 24 22 23 25 39 41 40,32 45 3 36 5 46 7 1 38 0,2,1,0
13 22 52 21 41 29 5 7 8 19,39 52 12 4 37 48 43 30 47 14,28,0,14,0,5,52 7 8 22 41 19 20 5 15 31,39 52 4 48 43 30 47 51 17 0,0,2,1
44 39 11 6 35 29 3 49 37 36,43 9 31 0 51 25 27 18 1 47,32,0,32,0,4,35 37 36 6 52 44 47 27 29 19,31 0 51 25 18 1 4 12 3 13,1,2,0
5 46 29 52 36 25 20 7 8 47,28 52 4 50 37 0 42 16 13 21,22,0,14,0,3,46 52 47 5 7 8 6 28 29 48,52 4 50 37 0 42 16 13 2 9,1,2,0
52 52 4 49 20 39 44 12 34 3,14 28 17 0 21 48 29 16 35 27,45,0,18,0,8,52 49 50 3 4 5 25 38 51 52,14 28 17 48 29 16 35 27 9 41,1,1,1
20 15 33 29 52 0 52 34 19 3,14 18 4 10 48 17 5 40 9 45,21,0,43,0,3,20 52 19 52 3 4 33 34 47 36,14 18 10 17 5 9 45 15 8 6,0,3,0
31 23 27 47 20 2 46 51 0 14,35 26 38 5 42 34 30 19 13 32,25,20,0,1,7,20 46 7 2 51 3 27 14 15 37,35 26 38 34 30 13 32 17 33 0,1,0,2
38 23 15 51 8 39 33 52 46 12,20 0 11 9 27 4 40 52 36 13,1,19,0,1,2,33 52 46 38 51 12 39 15 4 18,0 11 9 27 40 52 36 13 8 23,0,1,2
4 39 13 38 16 6 24 11 50 9,28 19 36 23 51 48 32 45 25 35,17,0,40,0,1,24 11 50 4 6 9 52 39 13 52,19 36 23 51 48 32 45 25 35 38,0,1,2
32 27 40 43 41 1 49 3 22 25,8 0 34 48 20 10 35 11 15 19,38,5,0,1,3,43 41 25 40 1 27 52 32 51 3,8 48 20 10 35 11 19 22 52 18,1,1,1
46 33 16 19 24 48 4 7 43,44 35 27 47 38 6 49 3 42 39,40,47,0,1,7,46 33 7 39 16 4 43 19 24 48,35 27 47 38 49 3 42 36 29 37,1,1,1
38 1 42 37 17 21 34 45 15 52,27 43 7 12 13 19 9 32 22 24,11,0,30,0,2,37 21 34 38 25 51 52 15 17 18,43 7 12 19 9 32 22 24 45 42,0,1,2
16 35 41 34 12 46 47 25 43 1,48 6 26 52 20 32 7 38 14 29,13,20,0,1,5,34 47 21 16 3 29 1 41 43 18,48 6 26 52 20 32 7 22 35 46,0,0,3
30 6 50 46 49 52 13 41 14 8,16 4 25 15 10 47 34 1 44 21,38,2,0,1,8,52 30 29 51 41 43 32 6 45 13,16 25 15 47 34 44 21 18 31 14,1,0,2
14 20 52 50 16 28 38 42 34 11,25 12 24 6 37 26 19 21 23 7,46,0,20,0,1,20 50 11 14 16 15 52 28 38 26,25 12 24 6 37 19 21 23 7 32,1,1,1
