init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
42 36 3 52 16 49 32 26 10 30,39 41 2 20 1 6 35 33 34 8,14,0,19,0,0,42 36 3 52 16 49 32 10 30 40,39 41 2 20 1 6 35 33 34 8,0,1,2
12 10 36 5 17 29 38 28 43 1,39 37 32 23 41 44 20 27 45 18,25,0,44,0,1,12 10 36 17 29 38 28 43 49 23,44 18 5 39 27 41 32 45 20 37,0,1,2
8 40 15 23 31 9 43 19 47 50,3 38 26 46 28 12 22 0 2,44,0,60,0,3,8 40 15 31 43 47 16 14 34 41,38 12 26 0 28 2 3 46 22 9,1,1,1
19 33 41 37 5 31 40 18 13 34,1 4 38 46 8 48 20 24 28 7,50,0,17,0,10,33 41 37 5 31 40 18 51 44 39,20 7 24 52 32 34 26 1 28 45,1,1,1
11 6 36 17 28 5 51 3 33 19,46 16 9 45 23 30 22 52 29 47,34,0,3,0,9,6 36 17 5 33 19 35 18 8 4,46 45 52 9 22 47 16 29 3 40,2,1,0
24 3 26 35 0 21 50 43 2 46,34 52 9 28 17 39 13 36 14 27,31,21,0,1,4,24 3 35 0 21 50 2 22 9 11,34 52 36 27 28 26 13 14 52 5,1,2,0
48 33 49 29 51 52 7 3 43 5,1 35 6 17 24 16 47 28 23 32,30,0,12,0,3,48 49 29 51 52 7 3 43 5 6,24 23 22 17 32 35 34 1 28 16,1,1,1
14 31 2 41 49 5 30 7 20 24,25 21 8 47 19 11 33 15 34,44,0,51,0,3,14 31 2 41 5 7 20 13 25 52,21 8 47 19 11 33 15 34 9 49,1,0,2
7 6 45 43 0 27 17 38 50 30,10 26 52 21 41 46 20 22 5 11,40,0,45,0,8,7 6 43 27 17 38 30 25 52 8,22 35 48 26 41 3 5 45 20 21,1,0,2
3 44 12 31 52 11 10 20 7 38,0 4 5 47 28 52 17 35 42 43,2,2,0,1,10,44 12 31 52 11 10 20 7 18 39,28 4 5 17 43 30 47 46 48 52,1,1,1
47 35 15 32 22 6 49 3 20 18,10 7 33 19 52 5 4 1 52 51,30,60,0,1,5,47 35 15 32 22 6 49 3 41 46,52 7 5 4 33 34 20 19 21 52,1,2,0
42 52 17 4 28 10 22 7 19 26,15 38 8 9 30 21 20 40 12 41,33,0,7,0,6,52 17 4 28 22 7 19 26 21 30,8 9 20 40 41 39 42 52 1 15,0,2,1
5 9 51 15 2 35 1 30 28 46,52 18 21 0 42 39 44 23 12 7,25,0,16,0,2,5 9 51 15 2 35 28 52 44 48,52 21 23 12 7 33 0 39 42 18,0,0,3
10 44 34 15 28 5 47 4 52 23,19 49 17 51 38 48 41 12 52 33,50,0,3,0,7,34 15 28 5 47 4 52 8 7 41,49 52 51 12 25 38 48 37 35 27,0,1,2
10 8 42 32 21 22 25 37 46 4,5 12 20 2 30 39 17 27 44 3,9,26,0,1,11,10 8 22 25 46 49 12 38 0 16,35 30 17 3 42 29 39 48 40 52,0,1,2
16 1 47 33 27 5 44 35 21 2,0 20 15 40 22 36 28 24 31 30,25,0,50,0,6,1 33 27 5 35 2 4 34 52 51,0 13 40 15 28 30 17 31 44 20,1,1,1
2 14 16 52 46 36 39 50 45 29,30 28 41 3 37 13 33 11 51,47,0,24,0,10,2 14 16 52 46 45 4 5 3 52,37 34 33 35 36 17 43 13 27 12,1,2,0
20 24 43 27 11 2 19 15 40 23,33 21 25 48 38 28 46 50 34 3,26,0,60,0,4,20 24 11 2 19 15 41 22 37 52,33 21 25 48 38 28 46 50 34 3,0,1,2
30 13 40 11 47 15 21 52 20 23,22 38 10 37 7 25 41 0 43 34,28,0,21,0,4,40 47 15 21 52 20 23 42 34 22,38 37 41 43 4 30 0 1 44 7,0,2,1
51 0 26 43 30 35 25 27 36 29,3 52 19 20 7 21 44 47 14 8,33,59,0,1,2,51 0 26 43 30 35 25 27 29 42,52 19 20 21 47 8 7 14 15 46,0,2,1
44 25 51 40 16 30 8 26 10 35,21 43 36 6 45 5 33 1 22,2,0,60,0,6,44 51 40 8 10 47 39 9 52 41,21 43 6 45 5 1 40 25 38 23,2,1,0
28 23 46 15 21 26 19 24 38 27,2 25 12 48 33 50 52 36 3 13,37,24,0,1,5,28 23 46 21 26 24 38 27 45 18,50 2 3 12 52 25 52 19 6 11,0,1,2
30 39 3 18 46 11 16 48 44 12,42 26 51 7 23 13 14 45 19,50,0,22,0,12,18 46 11 16 48 47 15 40 27 52,45 52 42 43 26 13 14 1 30 30,1,1,1
48 40 51 35 25 28 2 32 15 12,49 17 31 3 21 19 30 9 52 38,27,0,54,0,0,48 40 51 35 25 28 2 15 12 41,49 17 31 3 21 19 30 9 52 38,0,0,3
8 40 6 52 37 39 5 32 1 10,31 43 30 48 34 47 51 44 45,46,0,24,0,8,8 40 6 52 39 5 42 33 0 26,43 44 45 48 47 7 29 16 30 19,0,2,1
26 46 33 35 41 8 0 15 25 9,47 11 50 29 37 24 28 27 49,20,8,0,1,2,26 46 33 35 41 0 15 25 9 22,11 37 24 29 28 27 47 50 49 7,1,1,1
31 51 6 15 34 22 49 38 30 52,43 23 1 32 48 24 19 7 16,44,0,44,0,4,31 51 22 49 30 52 25 29 24 5,32 19 6 1 40 15 16 7 23 48,0,3,0
21 7 41 11 9 46 45 50 38 17,30 16 36 40 3 8 43 48 51 10,12,0,17,0,6,7 11 9 46 45 50 38 37 48 8,51 36 10 52 21 16 3 25 40 2,1,1,1
31 22 34 50 33 44 40 47 1 49,4 35 16 41 30 23 39 52 14 18,6,15,0,1,6,31 50 33 44 40 47 1 49 18 52,35 48 22 52 4 19 14 16 15 32,1,1,1
19 49 5 33 6 52 44 38 52 22,23 32 45 12 29 47 43 27 21 17,1,0,21,0,3,19 5 6 52 44 38 52 51 12 45,27 32 33 23 21 22 2 29 43 17,0,0,3
42 52 40 17 32 37 22 14 36 12,13 31 34 43 25 39 11 29 7 33,28,0,5,0,12,52 40 17 37 14 36 16 35 1 19,33 34 15 13 39 0 31 29 30 3,1,1,1
35 28 36 49 44 18 14 52 2 12,5 52 15 41 39 47 46 43 0 16,23,0,14,0,1,35 28 36 49 44 18 52 2 38 5,52 47 46 15 16 14 39 0 41 43,0,1,2
26 18 44 13 23 48 40 2 52 17,19 39 20 33 7 45 9 43 14 50,21,0,2,0,8,26 18 13 23 52 17 25 19 22 24,20 33 7 40 14 27 41 43 42 39,2,0,1
8 23 17 1 18 32 14 20 44 12,24 37 31 48 52 34 11 43 2 0,46,0,2,0,4,23 1 18 14 20 44 49 31 5 7,24 37 11 34 21 8 52 43 42 0,0,0,3
15 0 23 19 49 21 32 40 9 7,22 1 39 6 18 45 47 4 52 17,51,0,10,0,3,23 19 21 32 9 7 52 22 6 25,45 47 52 18 17 16 15 39 1 42,1,1,1
20 35 47 19 25 46 7 14 0 4,5 2 16 32 36 40 11 9 52 41,3,27,0,1,7,20 47 25 46 7 14 4 30 15 17,16 32 33 11 9 10 8 52 40 51,1,2,0
