"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"49",11,11,19,3,36,4,12,10,19,3,30,4,7,1,0,0,6,2,6,1,6,1,1,30,49
"50",12,11,27,3,36,4,28,11,19,3,36,4,12,2,6,0,6,0,0,2,6,2,3,38,65
"51",13,1,31,3,39,6,39,11,27,3,36,4,28,1,1,2,1,2,0,1,1,2,3,32,157
"52",14,1,33,3,39,14,39,1,31,3,39,6,39,2,0,0,6,1,4,2,6,2,2,34,165
"53",15,1,37,3,39,15,39,1,33,3,39,14,39,1,4,0,1,0,0,4,1,2,2,38,166
"54",16,11,39,9,39,18,39,1,37,3,39,15,39,6,3,6,3,6,0,6,3,3,2,94,169
"55",17,26,39,9,39,20,39,11,39,9,39,18,39,6,0,0,2,5,5,6,2,1,2,109,171
"56",18,36,39,9,39,25,39,26,39,9,39,20,39,5,5,0,5,0,0,5,5,1,2,119,176
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,10,1,1,1,2,1,1,1,1,1,1,1,6,1,1,1,1,0,6,1,1,2,9,1
"59",2,10,2,1,1,2,6,10,1,1,1,2,1,1,0,0,4,5,2,1,5,2,3,10,6
"60",3,14,2,1,3,2,6,10,2,1,1,2,6,4,2,0,2,0,0,4,2,1,1,14,8
"61",4,14,6,1,7,2,6,14,2,1,3,2,6,4,4,4,4,4,0,4,4,2,1,18,12
"62",5,18,6,1,11,2,6,14,6,1,7,2,6,4,0,0,1,4,3,4,4,1,1,22,16
"63",6,19,6,1,11,2,9,18,6,1,11,2,6,1,3,0,3,0,0,1,3,1,3,23,19
"64",7,19,6,5,13,2,9,19,6,1,11,2,9,4,2,2,2,2,0,4,2,3,1,27,21
"65",8,19,8,5,18,2,9,19,6,5,13,2,9,2,0,0,5,6,3,2,5,2,1,29,26
"66",9,19,8,12,18,2,12,19,8,5,18,2,9,6,3,0,3,0,0,6,3,3,3,36,29
"67",10,19,17,12,23,2,12,19,8,12,18,2,12,5,3,6,5,3,0,6,5,2,1,45,34
"68",11,19,17,15,32,2,12,19,17,12,23,2,12,3,0,0,6,4,2,3,6,3,1,48,43
"69",12,19,19,15,32,2,16,19,17,15,32,2,12,4,2,0,4,0,0,2,4,2,3,50,47
"70",13,19,19,20,32,2,21,19,19,15,32,2,16,5,2,5,2,5,0,5,5,3,3,55,52
"71",14,19,21,20,37,2,21,19,19,20,32,2,21,2,0,0,2,1,5,2,5,2,1,57,57
"72",15,19,24,20,39,7,21,19,21,20,37,2,21,2,1,0,2,0,0,1,2,2,1,60,102
