"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,6,1,5,1,1,1,1,1,4,5,2,4,2,0,5,4,1,1,5,4
"2",2,8,1,10,1,6,1,5,1,2,0,0,5,5,5,2,5,1,1,7,9
"3",3,13,1,10,6,8,1,10,1,5,5,0,5,0,0,5,5,1,2,12,14
"4",4,13,12,15,6,13,1,10,6,6,5,5,5,5,0,6,5,2,1,23,19
"5",5,13,17,15,7,13,12,15,6,5,0,0,1,5,4,5,1,2,2,28,20
"6",6,17,17,15,12,13,17,15,7,5,4,0,5,0,0,4,5,1,2,32,25
"7",7,17,27,27,17,17,17,15,12,6,3,6,3,6,0,6,6,2,1,42,42
"8",8,17,30,32,17,17,27,27,17,3,0,0,5,1,5,3,5,2,1,45,47
"9",9,17,35,33,17,17,30,32,17,1,5,0,1,0,0,5,1,2,1,50,48
"10",10,19,35,45,22,17,35,33,17,6,2,3,6,3,0,2,6,1,1,52,65
"11",11,19,38,47,22,19,35,45,22,3,0,0,2,3,2,3,2,2,1,55,67
"12",12,22,38,47,24,19,38,47,22,3,2,0,2,0,0,3,2,1,2,58,69
"13",13,22,39,47,28,22,38,47,24,4,2,1,4,2,0,1,4,2,2,59,73
"14",14,24,39,47,39,22,39,47,28,2,0,0,3,1,6,2,6,1,2,61,84
"15",15,24,40,47,42,24,39,47,39,3,1,0,3,0,0,1,3,2,2,62,87
"16",16,29,40,47,46,24,40,47,42,5,4,5,4,5,0,5,4,1,2,67,91
"17",17,29,45,52,46,29,40,47,46,5,0,0,5,5,1,5,1,2,1,72,96
"18",18,29,45,52,46,29,45,52,46,5,5,0,NA,0,0,0,0,0,0,72,96
