init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
35 47 1 41 37 28 24 12 3 32,29 15 46 50 52 6 5 0 21 33,39,60,0,1,6,35 47 1 41 37 28 24 12 3 32,29 30 31 52 5 6 14 15 0 25,1,2,0
50 24 28 5 31 3 48 49 7 1,14 38 52 20 51 27 30 33 21 45,44,0,10,0,7,50 48 49 5 7 8 3 1 31 0,20 21 22 52 45 43 26 13 27 14,1,2,0
52 6 24 47 4 46 16 12 42 17,7 33 37 34 43 26 52 39 25 11,50,39,0,1,8,52 24 39 14 16 42 29 4 17 31,33 34 35 37 52 3 6 11 7 20,1,1,1
24 19 50 46 23 21 43 4 27 39,17 25 26 37 30 11 51 5 35 7,38,60,0,1,8,24 19 50 46 23 21 43 4 27 39,15 16 14 25 51 5 17 30 52 12,1,1,1
52 42 10 18 31 5 4 49 27 11,16 7 40 44 48 39 15 29 35 3,21,0,4,0,9,27 28 26 52 1 2 4 34 18 31,39 40 41 8 47 7 16 29 3 15,1,1,1
45 22 35 12 4 33 44 42 11 5,29 39 16 36 18 43 27 21 34 48,28,0,28,0,9,12 11 10 42 44 45 52 4 5 15,36 34 35 33 39 27 29 16 43 18,1,2,0
8 29 11 18 23 30 26 9 12 20,39 32 41 35 34 15 43 25 10 14,3,4,0,1,10,8 11 9 12 10 29 18 20 26 13,35 34 36 41 43 42 44 14 27 52,2,0,1
22 26 40 31 28 21 12 10 20 50,11 33 0 47 17 27 15 1 4 30,9,0,8,0,10,22 21 20 40 41 43 48 26 13 39,4 5 3 30 31 29 32 0 27 1,1,1,1
22 50 26 36 8 10 15 2 41 49,28 27 38 39 42 48 24 46 5 52,23,0,14,0,10,1 2 4 3 36 10 14 49 15 41,45 46 44 52 5 6 39 27 28 42,1,1,1
44 5 16 23 8 4 38 25 42 12,11 47 40 6 27 28 52 10 26 15,35,58,0,1,12,44 42 43 16 4 5 23 8 38 25,27 28 26 11 10 12 52 15 2 9,2,0,1
17 18 8 2 35 4 0 19 26 11,41 40 36 13 21 34 6 52 23 25,7,0,60,0,6,17 18 19 2 0 1 4 33 5 20,41 40 36 13 21 34 6 52 23 25,2,1,0
52 9 12 33 4 5 44 6 48 0,51 37 52 3 43 38 16 28 36 19,17,0,19,0,1,5 6 7 52 12 0 2 9 4 48,51 37 52 3 43 38 16 28 36 19,1,1,1
35 20 5 28 51 37 1 13 12 14,30 52 15 47 19 41 50 18 16 17,39,60,0,1,6,35 20 5 28 51 37 1 13 12 14,19 18 17 52 47 50 48 15 41 2,1,1,1
12 35 4 46 20 33 31 5 26 13,14 51 44 1 34 45 52 32 42 40,19,42,0,1,8,35 33 34 26 13 4 31 5 46 20,40 42 41 45 1 3 52 51 50 32,1,2,0
18 47 44 51 45 52 8 11 21 20,49 4 14 9 23 24 38 5 33 39,17,0,21,0,10,44 45 46 52 51 49 47 8 21 43,23 24 25 4 9 11 39 14 5 33,1,1,1
21 31 2 28 27 11 12 29 25 10,3 5 39 49 46 18 38 35 17 36,45,0,2,0,24,11 12 10 28 27 29 30 2 19 41,35 36 34 37 3 5 4 1 6 39,2,0,1
50 38 47 42 39 31 22 15 49 13,5 37 1 34 27 51 26 17 7 25,18,29,0,1,9,31 52 44 39 13 1 15 42 3 45,27 26 28 7 6 8 17 4 43 5,2,0,1
41 26 46 16 14 45 43 51 33 27,29 37 32 10 6 24 39 36 38 40,31,0,2,0,9,41 43 42 44 14 16 17 45 18 19,37 36 38 39 40 51 32 33 34 13,1,1,1
