hand,wcj,minscore,mindist
2 48 44 50 46 40 38 4 37 23,0,60,4
38 36 51 44 17 4 10 13 43 27,47,52,3
22 30 26 17 4 12 19 38 48 52,15,30,2
46 49 24 17 52 35 38 34 13 26,29,49,3
39 35 30 11 38 46 36 21 43 22,9,31,3
10 12 33 22 19 41 43 47 39 42,17,48,3
16 5 20 12 49 43 27 34 37 2,6,60,6
30 51 2 40 22 4 14 16 46 12,1,28,3
25 20 21 44 52 52 41 28 11 8,38,15,1
8 44 40 32 52 47 4 7 16 19,14,27,2
52 30 7 3 2 8 19 51 10 52,46,23,2
23 14 48 2 5 46 51 36 9 52,13,53,3
52 12 0 29 38 39 22 36 32 20,3,22,2
11 45 9 3 41 48 46 1 22 5,44,22,2
22 25 7 8 31 52 20 48 30 35,17,26,2
19 2 46 52 35 45 26 51 49 29,24,46,3
52 6 36 45 38 14 20 0 12 24,23,24,3
35 31 29 21 40 17 13 0 39 52,41,29,3
41 44 30 47 7 39 34 35 19 0,46,39,3
0 32 34 23 26 21 16 35 27 13,38,56,2
36 4 45 49 32 42 23 9 11 33,16,31,2
1 50 21 15 29 3 42 11 12 47,44,57,3
28 52 10 29 14 38 15 25 5 34,24,43,3
3 29 34 30 14 31 41 46 13 51,8,28,2
7 30 0 31 22 46 12 44 35 18,39,34,2
44 5 20 35 39 23 15 3 12 52,41,41,3
52 8 10 41 24 29 32 15 37 51,21,33,2
14 26 35 13 3 9 52 16 36 52,30,17,2
2 6 26 50 28 38 15 30 24 52,37,6,1
7 22 18 6 52 19 43 5 3 25,33,26,2
12 22 24 20 16 0 41 39 13 28,23,52,3
19 37 35 43 52 11 7 41 48 27,20,21,2
18 43 36 31 46 51 16 17 12 29,38,22,1
50 27 33 12 39 21 48 20 7 44,49,52,4
26 14 34 29 24 7 18 15 4 3,45,60,4
48 49 46 21 22 45 20 17 42 51,3,16,1
36 20 28 1 48 27 11 16 33 43,38,60,5
48 50 2 17 16 52 30 21 39 36,6,43,4
20 13 21 35 45 43 42 49 52 7,19,31,3
41 6 24 2 48 23 28 13 52 38,22,20,2
44 50 17 4 3 31 48 2 34 51,26,60,2
51 18 25 27 52 6 11 26 0 5,41,39,3
47 19 11 14 28 13 52 31 10 16,46,39,3
12 26 33 5 29 20 34 38 19 11,50,50,3
44 37 32 8 29 30 45 31 5 35,33,52,2
34 52 22 52 4 31 10 19 7 49,14,50,3
10 52 32 19 40 33 29 41 34 15,25,26,3
27 25 6 34 10 9 39 52 23 32,44,51,3
52 28 44 36 38 25 2 39 10 47,5,20,2
52 40 48 20 36 22 21 7 17 47,9,19,2
30 45 37 52 27 4 47 52 44 11,10,15,1
32 9 43 21 41 13 4 6 11 1,34,37,3
15 7 8 5 43 10 9 49 23 29,46,22,3
40 26 28 33 5 51 52 52 15 0,32,20,2
0 48 9 41 18 7 36 28 42 8,29,29,3
27 2 21 52 8 42 11 1 14 22,6,29,2
7 5 15 14 3 34 35 23 47 49,0,60,4
47 44 23 43 4 29 38 34 10 52,51,24,2
21 40 39 44 16 49 48 3 28 45,7,60,4
39 23 40 52 49 14 2 25 47 44,34,16,2
45 15 26 20 5 17 32 43 36 24,37,44,4
40 48 16 20 4 36 39 28 8 41,46,45,4
29 37 52 39 8 51 3 27 38 33,14,29,2
48 52 42 10 8 12 33 25 32 41,34,29,2
0 27 28 44 35 41 40 48 4 31,9,14,2
9 26 17 47 1 2 50 34 52 8,33,28,3
20 4 52 43 13 17 32 52 2 8,28,19,2
18 45 22 43 49 32 40 10 31 2,1,50,3
13 52 20 16 7 5 18 38 40 23,15,44,3
52 23 27 15 46 42 22 21 12 48,7,22,3
37 36 34 24 50 49 23 28 40 44,41,20,2
52 22 18 44 26 45 16 49 19 52,23,7,1
33 9 22 23 35 8 29 44 32 28,0,53,3
49 51 45 30 20 35 3 10 5 15,44,52,5
48 38 7 37 33 18 9 24 30 41,47,60,4
50 52 46 17 23 44 47 48 20 38,31,26,2
14 23 19 50 41 46 40 15 3 1,0,50,4
44 52 35 4 34 30 36 7 23 12,43,26,2
37 18 39 46 43 35 48 6 5 0,11,41,3
16 33 2 3 14 52 17 35 7 48,13,41,2
35 38 22 36 12 32 19 15 52 2,46,44,2
2 33 43 48 21 37 47 15 49 4,46,28,2
4 7 52 3 52 34 10 28 19 48,50,42,3
27 52 52 1 31 45 8 35 52 49,39,33,3
34 52 47 7 11 38 32 45 44 42,1,52,3
39 50 47 26 7 40 33 1 15 36,18,60,4
52 32 38 6 17 40 20 1 23 4,3,47,3
49 36 19 34 11 39 0 2 30 12,38,42,4
40 47 1 32 34 15 46 45 21 37,9,45,3
19 45 6 48 30 52 50 17 38 44,46,29,2
31 47 38 27 13 36 14 37 50 28,35,39,3
3 40 39 25 16 52 38 10 8 50,49,25,2
30 5 52 29 46 50 1 0 49 15,43,21,3
22 38 43 52 0 47 50 45 37 20,8,26,2
15 49 12 32 42 25 44 39 22 6,1,60,4
29 1 37 26 33 46 10 15 28 41,17,48,3
52 52 28 4 49 38 32 23 47 44,40,45,3
47 2 19 29 3 17 36 40 20 34,16,17,2
52 11 51 2 30 40 47 48 46 21,31,30,3
9 5 18 17 15 34 33 39 36 20,31,21,2
9 16 22 52 50 45 32 35 30 42,13,26,2
11 35 0 40 14 32 17 39 24 13,22,20,2
33 47 4 46 5 25 38 16 11 37,10,60,4
20 32 44 37 19 27 36 29 21 35,30,23,2
29 5 36 2 34 27 49 52 41 9,7,43,3
49 6 3 30 22 31 52 26 21 9,29,30,2
9 23 36 17 31 44 3 21 26 49,20,47,4
18 44 24 7 52 42 23 22 19 37,26,31,2
47 18 3 39 45 40 32 19 38 2,11,41,3
13 12 26 10 30 48 9 2 35 18,23,27,2
14 45 28 50 13 52 42 52 30 1,19,13,2
52 15 19 29 13 12 21 1 50 48,23,42,3
51 0 33 28 1 42 15 11 20 19,23,60,4
26 8 35 37 20 40 27 24 41 46,21,40,3
19 3 2 21 52 35 8 38 32 48,13,55,3
30 7 39 1 33 14 6 21 37 19,13,48,3
41 52 14 42 40 46 12 47 49 3,7,18,2
39 37 41 38 1 33 52 20 8 43,44,43,3
11 28 27 35 14 42 9 34 38 37,15,31,2
16 28 35 52 31 2 25 42 44 0,36,40,3
18 24 26 15 28 45 34 38 44 16,23,60,3
40 21 10 52 36 11 25 38 18 45,42,58,3
52 23 21 52 9 44 33 0 52 35,49,18,2
30 46 24 18 13 40 36 5 20 50,35,60,4
0 15 47 22 37 14 29 44 52 6,40,39,4
37 22 49 13 23 1 50 12 46 52,40,31,2
33 52 46 35 21 45 37 23 20 50,44,38,2
45 6 9 31 33 20 52 51 27 47,21,30,3
8 20 17 47 5 13 32 12 27 43,26,49,4
29 14 38 50 49 46 18 21 24 27,41,60,4
46 19 32 11 7 8 45 3 22 41,39,57,3
52 44 5 12 4 6 15 2 47 28,26,27,1
45 52 37 41 5 0 20 49 40 10,2,39,4
23 36 3 18 46 31 28 52 48 42,2,24,2
28 30 47 45 38 0 27 35 21 36,46,60,3
9 33 3 47 49 13 26 42 30 16,7,20,2
22 33 39 5 15 48 41 19 17 9,7,17,2
18 43 0 9 3 28 39 19 5 46,31,31,3
51 17 7 37 22 38 31 49 20 23,40,60,3
52 8 46 11 9 44 17 15 0 28,36,32,2
52 16 28 30 40 6 15 43 10 23,45,16,2
34 41 28 11 20 14 43 52 51 42,29,42,4
52 7 50 0 40 2 52 37 1 15,51,16,2
51 7 6 0 18 2 43 31 16 42,40,60,4
45 12 42 33 38 46 29 6 36 52,23,26,2
29 20 52 19 25 2 47 35 38 1,31,49,3
30 16 51 47 43 52 23 4 10 28,0,29,3
10 14 45 34 25 47 18 12 32 33,1,35,2
31 14 22 34 8 23 18 28 47 52,2,3,1
11 19 0 44 51 7 31 39 16 23,27,60,4
7 31 51 6 25 42 37 23 3 33,46,35,3
32 35 10 36 25 37 22 45 18 12,24,60,3
27 31 45 42 28 41 32 0 40 11,10,42,3
19 52 8 18 40 44 1 11 49 20,10,13,1
52 43 0 31 4 52 20 9 15 2,1,28,3
49 7 2 3 50 40 23 38 6 37,35,60,4
10 27 29 19 35 40 14 49 47 52,8,23,2
5 47 8 24 29 15 1 45 6 12,49,60,3
36 35 0 15 29 52 11 48 52 49,16,16,2
19 43 1 9 20 31 6 5 7 21,29,26,2
17 19 39 10 42 27 13 43 3 47,22,57,4
9 47 11 35 13 2 3 43 34 1,7,58,3
15 25 1 48 4 27 19 8 49 26,12,36,3
7 11 37 12 48 14 20 18 3 27,50,32,3
42 2 24 50 20 14 16 31 6 22,43,60,4
2 46 28 8 39 15 25 20 0 49,47,24,2
11 39 50 52 26 3 21 30 44 6,35,40,3
52 37 28 50 3 19 5 24 43 22,51,28,2
16 49 33 47 1 9 2 39 11 52,19,43,3
16 22 44 31 4 19 6 18 52 2,36,25,2
52 47 21 49 41 20 52 19 23 2,13,8,1
20 44 11 9 18 4 46 12 24 47,32,60,3
36 0 16 50 12 48 46 47 26 5,31,27,3
24 44 4 42 28 23 19 34 2 30,10,48,3
11 33 29 46 49 52 2 13 51 8,15,27,2
16 14 44 27 22 40 52 11 41 38,12,25,2
52 21 20 9 47 48 17 44 45 19,46,16,1
52 47 20 33 2 46 30 36 6 14,24,41,4
17 45 12 34 10 44 19 25 31 22,3,60,4
52 25 15 34 21 20 44 40 37 11,24,19,2
7 24 8 52 38 52 27 39 9 21,11,2,1
14 18 23 45 4 22 48 51 19 32,27,33,2
29 2 48 20 26 39 47 4 31 50,11,35,3
14 34 42 46 4 31 28 25 43 26,27,47,3
25 18 39 6 52 16 46 34 1 42,43,47,4
1 11 40 8 34 41 3 45 20 21,35,42,3
48 37 10 40 28 1 23 27 3 33,51,58,4
52 0 22 28 38 45 19 13 17 43,26,20,1
26 1 23 15 13 49 31 17 43 22,34,60,4
19 20 49 5 48 26 45 21 7 11,25,56,3
25 13 39 48 19 2 46 11 16 52,7,34,3
23 5 12 28 15 25 3 42 24 51,7,45,3
9 15 17 52 2 26 6 3 1 44,33,27,2
9 3 10 13 8 26 36 25 44 1,2,39,3
19 20 43 14 41 42 11 6 52 22,9,21,2
52 32 39 12 5 0 14 30 48 45,33,40,3
29 8 14 47 22 0 31 43 24 1,17,40,3
44 39 48 49 0 47 1 36 8 25,4,44,4
52 33 4 51 9 20 52 10 44 45,41,31,2
37 8 35 49 15 48 28 51 13 25,16,60,3
27 30 37 41 28 50 18 26 31 47,11,14,2
14 46 8 15 43 11 50 0 30 26,13,26,2
33 16 22 35 52 31 1 5 21 45,41,49,3
52 22 0 46 1 29 20 39 11 6,26,25,3
43 30 49 3 20 17 11 51 6 8,31,60,3
9 45 37 41 12 48 6 0 28 14,21,60,4
1 35 11 41 26 22 27 19 38 51,2,31,3
52 46 49 43 51 38 40 6 34 24,48,56,4
52 2 8 4 20 27 32 29 5 7,50,29,2
26 52 16 38 42 46 17 11 43 10,8,43,3
38 35 52 7 37 18 33 15 30 46,16,17,2
21 52 25 26 51 30 3 22 23 14,32,16,3
6 46 12 10 27 9 48 52 52 22,42,20,2
42 47 28 14 19 49 18 46 8 32,51,60,4
39 42 47 52 20 6 36 51 35 12,2,54,3
36 9 6 45 17 2 11 28 47 52,49,22,2
52 32 2 45 14 51 38 50 30 26,49,41,3
22 39 14 43 35 26 23 37 42 8,41,60,4
27 15 4 12 16 3 44 39 0 52,28,17,3
51 41 40 26 3 23 46 43 19 6,30,42,3
12 51 5 40 14 42 18 2 50 28,15,21,2
28 20 4 5 44 26 52 32 3 38,16,23,2
10 2 13 21 41 39 33 25 20 36,22,60,4
45 39 34 10 16 7 20 21 31 23,28,60,4
50 12 11 10 19 9 14 28 20 51,27,21,1
19 41 45 31 30 13 3 46 36 23,34,60,4
50 41 49 4 26 22 47 24 51 40,27,22,3
43 1 52 23 52 27 24 7 6 19,31,20,2
26 52 52 22 15 43 46 3 29 0,11,28,2
9 0 47 41 8 1 12 16 51 48,19,59,3
52 51 14 49 43 20 17 13 22 25,26,25,2
42 32 20 28 25 39 17 36 13 3,10,39,3
42 27 48 46 29 49 45 13 25 24,28,60,3
25 32 47 14 35 0 2 52 38 3,30,42,3
20 23 11 13 28 14 10 17 18 52,3,39,2
7 51 23 33 16 50 32 52 24 6,28,59,3
36 26 10 52 28 9 30 32 52 19,34,22,2
26 33 40 38 43 17 52 52 48 10,18,32,3
4 10 24 40 52 8 46 22 52 3,16,18,2
11 41 52 10 20 49 4 1 18 15,50,17,2
52 31 16 42 48 40 1 18 37 17,22,18,2
16 9 39 7 35 20 24 42 52 27,23,43,3
17 52 48 52 42 12 23 46 0 50,51,22,3
52 47 17 36 5 32 45 41 39 38,43,21,2
4 17 29 39 31 19 51 15 37 32,35,60,3
4 52 22 27 20 5 10 19 43 30,11,20,2
36 3 21 52 19 39 6 37 28 41,17,41,3
46 32 24 37 47 17 9 52 52 48,41,24,2
4 20 22 21 16 42 26 17 9 41,36,38,3
19 37 52 35 40 17 0 52 27 18,46,2,1
42 6 37 10 12 2 48 29 52 22,9,22,2
8 12 52 46 37 1 3 32 16 20,2,51,3
52 35 24 20 45 21 36 26 40 4,12,48,4
49 4 20 10 45 48 25 12 39 34,32,57,4
31 33 52 49 22 0 35 7 42 10,1,52,3
32 52 30 25 20 7 10 52 38 17,49,6,1
31 29 35 45 23 26 40 5 1 39,30,57,4
29 42 10 45 21 16 33 38 3 23,0,57,3
6 29 52 27 44 35 18 4 3 10,13,42,2
2 7 20 6 1 25 29 27 48 50,12,41,3
52 32 48 30 16 50 10 19 8 52,7,27,2
4 27 52 42 46 23 39 6 5 34,49,19,2
44 38 37 35 11 13 4 20 23 25,30,48,3
38 0 48 49 52 44 52 31 12 11,7,26,2
16 27 50 22 43 34 45 51 38 52,44,52,3
1 17 3 2 22 26 52 52 9 27,16,6,1
37 28 30 39 26 10 5 34 13 7,4,34,2
3 41 21 40 1 4 45 50 20 51,26,60,3
23 43 37 46 25 27 34 13 42 52,21,24,3
47 35 46 24 23 40 5 6 25 51,34,32,2
52 44 18 43 41 13 52 32 39 26,6,0,0
37 12 9 47 8 38 28 27 11 52,24,10,1
50 17 32 36 19 8 45 38 24 47,22,60,3
28 33 35 4 18 5 15 52 51 26,20,28,2
52 16 48 22 38 25 14 32 4 7,8,51,3
29 50 11 52 32 10 12 21 30 6,36,28,2
39 25 4 10 11 40 30 41 20 32,51,29,2
45 27 29 50 43 12 40 32 52 49,18,43,3
31 7 25 52 15 47 48 5 50 36,33,24,2
24 7 26 15 34 42 9 32 11 41,18,60,4
47 7 3 13 0 51 22 52 10 21,36,34,3
12 19 40 38 29 20 33 18 15 17,0,41,3
9 40 13 42 20 6 12 52 24 46,32,32,2
14 16 38 2 13 0 46 51 28 9,7,30,2
0 47 41 46 35 24 26 30 32 43,3,60,4
5 51 31 46 45 21 32 24 0 17,28,60,4
12 47 17 7 4 14 30 34 52 5,19,29,2
52 29 52 47 18 11 30 15 37 0,33,23,2
28 5 13 20 14 6 7 45 34 26,18,37,3
1 42 18 20 50 44 36 24 23 6,27,56,3
45 52 40 33 1 44 38 11 16 27,24,20,2
35 22 50 49 29 1 14 34 51 9,19,21,2
36 1 52 37 3 26 4 34 42 33,51,21,2
0 24 18 32 21 38 47 13 22 7,30,60,4
13 29 35 1 11 25 52 24 41 21,15,28,3
13 6 37 9 47 2 41 35 40 11,1,48,3
1 46 39 45 0 52 26 7 27 44,48,9,1
37 46 27 16 52 20 39 26 23 6,41,40,4
46 34 17 14 48 30 52 8 52 24,51,25,2
12 30 8 50 4 25 33 1 23 26,46,47,3
35 16 5 25 52 9 21 12 46 10,50,51,4
52 4 35 33 25 36 1 10 32 30,11,35,2
33 43 16 39 13 5 10 0 32 27,23,21,3
3 26 11 10 46 0 43 18 52 33,25,40,3
14 7 29 22 33 25 9 50 48 38,1,33,2
28 16 17 7 13 18 25 26 35 43,37,43,3
42 47 52 35 5 41 3 2 14 16,1,24,2
9 52 48 46 10 52 39 35 36 5,49,2,1
20 32 37 27 22 5 47 24 28 38,46,52,3
48 0 52 49 22 8 31 7 24 9,35,19,2
41 16 39 10 29 7 26 30 25 6,38,34,3
41 33 45 2 14 0 20 19 38 46,13,21,2
48 19 3 35 45 18 8 24 52 41,33,52,4
18 7 2 4 45 42 6 29 13 14,30,34,3
52 48 11 46 18 50 49 37 17 38,23,10,1
52 46 7 22 50 51 29 30 43 52,42,10,1
3 41 8 5 24 2 4 34 37 23,0,54,2
14 19 38 30 21 52 8 37 25 26,36,49,3
14 35 27 33 1 0 12 40 4 32,44,33,1
41 6 25 18 47 4 7 12 50 52,46,31,2
27 44 48 29 20 38 35 19 4 0,51,40,3
21 16 6 38 50 47 34 35 43 9,23,59,4
26 52 41 4 14 8 13 31 24 1,33,41,4
10 44 1 35 23 43 51 32 19 46,17,55,3
22 13 18 42 7 46 24 12 23 32,8,50,4
46 22 27 13 28 49 37 34 44 42,7,49,3
0 13 11 52 38 10 21 46 6 52,22,37,3
0 10 7 50 41 24 20 5 3 13,4,60,4
10 12 8 21 20 24 22 19 49 23,1,30,2
43 25 5 27 52 4 33 19 45 9,50,51,4
27 25 45 29 52 0 37 38 11 31,10,45,3
19 52 21 5 26 52 46 51 6 23,40,28,3
14 41 4 21 7 42 10 48 47 36,22,47,3
27 30 23 48 6 10 46 33 12 37,44,60,4
15 31 4 49 22 11 52 2 13 41,5,28,3
38 33 39 30 26 47 52 9 29 46,49,44,3
52 34 12 5 6 17 1 11 28 48,44,41,4
43 48 7 2 38 44 41 17 11 45,23,53,4
45 1 40 13 16 12 15 47 25 30,34,30,2
1 49 35 45 6 14 37 12 11 41,5,60,4
26 49 19 2 41 5 20 14 23 11,16,60,4
11 18 41 14 15 38 32 51 10 45,16,60,4
4 41 8 17 5 11 24 47 9 40,26,60,3
52 41 15 3 35 1 47 51 11 36,6,46,3
6 45 17 16 3 24 20 28 13 0,41,39,3
52 5 40 45 44 16 39 23 3 38,2,42,3
15 27 7 45 50 30 24 0 19 10,29,60,4
0 5 15 30 39 6 4 23 32 37,24,18,2
8 29 15 20 2 24 22 5 40 16,48,47,3
28 41 23 47 15 16 10 12 8 52,1,35,2
26 24 2 23 40 22 17 3 43 47,51,36,3
20 24 50 47 33 22 48 19 21 45,26,57,2
32 49 10 27 3 52 45 18 38 20,50,50,3
4 36 20 22 45 13 0 18 11 6,16,60,4
14 19 6 18 20 12 40 25 33 35,37,53,3
13 16 30 1 9 6 47 41 19 20,38,60,5
52 2 27 51 29 32 52 26 40 24,41,15,1
27 31 23 30 34 29 4 49 33 20,24,57,3
35 9 23 22 36 52 44 45 47 14,46,23,1
8 35 48 39 12 52 51 50 45 29,17,45,4
18 4 45 31 25 15 0 37 51 48,1,60,4
7 29 16 46 25 26 18 3 30 52,44,18,2
52 22 16 17 7 5 41 24 51 8,3,20,2
45 11 33 46 0 51 22 18 20 23,2,57,4
40 49 1 41 46 52 17 6 45 33,50,42,3
13 46 43 25 2 16 15 0 51 24,34,60,3
1 40 50 7 31 5 34 3 2 19,45,30,2
33 14 29 12 13 18 11 47 42 46,49,60,4
52 30 13 49 44 6 1 52 38 17,3,40,4
1 9 43 21 41 15 50 14 30 13,39,44,3
26 37 15 31 19 5 52 46 49 48,3,38,3
52 41 3 27 9 6 18 48 32 25,38,19,3
8 13 39 9 29 5 30 52 50 34,32,42,3
11 12 51 24 6 0 48 52 8 43,34,26,2
26 11 43 51 15 36 7 20 6 38,32,50,4
13 4 39 15 22 20 14 9 46 19,51,54,3
44 52 39 17 12 36 33 43 52 41,9,35,2
51 48 27 49 1 26 10 22 25 12,15,48,3
16 20 21 3 46 51 26 52 24 15,12,25,2
36 22 15 52 26 5 12 20 41 32,23,27,3
1 33 25 27 19 32 2 7 41 4,11,60,3
19 35 52 36 50 45 30 0 20 41,11,20,3
1 15 52 38 24 34 29 0 22 46,26,41,4
25 23 51 21 52 43 27 50 1 34,12,22,2
52 0 46 2 50 24 11 29 44 8,18,20,2
21 5 38 13 33 2 11 0 43 14,27,54,4
52 51 46 22 15 9 28 13 49 8,36,31,3
42 5 29 40 49 4 48 52 37 47,6,23,2
23 1 0 14 44 48 15 21 52 49,33,39,3
49 6 32 9 4 15 7 10 46 51,18,60,3
16 8 37 26 15 51 33 27 17 22,5,54,4
20 46 0 4 28 21 2 11 27 38,40,45,3
32 37 24 45 15 7 46 51 22 36,27,60,4
4 25 27 7 50 47 16 15 35 26,42,59,4
46 3 23 48 18 12 2 0 21 32,30,60,3
38 36 3 13 52 25 22 28 34 15,42,20,2
18 5 4 28 19 47 6 26 33 46,20,10,1
52 25 26 52 21 14 18 4 23 13,11,15,2
0 21 25 7 17 5 13 18 24 22,32,60,3
30 25 24 22 20 16 46 35 31 0,29,43,2
22 8 14 34 9 19 40 51 13 41,44,60,3
24 42 38 36 34 1 17 49 29 18,47,46,3
47 25 34 44 45 5 24 3 27 52,30,45,2
52 18 38 1 30 29 32 13 15 51,14,13,1
44 4 50 13 45 52 16 2 23 41,39,29,3
40 20 42 44 11 34 37 10 50 2,7,27,3
29 0 39 26 19 10 52 32 27 40,46,21,2
13 11 50 24 44 38 52 52 2 10,37,13,2
24 18 47 39 50 30 12 15 28 41,16,55,4
52 48 21 2 49 45 5 35 13 28,11,45,4
0 32 20 51 14 8 41 48 35 5,25,43,4
2 39 6 41 20 36 24 19 18 45,13,28,2
24 41 37 27 17 20 51 31 50 21,33,40,3
6 31 35 48 39 3 33 22 14 41,13,20,2
23 47 51 34 30 52 44 12 48 15,19,57,4
52 41 52 27 10 4 12 44 49 31,28,19,2
47 4 33 12 51 46 20 38 23 52,41,26,2
18 25 50 30 52 39 28 31 32 38,40,23,3
1 37 25 35 52 14 23 4 24 19,50,20,2
49 6 27 42 1 44 14 23 22 31,0,57,3
7 22 39 52 15 50 45 43 52 32,35,21,3
47 16 20 34 9 25 10 37 1 22,6,60,4
30 23 8 35 7 0 14 9 33 49,5,50,3
51 52 17 41 28 37 0 6 13 16,9,40,3
47 22 51 50 8 11 14 16 0 29,7,60,4
35 50 37 25 21 20 24 16 3 9,28,59,3
15 52 40 16 2 21 34 48 44 52,33,24,3
28 17 38 39 41 13 11 51 50 31,3,60,4
0 6 47 34 39 4 46 27 17 12,30,22,3
47 15 9 28 40 46 38 43 48 39,27,28,3
22 20 49 16 34 1 9 4 0 2,25,60,4
27 12 20 22 46 47 10 50 19 35,39,60,3
22 13 52 45 7 42 32 40 48 0,34,37,3
32 35 23 24 22 17 33 5 29 49,14,55,3
19 20 11 52 24 48 18 29 16 37,26,10,1
15 5 8 46 31 16 22 38 9 21,1,60,4
30 14 45 10 52 20 44 52 24 43,11,18,2
17 13 30 49 19 7 42 33 32 4,5,51,3
36 11 23 45 4 30 0 12 15 21,34,46,3
3 2 51 12 31 39 7 22 40 5,25,22,2
26 52 12 2 40 20 24 16 18 43,25,25,3
52 10 35 20 15 14 38 36 48 37,31,26,2
4 3 52 46 38 1 30 52 49 35,26,39,2
42 21 45 44 11 52 28 52 22 18,36,21,2
32 14 21 35 24 28 25 48 8 19,37,53,3
52 25 20 9 14 3 22 48 16 38,18,22,2
49 10 42 39 41 50 46 23 32 20,48,47,2
5 39 40 46 38 50 43 0 33 20,31,28,2
52 8 41 4 48 38 34 36 33 30,45,46,3
25 23 11 3 34 52 36 17 32 7,47,48,4
1 24 42 39 32 52 16 11 22 15,3,17,3
43 26 13 36 29 20 19 9 37 25,2,60,4
4 30 49 7 52 31 44 39 0 38,26,26,2
2 44 6 22 17 32 21 4 48 26,0,49,3
5 29 4 1 37 42 51 52 31 38,26,43,3
16 30 33 21 38 27 26 39 41 5,49,43,3
47 10 35 32 33 39 48 52 19 40,42,43,2
26 35 13 39 29 52 15 44 8 14,9,16,2
21 46 3 22 12 33 30 31 49 28,1,60,3
52 35 49 52 46 22 38 26 34 5,18,22,1
52 29 15 34 9 51 43 36 22 17,39,51,3
19 24 44 6 0 51 28 47 33 35,40,60,4
47 40 26 52 28 8 46 31 29 12,36,40,3
39 34 28 1 14 41 32 36 52 12,10,13,2
17 42 52 46 2 6 32 41 35 34,51,36,3
11 52 48 34 44 19 33 30 39 35,13,31,3
7 19 4 35 20 39 0 50 42 28,23,60,4
25 4 14 6 3 10 8 23 34 30,20,60,3
36 6 8 34 28 30 1 18 19 52,33,46,3
28 46 26 47 48 31 29 21 37 45,10,38,2
6 8 43 51 38 15 9 25 41 47,50,52,2
28 9 30 18 11 50 51 34 52 41,13,51,3
19 33 18 21 1 16 44 14 4 7,31,17,2
30 27 40 24 28 17 14 42 44 20,26,47,3
41 42 14 31 48 52 35 13 27 40,20,15,2
34 1 45 43 47 41 7 12 29 40,18,60,3
48 0 19 38 26 51 41 18 7 25,5,31,3
23 29 31 19 47 8 14 32 33 12,50,56,4
49 16 13 14 47 33 28 2 12 40,43,60,3
52 25 34 50 8 16 0 2 32 15,14,43,3
36 51 25 18 46 3 44 43 49 9,12,22,2
3 13 50 26 2 34 4 52 12 24,37,10,1
8 16 29 36 35 14 39 4 46 48,17,44,3
11 2 28 48 33 37 36 18 8 42,30,60,4
10 30 25 12 42 48 22 51 37 24,15,60,3
41 9 45 35 8 51 6 40 10 16,44,48,2
26 38 2 1 32 24 6 30 4 18,25,38,3
52 45 28 4 1 38 0 35 50 6,41,36,2
2 35 23 28 48 3 6 52 20 49,46,21,2
52 9 13 6 5 14 26 27 19 7,12,18,2
4 13 52 51 24 3 35 6 25 41,22,16,2
18 3 20 23 26 29 27 22 37 32,12,60,3
48 11 37 24 45 43 20 4 8 2,18,53,3
20 48 25 52 27 2 34 1 30 41,45,51,4
18 2 26 29 34 35 52 1 44 7,19,37,3
33 2 26 18 34 16 17 49 6 24,27,53,4
5 6 32 13 39 27 10 26 43 25,48,52,4
9 2 44 10 1 20 42 43 36 4,12,52,2
13 32 24 28 42 21 52 47 44 36,7,46,4
30 32 42 37 20 12 8 50 6 33,35,60,3
5 8 35 37 34 7 47 39 11 49,40,58,3
52 49 34 32 33 41 26 36 44 38,25,13,1
36 45 15 48 5 31 4 47 11 46,6,30,3
16 27 45 6 37 5 20 39 52 13,21,38,4
14 27 47 31 29 52 18 46 10 0,21,24,3
31 30 32 26 15 52 19 45 52 28,2,0,0
28 42 40 9 2 52 30 37 1 6,33,43,3
3 18 29 34 31 38 19 41 9 47,50,60,4
22 43 20 48 34 15 52 41 8 27,7,17,2
15 43 20 31 47 33 30 0 13 6,39,28,3
20 26 49 36 13 32 9 31 15 52,24,42,3
19 25 32 17 50 43 20 2 12 26,1,60,4
11 9 21 13 17 45 1 43 27 18,34,35,3
9 35 23 38 20 37 50 43 27 6,46,47,3
13 2 1 50 39 43 37 47 18 35,23,60,4
18 47 22 52 2 30 52 0 14 33,21,20,2
50 1 41 52 33 30 22 46 11 26,5,43,4
13 14 31 5 51 16 38 49 40 41,0,39,2
33 42 31 1 3 2 32 9 26 30,47,17,2
38 45 52 20 50 4 47 18 27 10,42,55,3
33 9 31 41 46 32 21 6 43 27,22,30,3
0 37 41 51 3 22 35 26 12 2,5,60,3
52 52 45 14 21 39 51 16 25 2,43,24,3
52 52 31 22 50 14 26 6 0 5,11,14,2
3 24 18 25 8 19 10 28 22 1,41,43,2
50 40 18 51 26 49 41 13 2 16,35,27,3
27 2 0 25 18 34 37 9 15 4,47,46,4
29 42 20 9 31 50 6 38 30 21,11,33,2
45 12 10 47 28 52 26 15 17 8,43,18,2
2 1 9 36 10 11 26 40 50 0,41,24,2
20 5 4 16 37 52 15 34 44 33,12,48,3
52 28 43 34 18 2 11 8 49 50,9,51,3
37 14 41 6 40 33 34 20 13 52,7,13,1
24 52 45 14 43 39 50 23 21 51,18,39,2
19 52 35 42 43 18 45 50 6 52,31,10,1
28 0 51 1 41 2 39 25 37 42,38,12,1
51 8 23 1 27 2 36 29 9 11,5,60,3
