hand,wcj,minscore,mindist
50 26 45 9 3 40 42 2 46 15,11,33,3
0 33 25 22 41 12 2 21 29 18,10,60,4
17 49 4 31 52 23 52 21 32 44,46,29,2
11 39 22 10 47 25 44 21 0 29,15,60,4
1 36 26 15 46 35 4 0 25 10,43,40,3
42 44 1 5 52 32 48 49 43 45,2,18,2
14 13 28 39 37 23 9 8 6 2,18,60,3
27 4 45 39 15 52 10 46 37 5,14,26,3
17 0 22 33 12 49 21 23 26 39,47,35,3
35 3 12 28 18 24 23 10 11 0,49,26,3
28 22 50 52 7 45 52 9 33 20,25,22,2
15 1 16 6 23 18 29 28 8 25,19,38,2
52 44 9 52 6 13 29 36 3 8,33,19,2
19 11 2 52 16 28 0 30 24 1,50,0,0
40 22 4 1 38 49 37 51 7 44,13,60,4
46 23 29 33 36 48 16 10 30 34,44,54,3
41 31 23 22 13 14 20 43 19 25,8,54,2
10 31 27 6 9 4 14 3 26 7,37,60,3
28 8 42 18 37 22 6 11 19 46,7,52,3
13 31 4 5 8 44 12 46 19 43,28,51,4
12 17 16 32 49 41 21 37 30 44,18,55,4
32 31 4 26 3 35 51 17 19 37,0,50,3
42 33 38 36 2 35 23 31 12 30,40,60,3
52 6 15 31 16 46 28 40 14 18,43,24,3
8 51 15 32 37 33 38 46 28 52,0,54,3
40 2 15 20 25 22 16 29 14 38,24,51,3
5 44 24 0 50 27 19 22 33 16,34,60,4
8 22 49 25 45 43 30 35 11 38,17,38,2
41 6 38 15 16 40 29 7 12 36,27,45,3
52 21 6 7 25 10 51 22 5 30,47,26,2
45 0 21 16 50 34 22 47 23 44,20,52,3
52 2 35 13 34 49 41 19 18 31,22,29,2
22 16 52 20 30 35 26 36 24 2,50,17,3
45 49 21 4 28 52 19 12 46 32,43,24,2
52 14 48 12 30 52 33 13 32 50,42,15,1
9 12 45 41 36 37 42 25 5 52,31,27,2
22 52 9 14 25 13 43 45 31 51,37,31,2
16 11 6 15 17 40 47 44 20 25,41,57,4
52 2 12 52 10 52 40 31 3 25,36,3,1
2 44 29 7 25 51 8 48 52 17,38,22,3
52 23 35 9 42 10 34 6 52 3,19,10,1
37 28 7 52 21 0 1 42 23 5,2,20,2
52 4 39 48 37 47 50 22 17 7,24,18,2
51 15 40 35 27 50 12 34 20 32,14,23,2
25 40 6 30 29 35 22 20 26 7,17,46,3
9 0 36 5 11 6 18 12 25 45,46,60,3
41 2 52 22 18 17 4 38 24 21,39,37,2
12 51 9 21 52 44 46 30 6 10,49,34,2
45 41 32 7 13 35 33 52 12 31,20,23,2
43 44 37 49 26 27 19 25 24 52,20,46,3
2 43 48 3 24 52 31 39 42 14,7,41,4
52 13 29 19 42 49 9 23 28 35,47,44,3
47 6 39 52 42 21 10 37 7 52,27,27,2
41 12 14 13 2 33 15 40 34 0,35,39,2
42 24 52 52 3 23 38 15 13 48,45,26,2
5 48 22 51 35 23 3 19 30 28,31,33,3
40 15 3 45 33 4 16 9 0 27,23,55,4
24 6 33 19 11 8 14 41 42 48,28,53,4
52 34 15 46 50 52 8 2 10 3,27,33,3
38 45 1 13 29 34 46 30 12 28,39,30,2
7 6 8 29 16 1 27 24 40 34,2,30,2
52 6 46 51 48 29 27 45 9 42,5,41,3
50 20 15 30 44 26 7 14 12 52,32,42,4
6 48 4 45 47 14 33 1 17 52,41,35,2
42 45 36 20 48 21 24 10 35 26,41,60,4
36 14 8 44 52 50 49 52 18 47,3,23,2
7 3 8 40 18 5 30 13 42 9,27,18,2
33 51 19 10 32 1 44 42 34 17,45,29,3
52 4 42 25 29 41 36 39 45 48,31,49,3
18 36 23 16 39 52 4 30 28 11,46,40,3
49 20 26 2 1 15 37 8 7 22,0,50,3
6 35 8 29 24 30 12 31 5 26,45,49,3
4 25 12 22 8 35 9 23 6 47,15,60,3
52 48 5 19 45 6 43 9 22 3,25,6,1
