init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
48 20 44 37 2 47 18 27 1 24,17 52 50 14 9 29 15 30 26 34,7,0,15,0,4,20 37 24 52 1 2 48 47 49 50,52 34 21 29 30 31 26 14 15 17,1,1,1
19 27 21 13 36 43 22 50 34 2,4 1 37 30 41 16 23 10 47 46,24,0,31,0,5,50 2 3 21 22 52 19 11 13 25,37 23 10 26 1 41 16 42 4 30,0,3,0
14 51 1 49 24 4 52 13 30 12,29 39 22 31 43 28 46 20 27 19,36,0,11,0,6,51 49 12 24 52 50 14 1 52 23,29 28 27 22 20 19 21 39 2 3,0,0,3
31 5 27 36 30 23 3 12 52 32,19 43 48 24 16 7 18 38 46 2,15,0,17,0,6,36 23 52 31 30 32 3 42 29 52,19 16 18 2 46 48 47 26 43 7,1,0,2
23 4 27 14 25 20 52 33 0 29,30 19 42 28 36 37 44 1 15 24,51,0,3,0,6,25 33 35 52 0 13 20 23 21 22,42 44 43 45 19 6 28 30 38 1,1,1,1
2 47 15 44 5 28 26 1 11 25,33 9 22 18 35 51 37 0 16 24,31,0,2,0,7,44 14 1 25 5 51 2 15 28 41,9 22 35 24 11 50 37 18 38 0,0,0,3
21 29 19 8 32 5 13 2 26 39,42 38 52 40 49 3 31 20 18 15,28,0,3,0,8,13 26 39 21 19 20 5 6 4 2,18 31 44 52 42 3 17 15 30 40,2,0,1
36 25 50 5 33 1 39 6 32 16,12 45 14 46 40 7 3 24 49 23,43,0,39,0,4,6 32 19 52 33 36 35 52 1 12,49 23 10 26 14 40 3 45 46 7,0,2,1
46 5 28 23 0 12 7 42 2 8,16 38 21 52 10 25 33 30 14 40,37,37,0,1,9,28 2 41 15 0 42 3 5 46 7,38 52 25 14 40 27 17 16 18 11,1,0,2
26 18 10 37 42 36 21 17 28 35,9 14 6 45 38 39 4 16 7 34,12,0,7,0,10,37 36 35 34 33 32 26 28 29 27,9 6 38 7 4 43 30 39 0 14,3,0,0
0 16 38 3 40 31 52 52 36 19,20 37 43 45 21 26 17 22 28 49,42,0,46,0,1,16 38 36 3 19 6 31 52 18 52,20 37 43 45 21 26 17 22 28 49,0,1,2
48 14 9 15 20 30 3 33 28 26,17 11 16 19 10 42 13 51 8 1,18,0,29,0,10,20 33 7 26 28 27 38 39 0 52,11 10 8 31 13 1 16 42 17 19,1,0,2
51 39 15 48 14 36 3 23 22 32,0 41 40 42 47 5 1 6 2 33,43,60,0,1,4,51 39 15 48 14 36 3 23 22 32,41 40 42 0 1 2 5 6 52 30,2,1,0
22 23 48 25 13 8 21 20 19 50,41 3 37 18 9 46 2 24 47 27,10,0,17,0,12,21 20 19 22 48 35 1 40 14 23,41 2 15 46 33 52 39 27 3 18,1,0,2
46 20 25 41 40 7 8 22 13 15,52 37 28 49 29 36 33 19 16 26,0,0,20,0,3,8 13 47 41 15 2 46 20 7 33,52 37 36 28 29 26 31 16 5 19,0,0,3
3 32 13 52 30 7 51 28 25 18,37 39 17 45 36 34 4 43 47 42,21,16,0,1,6,52 30 4 25 13 15 14 28 3 18,37 36 34 45 43 47 42 27 40 1,0,2,1
29 8 18 11 52 6 15 38 30 37,44 0 1 36 51 16 41 23 43 31,5,23,0,1,3,18 11 37 52 38 25 15 29 30 6,44 41 43 36 23 10 0 1 31 3,0,2,1
25 2 22 23 31 27 46 51 50 52,43 44 40 18 32 30 38 1 14 7,15,0,45,0,1,25 2 22 23 51 50 52 41 27 38,40 1 14 13 43 30 44 18 32 7,0,3,0
35 44 13 18 24 45 2 26 7 11,21 52 33 4 50 43 31 34 51 39,25,30,0,1,6,24 11 37 13 26 40 2 42 44 18,52 4 43 51 34 21 33 31 38 30,0,1,2
17 6 50 46 49 21 2 0 8 45,9 29 13 35 27 33 52 39 38 22,10,12,0,1,4,21 8 34 46 49 45 43 0 2 17,29 27 52 38 26 36 9 35 22 48,0,2,1
52 18 20 51 48 19 52 24 40 5,14 8 36 4 37 7 42 2 30 39,12,0,57,0,1,52 51 48 18 20 19 52 24 37 38,39 26 14 2 42 4 30 7 8 36,1,1,1
29 11 43 16 40 33 32 44 27 3,12 35 48 19 24 8 22 14 0 13,28,3,0,1,10,29 16 3 32 6 45 43 30 52 40,35 48 22 2 13 14 24 37 50 52,0,1,2
33 8 43 1 42 46 17 34 6 4,50 3 19 49 35 21 26 9 23 0,47,0,19,0,10,8 43 17 6 4 5 33 46 20 34,50 49 21 26 0 13 14 3 16 30,1,0,2
18 26 10 47 44 2 41 28 24 45,5 33 50 14 12 25 34 1 40 27,42,17,0,1,6,2 41 28 47 44 45 46 26 18 6,1 40 27 29 17 43 14 25 13 15,1,0,2
2 42 26 47 43 28 38 6 25 17,5 35 39 18 40 20 29 14 50 31,12,2,0,1,9,43 38 17 25 6 7 28 2 15 26,31 29 30 39 40 41 18 20 51 21,2,1,0
0 10 35 20 14 31 5 13 44 39,42 40 47 52 51 38 34 23 11 17,21,22,0,1,2,0 13 39 31 5 44 18 14 20 10,47 51 38 52 11 37 42 40 34 43,0,1,2
35 17 18 26 42 8 19 49 20 22,50 25 9 37 45 11 52 12 41 36,34,0,24,0,2,17 18 19 20 8 22 35 47 36 38,50 37 11 52 45 46 48 41 25 12,1,2,0
43 29 40 24 42 22 31 12 15 41,44 51 0 20 17 39 30 3 23 47,49,26,0,1,7,43 40 42 41 44 26 15 29 31 6,23 20 46 1 3 2 0 39 13 10,1,0,2
52 5 2 24 12 44 36 21 25 48,10 42 11 8 34 32 45 28 29 1,51,0,49,0,4,52 5 44 24 12 21 25 2 15 38,42 29 16 1 28 17 32 45 10 11,0,1,2
18 52 25 46 14 21 19 41 40 48,39 35 11 24 20 52 37 42 51 34,9,2,0,1,4,52 21 23 25 48 14 18 19 17 0,11 24 37 39 35 51 41 2 28 52,0,1,2
8 10 47 22 17 43 31 40 9 51,14 41 45 25 36 12 7 3 46 4,15,16,0,1,11,8 10 9 7 40 27 14 29 42 17,41 25 12 45 32 52 1 3 28 52,0,1,2
52 20 19 26 11 37 5 12 27 36,16 1 3 23 24 43 7 10 34 28,48,0,2,0,9,52 20 19 11 37 50 27 26 38 35,3 16 42 9 2 28 23 24 25 39,1,1,1
52 39 33 44 17 45 14 52 49 48,21 28 26 3 34 24 4 1 42 25,9,0,41,0,1,52 44 45 52 48 14 17 49 10 36,3 4 1 2 26 28 42 21 34 24,0,2,1
8 31 38 2 23 20 16 6 14 22,47 35 12 33 25 45 37 24 41 46,39,60,0,1,9,8 31 38 2 23 20 16 6 14 22,37 24 11 47 45 46 44 41 28 15,1,0,2
3 15 10 7 39 51 27 6 52 19,30 24 17 28 11 38 25 1 34 21,36,0,38,0,6,10 39 51 7 6 52 9 41 15 49,24 11 52 1 28 42 3 30 17 46,0,2,1
38 1 2 21 36 7 47 17 43 22,19 25 11 50 8 31 34 10 45 13,5,0,8,0,8,21 47 34 1 2 0 12 27 29 28,11 8 31 10 45 46 44 13 40 14,2,0,1
5 1 16 17 10 23 51 18 28 45,15 48 29 12 43 13 44 2 27 33,8,15,0,1,5,10 23 52 18 5 31 1 40 28 16,15 2 41 43 44 45 26 27 29 52,1,1,1
16 21 52 29 39 19 28 11 27 31,13 35 44 15 20 5 49 32 37 12,14,0,60,0,2,21 52 19 29 27 16 28 31 40 30,13 35 44 15 20 5 49 32 37 12,0,2,1
37 10 40 11 12 7 16 46 20 21,23 26 38 52 5 41 32 0 30 48,31,0,2,0,10,10 11 12 7 46 20 33 40 1 44,26 38 52 32 19 45 5 30 17 0,1,0,2
24 51 10 41 16 27 45 48 40 2,19 17 6 28 35 0 14 26 5 21,46,19,0,1,10,41 2 15 28 27 40 1 16 30 45,0 26 39 19 52 17 6 5 52 3,0,2,1
20 50 27 31 47 17 38 29 18 34,32 22 23 35 30 19 9 15 40 48,26,0,17,0,4,13 27 38 0 29 31 20 17 18 19,22 35 9 48 15 2 28 40 30 32,1,2,0
17 49 34 43 23 50 4 7 38 19,6 33 18 15 24 48 28 32 3 10,0,3,0,1,15,49 23 10 17 26 19 43 4 30 14,15 28 41 2 32 33 13 3 29 52,0,1,2
