init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
20 42 1 6 23 11 0 33 45 34,26 21 48 27 8 14 22 9 10 2,46,0,35,0,3,20 1 6 11 0 33 45 52 10 8,48 22 9 26 27 14 2 4 44 21,0,2,1
9 31 45 8 5 44 10 40 25 51,33 20 3 4 11 16 35 29 24 38,1,0,60,0,0,9 31 8 5 44 10 40 25 51 27,33 20 3 4 11 16 35 29 24 38,1,0,2
28 33 27 39 48 17 29 49 32 46,50 19 35 52 38 44 22 14 37 47,30,0,48,0,0,28 33 27 48 17 29 49 32 46 52,50 19 35 52 38 44 22 14 37 47,1,2,0
46 35 1 41 8 5 52 24 44 39,11 14 30 10 23 40 16 50 43 31,19,0,3,0,11,46 8 5 52 44 39 45 7 26 13,14 16 15 11 10 9 30 31 52 40,0,2,1
40 23 32 37 7 10 13 27 34 36,47 29 17 24 9 49 31 52 43 50,25,0,8,0,5,40 23 32 10 27 34 36 51 52 31,47 49 52 50 46 17 43 4 1 29,0,1,2
4 45 13 37 12 15 27 40 23 31,1 39 38 41 7 21 48 52 47 8,0,35,0,1,8,45 13 37 27 40 31 33 38 35 16,39 21 8 48 47 49 44 45 46 52,2,0,1
27 11 40 36 9 26 21 6 15 19,50 46 29 25 45 43 17 49 1 28,48,0,41,0,4,27 40 9 21 6 19 3 14 52 20,50 49 51 1 28 29 43 17 45 46,1,1,1
34 40 4 46 37 21 44 17 22 49,48 33 39 29 0 11 28 9 26 15,38,0,23,0,6,34 46 37 21 44 22 20 12 36 51,39 0 26 28 29 30 15 2 18 32,1,2,0
52 7 16 13 12 27 35 24 37 30,50 15 32 26 33 31 21 34 14 41,25,0,31,0,2,52 7 16 13 12 24 37 46 52 11,32 33 31 34 26 14 15 41 45 50,0,1,2
19 6 31 20 52 5 47 43 37 36,10 0 41 50 48 23 27 16 3 24,4,0,39,0,2,19 6 20 52 5 43 37 36 21 30,50 48 52 0 27 41 16 3 10 23,1,2,0
21 31 43 14 15 45 30 1 7 6,25 49 52 24 9 10 37 26 11 52,36,29,0,1,3,21 43 14 45 1 7 6 27 5 29,49 52 9 24 37 11 25 10 13 52,0,2,1
9 40 16 34 49 26 24 37 52 14,45 31 21 1 15 50 12 44 28 48,2,16,0,1,4,40 16 34 24 37 52 14 36 18 35,45 15 44 28 1 27 50 48 41 47,0,2,1
52 20 30 28 52 26 49 19 13 4,36 3 35 15 18 31 51 39 23 41,22,0,11,0,3,52 30 28 52 26 19 13 45 31 6,36 35 23 9 15 18 17 39 41 3,0,1,2
49 36 1 32 41 18 42 48 8 31,10 12 24 52 46 3 51 37 28 4,13,0,41,0,5,49 36 32 41 42 31 39 34 43 26,10 12 52 40 28 15 3 4 46 24,1,1,1
5 4 7 39 1 48 51 33 9 46,52 2 18 40 35 37 42 49 17 38,31,0,3,0,11,5 7 39 1 51 33 46 14 41 27,52 49 23 37 38 18 35 34 52 40,0,1,2
10 16 45 44 6 30 20 46 42 27,39 3 9 34 52 47 21 29 22 14,32,0,2,0,6,10 45 44 6 30 46 43 17 12 11,34 47 21 3 52 29 9 22 48 39,2,0,1
35 31 25 49 13 50 33 8 22 15,34 48 51 39 6 17 36 12 46 9,23,0,48,0,1,35 31 25 49 13 33 22 15 52 9,51 36 12 39 27 17 6 46 34 48,0,2,1
45 44 10 16 19 3 35 20 40 18,27 7 24 50 52 48 28 37 43 4,41,0,2,0,5,10 16 19 3 20 18 42 23 36 2,50 52 48 24 28 37 43 4 30 39,1,0,2
33 26 0 37 28 29 35 3 6 41,32 1 19 34 14 43 48 31 9 49,51,0,11,0,8,33 26 0 28 29 35 39 38 12 36,32 31 30 34 52 1 14 27 16 43,0,2,1
1 12 50 22 25 15 4 44 47 3,21 28 37 19 52 48 40 5 29 32,10,0,6,0,6,1 12 22 4 3 23 48 9 35 5,28 29 27 19 32 6 52 40 51 17,1,1,1
16 18 19 14 0 9 37 50 11 21,3 8 29 41 40 52 48 39 24 47,15,33,0,1,4,16 18 19 14 0 37 50 11 26 30,41 8 47 52 48 9 3 29 42 2,0,0,3
36 3 11 27 17 2 12 35 14 39,40 48 44 52 5 8 22 33 15 10,23,0,2,0,7,36 3 27 17 2 14 19 18 40 52,52 48 22 5 4 6 10 15 28 0,1,1,1
14 17 18 52 0 39 43 44 2 48,36 6 37 13 4 21 3 49 20 33,46,0,9,0,7,17 18 52 0 39 43 44 7 15 26,36 37 20 6 4 3 33 13 27 41,0,2,1
22 3 45 0 7 31 24 52 41 10,49 16 34 4 19 17 40 23 28 52,47,26,0,1,3,22 3 0 7 31 24 52 10 44 5,16 34 19 17 49 23 52 21 40 1,0,1,2
4 22 23 5 2 33 41 46 10 36,1 39 13 47 40 37 6 14 16 35,42,9,0,1,4,4 23 5 2 33 41 10 36 28 52,1 40 14 37 16 35 39 13 0 52,0,1,2
26 18 37 10 2 19 16 3 52 33,9 4 8 29 5 48 47 15 20 34,22,0,2,0,3,18 37 2 19 16 3 52 1 50 52,9 4 5 8 47 34 29 48 42 26,1,1,1
32 52 12 18 11 35 41 22 4 2,42 1 26 37 51 38 24 47 45 40,9,0,60,0,1,32 52 12 11 35 41 22 2 52 34,42 1 26 37 51 38 24 47 45 40,0,2,1
50 34 26 30 40 23 24 0 52 6,51 44 11 13 20 22 3 27 9 25,42,0,7,0,8,34 23 24 0 52 1 25 33 12 31,3 20 22 19 44 5 18 13 39 27,2,1,0
52 29 38 23 10 39 31 44 18 4,43 26 41 16 33 49 32 51 15 12,46,0,10,0,6,52 23 10 31 44 18 4 30 43 36,33 49 51 41 15 28 26 39 27 1,0,0,3
7 2 25 17 24 52 48 1 15 34,50 30 10 31 37 26 40 47 9 8,33,0,12,0,5,7 2 25 17 24 52 1 15 18 16,10 9 8 50 37 20 26 40 14 41,1,2,0
38 19 29 17 26 14 52 16 8 37,22 35 28 12 33 40 1 45 44 4,48,0,10,0,3,38 19 17 26 52 16 37 50 27 11,22 45 44 35 33 34 31 40 1 28,1,1,1
23 19 21 22 27 1 51 5 4 7,50 33 6 0 46 32 18 41 29 36,31,0,38,0,3,23 21 22 27 1 5 4 7 14 52,18 50 24 0 13 41 29 6 32 33,1,1,1
