init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
42 44 35 27 40 5 41 4 52 34,18 48 32 15 50 8 36 47 22 23,29,0,40,0,5,42 40 41 35 52 34 44 5 18 3,48 32 50 8 36 47 23 45 10 19,1,1,1
38 18 14 33 41 7 8 21 17 2,19 11 51 13 46 0 29 43 1 9,36,0,52,0,5,8 21 47 52 41 2 32 33 31 30,19 11 13 46 0 29 43 9 26 28,1,0,2
33 14 0 36 18 51 26 6 28 12,46 35 27 52 30 49 10 45 34 39,20,24,0,1,5,33 51 12 0 26 14 40 28 2 4,46 35 27 52 30 49 10 34 36 29,1,1,1
41 43 20 31 19 15 3 42 27 7,26 32 24 45 16 13 37 33 10 50,0,20,0,1,3,41 43 42 31 5 44 27 15 3 19,26 32 24 45 13 37 33 50 7 20,0,0,3
35 17 46 3 21 2 4 32 51 7,6 33 38 31 39 49 34 25 40 0,8,11,0,1,6,35 21 9 3 2 4 1 13 14 17,6 33 38 31 34 25 51 19 32 12,0,1,2
52 30 46 51 37 52 47 22 11 34,4 45 36 1 42 43 20 41 10 33,12,2,0,1,5,52 37 11 51 47 34 52 30 29 0,36 42 43 20 41 10 33 40 46 25,1,0,2
16 46 43 37 24 30 32 51 10 22,31 42 28 48 29 36 34 9 21 20,17,0,16,0,6,43 51 12 30 32 6 37 24 50 52,31 48 29 9 21 20 22 18 41 4,0,0,3
19 41 52 45 40 39 31 42 49 7,0 23 30 28 29 14 48 3 27 38,9,7,0,1,5,41 40 42 39 52 13 7 20 46 31,0 30 28 29 48 3 27 43 17 52,1,1,1
33 28 20 49 45 52 52 44 48 7,9 17 41 12 3 39 24 25 40 11,2,0,0,1,7,33 28 20 49 45 52 52 44 48 7,9 41 12 39 24 25 11 15 0 13,0,2,1
17 28 21 10 27 9 49 42 34 52,6 19 4 25 30 39 26 14 1 52,12,5,0,1,6,52 17 18 38 27 28 10 9 8 42,6 19 4 25 30 14 1 52 40 32,0,0,3
30 19 46 31 51 5 52 33 34 22,2 0 42 45 25 52 6 36 48 21,12,2,0,1,7,30 31 51 33 34 19 52 22 20 39,2 0 45 25 52 6 48 46 32 47,1,1,1
16 43 0 36 34 44 4 10 33 19,12 9 3 39 21 42 29 52 28 1,32,9,0,1,10,36 34 33 19 43 4 45 0 27 2,12 3 21 42 29 52 10 23 20 22,1,1,1
12 19 49 39 40 9 21 22 25 35,46 32 30 1 7 8 16 6 34 23,26,3,0,1,8,12 39 25 9 22 35 40 41 52 14,46 32 30 7 8 34 21 31 20 33,1,0,2
14 45 13 11 26 47 3 41 2 42,32 31 33 1 15 51 16 4 37 52,48,28,0,1,5,41 2 28 13 26 14 1 3 42 45,32 31 33 15 16 4 52 6 5 7,2,1,0
52 38 9 52 2 7 28 24 20 10,22 16 0 27 30 5 6 47 14 46,51,0,60,0,0,52 2 28 38 9 7 10 52 20 18,22 16 0 27 30 5 6 47 14 46,0,2,1
48 49 50 33 7 27 29 1 38 12,3 52 51 30 41 43 2 17 34 4,20,3,0,1,3,48 49 50 33 7 27 29 1 38 12,3 52 30 41 43 2 17 4 6 5,1,0,2
35 41 22 44 51 33 5 14 38 23,39 9 17 15 27 11 30 52 6 16,24,21,0,1,3,35 22 52 51 38 37 14 41 44 5,9 17 15 27 11 30 52 16 29 10,1,2,0
21 1 2 29 23 31 38 9 35 10,0 36 15 28 33 45 13 8 43 40,30,12,0,1,9,23 24 25 52 18 21 20 1 2 29,0 36 15 28 33 13 43 17 35 4,0,1,2
23 4 33 7 11 38 21 51 3 18,15 8 9 10 27 5 40 47 22 30,35,51,0,1,6,33 7 20 14 3 4 18 23 11 38,8 9 27 40 47 22 30 32 34 21,0,1,2
29 36 37 9 47 6 35 41 31 2,39 50 45 11 19 15 40 52 48 20,51,18,0,1,5,36 37 35 44 46 52 41 2 29 16,39 50 45 19 40 52 48 47 6 12,0,2,1
35 36 17 45 34 11 52 51 6 44,15 27 32 52 5 1 8 39 19 31,30,0,20,0,7,35 36 34 17 45 6 51 25 12 52,15 27 32 52 5 1 8 19 7 40,1,0,2
12 43 30 49 44 18 7 32 40 36,52 45 17 29 31 13 14 16 27 22,11,46,0,1,4,49 36 10 40 43 30 44 18 32 7,52 17 29 31 13 14 16 15 0 26,1,1,1
20 42 28 49 0 17 23 7 40 43,29 47 48 4 1 16 14 19 5 45,33,0,53,0,3,20 49 23 42 7 40 43 17 46 18,29 47 48 1 16 14 19 5 45 27,0,2,1
2 21 32 52 42 29 26 3 0 41,11 34 19 38 8 47 12 7 44 5,30,0,51,0,2,42 29 3 52 26 0 2 41 28 17,11 34 19 8 47 12 7 5 21 31,0,0,3
32 37 12 10 15 3 47 34 26 43,49 13 2 42 29 0 27 16 52 44,51,2,0,1,5,34 47 21 12 14 15 32 38 45 26,49 2 42 29 0 16 52 10 3 1,1,0,2
47 29 4 35 30 39 42 37 0 1,15 38 52 21 28 52 44 26 23 22,13,13,0,1,1,4 30 39 35 37 0 34 1 29 42,15 52 21 28 52 44 26 23 22 47,1,1,1
19 38 28 33 9 43 20 11 4 5,52 8 23 39 1 14 3 32 51 13,15,10,0,1,6,4 43 30 28 9 5 6 8 27 18,52 1 14 3 32 45 29 16 19 40,0,0,3
27 52 50 29 48 15 41 16 51 40,25 13 45 5 19 32 3 7 17 2,42,0,0,1,4,27 52 50 29 48 15 41 16 51 40,25 13 45 5 19 32 3 7 14 4,1,1,1
48 40 38 31 14 35 12 52 37 41,47 28 34 9 33 5 30 10 1 20,51,0,55,0,4,48 38 35 40 12 41 31 52 32 25,47 28 34 9 33 5 30 10 21 7,0,2,1
37 39 21 5 50 33 10 14 35 30,52 2 38 44 28 23 47 32 3 17,8,11,0,1,6,21 5 6 37 50 24 39 0 14 15,52 2 44 28 47 3 42 4 31 30,1,2,0
24 26 6 14 8 40 50 11 51 52,23 4 10 52 35 9 49 19 30 27,18,2,0,1,4,24 50 11 6 8 52 40 42 31 26,23 4 10 52 35 9 49 30 5 17,0,0,3
11 28 3 23 12 52 24 18 17 48,47 27 31 43 33 51 40 26 46 7,13,0,9,0,4,23 24 25 52 17 18 11 12 10 52,47 27 31 33 40 26 46 7 48 32,2,1,0
35 33 25 31 29 41 26 8 48 49,14 24 4 15 19 0 47 52 5 17,10,4,0,1,6,35 33 34 49 25 51 26 39 13 41,14 4 15 47 52 5 48 45 46 3,2,1,0
20 51 13 48 43 52 28 12 39 4,10 6 26 47 8 30 41 22 31 40,18,38,0,1,6,51 52 12 13 39 28 43 4 20 33,47 8 41 22 31 40 9 48 34 5,0,1,2
41 23 40 17 19 15 28 48 52 9,29 24 45 46 44 7 16 51 35 49,33,3,0,1,9,41 15 28 48 52 9 26 39 13 40,29 45 46 44 7 16 51 49 47 3,0,2,1
40 52 18 23 34 6 12 33 44 28,41 1 21 22 4 26 47 31 8 50,13,0,3,0,6,43 44 45 46 52 28 15 34 33 35,1 21 22 4 26 47 8 9 17 39,2,0,1
34 48 52 22 24 46 40 10 33 2,15 18 25 47 5 51 9 44 13 6,14,0,26,0,2,52 48 46 22 24 23 34 33 40 31,15 18 25 47 5 51 9 44 13 12,1,2,0
27 36 3 15 9 49 24 35 28 21,46 33 31 16 29 39 45 32 37 47,50,42,0,1,1,36 49 24 27 15 28 3 43 9 35,46 33 31 16 29 45 32 37 47 52,2,0,1
34 52 13 27 48 37 21 22 18 6,28 12 41 51 35 20 11 0 30 3,24,0,16,0,3,34 52 21 48 22 35 17 18 19 37,28 12 51 20 11 0 3 38 26 27,1,0,2
41 40 46 23 28 38 20 5 13 52,17 16 34 45 21 9 19 29 2 47,37,0,16,0,5,52 28 15 41 40 42 20 52 23 22,17 16 34 45 21 19 47 43 50 0,1,1,1
32 46 4 22 15 0 9 38 14 39,21 20 52 27 40 50 2 13 5 51,26,3,0,1,9,22 0 9 38 39 12 15 28 41 14,21 20 52 27 40 2 13 5 4 1,0,2,1
51 31 45 21 46 44 34 0 13 36,7 33 50 1 26 49 23 41 43 4,2,0,24,0,3,21 34 8 0 13 28 45 46 44 43,7 33 50 1 49 23 41 4 36 3,1,0,2
26 32 25 28 52 47 52 50 4 44,12 31 11 34 51 1 15 18 20 24,29,0,31,0,12,52 2 4 47 52 49 46 7 33 42,12 31 11 34 51 24 50 25 32 17,0,2,1
29 50 5 27 42 35 20 2 14 44,8 38 22 39 31 26 6 10 47 43,19,3,0,1,13,29 27 28 5 52 4 2 0 52 14,8 38 22 26 6 10 9 35 32 45,1,1,1
41 52 2 24 4 20 40 25 28 16,19 7 1 5 46 34 10 14 23 39,12,0,60,0,2,41 2 28 52 24 25 20 38 51 52,19 7 1 5 46 34 10 14 23 4,0,2,1
29 31 1 43 45 35 52 37 50 38,16 10 52 48 41 19 49 28 39 27,0,28,0,1,8,35 52 37 38 1 14 29 3 43 17,16 52 48 41 19 49 28 39 50 18,1,1,1
29 41 33 43 52 40 51 24 8 39,50 3 5 45 14 25 32 34 36 9,23,2,0,1,6,40 51 39 33 52 46 41 43 52 26,3 5 45 14 25 32 36 10 15 19,0,2,1
31 13 1 22 3 20 16 52 44 6,48 41 15 49 52 28 34 14 42 39,27,2,0,1,4,1 22 20 3 16 52 31 44 40 13,48 41 15 49 52 28 14 42 39 50,1,1,1
13 5 27 47 15 0 40 11 26 12,43 20 25 52 10 18 44 19 1 34,6,0,10,0,5,26 13 0 28 15 2 40 42 41 32,20 25 52 10 18 44 19 36 7 5,1,0,2
39 27 28 51 14 42 43 15 3 23,4 52 48 1 26 47 17 2 0 12,44,14,0,1,2,39 51 52 42 3 29 27 14 28 15,4 52 48 1 47 17 2 0 12 43,1,1,1
30 38 7 24 28 21 39 19 26 20,8 49 4 37 9 42 25 29 31 40,14,14,0,1,4,21 19 20 27 7 46 26 39 28 30,8 37 9 42 29 40 50 10 24 11,1,0,2
14 1 47 6 24 3 11 43 28 39,16 17 22 0 48 5 34 9 38 27,10,27,0,1,8,1 3 2 39 26 14 28 41 43 30,16 17 22 48 9 38 27 52 49 19,0,2,1
