init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
18 29 20 3 51 21 44 17 49 5,25 10 42 12 14 50 27 39 45 23,34,0,15,0,11,51 21 49 18 44 5 31 29 52 8,10 23 36 26 27 28 39 14 42 16,0,2,1
9 38 11 36 37 29 13 31 51 24,8 1 23 45 21 18 10 25 7 49,42,0,16,0,6,9 11 29 38 36 37 35 3 40 39,23 10 49 7 8 52 16 1 30 18,1,2,0
7 36 11 40 0 3 44 12 33 51,37 23 52 14 35 21 49 41 38 20,32,45,0,1,6,11 12 10 0 40 3 44 7 33 36,37 52 35 38 23 21 6 13 14 25,1,2,0
46 29 52 13 43 28 9 33 51 7,39 21 38 52 34 37 6 30 18 20,3,2,0,1,8,46 33 7 29 52 9 12 1 16 13,38 37 36 18 20 19 21 52 47 48,2,1,0
31 3 41 8 12 48 44 17 37 40,16 47 4 30 25 22 10 13 18 0,50,15,0,1,6,8 37 21 31 44 5 40 14 41 3,13 0 26 24 47 45 4 30 17 52,0,1,2
13 30 48 15 31 29 24 20 26 3,50 46 21 43 51 52 45 25 49 2,37,13,0,1,2,30 31 29 24 20 19 13 26 15 3,50 52 49 51 25 12 46 45 43 44,1,1,1
32 6 12 15 28 30 24 42 3 20,25 51 7 9 33 27 52 34 21 44,13,22,0,1,12,32 6 45 15 28 41 42 3 30 17,52 9 10 12 26 27 1 7 33 46,0,1,2
23 38 34 37 51 14 43 18 8 12,48 41 22 17 52 16 39 52 33 5,36,0,2,0,5,38 51 12 34 8 47 23 18 19 16,48 22 52 4 17 43 52 41 28 39,0,1,2
38 35 2 50 0 18 21 51 30 24,12 34 17 5 19 28 47 26 48 11,45,60,0,1,7,38 35 2 50 0 18 21 51 30 24,34 19 47 26 28 29 27 3 5 4,2,0,1
20 30 9 41 42 40 25 43 15 10,6 0 23 24 22 31 12 3 5 18,28,0,2,0,4,41 9 10 43 45 44 42 16 3 15,23 24 22 31 5 18 12 52 38 0,1,1,1
36 12 11 32 25 9 7 52 3 17,16 50 51 23 22 10 30 44 45 46,37,10,0,1,5,12 11 25 9 7 8 52 26 40 3,44 45 46 23 10 36 50 19 16 17,1,1,1
1 46 35 21 44 10 20 11 13 41,9 22 24 33 0 28 8 49 52 4,29,0,2,0,14,10 11 42 13 26 39 41 15 28 16,24 52 25 22 9 35 3 40 14 0,0,1,2
30 44 27 21 37 52 47 1 51 38,3 4 5 33 6 34 8 17 36 25,24,12,0,1,5,37 51 38 44 52 47 45 27 1 30,3 4 5 6 34 8 21 11 17 19,1,1,1
6 31 32 35 52 12 18 22 4 11,1 8 51 28 44 24 5 33 39 30,16,0,60,0,2,35 52 22 52 31 18 12 11 10 42,1 8 51 28 44 24 5 33 39 30,1,0,2
29 24 52 3 20 46 7 6 30 0,35 16 23 25 34 10 39 17 13 52,31,0,2,0,8,20 46 7 29 52 30 27 0 2 18,6 45 19 52 16 3 25 13 14 39,0,2,1
21 19 51 26 40 11 52 33 17 25,18 42 27 23 30 3 15 12 4 46,47,0,28,0,6,21 33 35 51 25 38 52 17 19 16,3 4 5 2 27 40 15 42 30 18,0,2,1
14 48 32 29 27 37 21 45 23 26,10 24 39 7 28 35 50 5 22 16,11,3,0,1,15,37 21 23 20 26 27 29 52 30 14,10 24 7 50 35 22 48 28 2 41,0,1,2
20 23 30 52 37 1 35 9 48 46,49 15 16 42 40 27 10 24 14 28,36,3,0,1,2,35 9 48 20 23 46 52 30 28 1,49 24 37 40 14 27 42 16 3 10,0,0,3
13 46 31 12 37 23 45 8 6 17,32 51 36 19 35 52 34 44 48 28,11,0,24,0,6,37 8 6 46 24 45 43 17 30 4,36 35 34 52 48 47 28 3 44 32,0,2,1
33 13 10 46 43 15 49 24 8 19,0 34 3 27 32 42 37 41 11 38,14,40,0,1,6,33 46 20 13 15 29 43 5 19 45,27 32 34 37 11 24 3 42 52 40,0,1,2
52 52 5 19 50 2 20 0 6 51,11 39 34 16 27 49 42 13 3 30,14,0,8,0,7,52 50 51 52 2 15 19 20 17 18,27 34 8 16 42 3 29 39 13 41,1,1,1
50 21 35 16 41 20 40 0 17 5,37 11 10 49 42 12 39 28 33 29,34,0,16,0,4,21 51 40 41 16 17 18 50 47 24,11 10 12 52 37 38 39 28 42 29,1,1,1
15 36 12 17 18 28 16 4 39 37,41 24 0 47 50 2 3 42 9 20,30,0,60,0,4,15 17 28 18 16 4 36 37 43 52,41 24 0 47 50 2 3 42 9 20,0,2,1
36 52 34 0 35 16 19 14 1 45,42 28 4 15 30 38 11 25 49 13,32,0,0,1,17,36 52 34 0 35 16 19 14 1 45,28 30 29 13 26 39 38 25 51 12,1,0,2
22 33 30 24 16 5 52 1 48 9,31 11 4 0 12 44 14 18 43 37,42,0,14,0,5,22 48 9 16 1 40 24 25 23 52,31 44 18 4 43 30 52 0 14 33,1,0,2
43 52 45 24 29 30 33 40 1 12,0 37 21 52 49 20 16 27 17 3,51,3,0,1,6,43 52 45 29 30 12 13 26 39 40,37 24 11 52 16 3 20 33 46 38,0,0,3
48 20 49 8 18 7 21 34 1 38,50 31 11 47 52 14 30 0 36 10,15,14,0,1,12,8 21 34 1 27 40 39 13 42 29,52 31 30 44 41 45 11 10 9 12,1,2,0
7 45 13 34 4 31 17 27 41 18,11 29 15 10 3 42 14 33 39 1,21,11,0,1,9,34 31 18 4 17 8 13 0 27 41,15 28 52 14 1 40 29 3 42 16,0,0,3
26 33 15 35 23 45 52 29 13 43,5 47 24 31 48 11 16 44 7 14,37,11,0,1,10,33 35 52 36 26 27 38 13 15 29,47 24 48 5 31 44 7 20 46 11,0,1,2
20 36 4 0 51 46 29 27 28 16,25 12 45 7 43 22 33 37 47 49,24,0,4,0,10,20 46 50 16 3 42 29 27 28 30,37 47 49 25 12 51 43 45 44 2,1,0,2
10 12 29 48 26 14 24 4 33 20,5 47 0 40 45 42 9 17 35 30,15,0,2,0,9,10 12 52 33 20 28 41 26 29 27,47 45 46 17 30 4 40 42 2 0,0,2,1
27 42 47 13 30 2 31 16 50 14,32 26 25 29 35 8 28 3 33 6,17,0,44,0,9,13 14 15 30 16 42 50 37 24 4,32 6 45 26 28 29 3 33 7 25,1,0,2
6 27 40 11 1 31 37 45 46 10,9 51 5 32 3 23 41 21 39 30,14,0,42,0,3,27 45 46 40 1 28 31 11 37 24,23 21 52 39 41 3 30 5 32 9,0,2,1
51 14 11 18 52 35 41 25 49 2,12 6 16 20 27 17 34 3 52 50,38,2,0,1,6,51 11 52 25 41 2 49 23 10 0,12 34 35 16 17 15 52 20 18 21,1,2,0
