init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
12 15 1 34 14 23 24 52 33 31,27 0 48 29 21 4 47 8 41 26,10,0,32,0,0,12 1 23 15 14 52 34 33 31 36,27 0 48 29 21 4 47 8 41 26,0,3,0
6 14 25 44 2 23 4 39 52 42,29 43 48 20 21 51 13 38 28 7,36,0,60,0,1,14 25 23 44 52 42 6 4 5 3,29 43 48 20 21 51 13 38 28 7,1,2,0
4 2 27 6 7 19 33 0 35 32,44 50 36 39 18 25 21 49 52 16,48,0,46,0,2,6 19 45 33 32 34 35 0 2 12,50 49 52 39 16 4 44 18 7 36,1,1,1
11 46 28 3 47 19 32 13 45 34,31 38 50 51 39 22 27 52 37 23,24,14,0,1,4,46 47 45 11 32 34 13 40 28 3,38 50 51 22 52 19 21 23 37 36,0,1,2
49 3 13 9 21 38 52 14 24 26,34 40 7 36 51 45 33 44 39 4,0,0,33,0,3,13 9 35 52 3 42 21 47 8 26,34 36 33 39 37 40 4 44 45 7,0,0,3
39 2 31 49 41 51 8 52 10 50,26 15 4 16 5 22 45 35 36 24,18,0,7,0,5,2 31 41 49 51 50 8 52 10 11,5 35 36 38 15 16 52 26 0 40,1,1,1
32 8 11 23 16 12 20 17 42 25,6 52 14 7 1 43 15 29 3 31,24,0,16,0,5,11 23 25 17 18 20 19 16 42 29,6 52 7 3 4 0 14 1 15 28,1,1,1
3 15 47 10 48 12 46 29 0 27,14 49 32 43 19 30 42 20 16 7,4,11,0,1,2,47 48 46 10 12 52 0 13 27 15,32 43 19 30 20 7 42 16 29 3,0,0,3
52 50 9 29 4 38 24 30 40 44,52 39 0 41 22 1 14 31 7 2,19,0,8,0,6,52 29 16 50 24 11 44 18 5 32,0 1 2 12 52 31 30 39 14 27,0,0,3
3 44 51 32 50 39 47 45 12 21,7 38 19 26 16 27 9 46 0 1,23,41,0,1,4,44 47 45 10 39 3 4 32 51 50,38 26 27 7 46 20 0 1 2 12,2,0,1
32 38 25 4 14 13 15 46 5 16,47 24 41 44 36 21 18 39 27 48,51,0,43,0,1,38 4 5 14 15 16 13 25 32 45,47 21 12 39 27 41 44 18 24 36,1,1,1
7 47 10 41 49 37 29 1 52 30,42 52 39 22 19 35 27 20 14 50,45,0,2,0,10,47 49 52 32 10 11 0 1 12 2,52 22 35 19 27 14 50 37 24 39,1,2,0
38 25 44 49 32 27 35 8 46 12,21 42 17 39 0 30 11 36 2 13,47,0,2,0,9,44 8 46 38 25 12 31 32 33 52,21 36 35 42 3 34 0 2 1 39,1,1,1
