init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
45 42 37 10 52 39 5 27 25 36,13 41 52 4 1 21 0 32 18 8,14,0,13,0,6,52 36 10 28 29 30 37 50 24 27,52 21 8 1 25 23 13 0 41 42,1,0,2
13 12 5 10 15 39 9 42 11 23,50 1 20 32 35 8 30 49 29 31,38,0,37,0,6,10 9 11 12 13 15 33 52 36 35,32 30 29 31 1 40 42 5 20 50,1,2,0
52 45 52 5 1 14 29 49 28 43,26 39 12 20 3 44 38 47 25 34,0,15,0,1,5,52 45 43 52 5 6 1 14 28 29,12 38 25 26 3 4 47 39 44 46,0,2,1
43 8 40 14 9 12 6 20 25 31,41 19 10 28 32 52 34 24 3 29,45,15,0,1,7,8 9 6 43 4 52 26 40 14 31,19 28 29 32 24 25 3 52 5 2,0,3,0
40 10 31 24 3 8 23 39 6 27,35 20 36 17 30 46 33 2 42 18,9,0,4,0,8,39 40 51 10 8 52 11 26 27 22,20 46 33 35 36 23 42 29 48 2,1,2,0
6 28 20 0 36 12 21 52 50 49,14 32 2 27 47 38 23 41 3 7,11,0,21,0,8,52 28 15 36 49 23 20 21 19 50,2 3 4 27 38 26 14 41 30 32,1,0,2
12 14 34 50 52 25 48 31 23 37,16 9 40 45 5 30 46 39 6 17,33,14,0,1,13,34 52 36 37 50 11 13 14 2 16,45 46 6 30 17 52 40 1 27 7,0,0,3
16 46 0 38 6 12 41 5 27 30,29 4 7 15 49 1 26 13 20 31,23,0,3,0,9,5 6 52 36 40 41 27 30 29 28,26 13 39 7 20 46 49 15 14 1,1,2,0
30 13 1 4 40 26 14 5 17 43,34 36 20 33 47 28 35 39 16 51,15,0,2,0,4,1 40 14 30 17 43 4 5 52 7,28 51 50 34 36 35 33 32 41 39,0,1,2
28 5 25 4 43 40 41 21 48 16,50 26 18 46 3 47 22 42 38 8,24,2,0,1,13,30 28 29 4 43 17 40 41 11 13,50 46 47 44 18 5 26 39 0 37,0,1,2
