MCTS_Iterations,Deterministic_Player,Wins_X,Wins_O,Draws
10,O,0.0,0.5887,0.4113
50,O,0.0,0.0469,0.9531
100,O,0.0,0.0067,0.9933
200,O,0.0,0.0002,0.9998
300,O,0.0,0.0002,0.9998
500,O,0.0,0.0,1.0
1000,O,0.0,0.0,1.0
10,X,0.8773,0.0,0.1227
50,X,0.7002,0.0,0.2998
100,X,0.4388,0.0,0.5612
200,X,0.2978,0.0,0.7022
300,X,0.3346,0.0,0.6654
500,X,0.3717,0.0,0.6283
1000,X,0.0726,0.0,0.9274
1500,X,0.004,0.0,0.996
1750,X,0.0006,0.0,0.9994
2000,X,0.0001,0.0,0.9999
2250,X,0.0,0.0,1.0
2500,X,0.0,0.0,1.0
