game_id,user_id_1,user_id_2,user_id_3,user_id_4,user_id_5,user_id_6,settlement_time,winner_id,s_date,pkr,game_count_1,game_count_2,game_count_3,game_count_4,game_count_5,game_count_6
605615631,11670056.0,22683589.0,26890405.0,34929745.0,77857670.0,7992990.0,2021-06-21T00:00:50.657+05:30,7992990,21-06-2021,2,1,1,1,1,1,1
605613781,25174392.0,45341913.0,64316615.0,64829361.0,76925289.0,77881932.0,2021-06-21T00:00:51.031+05:30,64316615,21-06-2021,2,1,1,1,1,1,1
605559044,16592516.0,1483217.0,3311913.0,63146744.0,64677526.0,69265191.0,2021-06-21T00:00:51.715+05:30,16592516,21-06-2021,1,1,1,1,1,1,1
605609244,10047666.0,32343935.0,34792316.0,52372587.0,63268674.0,77568251.0,2021-06-21T00:00:51.752+05:30,10047666,21-06-2021,2,1,1,1,1,1,1
605612702,10619170.0,19971578.0,25141061.0,44865870.0,70556737.0,8730603.0,2021-06-21T00:00:51.923+05:30,8730603,21-06-2021,2,1,1,1,1,1,1
605615270,32457944.0,7041084.0,72560442.0,77600493.0,7857071.0,8074014.0,2021-06-21T00:00:52.349+05:30,7041084,21-06-2021,2,1,1,1,1,1,1
605614699,37071686.0,37725887.0,37966076.0,41141371.0,76620855.0,8648634.0,2021-06-21T00:00:53.115+05:30,37966076,21-06-2021,2,1,1,1,1,1,1
605611727,2489757.0,25051502.0,63655095.0,76178384.0,77154922.0,77828482.0,2021-06-21T00:00:55.244+05:30,76178384,21-06-2021,2,1,1,1,1,1,1
605615174,28430714.0,34374890.0,36741397.0,40146949.0,49378027.0,9341722.0,2021-06-21T00:00:57.785+05:30,28430714,21-06-2021,2,1,1,1,1,1,1
605615927,1356958.0,22627246.0,25328113.0,31385647.0,38688378.0,77103107.0,2021-06-21T00:01:03.765+05:30,77103107,21-06-2021,2,1,1,1,1,1,1
605618940,60792021.0,33137216.0,77433893.0,60904893.0,39201004.0,7874176.0,2021-06-21T00:01:04.39+05:30,7874176,21-06-2021,1,1,1,1,1,1,1
605614585,29401252.0,30802611.0,30983514.0,41450572.0,51382373.0,5258578.0,2021-06-21T00:01:05.024+05:30,30802611,21-06-2021,2,1,1,1,1,1,1
605614772,16708717.0,33860039.0,41692496.0,43893152.0,68518179.0,77290009.0,2021-06-21T00:01:06.021+05:30,43893152,21-06-2021,2,1,1,1,2,1,1
605617054,20705684.0,25170887.0,34531631.0,63621240.0,76046564.0,77896128.0,2021-06-21T00:01:06.91+05:30,34531631,21-06-2021,2,1,1,1,1,1,1
605613652,20360512.0,28008306.0,32749132.0,43973820.0,6372470.0,6812295.0,2021-06-21T00:01:09.532+05:30,28008306,21-06-2021,2,1,1,1,1,1,1
605614252,11056587.0,23725327.0,41804610.0,76609482.0,77858418.0,7838915.0,2021-06-21T00:01:12.382+05:30,76609482,21-06-2021,2,1,1,1,1,1,1
605615338,34169283.0,42543090.0,44820166.0,63638871.0,77755469.0,77895976.0,2021-06-21T00:01:12.586+05:30,42543090,21-06-2021,2,1,1,1,1,1,1
605606231,2302260.0,39100770.0,62504255.0,29534259.0,22613829.0,31159789.0,2021-06-21T00:01:14.731+05:30,2302260,21-06-2021,1,1,1,1,1,1,1
605609054,12932341.0,30573436.0,4245851.0,6007288.0,63330528.0,9654525.0,2021-06-21T00:01:18.15+05:30,9654525,21-06-2021,2,1,1,1,1,1,1
605615267,16434842.0,19300639.0,22322090.0,3364135.0,5450410.0,77013858.0,2021-06-21T00:01:19.008+05:30,19300639,21-06-2021,2,1,1,1,1,1,1
605607311,11617492.0,31363370.0,38298728.0,43898354.0,7328163.0,75683268.0,2021-06-21T00:01:19.351+05:30,31363370,21-06-2021,2,1,1,1,1,1,1
605613096,30821566.0,34832950.0,40967489.0,45630353.0,73867601.0,76731888.0,2021-06-21T00:01:22.761+05:30,34832950,21-06-2021,2,1,1,1,1,1,1
605615655,14650257.0,198109.0,37883001.0,68524527.0,7440627.0,77621818.0,2021-06-21T00:01:23.193+05:30,68524527,21-06-2021,2,1,1,1,1,1,2
605616177,13153299.0,14366993.0,19777120.0,24889365.0,39898947.0,77043503.0,2021-06-21T00:01:25.325+05:30,39898947,21-06-2021,2,1,1,1,1,1,1
605612279,20958802.0,35147446.0,37794991.0,39148530.0,66665495.0,76401672.0,2021-06-21T00:01:25.398+05:30,20958802,21-06-2021,2,1,1,1,1,1,1
605607966,32080458.0,62085204.0,77153322.0,8105636.0,909314.0,954665.0,2021-06-21T00:01:26.004+05:30,954665,21-06-2021,2,1,1,1,1,1,1
605614404,74924322.0,77773313.0,21078972.0,5312947.0,13828246.0,29929048.0,2021-06-21T00:01:26.062+05:30,74924322,21-06-2021,3,1,1,1,1,1,1
605611742,177634.0,22138437.0,30952530.0,32955419.0,64725830.0,77675809.0,2021-06-21T00:01:26.893+05:30,30952530,21-06-2021,2,1,1,1,1,1,1
605613236,11662590.0,13910490.0,27345315.0,29783123.0,53566777.0,61607891.0,2021-06-21T00:01:29.129+05:30,27345315,21-06-2021,2,1,1,1,1,1,1
605614904,13179315.0,17411207.0,40210788.0,47823770.0,5986838.0,77086302.0,2021-06-21T00:01:29.665+05:30,13179315,21-06-2021,2,1,1,1,1,1,1
605614788,15370551.0,32729521.0,36399500.0,47212098.0,64895689.0,65468186.0,2021-06-21T00:01:32.307+05:30,32729521,21-06-2021,2,1,1,1,1,1,1
605614884,30714303.0,77079823.0,44585925.0,10899658.0,21587856.0,120257.0,2021-06-21T00:01:33.688+05:30,120257,21-06-2021,1,1,1,1,1,1,1
605612701,30422972.0,41738185.0,42608274.0,49928189.0,75705495.0,77871454.0,2021-06-21T00:01:34.917+05:30,49928189,21-06-2021,2,1,1,1,1,1,1
605615674,10065740.0,41113274.0,42319114.0,8624101.0,31165081.0,43228200.0,2021-06-21T00:01:36.697+05:30,10065740,21-06-2021,1,1,1,1,1,1,1
605612492,23286324.0,31278505.0,34121807.0,37064217.0,38234817.0,72272102.0,2021-06-21T00:01:37+05:30,38234817,21-06-2021,2,1,1,1,1,1,1
605614081,14650257.0,39856453.0,75224710.0,77655169.0,77888196.0,8834140.0,2021-06-21T00:01:37.886+05:30,77655169,21-06-2021,2,2,1,1,1,1,1
605613272,20393944.0,30273230.0,34956699.0,43844656.0,76029212.0,8059860.0,2021-06-21T00:01:38.172+05:30,43844656,21-06-2021,2,1,1,1,1,1,1
605612461,24083583.0,13192506.0,22490075.0,7819603.0,27296991.0,981809.0,2021-06-21T00:01:38.265+05:30,13192506,21-06-2021,1,1,1,1,1,1,1
605613345,21676045.0,3586939.0,41276522.0,45345346.0,56816063.0,76275982.0,2021-06-21T00:01:40.091+05:30,41276522,21-06-2021,2,1,1,1,1,1,1
605613180,65266780.0,27989241.0,10713085.0,1014810.0,10928092.0,22089850.0,2021-06-21T00:01:40.238+05:30,10713085,21-06-2021,1,1,1,1,1,1,1
605618046,22661331.0,60091414.0,13849478.0,77555818.0,61574459.0,66347354.0,2021-06-21T00:01:41.181+05:30,60091414,21-06-2021,1,1,1,1,1,1,1
605613995,1892147.0,19487977.0,30802611.0,54059790.0,7092274.0,7876428.0,2021-06-21T00:01:41.413+05:30,30802611,21-06-2021,2,1,1,2,1,1,1
605603234,19379309.0,49895976.0,61055307.0,68571098.0,74436546.0,77005812.0,2021-06-21T00:01:41.762+05:30,74436546,21-06-2021,1,1,1,1,1,1,1
