game_id,settlement_time,s_date,user_id,win_status,win_position,winning_cash_amt,trnmnt_type,total_prize_pool,pkr,Date,Time
605613867,2021-06-21T00:00:21.016+05:30,21-06-2021,18154691,TRUE,3,198.33,null,null,2,21-Jun-2021,00:00:21
605613867,2021-06-21T00:00:21.027+05:30,21-06-2021,21832632,TRUE,1,198.34,null,null,2,21-Jun-2021,00:00:21
605613867,2021-06-21T00:00:21.038+05:30,21-06-2021,38104002,FALSE,6,0,null,null,2,21-Jun-2021,00:00:21
605613867,2021-06-21T00:00:21.048+05:30,21-06-2021,40381686,TRUE,2,198.33,null,null,2,21-Jun-2021,00:00:21
605613867,2021-06-21T00:00:21.058+05:30,21-06-2021,56615357,FALSE,5,0,null,null,2,21-Jun-2021,00:00:21
605613867,2021-06-21T00:00:21.07+05:30,21-06-2021,76871362,FALSE,4,0,null,null,2,21-Jun-2021,00:00:21
605612992,2021-06-21T00:00:21.712+05:30,21-06-2021,21119893,FALSE,6,0,null,null,2,21-Jun-2021,00:00:21
605612992,2021-06-21T00:00:21.722+05:30,21-06-2021,23193171,TRUE,3,1760,null,null,2,21-Jun-2021,00:00:21
605612992,2021-06-21T00:00:21.734+05:30,21-06-2021,31003809,FALSE,5,0,null,null,2,21-Jun-2021,00:00:21
605612992,2021-06-21T00:00:21.745+05:30,21-06-2021,37440613,TRUE,2,1760,null,null,2,21-Jun-2021,00:00:21
605612992,2021-06-21T00:00:21.756+05:30,21-06-2021,4166818,FALSE,4,0,null,null,2,21-Jun-2021,00:00:21
605612992,2021-06-21T00:00:21.769+05:30,21-06-2021,799209,TRUE,1,1760,null,null,2,21-Jun-2021,00:00:21
605614912,2021-06-21T00:00:23.077+05:30,21-06-2021,20644176,TRUE,3,170,null,null,2,21-Jun-2021,00:00:23
605614912,2021-06-21T00:00:23.086+05:30,21-06-2021,21667966,FALSE,6,0,null,null,2,21-Jun-2021,00:00:23
605614912,2021-06-21T00:00:23.097+05:30,21-06-2021,21691153,FALSE,5,0,null,null,2,21-Jun-2021,00:00:23
605614912,2021-06-21T00:00:23.106+05:30,21-06-2021,34669528,TRUE,2,170,null,null,2,21-Jun-2021,00:00:23
605614912,2021-06-21T00:00:23.116+05:30,21-06-2021,34876960,FALSE,4,0,null,null,2,21-Jun-2021,00:00:23
605614912,2021-06-21T00:00:23.126+05:30,21-06-2021,77772270,TRUE,1,170,null,null,2,21-Jun-2021,00:00:23
605612281,2021-06-21T00:00:23.938+05:30,21-06-2021,17327189,TRUE,2,637.5,null,null,2,21-Jun-2021,00:00:23
605612281,2021-06-21T00:00:23.949+05:30,21-06-2021,25208716,TRUE,1,637.5,null,null,2,21-Jun-2021,00:00:23
605612281,2021-06-21T00:00:23.959+05:30,21-06-2021,29836519,FALSE,6,0,null,null,2,21-Jun-2021,00:00:23
605612281,2021-06-21T00:00:23.97+05:30,21-06-2021,60730624,FALSE,5,0,null,null,2,21-Jun-2021,00:00:23
605612281,2021-06-21T00:00:23.981+05:30,21-06-2021,63275237,FALSE,4,0,null,null,2,21-Jun-2021,00:00:23
605612281,2021-06-21T00:00:23.995+05:30,21-06-2021,6977198,FALSE,3,0,null,null,2,21-Jun-2021,00:00:23
605612048,2021-06-21T00:00:24.716+05:30,21-06-2021,13477940,FALSE,6,0,null,null,2,21-Jun-2021,00:00:24
605612048,2021-06-21T00:00:24.735+05:30,21-06-2021,21608677,FALSE,5,0,null,null,2,21-Jun-2021,00:00:24
605612048,2021-06-21T00:00:24.749+05:30,21-06-2021,24153028,FALSE,4,0,null,null,2,21-Jun-2021,00:00:24
605612048,2021-06-21T00:00:24.76+05:30,21-06-2021,36137698,FALSE,3,0,null,null,2,21-Jun-2021,00:00:24
605612048,2021-06-21T00:00:24.772+05:30,21-06-2021,36810620,FALSE,2,0,null,null,2,21-Jun-2021,00:00:24
605612048,2021-06-21T00:00:24.788+05:30,21-06-2021,48350364,TRUE,1,510,null,null,2,21-Jun-2021,00:00:24
605612898,2021-06-21T00:00:26.372+05:30,21-06-2021,12412754,FALSE,6,0,null,null,2,21-Jun-2021,00:00:26
605612898,2021-06-21T00:00:26.384+05:30,21-06-2021,16294359,FALSE,5,0,null,null,2,21-Jun-2021,00:00:26
605612898,2021-06-21T00:00:26.395+05:30,21-06-2021,41027994,FALSE,4,0,null,null,2,21-Jun-2021,00:00:26
605612898,2021-06-21T00:00:26.406+05:30,21-06-2021,41404913,FALSE,3,0,null,null,2,21-Jun-2021,00:00:26
605612898,2021-06-21T00:00:26.419+05:30,21-06-2021,77870831,TRUE,1,340,null,null,2,21-Jun-2021,00:00:26
605612898,2021-06-21T00:00:26.43+05:30,21-06-2021,9855284,FALSE,2,0,null,null,2,21-Jun-2021,00:00:26
605610053,2021-06-21T00:00:26.873+05:30,21-06-2021,10927905,FALSE,6,0,null,null,2,21-Jun-2021,00:00:26
605610053,2021-06-21T00:00:26.886+05:30,21-06-2021,22437508,FALSE,5,0,null,null,2,21-Jun-2021,00:00:26
605610053,2021-06-21T00:00:26.901+05:30,21-06-2021,24609650,FALSE,4,0,null,null,2,21-Jun-2021,00:00:26
605610053,2021-06-21T00:00:26.914+05:30,21-06-2021,43893152,FALSE,3,0,null,null,2,21-Jun-2021,00:00:26
605610053,2021-06-21T00:00:26.926+05:30,21-06-2021,62209008,TRUE,1,2550,null,null,2,21-Jun-2021,00:00:26
605610053,2021-06-21T00:00:26.937+05:30,21-06-2021,9142787,FALSE,2,0,null,null,2,21-Jun-2021,00:00:26
605613605,2021-06-21T00:00:27.9+05:30,21-06-2021,19160445,FALSE,6,0,null,null,2,21-Jun-2021,00:00:27
605613605,2021-06-21T00:00:27.908+05:30,21-06-2021,30138982,TRUE,2,255,null,null,2,21-Jun-2021,00:00:27
605613605,2021-06-21T00:00:27.917+05:30,21-06-2021,30523095,FALSE,5,0,null,null,2,21-Jun-2021,00:00:27
605613605,2021-06-21T00:00:27.925+05:30,21-06-2021,64317241,FALSE,4,0,null,null,2,21-Jun-2021,00:00:27
605613605,2021-06-21T00:00:27.934+05:30,21-06-2021,6780059,TRUE,1,255,null,null,2,21-Jun-2021,00:00:27
605613605,2021-06-21T00:00:27.945+05:30,21-06-2021,9967437,FALSE,3,0,null,null,2,21-Jun-2021,00:00:27
605608060,2021-06-21T00:00:29.193+05:30,21-06-2021,10308168,TRUE,1,70.84,null,null,2,21-Jun-2021,00:00:29
605608060,2021-06-21T00:00:29.21+05:30,21-06-2021,21980049,TRUE,3,70.83,null,null,2,21-Jun-2021,00:00:29
605608060,2021-06-21T00:00:29.225+05:30,21-06-2021,58829557,FALSE,6,0,null,null,2,21-Jun-2021,00:00:29
605608060,2021-06-21T00:00:29.243+05:30,21-06-2021,61461343,TRUE,2,70.83,null,null,2,21-Jun-2021,00:00:29
605608060,2021-06-21T00:00:29.259+05:30,21-06-2021,73640330,FALSE,5,0,null,null,2,21-Jun-2021,00:00:29
605608060,2021-06-21T00:00:29.274+05:30,21-06-2021,74669201,FALSE,4,0,null,null,2,21-Jun-2021,00:00:29
605614126,2021-06-21T00:00:30.275+05:30,21-06-2021,21017863,FALSE,6,0,null,null,2,21-Jun-2021,00:00:30
605614126,2021-06-21T00:00:30.285+05:30,21-06-2021,61340170,TRUE,3,42.5,null,null,2,21-Jun-2021,00:00:30
605614126,2021-06-21T00:00:30.294+05:30,21-06-2021,64210831,FALSE,5,0,null,null,2,21-Jun-2021,00:00:30
605614126,2021-06-21T00:00:30.302+05:30,21-06-2021,66283869,TRUE,2,42.5,null,null,2,21-Jun-2021,00:00:30
605614126,2021-06-21T00:00:30.311+05:30,21-06-2021,74995708,FALSE,4,0,null,null,2,21-Jun-2021,00:00:30
605614126,2021-06-21T00:00:30.32+05:30,21-06-2021,7599951,TRUE,1,42.5,null,null,2,21-Jun-2021,00:00:30
605615884,2021-06-21T00:00:32.484+05:30,21-06-2021,10400543,FALSE,6,0,null,null,2,21-Jun-2021,00:00:32
605615884,2021-06-21T00:00:32.494+05:30,21-06-2021,21651477,FALSE,5,0,null,null,2,21-Jun-2021,00:00:32
605615884,2021-06-21T00:00:32.504+05:30,21-06-2021,3538897,FALSE,4,0,null,null,2,21-Jun-2021,00:00:32
605615884,2021-06-21T00:00:32.514+05:30,21-06-2021,7638037,FALSE,3,0,null,null,2,21-Jun-2021,00:00:32
605615884,2021-06-21T00:00:32.525+05:30,21-06-2021,77621818,TRUE,1,10800,null,null,2,21-Jun-2021,00:00:32
605615884,2021-06-21T00:00:32.536+05:30,21-06-2021,871903,FALSE,2,0,null,null,2,21-Jun-2021,00:00:32
605612574,2021-06-21T00:00:33.123+05:30,21-06-2021,14514029,TRUE,1,316.8,null,null,3,21-Jun-2021,00:00:33
605612574,2021-06-21T00:00:33.133+05:30,21-06-2021,70972881,TRUE,2,211.2,null,null,3,21-Jun-2021,00:00:33
605612574,2021-06-21T00:00:33.143+05:30,21-06-2021,68946284,FALSE,3,0,null,null,3,21-Jun-2021,00:00:33
605612574,2021-06-21T00:00:33.155+05:30,21-06-2021,25192127,FALSE,4,0,null,null,3,21-Jun-2021,00:00:33
605612574,2021-06-21T00:00:33.166+05:30,21-06-2021,15723099,FALSE,5,0,null,null,3,21-Jun-2021,00:00:33
605612574,2021-06-21T00:00:33.175+05:30,21-06-2021,77222846,FALSE,6,0,null,null,3,21-Jun-2021,00:00:33
605615830,2021-06-21T00:00:33.958+05:30,21-06-2021,10064465,TRUE,2,637.5,null,null,2,21-Jun-2021,00:00:33
605615830,2021-06-21T00:00:33.969+05:30,21-06-2021,43666014,FALSE,6,0,null,null,2,21-Jun-2021,00:00:33
605615830,2021-06-21T00:00:33.98+05:30,21-06-2021,59460614,FALSE,5,0,null,null,2,21-Jun-2021,00:00:33
605614883,2021-06-21T00:00:33.985+05:30,21-06-2021,36518296,TRUE,1,148.75,null,null,2,21-Jun-2021,00:00:33
605615830,2021-06-21T00:00:33.991+05:30,21-06-2021,61558528,FALSE,4,0,null,null,2,21-Jun-2021,00:00:33
