"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"132","DefeatHeuristic","Mindist",60,0,1
"133","DefeatHeuristic","Mindist",60,0,1
"134","DefeatHeuristic","Mindist",60,0,1
"135","DefeatHeuristic","Mindist",60,0,1
"136","DefeatHeuristic","Mindist",60,0,1
"137","DefeatHeuristic","Mindist",60,0,1
"138","DefeatHeuristic","Mindist",60,0,1
"139","DefeatHeuristic","Mindist",60,0,1
"140","DefeatHeuristic","Mindist",60,0,1
"141","DefeatHeuristic","Mindist",45,0,1
"142","DefeatHeuristic","Mindist",60,0,1
"143","DefeatHeuristic","Mindist",60,0,1
"144","DefeatHeuristic","Mindist",60,0,1
"145","DefeatHeuristic","Mindist",60,0,1
"146","DefeatHeuristic","Mindist",60,0,1
"147","DefeatHeuristic","Mindist",21,0,1
"148","DefeatHeuristic","Mindist",60,0,1
"149","DefeatHeuristic","Mindist",42,0,1
"150","DefeatHeuristic","Mindist",60,0,1
"151","DefeatHeuristic","Mindist",60,0,1
"152","DefeatHeuristic","Mindist",60,0,1
"153","DefeatHeuristic","Mindist",60,0,1
"154","DefeatHeuristic","Mindist",60,0,1
"155","DefeatHeuristic","Mindist",60,0,1
"156","DefeatHeuristic","Mindist",60,0,1
"157","DefeatHeuristic","Mindist",53,0,1
"158","DefeatHeuristic","Mindist",60,0,1
"159","DefeatHeuristic","Mindist",60,0,1
"160","DefeatHeuristic","Mindist",60,0,1
"161","DefeatHeuristic","Mindist",60,0,1
"162","DefeatHeuristic","Mindist",60,0,1
"163","DefeatHeuristic","Mindist",60,0,1
"164","DefeatHeuristic","Mindist",60,0,1
"165","DefeatHeuristic","Mindist",60,0,1
"166","DefeatHeuristic","Mindist",60,0,1
"167","DefeatHeuristic","Mindist",60,0,1
"168","DefeatHeuristic","Mindist",45,0,1
"169","DefeatHeuristic","Mindist",60,0,1
"170","DefeatHeuristic","Mindist",57,0,1
"171","DefeatHeuristic","Mindist",60,0,1
"172","DefeatHeuristic","Mindist",60,0,1
"173","DefeatHeuristic","Mindist",60,0,1
"174","DefeatHeuristic","Mindist",60,0,1
"175","DefeatHeuristic","Mindist",60,0,1
"176","DefeatHeuristic","Mindist",60,0,1
"177","DefeatHeuristic","Mindist",60,0,1
"178","DefeatHeuristic","Mindist",60,0,1
"179","DefeatHeuristic","Mindist",60,0,1
"180","DefeatHeuristic","Mindist",60,0,1
"181","DefeatHeuristic","Mindist",59,0,1
"182","DefeatHeuristic","Mindist",60,0,1
"183","DefeatHeuristic","Mindist",60,0,1
"184","DefeatHeuristic","Mindist",60,0,1
"185","DefeatHeuristic","Mindist",60,0,1
"186","DefeatHeuristic","Mindist",60,0,1
"187","DefeatHeuristic","Mindist",52,0,1
"188","DefeatHeuristic","Mindist",60,0,1
"189","DefeatHeuristic","Mindist",60,0,1
"190","DefeatHeuristic","Mindist",45,0,1
"191","DefeatHeuristic","Mindist",60,0,1
"192","DefeatHeuristic","Mindist",60,0,1
"193","DefeatHeuristic","Mindist",60,0,1
"194","DefeatHeuristic","Mindist",60,0,1
"195","DefeatHeuristic","Mindist",60,0,1
"196","DefeatHeuristic","Mindist",60,0,1
"197","DefeatHeuristic","Mindist",48,0,1
