"","...1","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"4760",4163,"MCTS-50","MCTS-0",22,0,1,994,978,4,5
"4761",878,"MCTS-0","MCTS-25",15,0,1,976,1005,2,5
"4762",1756,"MCTS-0","MCTS-50",0,60,0,987,983,11,5
"4763",1799,"MCTS-0","MCTS-50",60,60,1,987,983,0,5
"4764",3440,"MCTS-25","MCTS-50",0,60,0,1014,974,9,5
"4765",4916,"MCTS-50","MCTS-0",0,15,0,977,984,3,5
"4766",4881,"MCTS-50","MCTS-0",0,2,0,977,984,0,5
"4767",5378,"MCTS-50","MCTS-25",0,28,0,982,1009,5,6
"4768",2191,"MCTS-25","MCTS-0",60,0,1,998,995,11,5
"4769",2321,"MCTS-25","MCTS-0",4,0,1,997,996,1,5
"4770",3570,"MCTS-25","MCTS-50",0,47,0,1004,975,7,5
"4771",1642,"MCTS-0","MCTS-50",0,60,0,1005,966,9,5
"4772",4595,"MCTS-50","MCTS-0",0,56,0,976,995,10,6
"4773",1585,"MCTS-0","MCTS-50",0,12,0,997,974,2,5
"4774",197,"MCTS-0","MCTS-25",0,10,0,999,1002,2,5
"4775",3888,"MCTS-25","MCTS-50",0,2,0,1002,974,0,5
"4776",4533,"MCTS-50","MCTS-0",0,12,0,976,997,2,5
"4777",173,"MCTS-0","MCTS-25",7,0,1,996,1003,1,5
"4778",558,"MCTS-0","MCTS-25",0,9,0,998,1001,2,5
"4779",4474,"MCTS-50","MCTS-0",31,0,1,971,1003,5,5
"4780",3953,"MCTS-25","MCTS-50",0,60,0,1010,962,9,5
"4781",5406,"MCTS-50","MCTS-25",2,0,1,962,1010,0,4
"4782",71,"MCTS-0","MCTS-25",0,10,0,1005,1008,2,5
"4783",5845,"MCTS-50","MCTS-25",0,13,0,964,1006,2,6
"4784",1192,"MCTS-0","MCTS-50",0,26,0,1009,960,4,4
"4785",5293,"MCTS-50","MCTS-25",0,52,0,970,996,10,6
"4786",943,"MCTS-0","MCTS-25",26,5,1,1005,1000,4,5
"4787",4920,"MCTS-50","MCTS-0",0,2,0,970,1005,0,6
"4788",3252,"MCTS-25","MCTS-50",9,0,1,998,972,2,5
"4789",630,"MCTS-0","MCTS-25",42,4,1,999,1004,6,5
