"","X","Strategy.1","Strategy.2","P1.Score","P2.Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"1004",1004,"MCTS-25","Mindist+Opp",58,0,1,961,1039,39,20
"623",623,"MCTS-10","Mindist+Opp",0,13,0,1010,1029,10,22
"2693",2693,"MCTS-50","Mindist+Opp",19,0,1,988,1041,12,18
"934",934,"MCTS-10","Mindist+Opp",14,0,1,1001,1050,9,18
"4496",4496,"Mindist+Opp","MCTS-25",0,49,0,1074,937,24,15
"2948",2948,"MCTS-50","Mindist+Opp",0,43,0,1024,1056,27,19
"2146",2146,"MCTS-50","Mindist+Opp",4,0,1,1022,1057,2,14
"3175",3175,"Mindist+Opp","MCTS-10",60,0,1,1034,1047,35,17
"2774",2774,"MCTS-50","Mindist+Opp",13,0,1,1014,1038,6,14
"5722",5722,"Mindist+Opp","MCTS-50",0,25,0,1046,998,12,14
"2374",2374,"MCTS-50","Mindist+Opp",47,0,1,984,1053,10,6
"1103",1103,"MCTS-25","Mindist+Opp",24,0,1,926,1056,7,8
"4046",4046,"Mindist+Opp","MCTS-25",0,8,0,1057,923,2,8
"4366",4366,"Mindist+Opp","MCTS-25",0,3,0,1057,922,1,8
"3454",3454,"Mindist+Opp","MCTS-10",0,13,0,1059,1039,5,12
"2232",2232,"MCTS-50","Mindist+Opp",8,0,1,982,1060,2,6
"2622",2622,"MCTS-50","Mindist+Opp",0,9,0,986,1058,3,9
"3972",3972,"Mindist+Opp","MCTS-10",0,10,0,1060,1033,4,12
"1685",1685,"MCTS-25","Mindist+Opp",25,0,1,917,1063,4,5
"2600",2600,"MCTS-50","Mindist+Opp",20,0,1,981,1066,4,6
"5332",5332,"Mindist+Opp","MCTS-50",0,7,0,1067,979,1,6
"3000",3000,"MCTS-50","Mindist+Opp",0,22,0,984,1062,5,6
"5315",5315,"Mindist+Opp","MCTS-50",0,15,0,1064,982,2,4
"996",996,"MCTS-10","Mindist+Opp",20,0,1,1027,1067,5,7
"3583",3583,"Mindist+Opp","MCTS-10",0,18,0,1070,1022,4,7
"479",479,"MCTS-10","Mindist+Opp",0,13,0,1027,1068,4,9
"3677",3677,"Mindist+Opp","MCTS-10",0,51,0,1076,1012,11,7
"634",634,"MCTS-10","Mindist+Opp",0,32,0,1025,1070,9,9
"4997",4997,"Mindist+Opp","MCTS-25",10,0,1,1068,922,4,11
"578",578,"MCTS-10","Mindist+Opp",3,0,1,1025,1068,0,4
"3759",3759,"Mindist+Opp","MCTS-10",29,0,1,1063,1030,5,6
"3496",3496,"Mindist+Opp","MCTS-10",30,0,1,1058,1035,5,5
"1403",1403,"MCTS-25","Mindist+Opp",0,17,0,930,1054,6,10
"4052",4052,"Mindist+Opp","MCTS-25",0,49,0,1059,919,8,5
"5228",5228,"Mindist+Opp","MCTS-50",0,54,0,1066,975,7,4
"131",131,"MCTS-10","Mindist+Opp",20,0,1,1032,1069,3,5
"3415",3415,"Mindist+Opp","MCTS-10",0,60,0,1078,1023,9,4
"1014",1014,"MCTS-25","Mindist+Opp",32,0,1,913,1081,5,4
"4836",4836,"Mindist+Opp","MCTS-25",0,33,0,1084,910,3,3
"3912",3912,"Mindist+Opp","MCTS-10",0,41,0,1090,1017,6,4
"298",298,"MCTS-10","Mindist+Opp",0,26,0,1022,1085,5,6
"1835",1835,"MCTS-25","Mindist+Opp",27,0,1,908,1087,2,3
"258",258,"MCTS-10","Mindist+Opp",0,10,0,1024,1085,2,6
"79",79,"MCTS-10","Mindist+Opp",38,0,1,1019,1090,5,4
"3254",3254,"Mindist+Opp","MCTS-10",23,0,1,1085,1024,5,6
"2744",2744,"MCTS-50","Mindist+Opp",10,0,1,974,1086,1,3
"4403",4403,"Mindist+Opp","MCTS-25",20,0,1,1081,913,5,7
"902",902,"MCTS-10","Mindist+Opp",10,0,1,1023,1082,1,4
"5341",5341,"Mindist+Opp","MCTS-50",0,57,0,1089,967,7,3
"3808",3808,"Mindist+Opp","MCTS-10",0,47,0,1095,1017,6,4
"561",561,"MCTS-10","Mindist+Opp",27,0,1,1013,1099,4,4
"3385",3385,"Mindist+Opp","MCTS-10",0,44,0,1105,1007,6,4
"4232",4232,"Mindist+Opp","MCTS-25",0,39,0,1108,910,3,2
"1169",1169,"MCTS-25","Mindist+Opp",37,0,1,907,1111,3,2
"959",959,"MCTS-10","Mindist+Opp",45,0,1,1002,1116,5,4
"2171",2171,"MCTS-50","Mindist+Opp",0,43,0,977,1106,10,7
"5896",5896,"Mindist+Opp","MCTS-50",15,0,1,1103,980,3,7
"1258",1258,"MCTS-25","Mindist+Opp",31,0,1,904,1106,3,2
"608",608,"MCTS-10","Mindist+Opp",38,0,1,998,1110,4,4
"4591",4591,"Mindist+Opp","MCTS-25",0,2,0,1110,904,0,2
"4630",4630,"Mindist+Opp","MCTS-25",0,41,0,1113,901,3,2
"2851",2851,"MCTS-50","Mindist+Opp",17,0,1,978,1115,2,3
"3369",3369,"Mindist+Opp","MCTS-10",0,54,0,1121,992,6,3
"1155",1155,"MCTS-25","Mindist+Opp",0,50,0,914,1108,13,8
"2902",2902,"MCTS-50","Mindist+Opp",11,0,1,977,1109,1,3
"4665",4665,"Mindist+Opp","MCTS-25",0,16,0,1110,913,1,2
"1546",1546,"MCTS-25","Mindist+Opp",10,0,1,912,1111,1,2
"951",951,"MCTS-10","Mindist+Opp",16,0,1,990,1113,2,3
"3990",3990,"Mindist+Opp","MCTS-10",0,19,0,1115,988,2,3
"2296",2296,"MCTS-50","Mindist+Opp",44,0,1,972,1120,5,3
"1389",1389,"MCTS-25","Mindist+Opp",13,0,1,911,1121,1,2
"2713",2713,"MCTS-50","Mindist+Opp",0,10,0,974,1119,2,7
"1667",1667,"MCTS-25","Mindist+Opp",17,0,1,910,1120,1,2
"595",595,"MCTS-10","Mindist+Opp",24,0,1,985,1123,3,3
"434",434,"MCTS-10","Mindist+Opp",23,0,1,983,1125,2,3
"760",760,"MCTS-10","Mindist+Opp",60,0,1,977,1131,6,3
"3290",3290,"Mindist+Opp","MCTS-10",0,25,0,1133,975,2,3
"1751",1751,"MCTS-25","Mindist+Opp",0,49,0,923,1120,13,8
"3910",3910,"Mindist+Opp","MCTS-10",0,23,0,1122,973,2,3
"2324",2324,"MCTS-50","Mindist+Opp",13,0,1,973,1123,1,3
"4265",4265,"Mindist+Opp","MCTS-25",0,52,0,1127,919,4,2
"1983",1983,"MCTS-25","Mindist+Opp",40,0,1,916,1130,3,2
"5191",5191,"Mindist+Opp","MCTS-50",14,0,1,1127,976,3,7
"573",573,"MCTS-10","Mindist+Opp",30,0,1,970,1130,3,3
"4960",4960,"Mindist+Opp","MCTS-25",0,7,0,1131,915,1,2
"1971",1971,"MCTS-25","Mindist+Opp",15,0,1,914,1132,1,2
"326",326,"MCTS-10","Mindist+Opp",0,60,0,984,1118,14,7
"3967",3967,"Mindist+Opp","MCTS-10",52,0,1,1106,996,12,7
"2533",2533,"MCTS-50","Mindist+Opp",3,0,1,976,1106,0,3
"5787",5787,"Mindist+Opp","MCTS-50",0,9,0,1107,975,1,3
"4936",4936,"Mindist+Opp","MCTS-25",0,60,0,1112,909,5,2
"2497",2497,"MCTS-50","Mindist+Opp",19,0,1,973,1114,2,3
"4644",4644,"Mindist+Opp","MCTS-25",0,30,0,1116,907,2,2
"1911",1911,"MCTS-25","Mindist+Opp",36,0,1,904,1119,3,2
"3091",3091,"Mindist+Opp","MCTS-10",10,0,1,1117,998,2,7
"2686",2686,"MCTS-50","Mindist+Opp",28,0,1,970,1120,3,3
"4415",4415,"Mindist+Opp","MCTS-25",0,43,0,1123,901,3,2
"2193",2193,"MCTS-50","Mindist+Opp",0,28,0,977,1116,7,7
"102",102,"MCTS-10","Mindist+Opp",5,0,1,997,1117,1,3
"214",214,"MCTS-10","Mindist+Opp",19,0,1,995,1119,2,3
"4486",4486,"Mindist+Opp","MCTS-25",0,60,0,1123,897,4,2
"5717",5717,"Mindist+Opp","MCTS-50",0,2,0,1123,977,0,3
"597",597,"MCTS-10","Mindist+Opp",10,0,1,994,1124,1,3
"160",160,"MCTS-10","Mindist+Opp",2,0,1,994,1124,0,3
"3149",3149,"Mindist+Opp","MCTS-10",0,19,0,1126,992,2,3
"2577",2577,"MCTS-50","Mindist+Opp",15,0,1,976,1127,1,3
"2174",2174,"MCTS-50","Mindist+Opp",13,0,1,975,1128,1,3
"442",442,"MCTS-10","Mindist+Opp",0,48,0,1003,1117,11,7
"181",181,"MCTS-10","Mindist+Opp",25,0,1,1000,1120,3,3
"4875",4875,"Mindist+Opp","MCTS-25",0,39,0,1123,894,3,2
"163",163,"MCTS-10","Mindist+Opp",0,4,0,1001,1122,1,7
"4324",4324,"Mindist+Opp","MCTS-25",0,50,0,1126,890,4,2
"5034",5034,"Mindist+Opp","MCTS-50",0,20,0,1128,973,2,3
"4198",4198,"Mindist+Opp","MCTS-25",50,0,1,1115,903,13,8
"5385",5385,"Mindist+Opp","MCTS-50",0,60,0,1121,967,6,3
"40",40,"MCTS-10","Mindist+Opp",0,60,0,1014,1108,13,7
"3613",3613,"Mindist+Opp","MCTS-10",0,13,0,1110,1012,2,4
"3569",3569,"Mindist+Opp","MCTS-10",0,50,0,1116,1006,6,4
"4973",4973,"Mindist+Opp","MCTS-25",0,47,0,1120,899,4,2
"3769",3769,"Mindist+Opp","MCTS-10",0,39,0,1124,1002,4,3
"5570",5570,"Mindist+Opp","MCTS-50",21,0,1,1119,972,5,7
"806",806,"MCTS-10","Mindist+Opp",60,0,1,995,1126,7,3
"3672",3672,"Mindist+Opp","MCTS-10",0,60,0,1132,989,6,3
"4766",4766,"Mindist+Opp","MCTS-25",49,0,1,1119,912,13,8
"3435",3435,"Mindist+Opp","MCTS-10",20,0,1,1114,994,5,7
"4934",4934,"Mindist+Opp","MCTS-25",0,18,0,1115,911,1,2
"478",478,"MCTS-10","Mindist+Opp",0,0,1,994,1115,0,3
"5523",5523,"Mindist+Opp","MCTS-50",0,2,0,1115,972,0,3
"5495",5495,"Mindist+Opp","MCTS-50",0,35,0,1119,968,4,3
"3407",3407,"Mindist+Opp","MCTS-10",30,0,1,1112,1001,7,7
"598",598,"MCTS-10","Mindist+Opp",53,0,1,995,1118,6,3
"3214",3214,"Mindist+Opp","MCTS-10",0,2,0,1118,995,0,3
"3991",3991,"Mindist+Opp","MCTS-10",0,30,0,1121,992,3,3
"3475",3475,"Mindist+Opp","MCTS-10",0,57,0,1127,986,6,3
"4987",4987,"Mindist+Opp","MCTS-25",0,18,0,1128,910,1,2
"5308",5308,"Mindist+Opp","MCTS-50",0,57,0,1133,963,5,3
"1456",1456,"MCTS-25","Mindist+Opp",18,0,1,909,1134,1,2
"488",488,"MCTS-10","Mindist+Opp",0,33,0,994,1126,8,7
"3939",3939,"Mindist+Opp","MCTS-10",0,27,0,1129,991,3,3
"912",912,"MCTS-10","Mindist+Opp",0,26,0,997,1123,6,7
"215",215,"MCTS-10","Mindist+Opp",0,60,0,1010,1110,13,7
"540",540,"MCTS-10","Mindist+Opp",23,0,1,1007,1113,3,4
"3938",3938,"Mindist+Opp","MCTS-10",0,23,0,1116,1004,3,4
"4709",4709,"Mindist+Opp","MCTS-25",0,43,0,1119,906,3,2
"5552",5552,"Mindist+Opp","MCTS-50",0,60,0,1125,957,6,3
"931",931,"MCTS-10","Mindist+Opp",5,0,1,1003,1126,1,3
"2344",2344,"MCTS-50","Mindist+Opp",0,10,0,959,1124,2,7
"1859",1859,"MCTS-25","Mindist+Opp",0,7,0,908,1122,2,8
"4424",4424,"Mindist+Opp","MCTS-25",0,3,0,1122,908,0,2
"1171",1171,"MCTS-25","Mindist+Opp",38,0,1,905,1125,3,2
"1725",1725,"MCTS-25","Mindist+Opp",15,0,1,904,1126,1,2
"3780",3780,"Mindist+Opp","MCTS-10",30,0,1,1119,1010,7,7
"1912",1912,"MCTS-25","Mindist+Opp",55,0,1,900,1123,4,2
"5204",5204,"Mindist+Opp","MCTS-50",0,34,0,1126,956,3,3
"4346",4346,"Mindist+Opp","MCTS-25",0,55,0,1130,896,4,2
"1991",1991,"MCTS-25","Mindist+Opp",29,0,1,894,1132,2,2
"3936",3936,"Mindist+Opp","MCTS-10",0,24,0,1135,1007,3,3
"529",529,"MCTS-10","Mindist+Opp",0,16,0,1011,1131,4,7
"4377",4377,"Mindist+Opp","MCTS-25",0,38,0,1134,891,3,2
"3747",3747,"Mindist+Opp","MCTS-10",0,2,0,1134,1011,0,3
"898",898,"MCTS-10","Mindist+Opp",0,48,0,1022,1123,11,7
"4965",4965,"Mindist+Opp","MCTS-25",0,16,0,1124,890,1,2
"3102",3102,"Mindist+Opp","MCTS-10",0,2,0,1124,1022,0,4
"2058",2058,"MCTS-50","Mindist+Opp",0,2,0,956,1124,0,7
"534",534,"MCTS-10","Mindist+Opp",48,0,1,1016,1130,6,4
"5561",5561,"Mindist+Opp","MCTS-50",0,8,0,1131,955,1,3
"5950",5950,"Mindist+Opp","MCTS-50",0,31,0,1134,952,3,3
"3417",3417,"Mindist+Opp","MCTS-10",0,43,0,1139,1011,5,3
"5712",5712,"Mindist+Opp","MCTS-50",0,60,0,1144,947,5,3
"585",585,"MCTS-10","Mindist+Opp",26,0,1,1008,1147,3,3
"3084",3084,"Mindist+Opp","MCTS-10",0,52,0,1152,1003,5,3
"4389",4389,"Mindist+Opp","MCTS-25",0,22,0,1153,889,1,2
"3779",3779,"Mindist+Opp","MCTS-10",0,18,0,1155,1001,2,3
"4399",4399,"Mindist+Opp","MCTS-25",0,12,0,1156,888,1,2
"5718",5718,"Mindist+Opp","MCTS-50",0,34,0,1159,944,3,2
"3750",3750,"Mindist+Opp","MCTS-10",0,56,0,1164,996,5,3
"3219",3219,"Mindist+Opp","MCTS-10",0,30,0,1167,993,3,3
"4203",4203,"Mindist+Opp","MCTS-25",0,46,0,1170,885,3,2
"1542",1542,"MCTS-25","Mindist+Opp",0,35,0,895,1160,10,8
"4871",4871,"Mindist+Opp","MCTS-25",0,60,0,1164,891,4,2
"3076",3076,"Mindist+Opp","MCTS-10",0,9,0,1165,992,1,3
"2091",2091,"MCTS-50","Mindist+Opp",0,2,0,945,1164,1,8
"911",911,"MCTS-10","Mindist+Opp",16,0,1,991,1165,1,3
"1937",1937,"MCTS-25","Mindist+Opp",55,0,1,888,1168,3,2
"4267",4267,"Mindist+Opp","MCTS-25",9,0,1,1165,891,3,8
"4135",4135,"Mindist+Opp","MCTS-25",0,48,0,1168,888,3,2
"810",810,"MCTS-10","Mindist+Opp",0,37,0,1000,1159,9,7
"216",216,"MCTS-10","Mindist+Opp",17,0,1,998,1161,2,3
"1315",1315,"MCTS-25","Mindist+Opp",7,0,1,888,1161,0,2
"1938",1938,"MCTS-25","Mindist+Opp",10,0,1,887,1162,1,2
"1208",1208,"MCTS-25","Mindist+Opp",15,0,1,886,1163,1,2
"1046",1046,"MCTS-25","Mindist+Opp",31,0,1,884,1165,2,2
"3242",3242,"Mindist+Opp","MCTS-10",0,24,0,1167,996,2,3
"588",588,"MCTS-10","Mindist+Opp",25,0,1,994,1169,2,3
"63",63,"MCTS-10","Mindist+Opp",2,0,1,994,1169,0,3
"5808",5808,"Mindist+Opp","MCTS-50",0,16,0,1170,944,1,2
"1684",1684,"MCTS-25","Mindist+Opp",0,10,0,887,1167,3,8
"417",417,"MCTS-10","Mindist+Opp",38,0,1,991,1170,3,3
"4669",4669,"Mindist+Opp","MCTS-25",17,0,1,1165,892,5,8
"2934",2934,"MCTS-50","Mindist+Opp",0,46,0,956,1153,12,8
"1094",1094,"MCTS-25","Mindist+Opp",0,17,0,897,1148,5,8
"3556",3556,"Mindist+Opp","MCTS-10",0,36,0,1151,988,3,3
"2852",2852,"MCTS-50","Mindist+Opp",60,0,1,951,1156,5,2
"2251",2251,"MCTS-50","Mindist+Opp",60,0,1,946,1161,5,2
"2017",2017,"MCTS-50","Mindist+Opp",4,0,1,946,1161,0,2
"5363",5363,"Mindist+Opp","MCTS-50",0,45,0,1164,943,3,2
"2461",2461,"MCTS-50","Mindist+Opp",0,27,0,950,1157,7,8
"4673",4673,"Mindist+Opp","MCTS-25",0,13,0,1158,896,1,2
"4638",4638,"Mindist+Opp","MCTS-25",0,42,0,1161,893,3,2
"1977",1977,"MCTS-25","Mindist+Opp",0,16,0,897,1157,4,8
"2524",2524,"MCTS-50","Mindist+Opp",4,0,1,950,1157,0,2
"5036",5036,"Mindist+Opp","MCTS-50",0,15,0,1158,949,1,2
"522",522,"MCTS-10","Mindist+Opp",12,0,1,987,1159,1,3
"4501",4501,"Mindist+Opp","MCTS-25",18,0,1,1154,902,5,8
"716",716,"MCTS-10","Mindist+Opp",43,0,1,983,1158,4,3
"3869",3869,"Mindist+Opp","MCTS-10",0,23,0,1160,981,2,3
"2549",2549,"MCTS-50","Mindist+Opp",23,0,1,947,1162,2,2
"4525",4525,"Mindist+Opp","MCTS-25",25,0,1,1155,909,7,8
"4874",4874,"Mindist+Opp","MCTS-25",0,5,0,1155,909,0,2
"5078",5078,"Mindist+Opp","MCTS-50",2,0,1,1154,948,1,8
"4301",4301,"Mindist+Opp","MCTS-25",0,2,0,1154,909,0,2
"3176",3176,"Mindist+Opp","MCTS-10",0,25,0,1156,979,2,3
"1234",1234,"MCTS-25","Mindist+Opp",14,0,1,908,1157,1,2
"2519",2519,"MCTS-50","Mindist+Opp",3,0,1,948,1157,0,2
"3743",3743,"Mindist+Opp","MCTS-10",0,17,0,1158,978,1,3
"2114",2114,"MCTS-50","Mindist+Opp",9,0,1,947,1159,1,2
"2136",2136,"MCTS-50","Mindist+Opp",46,0,1,944,1162,3,2
"1382",1382,"MCTS-25","Mindist+Opp",10,0,1,907,1163,1,2
"4697",4697,"Mindist+Opp","MCTS-25",0,18,0,1164,906,1,2
"4405",4405,"Mindist+Opp","MCTS-25",0,3,0,1164,906,0,2
"2190",2190,"MCTS-50","Mindist+Opp",42,0,1,941,1167,3,2
"5541",5541,"Mindist+Opp","MCTS-50",0,44,0,1170,938,3,2
"4811",4811,"Mindist+Opp","MCTS-25",0,16,0,1171,905,1,2
"1454",1454,"MCTS-25","Mindist+Opp",0,8,0,907,1169,2,8
"1852",1852,"MCTS-25","Mindist+Opp",0,30,0,915,1161,8,8
"3433",3433,"Mindist+Opp","MCTS-10",0,41,0,1165,974,4,3
"4020",4020,"Mindist+Opp","MCTS-25",0,36,0,1167,913,2,2
"2164",2164,"MCTS-50","Mindist+Opp",0,22,0,944,1161,6,8
"2977",2977,"MCTS-50","Mindist+Opp",19,0,1,943,1162,1,2
"480",480,"MCTS-10","Mindist+Opp",2,0,1,974,1162,0,3
"5135",5135,"Mindist+Opp","MCTS-50",0,42,0,1165,940,3,2
"4582",4582,"Mindist+Opp","MCTS-25",0,26,0,1167,911,2,2
"725",725,"MCTS-10","Mindist+Opp",0,38,0,984,1157,10,8
"1826",1826,"MCTS-25","Mindist+Opp",17,0,1,910,1158,1,2
"3563",3563,"Mindist+Opp","MCTS-10",0,29,0,1161,981,3,3
"2329",2329,"MCTS-50","Mindist+Opp",21,0,1,938,1163,2,2
"5298",5298,"Mindist+Opp","MCTS-50",0,60,0,1167,934,4,2
"1452",1452,"MCTS-25","Mindist+Opp",60,0,1,906,1171,4,2
"1131",1131,"MCTS-25","Mindist+Opp",51,0,1,903,1174,3,2
"3961",3961,"Mindist+Opp","MCTS-10",60,0,1,1159,996,15,8
"2242",2242,"MCTS-50","Mindist+Opp",17,0,1,933,1160,1,2
"2790",2790,"MCTS-50","Mindist+Opp",55,0,1,929,1164,4,2
"3010",3010,"Mindist+Opp","MCTS-10",10,0,1,1162,998,2,7
"2949",2949,"MCTS-50","Mindist+Opp",50,0,1,926,1165,3,2
"4990",4990,"Mindist+Opp","MCTS-25",0,60,0,1169,899,4,2
"365",365,"MCTS-10","Mindist+Opp",4,0,1,998,1169,0,3
"5498",5498,"Mindist+Opp","MCTS-50",0,27,0,1171,924,2,2
"4517",4517,"Mindist+Opp","MCTS-25",0,14,0,1172,898,1,2
"1190",1190,"MCTS-25","Mindist+Opp",44,0,1,895,1175,3,2
"207",207,"MCTS-10","Mindist+Opp",59,0,1,993,1180,5,3
"3798",3798,"Mindist+Opp","MCTS-10",0,6,0,1181,992,1,3
"5588",5588,"Mindist+Opp","MCTS-50",0,21,0,1182,923,1,2
"5225",5225,"Mindist+Opp","MCTS-50",0,5,0,1182,923,0,2
"5602",5602,"Mindist+Opp","MCTS-50",0,60,0,1186,919,4,2
"2328",2328,"MCTS-50","Mindist+Opp",0,12,0,922,1183,3,8
"4536",4536,"Mindist+Opp","MCTS-25",0,8,0,1183,895,0,2
"991",991,"MCTS-10","Mindist+Opp",32,0,1,989,1186,3,2
"251",251,"MCTS-10","Mindist+Opp",60,0,1,984,1191,5,2
"3636",3636,"Mindist+Opp","MCTS-10",0,18,0,1192,983,1,2
"1318",1318,"MCTS-25","Mindist+Opp",0,22,0,901,1186,6,8
"613",613,"MCTS-10","Mindist+Opp",16,0,1,982,1187,1,2
"3039",3039,"Mindist+Opp","MCTS-10",0,52,0,1191,978,4,2
"2148",2148,"MCTS-50","Mindist+Opp",24,0,1,921,1192,1,2
"2967",2967,"MCTS-50","Mindist+Opp",19,0,1,920,1193,1,2
"5865",5865,"Mindist+Opp","MCTS-50",0,8,0,1193,920,0,2
"141",141,"MCTS-10","Mindist+Opp",11,0,1,977,1194,1,2
"4074",4074,"Mindist+Opp","MCTS-25",0,44,0,1196,899,2,2
"4475",4475,"Mindist+Opp","MCTS-25",0,60,0,1199,896,3,2
"4722",4722,"Mindist+Opp","MCTS-25",0,37,0,1201,894,2,1
"4372",4372,"Mindist+Opp","MCTS-25",0,41,0,1203,892,2,1
"1809",1809,"MCTS-25","Mindist+Opp",52,0,1,890,1205,2,1
"2756",2756,"MCTS-50","Mindist+Opp",0,21,0,926,1199,6,8
"3158",3158,"Mindist+Opp","MCTS-10",0,60,0,1203,973,4,2
"4234",4234,"Mindist+Opp","MCTS-25",0,26,0,1204,889,1,1
"2392",2392,"MCTS-50","Mindist+Opp",10,0,1,925,1205,1,2
"1235",1235,"MCTS-25","Mindist+Opp",46,0,1,887,1207,2,1
"4014",4014,"Mindist+Opp","MCTS-25",0,2,0,1207,887,0,1
"2729",2729,"MCTS-50","Mindist+Opp",54,0,1,922,1210,3,2
"461",461,"MCTS-10","Mindist+Opp",10,0,1,972,1211,1,2
"1691",1691,"MCTS-25","Mindist+Opp",33,0,1,886,1212,1,1
"4823",4823,"Mindist+Opp","MCTS-25",0,3,0,1212,886,0,1
"4175",4175,"Mindist+Opp","MCTS-25",0,5,0,1212,886,0,1
"542",542,"MCTS-10","Mindist+Opp",0,43,0,983,1201,11,8
"2682",2682,"MCTS-50","Mindist+Opp",16,0,1,921,1202,1,2
"1738",1738,"MCTS-25","Mindist+Opp",20,0,1,885,1203,1,1
"3789",3789,"Mindist+Opp","MCTS-10",38,0,1,1193,993,10,8
"2748",2748,"MCTS-50","Mindist+Opp",0,25,0,928,1186,7,8
"854",854,"MCTS-10","Mindist+Opp",16,0,1,992,1187,1,2
"1635",1635,"MCTS-25","Mindist+Opp",13,0,1,884,1188,1,1
"495",495,"MCTS-10","Mindist+Opp",21,0,1,990,1190,2,2
"2419",2419,"MCTS-50","Mindist+Opp",0,29,0,936,1182,8,8
"2428",2428,"MCTS-50","Mindist+Opp",3,0,1,936,1182,0,2
"2145",2145,"MCTS-50","Mindist+Opp",16,0,1,935,1183,1,2
"5970",5970,"Mindist+Opp","MCTS-50",0,46,0,1186,932,3,2
"4911",4911,"Mindist+Opp","MCTS-25",0,41,0,1188,882,2,1
"3541",3541,"Mindist+Opp","MCTS-10",0,40,0,1191,987,3,2
"3332",3332,"Mindist+Opp","MCTS-10",0,19,0,1192,986,1,2
"1678",1678,"MCTS-25","Mindist+Opp",0,29,0,890,1184,8,9
"2523",2523,"MCTS-50","Mindist+Opp",13,0,1,931,1185,1,2
"2222",2222,"MCTS-50","Mindist+Opp",12,0,1,930,1186,1,2
"4241",4241,"Mindist+Opp","MCTS-25",0,60,0,1189,887,3,2
"3626",3626,"Mindist+Opp","MCTS-10",0,37,0,1192,983,3,2
"5864",5864,"Mindist+Opp","MCTS-50",0,17,0,1193,929,1,2
"2231",2231,"MCTS-50","Mindist+Opp",12,0,1,928,1194,1,2
"347",347,"MCTS-10","Mindist+Opp",20,0,1,981,1196,2,2
"3958",3958,"Mindist+Opp","MCTS-10",0,44,0,1199,978,3,2
"4238",4238,"Mindist+Opp","MCTS-25",0,21,0,1200,886,1,1
"486",486,"MCTS-10","Mindist+Opp",0,46,0,990,1188,12,8
"118",118,"MCTS-10","Mindist+Opp",0,49,0,1002,1176,12,8
"3623",3623,"Mindist+Opp","MCTS-10",0,17,0,1178,1000,2,3
"309",309,"MCTS-10","Mindist+Opp",16,0,1,999,1179,1,3
"357",357,"MCTS-10","Mindist+Opp",24,0,1,997,1181,2,3
"2203",2203,"MCTS-50","Mindist+Opp",0,31,0,936,1173,8,8
"5680",5680,"Mindist+Opp","MCTS-50",0,49,0,1176,933,3,2
"1702",1702,"MCTS-25","Mindist+Opp",0,42,0,898,1164,12,8
"5579",5579,"Mindist+Opp","MCTS-50",0,34,0,1166,931,2,2
"61",61,"MCTS-10","Mindist+Opp",11,0,1,996,1167,1,3
"3638",3638,"Mindist+Opp","MCTS-10",0,2,0,1167,996,0,3
"4848",4848,"Mindist+Opp","MCTS-25",41,0,1,1156,909,11,8
"3251",3251,"Mindist+Opp","MCTS-10",18,0,1,1152,1000,4,7
"1296",1296,"MCTS-25","Mindist+Opp",24,0,1,907,1154,2,2
"1100",1100,"MCTS-25","Mindist+Opp",60,0,1,903,1158,4,2
"1111",1111,"MCTS-25","Mindist+Opp",46,0,1,900,1161,3,2
"3296",3296,"Mindist+Opp","MCTS-10",0,50,0,1166,995,5,3
"4431",4431,"Mindist+Opp","MCTS-25",0,7,0,1166,900,0,2
"3048",3048,"Mindist+Opp","MCTS-10",0,16,0,1167,994,1,3
"1188",1188,"MCTS-25","Mindist+Opp",2,0,1,900,1167,0,2
"13",13,"MCTS-10","Mindist+Opp",0,17,0,998,1163,4,7
"4733",4733,"Mindist+Opp","MCTS-25",0,13,0,1164,899,1,2
"1024",1024,"MCTS-25","Mindist+Opp",16,0,1,898,1165,1,2
"2574",2574,"MCTS-50","Mindist+Opp",0,3,0,932,1164,1,8
"41",41,"MCTS-10","Mindist+Opp",54,0,1,993,1169,5,3
"5267",5267,"Mindist+Opp","MCTS-50",0,9,0,1170,931,1,2
"1600",1600,"MCTS-25","Mindist+Opp",0,40,0,909,1159,11,8
"772",772,"MCTS-10","Mindist+Opp",8,0,1,992,1160,1,3
"1119",1119,"MCTS-25","Mindist+Opp",16,0,1,908,1161,1,2
"5934",5934,"Mindist+Opp","MCTS-50",0,8,0,1162,930,1,2
"3960",3960,"Mindist+Opp","MCTS-10",16,0,1,1158,996,4,7
"2317",2317,"MCTS-50","Mindist+Opp",4,0,1,930,1158,0,2
"731",731,"MCTS-10","Mindist+Opp",23,0,1,994,1160,2,3
"4842",4842,"Mindist+Opp","MCTS-25",0,2,0,1160,908,0,2
"755",755,"MCTS-10","Mindist+Opp",45,0,1,990,1164,4,3
"5099",5099,"Mindist+Opp","MCTS-50",0,10,0,1165,929,1,2
"5818",5818,"Mindist+Opp","MCTS-50",0,2,0,1165,929,0,2
"2101",2101,"MCTS-50","Mindist+Opp",38,0,1,926,1168,3,2
"875",875,"MCTS-10","Mindist+Opp",48,0,1,986,1172,4,3
"2468",2468,"MCTS-50","Mindist+Opp",29,0,1,924,1174,2,2
"3803",3803,"Mindist+Opp","MCTS-10",0,13,0,1175,985,1,3
"2102",2102,"MCTS-50","Mindist+Opp",2,0,1,924,1175,0,2
