"","X","Strategy.1","Strategy.2","P1.Score","P2.Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"1885",1885,"MCTS-25","Mindist+Opp",21,0,1,1018,1124,3,4
"5716",5716,"Mindist+Opp","MCTS-50",0,41,0,1127,929,3,2
"1867",1867,"MCTS-25","Mindist+Opp",0,27,0,1024,1121,6,7
"1370",1370,"MCTS-25","Mindist+Opp",19,0,1,1022,1123,2,4
"5536",5536,"Mindist+Opp","MCTS-50",0,46,0,1127,925,4,2
"2918",2918,"MCTS-50","Mindist+Opp",46,0,1,921,1131,4,2
"5465",5465,"Mindist+Opp","MCTS-50",0,37,0,1134,918,3,2
"1834",1834,"MCTS-25","Mindist+Opp",14,0,1,1020,1136,2,3
"4063",4063,"Mindist+Opp","MCTS-25",0,25,0,1139,1017,3,3
"2828",2828,"MCTS-50","Mindist+Opp",36,0,1,915,1142,3,2
"2929",2929,"MCTS-50","Mindist+Opp",33,0,1,913,1144,2,2
"5143",5143,"Mindist+Opp","MCTS-50",36,0,1,1135,922,9,8
"24",24,"MCTS-10","Mindist+Opp",0,10,0,921,1132,3,8
"3895",3895,"Mindist+Opp","MCTS-10",0,13,0,1133,920,1,2
"1568",1568,"MCTS-25","Mindist+Opp",4,0,1,1017,1133,0,3
"2215",2215,"MCTS-50","Mindist+Opp",17,0,1,921,1134,1,2
"1009",1009,"MCTS-25","Mindist+Opp",49,0,1,1011,1140,6,3
"5884",5884,"Mindist+Opp","MCTS-50",28,0,1,1133,928,7,8
"1444",1444,"MCTS-25","Mindist+Opp",0,10,0,1013,1131,2,7
"1617",1617,"MCTS-25","Mindist+Opp",18,0,1,1011,1133,2,3
"4233",4233,"Mindist+Opp","MCTS-25",60,0,1,1120,1024,13,7
"1877",1877,"MCTS-25","Mindist+Opp",0,22,0,1029,1115,5,6
"1458",1458,"MCTS-25","Mindist+Opp",14,0,1,1027,1117,2,4
"4338",4338,"Mindist+Opp","MCTS-25",0,14,0,1119,1025,2,4
"5427",5427,"Mindist+Opp","MCTS-50",0,23,0,1121,926,2,2
"2534",2534,"MCTS-50","Mindist+Opp",2,0,1,926,1121,0,2
"2118",2118,"MCTS-50","Mindist+Opp",23,0,1,924,1123,2,2
"4976",4976,"Mindist+Opp","MCTS-25",0,16,0,1125,1023,2,4
"179",179,"MCTS-10","Mindist+Opp",12,0,1,919,1126,1,2
"3652",3652,"Mindist+Opp","MCTS-10",0,59,0,1131,914,5,2
"3504",3504,"Mindist+Opp","MCTS-10",50,0,1,1118,927,13,8
"4350",4350,"Mindist+Opp","MCTS-25",0,49,0,1124,1017,6,4
"5091",5091,"Mindist+Opp","MCTS-50",0,23,0,1126,922,2,2
"2809",2809,"MCTS-50","Mindist+Opp",0,23,0,928,1120,6,8
"5156",5156,"Mindist+Opp","MCTS-50",0,60,0,1125,923,5,2
"3660",3660,"Mindist+Opp","MCTS-10",0,12,0,1126,926,1,2
"719",719,"MCTS-10","Mindist+Opp",51,0,1,922,1130,4,2
"3368",3368,"Mindist+Opp","MCTS-10",10,0,1,1127,925,3,8
"5306",5306,"Mindist+Opp","MCTS-50",0,17,0,1128,922,1,2
"5714",5714,"Mindist+Opp","MCTS-50",0,52,0,1132,918,4,2
"2427",2427,"MCTS-50","Mindist+Opp",2,0,1,918,1132,0,2
"3359",3359,"Mindist+Opp","MCTS-10",0,23,0,1134,923,2,2
"305",305,"MCTS-10","Mindist+Opp",32,0,1,921,1136,2,2
"4514",4514,"Mindist+Opp","MCTS-25",0,50,0,1142,1011,6,3
"4935",4935,"Mindist+Opp","MCTS-25",0,3,0,1142,1011,0,3
"952",952,"MCTS-10","Mindist+Opp",12,0,1,920,1143,1,2
"1902",1902,"MCTS-25","Mindist+Opp",0,59,0,1024,1130,13,7
"1016",1016,"MCTS-25","Mindist+Opp",14,0,1,1022,1132,2,4
"1330",1330,"MCTS-25","Mindist+Opp",10,0,1,1021,1133,1,3
"2308",2308,"MCTS-50","Mindist+Opp",30,0,1,916,1135,2,2
"1398",1398,"MCTS-25","Mindist+Opp",0,17,0,1025,1131,4,7
"1303",1303,"MCTS-25","Mindist+Opp",0,4,0,1026,1130,1,6
"1469",1469,"MCTS-25","Mindist+Opp",4,0,1,1026,1130,0,4
"2078",2078,"MCTS-50","Mindist+Opp",0,15,0,920,1126,4,8
"4278",4278,"Mindist+Opp","MCTS-25",0,40,0,1131,1021,5,4
"62",62,"MCTS-10","Mindist+Opp",0,12,0,923,1128,3,8
"3555",3555,"Mindist+Opp","MCTS-10",0,16,0,1129,922,1,2
"2472",2472,"MCTS-50","Mindist+Opp",25,0,1,918,1131,2,2
"1713",1713,"MCTS-25","Mindist+Opp",0,26,0,1027,1125,6,7
"3117",3117,"Mindist+Opp","MCTS-10",0,19,0,1127,920,2,2
"5065",5065,"Mindist+Opp","MCTS-50",0,36,0,1130,915,3,2
"4009",4009,"Mindist+Opp","MCTS-25",0,58,0,1137,1020,7,4
"110",110,"MCTS-10","Mindist+Opp",4,0,1,920,1137,0,2
"5280",5280,"Mindist+Opp","MCTS-50",0,10,0,1138,914,1,2
"5126",5126,"Mindist+Opp","MCTS-50",0,51,0,1142,910,4,2
"5911",5911,"Mindist+Opp","MCTS-50",0,60,0,1146,906,4,2
"1239",1239,"MCTS-25","Mindist+Opp",20,0,1,1018,1148,2,3
"2563",2563,"MCTS-50","Mindist+Opp",44,0,1,903,1151,3,2
"4948",4948,"Mindist+Opp","MCTS-25",0,39,0,1155,1014,4,3
"4189",4189,"Mindist+Opp","MCTS-25",0,48,0,1160,1009,5,3
"2667",2667,"MCTS-50","Mindist+Opp",5,0,1,903,1160,0,2
"5545",5545,"Mindist+Opp","MCTS-50",0,60,0,1164,899,4,2
"3250",3250,"Mindist+Opp","MCTS-10",0,60,0,1168,916,4,2
"5681",5681,"Mindist+Opp","MCTS-50",33,0,1,1159,908,9,8
"2613",2613,"MCTS-50","Mindist+Opp",2,0,1,908,1159,0,2
"3327",3327,"Mindist+Opp","MCTS-10",0,9,0,1160,915,1,2
"2956",2956,"MCTS-50","Mindist+Opp",0,10,0,911,1157,3,8
"4720",4720,"Mindist+Opp","MCTS-25",0,19,0,1159,1007,2,3
"1953",1953,"MCTS-25","Mindist+Opp",0,23,0,1012,1154,5,7
"3700",3700,"Mindist+Opp","MCTS-10",0,51,0,1157,912,3,2
"856",856,"MCTS-10","Mindist+Opp",60,0,1,908,1161,4,2
"266",266,"MCTS-10","Mindist+Opp",9,0,1,907,1162,1,2
"1727",1727,"MCTS-25","Mindist+Opp",24,0,1,1010,1164,2,3
"4801",4801,"Mindist+Opp","MCTS-25",28,0,1,1157,1017,7,7
"5409",5409,"Mindist+Opp","MCTS-50",60,0,1,1141,927,16,8
"5042",5042,"Mindist+Opp","MCTS-50",0,3,0,1141,927,0,2
"3643",3643,"Mindist+Opp","MCTS-10",0,60,0,1145,903,4,2
"3846",3846,"Mindist+Opp","MCTS-10",0,3,0,1145,903,0,2
"3650",3650,"Mindist+Opp","MCTS-10",0,23,0,1147,901,2,2
"4537",4537,"Mindist+Opp","MCTS-25",0,2,0,1147,1017,0,3
"3581",3581,"Mindist+Opp","MCTS-10",0,60,0,1151,897,4,2
"4082",4082,"Mindist+Opp","MCTS-25",0,19,0,1153,1015,2,3
"3233",3233,"Mindist+Opp","MCTS-10",0,4,0,1153,897,0,2
"3908",3908,"Mindist+Opp","MCTS-10",40,0,1,1142,908,11,8
"1989",1989,"MCTS-25","Mindist+Opp",55,0,1,1009,1148,6,3
"10",10,"MCTS-10","Mindist+Opp",18,0,1,907,1149,1,2
"5572",5572,"Mindist+Opp","MCTS-50",0,29,0,1151,925,2,2
"156",156,"MCTS-10","Mindist+Opp",12,0,1,906,1152,1,2
"1459",1459,"MCTS-25","Mindist+Opp",11,0,1,1008,1153,1,3
"4304",4304,"Mindist+Opp","MCTS-25",49,0,1,1142,1019,11,7
"1767",1767,"MCTS-25","Mindist+Opp",11,0,1,1018,1143,1,3
"2871",2871,"MCTS-50","Mindist+Opp",18,0,1,924,1144,1,2
"1520",1520,"MCTS-25","Mindist+Opp",60,0,1,1011,1151,7,3
"3926",3926,"Mindist+Opp","MCTS-10",18,0,1,1146,911,5,8
"5391",5391,"Mindist+Opp","MCTS-50",0,45,0,1149,921,3,2
"3593",3593,"Mindist+Opp","MCTS-10",0,15,0,1150,910,1,2
"4290",4290,"Mindist+Opp","MCTS-25",0,15,0,1152,1009,2,3
"328",328,"MCTS-10","Mindist+Opp",2,0,1,910,1152,0,2
"262",262,"MCTS-10","Mindist+Opp",12,0,1,909,1153,1,2
"5471",5471,"Mindist+Opp","MCTS-50",0,33,0,1155,919,2,2
"250",250,"MCTS-10","Mindist+Opp",0,18,0,914,1150,5,8
"4048",4048,"Mindist+Opp","MCTS-25",21,0,1,1145,1014,5,7
"4880",4880,"Mindist+Opp","MCTS-25",0,2,0,1145,1014,0,3
"1113",1113,"MCTS-25","Mindist+Opp",0,21,0,1019,1140,5,7
"4760",4760,"Mindist+Opp","MCTS-25",0,23,0,1143,1016,3,3
"1874",1874,"MCTS-25","Mindist+Opp",12,0,1,1015,1144,1,3
"3527",3527,"Mindist+Opp","MCTS-10",0,23,0,1146,912,2,2
"1769",1769,"MCTS-25","Mindist+Opp",0,48,0,1026,1135,11,7
"1304",1304,"MCTS-25","Mindist+Opp",17,0,1,1024,1137,2,3
"121",121,"MCTS-10","Mindist+Opp",0,24,0,918,1131,6,8
"4008",4008,"Mindist+Opp","MCTS-25",0,40,0,1136,1019,5,4
"316",316,"MCTS-10","Mindist+Opp",7,0,1,917,1137,1,2
"831",831,"MCTS-10","Mindist+Opp",11,0,1,916,1138,1,2
"158",158,"MCTS-10","Mindist+Opp",2,0,1,916,1138,0,2
"4006",4006,"Mindist+Opp","MCTS-25",8,0,1,1136,1021,2,7
"3587",3587,"Mindist+Opp","MCTS-10",0,34,0,1138,914,2,2
"2230",2230,"MCTS-50","Mindist+Opp",0,49,0,932,1125,13,8
"1407",1407,"MCTS-25","Mindist+Opp",12,0,1,1020,1126,1,4
"1067",1067,"MCTS-25","Mindist+Opp",0,5,0,1021,1125,1,6
"2044",2044,"MCTS-50","Mindist+Opp",17,0,1,931,1126,1,2
"3007",3007,"Mindist+Opp","MCTS-10",0,13,0,1127,913,1,2
"5136",5136,"Mindist+Opp","MCTS-50",32,0,1,1119,939,8,8
"3878",3878,"Mindist+Opp","MCTS-10",0,26,0,1121,911,2,2
"4281",4281,"Mindist+Opp","MCTS-25",0,21,0,1124,1018,3,4
"3620",3620,"Mindist+Opp","MCTS-10",0,0,0,1124,911,0,2
"1102",1102,"MCTS-25","Mindist+Opp",17,0,1,1016,1126,2,4
"1985",1985,"MCTS-25","Mindist+Opp",0,15,0,1019,1123,3,7
"2933",2933,"MCTS-50","Mindist+Opp",17,0,1,938,1124,1,3
"5060",5060,"Mindist+Opp","MCTS-50",0,4,0,1124,938,0,3
"5480",5480,"Mindist+Opp","MCTS-50",0,51,0,1128,934,4,3
"1897",1897,"MCTS-25","Mindist+Opp",0,26,0,1025,1122,6,7
"5748",5748,"Mindist+Opp","MCTS-50",0,22,0,1124,932,2,3
"2021",2021,"MCTS-50","Mindist+Opp",5,0,1,932,1124,0,2
"1323",1323,"MCTS-25","Mindist+Opp",2,0,1,1025,1124,0,4
"5303",5303,"Mindist+Opp","MCTS-50",0,45,0,1128,928,4,2
"3544",3544,"Mindist+Opp","MCTS-10",0,12,0,1129,910,1,2
"833",833,"MCTS-10","Mindist+Opp",35,0,1,907,1132,3,2
"3143",3143,"Mindist+Opp","MCTS-10",0,15,0,1133,906,1,2
"5923",5923,"Mindist+Opp","MCTS-50",0,60,0,1138,923,5,2
"4750",4750,"Mindist+Opp","MCTS-25",0,45,0,1143,1020,5,3
"2014",2014,"MCTS-50","Mindist+Opp",0,60,0,939,1127,16,8
"3925",3925,"Mindist+Opp","MCTS-10",0,43,0,1130,903,3,2
"2751",2751,"MCTS-50","Mindist+Opp",43,0,1,935,1134,4,2
"3081",3081,"Mindist+Opp","MCTS-10",10,0,1,1131,906,3,8
"1035",1035,"MCTS-25","Mindist+Opp",11,0,1,1019,1132,1,3
"5035",5035,"Mindist+Opp","MCTS-50",0,9,0,1133,934,1,2
"750",750,"MCTS-10","Mindist+Opp",26,0,1,904,1135,2,2
"2557",2557,"MCTS-50","Mindist+Opp",46,0,1,930,1139,4,2
"3547",3547,"Mindist+Opp","MCTS-10",0,45,0,1142,901,3,2
"213",213,"MCTS-10","Mindist+Opp",2,0,1,901,1142,0,2
"2479",2479,"MCTS-50","Mindist+Opp",32,0,1,928,1144,2,2
"3702",3702,"Mindist+Opp","MCTS-10",0,31,0,1146,899,2,2
"4821",4821,"Mindist+Opp","MCTS-25",0,22,0,1148,1017,2,3
"3208",3208,"Mindist+Opp","MCTS-10",0,24,0,1150,897,2,2
"5625",5625,"Mindist+Opp","MCTS-50",0,17,0,1151,927,1,2
"4601",4601,"Mindist+Opp","MCTS-25",22,0,1,1146,1022,5,7
"2406",2406,"MCTS-50","Mindist+Opp",21,0,1,925,1148,2,2
"415",415,"MCTS-10","Mindist+Opp",12,0,1,896,1149,1,2
"1494",1494,"MCTS-25","Mindist+Opp",36,0,1,1018,1153,4,3
"2925",2925,"MCTS-50","Mindist+Opp",40,0,1,922,1156,3,2
"691",691,"MCTS-10","Mindist+Opp",0,16,0,900,1152,4,8
