"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"111","MCTS-10","Mindist+Opp",53,0,1
"112","MCTS-10","Mindist+Opp",16,0,1
"113","MCTS-10","Mindist+Opp",3,0,1
"114","MCTS-10","Mindist+Opp",22,0,1
"115","MCTS-10","Mindist+Opp",41,0,1
"116","MCTS-10","Mindist+Opp",60,0,1
"117","MCTS-10","Mindist+Opp",5,0,1
"118","MCTS-10","Mindist+Opp",0,49,0
"119","MCTS-10","Mindist+Opp",0,3,0
"120","MCTS-10","Mindist+Opp",10,0,1
"121","MCTS-10","Mindist+Opp",0,24,0
"122","MCTS-10","Mindist+Opp",49,0,1
"123","MCTS-10","Mindist+Opp",35,0,1
"124","MCTS-10","Mindist+Opp",22,0,1
"125","MCTS-10","Mindist+Opp",38,0,1
"126","MCTS-10","Mindist+Opp",0,19,0
"127","MCTS-10","Mindist+Opp",4,0,1
"128","MCTS-10","Mindist+Opp",2,0,1
"129","MCTS-10","Mindist+Opp",52,0,1
"130","MCTS-10","Mindist+Opp",0,32,0
"131","MCTS-10","Mindist+Opp",20,0,1
"132","MCTS-10","Mindist+Opp",38,0,1
"133","MCTS-10","Mindist+Opp",11,0,1
"134","MCTS-10","Mindist+Opp",47,0,1
"135","MCTS-10","Mindist+Opp",12,0,1
"136","MCTS-10","Mindist+Opp",0,45,0
"137","MCTS-10","Mindist+Opp",0,18,0
"138","MCTS-10","Mindist+Opp",2,0,1
"139","MCTS-10","Mindist+Opp",24,0,1
"140","MCTS-10","Mindist+Opp",12,0,1
"141","MCTS-10","Mindist+Opp",11,0,1
"142","MCTS-10","Mindist+Opp",0,5,0
"143","MCTS-10","Mindist+Opp",41,0,1
"144","MCTS-10","Mindist+Opp",60,0,1
"145","MCTS-10","Mindist+Opp",14,0,1
"146","MCTS-10","Mindist+Opp",16,0,1
"147","MCTS-10","Mindist+Opp",10,0,1
"148","MCTS-10","Mindist+Opp",35,0,1
"149","MCTS-10","Mindist+Opp",60,0,1
"150","MCTS-10","Mindist+Opp",8,0,1
"151","MCTS-10","Mindist+Opp",49,0,1
"152","MCTS-10","Mindist+Opp",32,0,1
"153","MCTS-10","Mindist+Opp",0,35,0
"154","MCTS-10","Mindist+Opp",10,0,1
"155","MCTS-10","Mindist+Opp",0,57,0
"156","MCTS-10","Mindist+Opp",12,0,1
"157","MCTS-10","Mindist+Opp",0,45,0
"158","MCTS-10","Mindist+Opp",2,0,1
"159","MCTS-10","Mindist+Opp",59,0,1
"160","MCTS-10","Mindist+Opp",2,0,1
"161","MCTS-10","Mindist+Opp",2,0,1
"162","MCTS-10","Mindist+Opp",18,0,1
"163","MCTS-10","Mindist+Opp",0,4,0
"164","MCTS-10","Mindist+Opp",44,0,1
"165","MCTS-10","Mindist+Opp",57,0,1
