init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
13 37 44 1 4 42 24 31 38 11 2 14 47,22 38 29 12 26 3 39 18 52 12 4 14,16,0,64,0,3,13 37 44 1 42 24 31 11 2 14 15 0 12,29 3 52 26 39 14 4 43 18 32 22 38 12,2,0,2
24 35 33 52 37 17 1 15 3 26 8 33 47,23 36 28 17 52 16 49 0 20 11 0 6 3,38,63,0,1,19,24 35 52 37 17 1 3 51 25 15 14 39 11,17 19 18 16 52 25 36 3 29 16 33 32 31,2,1,1
18 27 48 10 26 20 41 30 50 3 28 23 38,20 19 5 21 13 28 2 4 24 24 34 45 36,33,0,22,0,5,27 48 10 26 20 50 3 28 23 36 42 47 52,20 19 21 52 38 37 2 28 41 13 4 5 31,1,1,2
21 1 3 44 8 15 23 20 14 18 42 14 46,35 9 38 11 40 41 25 24 16 7 39 17 45,24,52,0,1,5,21 1 3 44 15 23 20 18 14 16 30 2 1,40 41 39 11 16 17 38 25 24 9 7 8 50,2,1,1
50 2 49 22 4 18 48 51 11 43 4 11 37,30 8 17 43 12 36 27 19 29 35 22 52 31,3,67,0,1,12,50 2 22 4 18 48 43 4 20 23 30 1 49,29 27 28 19 22 52 21 31 5 44 17 43 52,1,1,2
28 2 35 42 24 34 0 50 9 11 12 40 36,10 43 17 16 26 3 8 22 37 12 35 17,45,0,80,0,4,2 35 42 24 34 0 50 11 12 36 52 40 6,10 43 17 16 26 3 8 22 37 12 35 17 23,1,2,1
29 5 18 42 13 0 26 34 17 25 41 0 2,7 33 51 52 43 44 23 37 49 47 12 6,27,0,80,0,4,18 42 13 0 26 17 41 0 2 20 40 19 1,7 33 51 52 43 44 23 37 49 47 12 29 22,3,0,1
13 4 36 15 27 45 22 21 37 26 23 50 33,8 41 49 26 17 31 29 1 44 39 35 16 20,51,0,41,0,9,13 36 15 22 21 23 38 37 16 3 35 42 12,44 45 43 26 39 1 27 1 41 16 17 4 31,2,1,1
34 9 15 27 19 5 49 29 15 41 47 2 0,11 42 31 39 5 10 35 45 51 13 52 0,43,0,12,0,7,34 49 29 15 41 47 2 32 52 3 33 42 46,39 51 40 11 10 9 31 5 18 13 0 28 2,1,1,2
30 21 6 18 43 48 29 42 20 27 36 23 31,8 26 18 39 22 13 44 17 46 37 24 0 16,34,29,0,1,1,30 21 6 18 43 48 29 42 20 36 23 31 49,18 17 16 8 44 46 26 39 13 0 22 24 47,1,2,1
37 39 31 9 5 4 21 41 34 42 49 30 10,43 46 42 35 3 46 9 36 26 19 17 37 16,5,0,79,0,6,39 31 9 5 4 41 42 30 10 3 29 17 8,52 26 0 42 3 16 43 19 19 46 46 35 37,1,1,2
43 3 11 31 13 0 50 23 37 43 18 22 40,15 3 46 16 2 23 47 49 30 32 52 22 48,9,78,0,1,4,3 11 31 13 0 50 37 43 18 22 4 29 32,15 16 14 48 2 3 52 49 23 46 47 45 22,2,1,1
46 37 17 23 41 15 43 47 34 30 6 41 51,21 49 10 24 18 52 28 11 29 5 1 37,50,32,0,1,4,46 37 17 23 41 15 43 47 30 41 51 42 28,20 21 19 24 28 29 52 18 5 11 37 46 49,1,2,1
2 52 19 26 4 25 28 43 52 14 3 20 41,17 40 13 33 21 50 26 36 13 27 31 50 32,45,0,43,0,1,2 52 19 26 4 25 28 43 52 14 3 41 15,33 31 32 26 27 6 13 13 40 17 21 50 36,1,3,0
30 8 11 42 0 50 20 28 4 35 15 49 0,32 11 43 36 26 17 3 46 10 1 43 23,29,0,76,0,6,30 8 11 42 28 15 49 41 51 31 3 50 10,3 26 0 1 43 17 43 4 32 45 46 11 36,1,2,1
43 36 47 44 52 18 25 48 30 51 23 17 13,30 24 43 17 32 14 8 34 31 42 4 18,8,0,15,0,3,43 36 47 44 52 18 25 51 23 17 16 10 52,30 32 31 8 34 48 45 43 17 4 14 42 18,1,1,2
20 12 43 34 37 41 32 28 41 40 11 9 33,48 18 15 43 47 13 12 8 39 21 45 29 52,21,0,0,0,10,12 43 34 32 28 41 40 11 33 10 29 27 47,48 47 49 8 43 45 21 13 25 15 52 39 41,3,1,0
47 38 52 8 36 46 47 36 10 9 44 34 30,23 45 33 52 21 38 3 39 14 27 23 9,45,0,26,0,9,38 52 8 36 46 47 36 10 9 34 33 37 52,27 38 26 28 45 14 15 23 21 39 0 3 21,2,2,0
44 16 50 26 5 17 4 34 13 9 34 12 20,18 39 49 19 45 11 27 40 6 2 46 0 44,28,68,0,1,5,16 26 5 17 4 13 9 34 12 11 18 0 33,45 46 44 2 49 50 2 19 6 41 27 40 15,1,1,2
6 9 26 30 2 30 27 20 0 7 27 5 35,37 22 52 47 4 40 45 50 7 48 33 41 15,20,5,0,1,11,6 9 26 2 20 0 7 27 5 35 48 22 3,40 41 42 52 3 4 7 14 15 17 33 30 32,1,3,0
19 4 47 45 42 39 31 31 29 46 52 25 35,49 0 22 11 42 39 8 20 10 18 37 37,47,0,80,0,8,19 47 45 42 39 31 29 52 30 0 43 32 45,49 42 39 8 20 10 18 4 31 35 11 25 7,1,1,2
3 23 46 39 52 49 36 12 15 8 32 50 45,14 15 27 11 40 38 28 1 37 3 52 22 47,43,0,13,0,11,3 23 52 49 36 32 45 29 47 5 17 46 31,11 12 10 52 1 3 4 38 25 39 14 15 28,1,2,1
48 50 8 52 26 16 40 35 24 19 14 25 49,33 33 7 39 20 34 22 16 29 15 49 45,39,0,80,0,4,48 52 26 16 40 24 19 14 25 49 18 50 27,33 33 7 39 20 34 22 16 29 15 49 45 44,1,2,1
13 50 20 17 37 11 18 30 44 47 1 27 28,40 12 21 51 51 3 28 42 6 46 18 15 34,21,78,0,1,7,50 20 37 11 18 30 44 47 27 28 46 34 1,17 18 19 21 3 5 34 15 28 46 33 7 52,1,1,2
38 36 46 18 33 37 45 7 30 52 32 47 31,35 26 11 12 2 46 12 14 9 2 13 16 25,13,0,42,0,0,38 36 46 18 33 37 45 30 52 32 47 31 0,35 26 11 12 2 46 12 14 9 2 13 16 25,2,1,1
