init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
27 45 7 22 2 11 51 3 42 41 25 0 32,43 43 33 8 1 50 6 13 5 17 5 30 15,7,9,0,1,14,42 41 40 7 2 3 5 27 14 1 0 27 2,33 8 6 13 17 5 30 15 29 31 0 39 16,2,1,1
12 41 43 15 30 44 13 20 5 36 42 2 36,13 7 12 0 0 50 34 28 25 29 52 24 6,31,22,0,1,23,13 15 14 44 27 28 30 5 2 39 40 19 37,13 12 0 50 52 24 29 18 28 44 26 52 1,1,2,1
47 1 39 16 7 17 15 38 16 21 26 28 30,11 23 36 49 40 32 45 39 23 48 44 25 46,51,32,0,1,3,16 17 15 7 38 6 28 30 39 26 1 16 11,23 36 49 40 45 39 23 48 25 46 21 47 25,1,2,1
5 26 45 44 28 13 40 47 4 36 51 29 35,9 14 33 31 27 1 52 33 5 17 11 10 0,21,64,0,1,4,47 26 13 40 28 29 4 17 5 44 18 5 45,9 14 33 31 27 1 52 33 11 10 35 32 36,2,1,1
23 2 48 27 26 37 13 14 0 18 16 40,41 42 47 40 36 24 2 6 43 21 46 8 44,32,55,0,1,5,6 26 13 0 27 14 40 2 16 3 18 33 23,41 42 47 40 2 6 43 21 46 8 44 41 45,1,1,2
49 16 15 7 16 46 22 23 48 48 44 2 52,11 51 31 19 27 39 40 1 43 4 33 51 52,44,0,8,0,5,15 14 16 22 23 44 49 48 52 46 7 33 20,51 31 27 39 40 1 43 4 51 52 48 30 13,1,2,1
42 24 30 20 4 27 0 19 0 49 50 9 45,46 41 46 38 2 15 49 7 48 13 41 47 7,6,69,0,1,8,19 45 0 0 27 42 30 4 44 20 7 24 9,46 46 38 2 15 41 47 7 28 26 33 48 52,1,1,2
40 3 18 27 14 47 34 38 32 13 6 22 41,10 51 2 42 48 34 33 32 13 41 8 15 20,3,76,0,1,8,13 13 40 27 14 41 18 32 6 7 46 20 33,10 51 42 48 34 32 41 8 2 15 29 33 3,1,2,1
13 12 45 43 37 39 32 0 5 21 28 7,33 34 40 24 52 42 16 4 11 9 7 52 40,22,15,0,1,9,43 45 44 39 40 51 35 7 20 13 0 28 5,33 24 52 42 16 4 11 9 7 52 50 34 32,1,1,2
48 26 38 51 35 19 39 34 43 37 22 42 8,52 17 48 44 31 5 3 36 39 6 28 22 1,21,66,0,1,6,34 8 26 39 28 42 3 42 43 19 46 48 38,52 17 48 44 31 5 3 6 22 9 16 15 8,1,1,2
18 25 9 52 41 22 7 42 12 46 43 2 17,48 41 21 39 44 26 47 20 18 29 46 49 23,36,28,0,1,5,41 42 43 25 52 22 24 21 13 2 17 18 7,48 41 39 26 47 20 18 46 49 23 38 21 49,1,3,0
11 39 47 41 32 23 33 13 30 10 7 39 44,36 31 18 14 17 33 3 38 35 52 47 31 7,45,39,0,1,5,39 41 40 32 30 33 31 39 28 44 31 7 11,36 18 14 17 33 38 35 52 7 15 13 16 46,2,1,1
45 26 22 27 52 29 2 21 3 50 6 26 22,20 36 5 23 31 6 19 30 3 9 42 19 49,23,66,0,1,6,52 26 26 27 2 2 29 3 30 45 6 46 22,20 36 5 23 31 6 3 42 19 49 22 16 21,1,2,1
24 36 27 49 7 23 29 16 0 50 33 52,21 42 9 4 28 41 1 32 15 16 14 37 8,2,80,0,1,4,24 27 49 7 23 29 16 0 50 33 42 9 32,21 4 28 41 1 15 16 14 37 8 38 52 36,2,1,1
37 14 21 9 30 17 42 43 34 28 36 33 26,49 51 17 24 21 48 15 28 10 52 19 12 52,27,33,0,1,13,30 29 28 37 14 34 36 33 34 26 29 43 48,49 51 17 21 15 10 52 19 12 52 1 9 11,1,3,0
1 16 13 30 47 51 1 14 7 2 5 26 51,48 44 12 48 40 37 7 18 41 19 9 0 19,15,28,0,1,13,7 5 6 4 2 30 31 26 1 1 16 42 21,48 18 41 9 19 11 28 10 50 32 34 35 33,2,2,0
52 36 31 4 12 44 20 20 2 0 4 32 2,38 17 21 39 32 47 49 19 19 23 8 24 40,41,46,0,1,13,2 0 1 31 32 2 27 4 4 44 32 32 32,17 21 39 49 19 19 40 42 20 52 47 48 28,2,2,0
38 26 51 30 26 12 23 15 33 39 29 14 9,16 24 2 9 33 49 35 3 22 10 36 27 25,27,62,0,1,4,14 15 16 26 26 39 29 30 18 33 46 38 51,24 2 9 49 35 3 22 27 25 36 10 23 5,1,1,2
0 26 43 10 14 4 20 15 33 43 52 42 32,51 8 22 23 39 35 38 28 6 42 40 47 19,20,0,52,0,4,33 32 34 35 43 20 42 52 0 26 4 43 17,51 8 22 23 35 38 28 6 40 19 39 26 24,1,1,2
37 9 5 28 20 22 27 14 38 16 15 17 13,15 34 39 44 41 1 25 28 36 19 31 29 13,4,13,0,1,15,14 16 15 13 17 27 28 5 44 31 0 2 5,15 34 39 44 41 25 36 31 13 40 52 43 14,2,1,1
27 33 39 8 24 52 22 37 0 4 38 21,27 51 15 4 14 52 17 48 48 33 6 50 31,15,80,0,1,9,27 33 39 8 24 52 22 37 0 4 21 17 51,27 15 14 52 48 33 50 31 40 13 51 41 49,2,1,1
35 1 26 28 17 47 38 6 6 13 52 42,15 9 20 45 38 43 33 31 13 14 51 32 31,48,68,0,1,3,35 1 26 28 17 47 38 6 6 13 52 42 37,15 9 45 38 43 33 13 14 51 32 31 25 34,2,1,1
29 50 27 0 3 8 7 24 21 51 48 8,21 23 13 44 7 27 45 15 38 33 35 34 40,44,80,0,1,5,29 50 27 0 3 8 24 21 51 48 8 17 45,21 23 13 44 27 15 38 33 35 34 22 26 16,3,1,0
28 13 47 40 10 51 16 34 13 52 2 22 17,25 41 6 24 44 47 2 6 12 14 43 21 24,42,0,80,0,8,29 28 30 16 52 7 2 28 41 15 13 0 26,25 44 47 6 12 43 21 24 22 34 51 45 14,1,1,2
